"","Localisation","HumanName","BrainRegion"
"23574","Postsynaptic","ADD1","Cerebral cortex"
"23585","Postsynaptic","IMMT","Cerebral cortex"
"23586","Postsynaptic","MAP2","Cerebral cortex"
"23592","Postsynaptic","PPP1R9B","Cerebral cortex"
"23621","Postsynaptic","AP2B1","Cerebral cortex"
"23622","Postsynaptic","MYH9","Cerebral cortex"
"23624","Postsynaptic","PPP1CC","Cerebral cortex"
"23627","Postsynaptic","NFASC","Cerebral cortex"
"23629","Postsynaptic","DBN1","Cerebral cortex"
"23631","Postsynaptic","WASF1","Cerebral cortex"
"23636","Postsynaptic","YWHAQ","Cerebral cortex"
"23669","Postsynaptic","CDH2","Cerebral cortex"
"23686","Postsynaptic","BCAN","Cerebral cortex"
"23690","Postsynaptic","PRDX2","Cerebral cortex"
"23698","Postsynaptic","DCTN1","Cerebral cortex"
"23711","Postsynaptic","GIT1","Cerebral cortex"
"23712","Postsynaptic","MINK1","Cerebral cortex"
"23713","Postsynaptic","DNAJA2","Cerebral cortex"
"23719","Postsynaptic","MAPT","Cerebral cortex"
"23767","Postsynaptic","ERC2","Cerebral cortex"
"23770","Postsynaptic","NCAN","Cerebral cortex"
"23774","Postsynaptic","DNM3","Cerebral cortex"
"23793","Postsynaptic","PPIB","Cerebral cortex"
"23815","Postsynaptic","CHCHD6","Cerebral cortex"
"23825","Postsynaptic","DNAJC6","Cerebral cortex"
"23828","Postsynaptic","RAB10","Cerebral cortex"
"23851","Postsynaptic","SV2A","Cerebral cortex"
"23854","Postsynaptic","ENO1","Cerebral cortex"
"23861","Postsynaptic","PCBP2","Cerebral cortex"
"23867","Postsynaptic","CCT5","Cerebral cortex"
"23892","Postsynaptic","VSNL1","Cerebral cortex"
"23895","Postsynaptic","ENO2","Cerebral cortex"
"23898","Postsynaptic","DECR1","Cerebral cortex"
"23902","Postsynaptic","CSNK2A1","Cerebral cortex"
"23903","Postsynaptic","VIM","Cerebral cortex"
"23906","Postsynaptic","CLIP2","Cerebral cortex"
"23926","Postsynaptic","DNAJB6","Cerebral cortex"
"23928","Postsynaptic","RPL14","Cerebral cortex"
"23941","Postsynaptic","IGSF8","Cerebral cortex"
"23947","Postsynaptic","PRDX5","Cerebral cortex"
"23951","Postsynaptic","GPI","Cerebral cortex"
"23955","Postsynaptic","DCTN2","Cerebral cortex"
"23978","Postsynaptic","MAP2K1","Cerebral cortex"
"23986","Postsynaptic","CORO1A","Cerebral cortex"
"23992","Postsynaptic","RAP1A","Cerebral cortex"
"23995","Postsynaptic","HNRNPK","Cerebral cortex"
"24003","Postsynaptic","PRKAR1A","Cerebral cortex"
"24020","Postsynaptic","APOE","Cerebral cortex"
"24051","Postsynaptic","COX5B","Cerebral cortex"
"24052","Postsynaptic","CDC42BPB","Cerebral cortex"
"24066","Postsynaptic","LRRC59","Cerebral cortex"
"24068","Postsynaptic","SRC","Cerebral cortex"
"24069","Postsynaptic","EEF1D","Cerebral cortex"
"24086","Postsynaptic","RAPGEF2","Cerebral cortex"
"24092","Postsynaptic","LETM1","Cerebral cortex"
"24102","Postsynaptic","PRKAR2A","Cerebral cortex"
"24103","Postsynaptic","FARSA","Cerebral cortex"
"24107","Postsynaptic","CACNB3","Cerebral cortex"
"24113","Postsynaptic","CSNK1D","Cerebral cortex"
"24114","Postsynaptic","DBNL","Cerebral cortex"
"24127","Postsynaptic","OXCT1","Cerebral cortex"
"24135","Postsynaptic","HSP90B1","Cerebral cortex"
"24137","Postsynaptic","PRDX6","Cerebral cortex"
"24141","Postsynaptic","ENPP6","Cerebral cortex"
"24142","Postsynaptic","SH3GLB2","Cerebral cortex"
"24156","Postsynaptic","ATP6V1G2","Cerebral cortex"
"24158","Postsynaptic","TOM1L2","Cerebral cortex"
"24185","Postsynaptic","NDUFS6","Cerebral cortex"
"24205","Postsynaptic","BCR","Cerebral cortex"
"24209","Postsynaptic","EHD3","Cerebral cortex"
"24221","Postsynaptic","PARK7","Cerebral cortex"
"24252","Postsynaptic","SIRT2","Cerebral cortex"
"24256","Postsynaptic","NDUFB7","Cerebral cortex"
"24260","Postsynaptic","AK1","Cerebral cortex"
"24280","Postsynaptic","MDH1","Cerebral cortex"
"24286","Postsynaptic","HIP1R","Cerebral cortex"
"24296","Postsynaptic","CRYM","Cerebral cortex"
"24320","Postsynaptic","SLC27A4","Cerebral cortex"
"24322","Postsynaptic","EIF4G1","Cerebral cortex"
"24330","Postsynaptic","STIP1","Cerebral cortex"
"24331","Postsynaptic","PLXNA4","Cerebral cortex"
"24332","Postsynaptic","MYCBP2","Cerebral cortex"
"24342","Postsynaptic","PEBP1","Cerebral cortex"
"24345","Postsynaptic","MTDH","Cerebral cortex"
"24347","Postsynaptic","C1QBP","Cerebral cortex"
"24350","Postsynaptic","SCRN1","Cerebral cortex"
"24359","Postsynaptic","STX7","Cerebral cortex"
"24364","Postsynaptic","DNAJB1","Cerebral cortex"
"24379","Postsynaptic","QDPR","Cerebral cortex"
"24394","Postsynaptic","EZR","Cerebral cortex"
"24396","Postsynaptic","WASF3","Cerebral cortex"
"24403","Postsynaptic","AHSA1","Cerebral cortex"
"24407","Postsynaptic","DNAJB2","Cerebral cortex"
"24420","Postsynaptic","SLC4A1","Cerebral cortex"
"24423","Postsynaptic","ARHGAP1","Cerebral cortex"
"24426","Postsynaptic","NSFL1C","Cerebral cortex"
"24442","Postsynaptic","COX6B1","Cerebral cortex"
"24445","Postsynaptic","CALCOCO1","Cerebral cortex"
"24455","Postsynaptic","MPRIP","Cerebral cortex"
"24458","Postsynaptic","SRPK2","Cerebral cortex"
"24461","Postsynaptic","PPP1R12A","Cerebral cortex"
"24463","Postsynaptic","CC2D1A","Cerebral cortex"
"24464","Postsynaptic","NPM1","Cerebral cortex"
"24467","Postsynaptic","BAG6","Cerebral cortex"
"24470","Postsynaptic","DDAH1","Cerebral cortex"
"24471","Postsynaptic","DAAM1","Cerebral cortex"
"24480","Postsynaptic","PHLDB1","Cerebral cortex"
"24497","Postsynaptic","NAP1L4","Cerebral cortex"
"24499","Postsynaptic","IMPA1","Cerebral cortex"
"24502","Postsynaptic","DUSP3","Cerebral cortex"
"24516","Postsynaptic","CLTA","Cerebral cortex"
"24526","Postsynaptic","SSBP1","Cerebral cortex"
"24530","Postsynaptic","GOT1","Cerebral cortex"
"24539","Postsynaptic","USO1","Cerebral cortex"
"24553","Postsynaptic","NDUFA5","Cerebral cortex"
"24556","Postsynaptic","LONP1","Cerebral cortex"
"24562","Postsynaptic","IST1","Cerebral cortex"
"24571","Postsynaptic","PARP1","Cerebral cortex"
"24586","Postsynaptic","ANXA1","Cerebral cortex"
"24590","Postsynaptic","ANXA11","Cerebral cortex"
"24592","Postsynaptic","ESYT2","Cerebral cortex"
"24593","Postsynaptic","VPS53","Cerebral cortex"
"24594","Postsynaptic","LYN","Cerebral cortex"
"24598","Postsynaptic","HSDL2","Cerebral cortex"
"24619","Postsynaptic","SNX2","Cerebral cortex"
"24621","Postsynaptic","LAP3","Cerebral cortex"
"24622","Postsynaptic","ACOT13","Cerebral cortex"
"24626","Postsynaptic","GSTP1","Cerebral cortex"
"24632","Postsynaptic","NOMO1","Cerebral cortex"
"24633","Postsynaptic","PRKRA","Cerebral cortex"
"24645","Postsynaptic","CA2","Cerebral cortex"
"24669","Postsynaptic","SEC31A","Cerebral cortex"
"24678","Postsynaptic","ANXA2","Cerebral cortex"
"24685","Postsynaptic","HMOX2","Cerebral cortex"
"24690","Postsynaptic","ACAA1","Cerebral cortex"
"24691","Postsynaptic","ECI2","Cerebral cortex"
"24692","Postsynaptic","CACYBP","Cerebral cortex"
"24696","Postsynaptic","NT5E","Cerebral cortex"
"24699","Postsynaptic","TALDO1","Cerebral cortex"
"24701","Postsynaptic","HSPB1","Cerebral cortex"
"24708","Postsynaptic","CRKL","Cerebral cortex"
"24715","Postsynaptic","CD59","Cerebral cortex"
"24716","Postsynaptic","STXBP3","Cerebral cortex"
"24717","Postsynaptic","YES1","Cerebral cortex"
"24721","Postsynaptic","TBCB","Cerebral cortex"
"24725","Postsynaptic","AP3S2","Cerebral cortex"
