"","Localisation","HumanName","BrainRegion"
"995","Postsynaptic","ATP5F1C","Brain"
"996","Postsynaptic","NDUFS3","Brain"
"997","Postsynaptic","CS","Brain"
"998","Postsynaptic","ABLIM2","Brain"
"999","Postsynaptic","GAP43","Brain"
"1000","Postsynaptic","VCAN","Brain"
"1001","Postsynaptic","GNAI2","Brain"
"1002","Postsynaptic","PPIB","Brain"
"1003","Postsynaptic","UCHL1","Brain"
"1004","Postsynaptic","LIN7A","Brain"
"1005","Postsynaptic","PACSIN1","Brain"
"1006","Postsynaptic","DDX1","Brain"
"1007","Postsynaptic","ATP6V1C1","Brain"
"1008","Postsynaptic","GDAP1","Brain"
"1009","Postsynaptic","CYC1","Brain"
"1010","Postsynaptic","PDHA1","Brain"
"1011","Postsynaptic","NDUFA9","Brain"
"1012","Postsynaptic","NDUFA4","Brain"
"1013","Postsynaptic","ACTR3","Brain"
"1014","Postsynaptic","MYH14","Brain"
"1015","Postsynaptic","L1CAM","Brain"
"1016","Postsynaptic","PGAM1","Brain"
"1017","Postsynaptic","RPL4","Brain"
"1018","Postsynaptic","IDH3A","Brain"
"1019","Postsynaptic","PFKL","Brain"
"1020","Postsynaptic","TUBA4A","Brain"
"1021","Postsynaptic","SPTB","Brain"
"1022","Postsynaptic","ATP6V1H","Brain"
"1023","Postsynaptic","TKT","Brain"
"1024","Postsynaptic","CHCHD6","Brain"
"1025","Postsynaptic","EEF1G","Brain"
"1026","Postsynaptic","ATP2A2","Brain"
"1027","Postsynaptic","DLAT","Brain"
"1028","Postsynaptic","PPP1CB","Brain"
"1029","Postsynaptic","DSTN","Brain"
"1030","Postsynaptic","CYLD","Brain"
"1031","Postsynaptic","KRAS","Brain"
"1032","Postsynaptic","ACTR1A","Brain"
"1033","Postsynaptic","NCDN","Brain"
"1034","Postsynaptic","DNAJC6","Brain"
"1035","Postsynaptic","DPYSL4","Brain"
"1036","Postsynaptic","SLC4A4","Brain"
"1037","Postsynaptic","RAB10","Brain"
"1038","Postsynaptic","ACTB","Brain"
"1039","Postsynaptic","KCNAB2","Brain"
"1040","Postsynaptic","SORBS1","Brain"
"1041","Postsynaptic","SHISA7","Brain"
"1042","Postsynaptic","GSN","Brain"
"1043","Postsynaptic","BASP1","Brain"
"1044","Postsynaptic","PURB","Brain"
"1045","Postsynaptic","DNM2","Brain"
"1046","Postsynaptic","CORO1C","Brain"
"1047","Postsynaptic","UBA1","Brain"
"1048","Postsynaptic","SH3GL2","Brain"
"1049","Postsynaptic","PRKCA","Brain"
"1050","Postsynaptic","GRM3","Brain"
"1051","Postsynaptic","EPS15L1","Brain"
"1052","Postsynaptic","PRKCE","Brain"
"1053","Postsynaptic","PGAM5","Brain"
"1054","Postsynaptic","CTNND1","Brain"
"1055","Postsynaptic","PI4KA","Brain"
"1056","Postsynaptic","VAPA","Brain"
"1057","Postsynaptic","RPL6","Brain"
"1058","Postsynaptic","RPL10A","Brain"
"1059","Postsynaptic","MYO6","Brain"
"1060","Postsynaptic","LASP1","Brain"
"1061","Postsynaptic","SV2A","Brain"
"1062","Postsynaptic","OLFM1","Brain"
"1063","Postsynaptic","GDI1","Brain"
"1064","Postsynaptic","ENO1","Brain"
"1065","Postsynaptic","ACO2","Brain"
"1066","Postsynaptic","AP2S1","Brain"
"1067","Postsynaptic","RPL11","Brain"
"1068","Postsynaptic","PLPP3","Brain"
"1069","Postsynaptic","LANCL2","Brain"
"1070","Postsynaptic","LDHB","Brain"
"1071","Postsynaptic","RPL8","Brain"
"1072","Postsynaptic","PCBP2","Brain"
"1073","Postsynaptic","GPD2","Brain"
"1074","Postsynaptic","NTM","Brain"
"1075","Postsynaptic","HADHA","Brain"
"1076","Postsynaptic","GNB5","Brain"
"1077","Postsynaptic","RTN3","Brain"
"1078","Postsynaptic","CCT5","Brain"
"1079","Postsynaptic","NAPG","Brain"
"1080","Postsynaptic","GDAP1L1","Brain"
"1081","Postsynaptic","FLOT1","Brain"
"1082","Postsynaptic","ADD3","Brain"
"1083","Postsynaptic","GBAS","Brain"
"1084","Postsynaptic","RTN4","Brain"
"1085","Postsynaptic","CCT6A","Brain"
"1086","Postsynaptic","LANCL1","Brain"
"1087","Postsynaptic","PALM","Brain"
"1088","Postsynaptic","UQCRC1","Brain"
"1089","Postsynaptic","AMPH","Brain"
"1090","Postsynaptic","SYNGR3","Brain"
"1091","Postsynaptic","NDUFS2","Brain"
"1092","Postsynaptic","ATP2B2","Brain"
"1093","Postsynaptic","TUBB3","Brain"
"1094","Postsynaptic","PSD3","Brain"
"1095","Postsynaptic","SLC25A11","Brain"
"1096","Postsynaptic","GNAQ","Brain"
"1097","Postsynaptic","USP5","Brain"
"1098","Postsynaptic","PDHB","Brain"
