"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"NAP1L6P","NAP1L6P",NA,NA
"NAPA","NAPA",NA,NA
"NAPA-AS1","NAPA-AS1",NA,NA
"NAPB","NAPB",NA,NA
"NAPEPLD","NAPEPLD",NA,NA
"NAPG","NAPG",NA,NA
"NAPGP1","NAPGP1",NA,NA
"NAPRT","NAPRT",NA,NA
"NAPSA","NAPSA",NA,NA
"NAPSB","NAPSB",NA,NA
"NARF","NARF",NA,NA
"NARS1","NARS1",NA,NA
"NARS1P2","NARS1P2",NA,NA
"NARS2","NARS2",NA,NA
"NASP","NASP",NA,NA
"NAT1","NAT1",NA,NA
"NAT10","NAT10",NA,NA
"NAT14","NAT14",NA,NA
"NAT16","NAT16",NA,NA
"NAT2","NAT2",NA,NA
"NAT8","NAT8",NA,NA
"NAT8B","NAT8B",NA,NA
"NAT8L","NAT8L",NA,NA
"NAT9","NAT9",NA,NA
"NATD1","NATD1",NA,NA
"NAV1","NAV1",NA,NA
"NAV2","NAV2",NA,NA
"NAV2-AS2","NAV2-AS2",NA,NA
"NAV2-AS4","NAV2-AS4",NA,NA
"NAV2-AS5","NAV2-AS5",NA,NA
"NAV3","NAV3",NA,NA
"NAXD","NAXD",NA,NA
"NAXE","NAXE",NA,NA
"NBAS","NBAS",NA,NA
"NBDY","NBDY",NA,NA
"NBEA","NBEA",NA,NA
"NBEAL1","NBEAL1",NA,NA
"NBEAL2","NBEAL2",NA,NA
"NBEAP2","NBEAP2",NA,NA
"NBEAP4","NBEAP4",NA,NA
"NBEAP5","NBEAP5",NA,NA
"NBL1","NBL1",NA,NA
"NBN","NBN",NA,NA
"NBPF1","NBPF1",NA,NA
"NBPF10","NBPF10",NA,NA
"NBPF11","NBPF11",NA,NA
"NBPF12","NBPF12",NA,NA
"NBPF14","NBPF14",NA,NA
"NBPF15","NBPF15",NA,NA
"NBPF17P","NBPF17P",NA,NA
"NBPF19","NBPF19",NA,NA
"NBPF20","NBPF20",NA,NA
"NBPF21P","NBPF21P",NA,NA
"NBPF25P","NBPF25P",NA,NA
"NBPF26","NBPF26",NA,NA
"NBPF3","NBPF3",NA,NA
"NBPF4","NBPF4",NA,NA
"NBPF6","NBPF6",NA,NA
"NBPF7P","NBPF7P",NA,NA
"NBPF8","NBPF8",NA,NA
"NBPF9","NBPF9",NA,NA
"NBR1","NBR1",NA,NA
"NBR2","NBR2",NA,NA
"NCALD","NCALD",NA,NA
"NCAM1","NCAM1",NA,NA
"NCAM2","NCAM2",NA,NA
"NCAN","NCAN",NA,NA
"NCAPD2","NCAPD2",NA,NA
"NCAPD2P1","NCAPD2P1",NA,NA
"NCAPD3","NCAPD3",NA,NA
"NCAPG","NCAPG",NA,NA
"NCAPG2","NCAPG2",NA,NA
"NCAPGP2","NCAPGP2",NA,NA
"NCAPH","NCAPH",NA,NA
"NCAPH2","NCAPH2",NA,NA
"NCBP1","NCBP1",NA,NA
"NCBP2","NCBP2",NA,NA
"NCBP2-AS1","NCBP2-AS1",NA,NA
"NCBP2AS2","NCBP2AS2",NA,NA
"NCBP2L","NCBP2L",NA,NA
"NCBP3","NCBP3",NA,NA
"NCCRP1","NCCRP1",NA,NA
"NCDN","NCDN",NA,NA
"NCEH1","NCEH1",NA,NA
"NCF1","NCF1",NA,NA
"NCF1B","NCF1B",NA,NA
"NCF1C","NCF1C",NA,NA
"NCF2","NCF2",NA,NA
"NCF4","NCF4",NA,NA
"NCF4-AS1","NCF4-AS1",NA,NA
"NCK1","NCK1",NA,NA
"NCK2","NCK2",NA,NA
"NCKAP1","NCKAP1",NA,NA
"NCKAP1L","NCKAP1L",NA,NA
"NCKAP1P1","NCKAP1P1",NA,NA
"NCKAP5","NCKAP5",NA,NA
"NCKAP5-AS1","NCKAP5-AS1",NA,NA
"NCKAP5-AS2","NCKAP5-AS2",NA,NA
"NCKAP5L","NCKAP5L",NA,NA
"NCKIPSD","NCKIPSD",NA,NA
"NCL","NCL",NA,NA
"NCLN","NCLN",NA,NA
"NCMAP","NCMAP",NA,NA
"NCOA1","NCOA1",NA,NA
"NCOA2","NCOA2",NA,NA
"NCOA3","NCOA3",NA,NA
"NCOA4","NCOA4",NA,NA
"NCOA5","NCOA5",NA,NA
"NCOA6","NCOA6",NA,NA
"NCOA7","NCOA7",NA,NA
"NCOA7-AS1","NCOA7-AS1",NA,NA
"NCOR1","NCOR1",NA,NA
"NCOR1P1","NCOR1P1",NA,NA
"NCOR2","NCOR2",NA,NA
"NCR1","NCR1",NA,NA
"NCR2","NCR2",NA,NA
"NCR3","NCR3",NA,NA
"NCR3LG1","NCR3LG1",NA,NA
"NCRNA00250","NCRNA00250",NA,NA
"NCS1","NCS1",NA,NA
"NCSTN","NCSTN",NA,NA
"NCSTNP1","NCSTNP1",NA,NA
"ND1","ND1",NA,NA
"ND2","ND2",NA,NA
"ND3","ND3",NA,NA
"ND4","ND4",NA,NA
"ND4L","ND4L",NA,NA
"ND5","ND5",NA,NA
"ND6","ND6",NA,NA
"NDC1","NDC1",NA,NA
"NDC80","NDC80",NA,NA
"NDE1","NDE1",NA,NA
"NDE1P2","NDE1P2",NA,NA
"NDEL1","NDEL1",NA,NA
"NDFIP1","NDFIP1",NA,NA
"NDFIP2","NDFIP2",NA,NA
"NDFIP2-AS1","NDFIP2-AS1",NA,NA
"NDN","NDN",NA,NA
"NDNF","NDNF",NA,NA
"NDOR1","NDOR1",NA,NA
"NDP","NDP",NA,NA
"NDP-AS1","NDP-AS1",NA,NA
"NDRG1","NDRG1",NA,NA
"NDRG2","NDRG2",NA,NA
"NDRG3","NDRG3",NA,NA
"NDRG4","NDRG4",NA,NA
"NDST1","NDST1",NA,NA
"NDST1-AS1","NDST1-AS1",NA,NA
"NDST2","NDST2",NA,NA
"NDST3","NDST3",NA,NA
"NDST4","NDST4",NA,NA
"NDUFA1","NDUFA1",NA,NA
"NDUFA10","NDUFA10",NA,NA
"NDUFA11","NDUFA11",NA,NA
"NDUFA12","NDUFA12",NA,NA
"NDUFA12P1","NDUFA12P1",NA,NA
"NDUFA13","NDUFA13",NA,NA
"NDUFA2","NDUFA2",NA,NA
"NDUFA3","NDUFA3",NA,NA
"NDUFA3P2","NDUFA3P2",NA,NA
"NDUFA3P4","NDUFA3P4",NA,NA
"NDUFA3P6","NDUFA3P6",NA,NA
"NDUFA4","NDUFA4",NA,NA
"NDUFA4L2","NDUFA4L2",NA,NA
"NDUFA5","NDUFA5",NA,NA
"NDUFA5P3","NDUFA5P3",NA,NA
"NDUFA5P7","NDUFA5P7",NA,NA
"NDUFA6","NDUFA6",NA,NA
"NDUFA6-DT","NDUFA6-DT",NA,NA
"NDUFA7","NDUFA7",NA,NA
"NDUFA8","NDUFA8",NA,NA
"NDUFA8P1","NDUFA8P1",NA,NA
"NDUFA9","NDUFA9",NA,NA
"NDUFA9P1","NDUFA9P1",NA,NA
"NDUFAB1","NDUFAB1",NA,NA
"NDUFAB1P1","NDUFAB1P1",NA,NA
"NDUFAF1","NDUFAF1",NA,NA
"NDUFAF2","NDUFAF2",NA,NA
"NDUFAF2P1","NDUFAF2P1",NA,NA
"NDUFAF3","NDUFAF3",NA,NA
"NDUFAF4","NDUFAF4",NA,NA
"NDUFAF5","NDUFAF5",NA,NA
"NDUFAF6","NDUFAF6",NA,NA
"NDUFAF7","NDUFAF7",NA,NA
"NDUFAF8","NDUFAF8",NA,NA
"NDUFB1","NDUFB1",NA,NA
"NDUFB10","NDUFB10",NA,NA
"NDUFB10P2","NDUFB10P2",NA,NA
"NDUFB11","NDUFB11",NA,NA
"NDUFB11P1","NDUFB11P1",NA,NA
"NDUFB1P2","NDUFB1P2",NA,NA
"NDUFB2","NDUFB2",NA,NA
"NDUFB2-AS1","NDUFB2-AS1",NA,NA
"NDUFB2P1","NDUFB2P1",NA,NA
"NDUFB3","NDUFB3",NA,NA
"NDUFB4","NDUFB4",NA,NA
"NDUFB4P1","NDUFB4P1",NA,NA
"NDUFB4P10","NDUFB4P10",NA,NA
"NDUFB4P11","NDUFB4P11",NA,NA
"NDUFB4P12","NDUFB4P12",NA,NA
"NDUFB4P2","NDUFB4P2",NA,NA
"NDUFB4P3","NDUFB4P3",NA,NA
"NDUFB4P5","NDUFB4P5",NA,NA
"NDUFB4P6","NDUFB4P6",NA,NA
"NDUFB4P7","NDUFB4P7",NA,NA
"NDUFB4P8","NDUFB4P8",NA,NA
"NDUFB4P9","NDUFB4P9",NA,NA
"NDUFB5","NDUFB5",NA,NA
"NDUFB5P1","NDUFB5P1",NA,NA
"NDUFB5P2","NDUFB5P2",NA,NA
"NDUFB6","NDUFB6",NA,NA
"NDUFB7","NDUFB7",NA,NA
"NDUFB8","NDUFB8",NA,NA
"NDUFB8P1","NDUFB8P1",NA,NA
"NDUFB8P2","NDUFB8P2",NA,NA
"NDUFB9","NDUFB9",NA,NA
"NDUFB9P3","NDUFB9P3",NA,NA
"NDUFC1","NDUFC1",NA,NA
"NDUFC2","NDUFC2",NA,NA
"NDUFC2-KCTD14","NDUFC2-KCTD14",NA,NA
"NDUFS1","NDUFS1",NA,NA
"NDUFS2","NDUFS2",NA,NA
"NDUFS3","NDUFS3",NA,NA
"NDUFS4","NDUFS4",NA,NA
"NDUFS5","NDUFS5",NA,NA
"NDUFS5P1","NDUFS5P1",NA,NA
"NDUFS5P2","NDUFS5P2",NA,NA
"NDUFS5P6","NDUFS5P6",NA,NA
"NDUFS6","NDUFS6",NA,NA
"NDUFS6P1","NDUFS6P1",NA,NA
"NDUFS7","NDUFS7",NA,NA
"NDUFS8","NDUFS8",NA,NA
"NDUFV1","NDUFV1",NA,NA
"NDUFV1-DT","NDUFV1-DT",NA,NA
"NDUFV2","NDUFV2",NA,NA
"NDUFV2-AS1","NDUFV2-AS1",NA,NA
"NDUFV3","NDUFV3",NA,NA
"NEAT1","NEAT1",NA,NA
"NEB","NEB",NA,NA
"NEBL","NEBL",NA,NA
"NEBL-AS1","NEBL-AS1",NA,NA
"NECAB1","NECAB1",NA,NA
"NECAB2","NECAB2",NA,NA
"NECAB3","NECAB3",NA,NA
"NECAP1","NECAP1",NA,NA
"NECAP1P2","NECAP1P2",NA,NA
"NECAP2","NECAP2",NA,NA
"NECTIN1","NECTIN1",NA,NA
"NECTIN1-DT","NECTIN1-DT",NA,NA
"NECTIN2","NECTIN2",NA,NA
"NECTIN3","NECTIN3",NA,NA
"NECTIN4","NECTIN4",NA,NA
"NEDD1","NEDD1",NA,NA
"NEDD4","NEDD4",NA,NA
"NEDD4L","NEDD4L",NA,NA
"NEDD8","NEDD8",NA,NA
"NEDD8-MDP1","NEDD8-MDP1",NA,NA
"NEDD9","NEDD9",NA,NA
"NEFH","NEFH",NA,NA
"NEFHP1","NEFHP1",NA,NA
"NEFL","NEFL",NA,NA
"NEFM","NEFM",NA,NA
"NEFMP1","NEFMP1",NA,NA
"NEGR1","NEGR1",NA,NA
"NEGR1-IT1","NEGR1-IT1",NA,NA
"NEIL1","NEIL1",NA,NA
"NEIL2","NEIL2",NA,NA
"NEIL3","NEIL3",NA,NA
"NEK1","NEK1",NA,NA
"NEK10","NEK10",NA,NA
"NEK11","NEK11",NA,NA
"NEK2","NEK2",NA,NA
"NEK3","NEK3",NA,NA
"NEK4","NEK4",NA,NA
"NEK4P1","NEK4P1",NA,NA
"NEK4P2","NEK4P2",NA,NA
"NEK5","NEK5",NA,NA
"NEK6","NEK6",NA,NA
"NEK7","NEK7",NA,NA
"NEK8","NEK8",NA,NA
"NEK9","NEK9",NA,NA
"NELFA","NELFA",NA,NA
"NELFB","NELFB",NA,NA
"NELFCD","NELFCD",NA,NA
"NELFE","NELFE",NA,NA
"NELL1","NELL1",NA,NA
"NELL2","NELL2",NA,NA
"NEMF","NEMF",NA,NA
"NEMP1","NEMP1",NA,NA
"NEMP2","NEMP2",NA,NA
"NEMP2-DT","NEMP2-DT",NA,NA
"NENF","NENF",NA,NA
"NENFP1","NENFP1",NA,NA
"NENFP3","NENFP3",NA,NA
"NEO1","NEO1",NA,NA
"NEPRO","NEPRO",NA,NA
"NEPRO-AS1","NEPRO-AS1",NA,NA
"NES","NES",NA,NA
"NET1","NET1",NA,NA
"NETO1","NETO1",NA,NA
"NETO1-DT","NETO1-DT",NA,NA
"NETO2","NETO2",NA,NA
"NEU1","NEU1",NA,NA
"NEU2","NEU2",NA,NA
"NEU3","NEU3",NA,NA
"NEU4","NEU4",NA,NA
"NEURL1","NEURL1",NA,NA
"NEURL1-AS1","NEURL1-AS1",NA,NA
"NEURL1B","NEURL1B",NA,NA
"NEURL2","NEURL2",NA,NA
"NEURL3","NEURL3",NA,NA
"NEURL4","NEURL4",NA,NA
"NEUROD1","NEUROD1",NA,NA
"NEUROD2","NEUROD2",NA,NA
"NEUROD4","NEUROD4",NA,NA
"NEUROD6","NEUROD6",NA,NA
"NEUROG1","NEUROG1",NA,NA
"NEUROG2","NEUROG2",NA,NA
"NEUROG3","NEUROG3",NA,NA
"NEXMIF","NEXMIF",NA,NA
"NEXN","NEXN",NA,NA
"NEXN-AS1","NEXN-AS1",NA,NA
"NF1","NF1",NA,NA
"NF1P1","NF1P1",NA,NA
"NF1P12","NF1P12",NA,NA
"NF1P2","NF1P2",NA,NA
"NF1P8","NF1P8",NA,NA
"NF2","NF2",NA,NA
"NFAM1","NFAM1",NA,NA
"NFASC","NFASC",NA,NA
"NFAT5","NFAT5",NA,NA
"NFATC1","NFATC1",NA,NA
"NFATC2","NFATC2",NA,NA
"NFATC2IP","NFATC2IP",NA,NA
"NFATC3","NFATC3",NA,NA
"NFATC4","NFATC4",NA,NA
"NFE2","NFE2",NA,NA
"NFE2L1","NFE2L1",NA,NA
"NFE2L1-DT","NFE2L1-DT",NA,NA
"NFE2L2","NFE2L2",NA,NA
"NFE2L3","NFE2L3",NA,NA
"NFE4","NFE4",NA,NA
"NFIA","NFIA",NA,NA
"NFIA-AS1","NFIA-AS1",NA,NA
"NFIA-AS2","NFIA-AS2",NA,NA
"NFIB","NFIB",NA,NA
"NFIC","NFIC",NA,NA
"NFIL3","NFIL3",NA,NA
"NFILZ","NFILZ",NA,NA
"NFIX","NFIX",NA,NA
"NFKB1","NFKB1",NA,NA
"NFKB2","NFKB2",NA,NA
"NFKBIA","NFKBIA",NA,NA
"NFKBIB","NFKBIB",NA,NA
"NFKBID","NFKBID",NA,NA
"NFKBIE","NFKBIE",NA,NA
"NFKBIL1","NFKBIL1",NA,NA
"NFKBIZ","NFKBIZ",NA,NA
"NFRKB","NFRKB",NA,NA
"NFS1","NFS1",NA,NA
"NFU1","NFU1",NA,NA
"NFX1","NFX1",NA,NA
"NFXL1","NFXL1",NA,NA
"NFYA","NFYA",NA,NA
"NFYB","NFYB",NA,NA
"NFYC","NFYC",NA,NA
"NGB","NGB",NA,NA
"NGDN","NGDN",NA,NA
"NGEF","NGEF",NA,NA
"NGF","NGF",NA,NA
"NGF-AS1","NGF-AS1",NA,NA
"NGFR","NGFR",NA,NA
"NGFR-AS1","NGFR-AS1",NA,NA
"NGLY1","NGLY1",NA,NA
"NGRN","NGRN",NA,NA
"NHEG1","NHEG1",NA,NA
"NHEJ1","NHEJ1",NA,NA
"NHLH1","NHLH1",NA,NA
"NHLH2","NHLH2",NA,NA
"NHLRC1","NHLRC1",NA,NA
"NHLRC2","NHLRC2",NA,NA
"NHLRC3","NHLRC3",NA,NA
"NHLRC4","NHLRC4",NA,NA
"NHP2","NHP2",NA,NA
"NHS","NHS",NA,NA
"NHS-AS1","NHS-AS1",NA,NA
"NHSL1","NHSL1",NA,NA
"NHSL2","NHSL2",NA,NA
"NIBAN1","NIBAN1",NA,NA
"NIBAN2","NIBAN2",NA,NA
"NIBAN3","NIBAN3",NA,NA
"NICN1","NICN1",NA,NA
"NID1","NID1",NA,NA
"NID2","NID2",NA,NA
"NIF3L1","NIF3L1",NA,NA
"NIFK","NIFK",NA,NA
"NIFK-AS1","NIFK-AS1",NA,NA
"NIFKP1","NIFKP1",NA,NA
"NIFKP2","NIFKP2",NA,NA
"NIFKP3","NIFKP3",NA,NA
"NIFKP7","NIFKP7",NA,NA
"NIFKP8","NIFKP8",NA,NA
"NIFKP9","NIFKP9",NA,NA
"NIM1K","NIM1K",NA,NA
"NIN","NIN",NA,NA
"NINJ1","NINJ1",NA,NA
"NINJ2","NINJ2",NA,NA
"NINJ2-AS1","NINJ2-AS1",NA,NA
"NINL","NINL",NA,NA
"NIP7","NIP7",NA,NA
"NIPA1","NIPA1",NA,NA
"NIPA2","NIPA2",NA,NA
"NIPA2P1","NIPA2P1",NA,NA
"NIPAL1","NIPAL1",NA,NA
"NIPAL2","NIPAL2",NA,NA
"NIPAL3","NIPAL3",NA,NA
"NIPAL4","NIPAL4",NA,NA
"NIPBL","NIPBL",NA,NA
"NIPSNAP1","NIPSNAP1",NA,NA
"NIPSNAP2","NIPSNAP2",NA,NA
"NIPSNAP3A","NIPSNAP3A",NA,NA
"NIPSNAP3B","NIPSNAP3B",NA,NA
"NISCH","NISCH",NA,NA
"NIT1","NIT1",NA,NA
"NIT2","NIT2",NA,NA
"NKAIN1","NKAIN1",NA,NA
"NKAIN2","NKAIN2",NA,NA
"NKAIN3","NKAIN3",NA,NA
"NKAIN4","NKAIN4",NA,NA
"NKAP","NKAP",NA,NA
"NKAPD1","NKAPD1",NA,NA
"NKAPL","NKAPL",NA,NA
"NKAPP1","NKAPP1",NA,NA
"NKD1","NKD1",NA,NA
"NKD2","NKD2",NA,NA
"NKG7","NKG7",NA,NA
"NKILA","NKILA",NA,NA
"NKIRAS1","NKIRAS1",NA,NA
"NKIRAS2","NKIRAS2",NA,NA
"NKPD1","NKPD1",NA,NA
"NKRF","NKRF",NA,NA
"NKTR","NKTR",NA,NA
"NKX1-1","NKX1-1",NA,NA
"NKX1-2","NKX1-2",NA,NA
"NKX2-1","NKX2-1",NA,NA
"NKX2-1-AS1","NKX2-1-AS1",NA,NA
"NKX2-2","NKX2-2",NA,NA
"NKX2-3","NKX2-3",NA,NA
"NKX2-4","NKX2-4",NA,NA
"NKX2-5","NKX2-5",NA,NA
"NKX2-6","NKX2-6",NA,NA
"NKX2-8","NKX2-8",NA,NA
"NKX3-1","NKX3-1",NA,NA
"NKX3-2","NKX3-2",NA,NA
"NKX6-1","NKX6-1",NA,NA
"NKX6-2","NKX6-2",NA,NA
"NKX6-3","NKX6-3",NA,NA
"NLE1","NLE1",NA,NA
"NLGN1","NLGN1",NA,NA
"NLGN1-AS1","NLGN1-AS1",NA,NA
"NLGN2","NLGN2",NA,NA
"NLGN3","NLGN3",NA,NA
"NLGN4X","NLGN4X",NA,NA
"NLGN4Y","NLGN4Y",NA,NA
"NLGN4Y-AS1","NLGN4Y-AS1",NA,NA
"NLK","NLK",NA,NA
"NLN","NLN",NA,NA
"NLRC3","NLRC3",NA,NA
"NLRC4","NLRC4",NA,NA
"NLRC5","NLRC5",NA,NA
"NLRP1","NLRP1",NA,NA
"NLRP10","NLRP10",NA,NA
"NLRP11","NLRP11",NA,NA
"NLRP12","NLRP12",NA,NA
"NLRP13","NLRP13",NA,NA
"NLRP14","NLRP14",NA,NA
"NLRP2","NLRP2",NA,NA
"NLRP2B","NLRP2B",NA,NA
"NLRP3","NLRP3",NA,NA
"NLRP4","NLRP4",NA,NA
"NLRP5","NLRP5",NA,NA
"NLRP6","NLRP6",NA,NA
"NLRP7","NLRP7",-0.570832261235161,0.0439448597992627
"NLRP8","NLRP8",NA,NA
"NLRP9","NLRP9",NA,NA
"NLRX1","NLRX1",NA,NA
"NMB","NMB",NA,NA
"NMBR","NMBR",NA,NA
"NMD3","NMD3",NA,NA
"NME1","NME1",NA,NA
"NME1-NME2","NME1-NME2",NA,NA
"NME1P1","NME1P1",NA,NA
"NME2","NME2",NA,NA
"NME2P2","NME2P2",NA,NA
"NME3","NME3",NA,NA
"NME4","NME4",NA,NA
"NME5","NME5",NA,NA
"NME6","NME6",NA,NA
"NME7","NME7",NA,NA
"NME8","NME8",NA,NA
"NME9","NME9",NA,NA
"NMI","NMI",NA,NA
"NMNAT1","NMNAT1",NA,NA
"NMNAT2","NMNAT2",NA,NA
"NMNAT3","NMNAT3",NA,NA
"NMRAL1","NMRAL1",NA,NA
"NMRAL2P","NMRAL2P",NA,NA
"NMRK1","NMRK1",NA,NA
"NMRK2","NMRK2",NA,NA
"NMS","NMS",NA,NA
"NMT1","NMT1",NA,NA
"NMT2","NMT2",NA,NA
"NMTRQ-TTG12-1","NMTRQ-TTG12-1",NA,NA
"NMTRS-TGA3-1","NMTRS-TGA3-1",NA,NA
"NMU","NMU",NA,NA
"NMUR1","NMUR1",NA,NA
"NMUR2","NMUR2",NA,NA
"NNAT","NNAT",NA,NA
"NNMT","NNMT",NA,NA
"NNT","NNT",NA,NA
"NOA1","NOA1",NA,NA
"NOB1","NOB1",NA,NA
"NOBOX","NOBOX",NA,NA
"NOC2L","NOC2L",NA,NA
"NOC2LP1","NOC2LP1",NA,NA
"NOC3L","NOC3L",NA,NA
"NOC4L","NOC4L",NA,NA
"NOCT","NOCT",NA,NA
"NOD1","NOD1",NA,NA
"NOD2","NOD2",NA,NA
"NODAL","NODAL",NA,NA
"NOG","NOG",NA,NA
"NOL10","NOL10",NA,NA
"NOL11","NOL11",NA,NA
"NOL12","NOL12",NA,NA
"NOL3","NOL3",NA,NA
"NOL4","NOL4",NA,NA
"NOL4L","NOL4L",NA,NA
"NOL4L-DT","NOL4L-DT",NA,NA
"NOL6","NOL6",NA,NA
"NOL7","NOL7",NA,NA
"NOL8","NOL8",NA,NA
"NOL8P1","NOL8P1",NA,NA
"NOL9","NOL9",NA,NA
"NOLC1","NOLC1",NA,NA
"NOLC1P1","NOLC1P1",NA,NA
"NOM1","NOM1",NA,NA
"NOMO1","NOMO1",NA,NA
"NOMO2","NOMO2",NA,NA
"NOMO3","NOMO3",NA,NA
"NONO","NONO",NA,NA
"NOP10","NOP10",NA,NA
"NOP14","NOP14",NA,NA
"NOP16","NOP16",NA,NA
"NOP2","NOP2",NA,NA
"NOP53","NOP53",NA,NA
"NOP53-AS1","NOP53-AS1",NA,NA
"NOP56","NOP56",NA,NA
"NOP56P2","NOP56P2",NA,NA
"NOP58","NOP58",NA,NA
"NOP9","NOP9",NA,NA
"NOPCHAP1","NOPCHAP1",NA,NA
"NORAD","NORAD",NA,NA
"NOS1","NOS1",NA,NA
"NOS1AP","NOS1AP",NA,NA
"NOS2","NOS2",NA,NA
"NOS2P3","NOS2P3",NA,NA
"NOS2P4","NOS2P4",NA,NA
"NOS3","NOS3",NA,NA
"NOSIP","NOSIP",NA,NA
"NOSTRIN","NOSTRIN",NA,NA
"NOTCH1","NOTCH1",NA,NA
"NOTCH2","NOTCH2",NA,NA
"NOTCH2NLA","NOTCH2NLA",NA,NA
"NOTCH2P1","NOTCH2P1",NA,NA
"NOTCH3","NOTCH3",NA,NA
"NOTCH4","NOTCH4",NA,NA
"NOTO","NOTO",NA,NA
"NOTUM","NOTUM",NA,NA
"NOVA1","NOVA1",NA,NA
"NOVA1-DT","NOVA1-DT",NA,NA
"NOVA2","NOVA2",NA,NA
"NOX1","NOX1",NA,NA
"NOX3","NOX3",NA,NA
"NOX4","NOX4",NA,NA
"NOX5","NOX5",NA,NA
"NOXA1","NOXA1",NA,NA
"NOXO1","NOXO1",NA,NA
"NOXRED1","NOXRED1",NA,NA
"NPAP1","NPAP1",NA,NA
"NPAP1P4","NPAP1P4",NA,NA
"NPAP1P6","NPAP1P6",NA,NA
"NPAS1","NPAS1",NA,NA
"NPAS2","NPAS2",NA,NA
"NPAS3","NPAS3",NA,NA
"NPAS4","NPAS4",NA,NA
"NPAT","NPAT",NA,NA
"NPB","NPB",NA,NA
"NPBWR2","NPBWR2",NA,NA
"NPC1","NPC1",NA,NA
"NPC1L1","NPC1L1",NA,NA
"NPC2","NPC2",NA,NA
"NPDC1","NPDC1",NA,NA
"NPEPL1","NPEPL1",NA,NA
"NPEPPS","NPEPPS",NA,NA
"NPEPPSP1","NPEPPSP1",NA,NA
"NPFF","NPFF",NA,NA
"NPFFR1","NPFFR1",NA,NA
"NPFFR2","NPFFR2",NA,NA
"NPHP1","NPHP1",NA,NA
"NPHP3","NPHP3",NA,NA
"NPHP3-ACAD11","NPHP3-ACAD11",NA,NA
"NPHP3-AS1","NPHP3-AS1",NA,NA
"NPHP4","NPHP4",NA,NA
"NPHS1","NPHS1",NA,NA
"NPHS2","NPHS2",NA,NA
"NPIPA1","NPIPA1",NA,NA
"NPIPA2","NPIPA2",NA,NA
"NPIPA3","NPIPA3",NA,NA
"NPIPA5","NPIPA5",NA,NA
"NPIPA7","NPIPA7",NA,NA
"NPIPA8","NPIPA8",NA,NA
"NPIPB11","NPIPB11",NA,NA
"NPIPB12","NPIPB12",NA,NA
"NPIPB13","NPIPB13",NA,NA
"NPIPB14P","NPIPB14P",NA,NA
"NPIPB15","NPIPB15",NA,NA
"NPIPB2","NPIPB2",NA,NA
"NPIPB3","NPIPB3",NA,NA
"NPIPB4","NPIPB4",NA,NA
"NPIPB5","NPIPB5",NA,NA
"NPIPB6","NPIPB6",NA,NA
"NPIPB8","NPIPB8",NA,NA
"NPIPB9","NPIPB9",NA,NA
"NPIPP1","NPIPP1",NA,NA
"NPL","NPL",NA,NA
"NPLOC4","NPLOC4",NA,NA
"NPM1","NPM1",NA,NA
"NPM1P17","NPM1P17",NA,NA
"NPM1P23","NPM1P23",NA,NA
"NPM1P25","NPM1P25",NA,NA
"NPM1P30","NPM1P30",NA,NA
"NPM1P36","NPM1P36",NA,NA
"NPM1P38","NPM1P38",NA,NA
"NPM1P39","NPM1P39",NA,NA
"NPM1P40","NPM1P40",NA,NA
"NPM1P48","NPM1P48",NA,NA
"NPM1P49","NPM1P49",NA,NA
"NPM1P50","NPM1P50",NA,NA
"NPM1P52","NPM1P52",NA,NA
"NPM2","NPM2",NA,NA
"NPM3","NPM3",NA,NA
"NPNT","NPNT",NA,NA
"NPPA","NPPA",NA,NA
"NPPB","NPPB",NA,NA
"NPPC","NPPC",NA,NA
"NPR1","NPR1",NA,NA
"NPR2","NPR2",NA,NA
"NPR3","NPR3",NA,NA
"NPRL2","NPRL2",NA,NA
"NPRL3","NPRL3",NA,NA
"NPS","NPS",NA,NA
"NPSR1","NPSR1",NA,NA
"NPSR1-AS1","NPSR1-AS1",NA,NA
"NPTN","NPTN",NA,NA
"NPTN-IT1","NPTN-IT1",NA,NA
"NPTX1","NPTX1",NA,NA
"NPTX2","NPTX2",NA,NA
"NPTXR","NPTXR",NA,NA
"NPVF","NPVF",NA,NA
"NPW","NPW",NA,NA
"NPY","NPY",NA,NA
"NPY1R","NPY1R",NA,NA
"NPY2R","NPY2R",NA,NA
"NPY2R-AS1","NPY2R-AS1",NA,NA
"NPY4R","NPY4R",NA,NA
"NPY4R2","NPY4R2",NA,NA
"NPY5R","NPY5R",NA,NA
"NPY6R","NPY6R",NA,NA
"NQO1","NQO1",NA,NA
"NQO2","NQO2",NA,NA
"NR0B1","NR0B1",NA,NA
"NR0B2","NR0B2",NA,NA
"NR1D1","NR1D1",NA,NA
"NR1D2","NR1D2",NA,NA
"NR1H2","NR1H2",NA,NA
"NR1H3","NR1H3",NA,NA
"NR1H4","NR1H4",NA,NA
"NR1H5P","NR1H5P",NA,NA
"NR1I2","NR1I2",NA,NA
"NR1I3","NR1I3",NA,NA
"NR2C1","NR2C1",NA,NA
"NR2C2","NR2C2",NA,NA
"NR2C2AP","NR2C2AP",NA,NA
"NR2E1","NR2E1",NA,NA
"NR2E3","NR2E3",NA,NA
"NR2F1","NR2F1",NA,NA
"NR2F1-AS1","NR2F1-AS1",NA,NA
"NR2F2","NR2F2",NA,NA
"NR2F2-AS1","NR2F2-AS1",NA,NA
