"","Gene_name","LFC_HA_AA","FDR_HA_AA"
"ACTR6P1","ACTR6P1",NA,NA
"ACTR8","ACTR8",NA,NA
"ACTRT1","ACTRT1",NA,NA
"ACTRT2","ACTRT2",NA,NA
"ACTRT3","ACTRT3",NA,NA
"ACVR1","ACVR1",NA,NA
"ACVR1B","ACVR1B",NA,NA
"ACVR1C","ACVR1C",NA,NA
"ACVR2A","ACVR2A",NA,NA
"ACVR2B","ACVR2B",NA,NA
"ACVR2B-AS1","ACVR2B-AS1",NA,NA
"ACVRL1","ACVRL1",NA,NA
"ACY1","ACY1",NA,NA
"ACY3","ACY3",NA,NA
"ACYP1","ACYP1",NA,NA
"ACYP2","ACYP2",NA,NA
"ADA","ADA",NA,NA
"ADA2","ADA2",NA,NA
"ADAD1","ADAD1",NA,NA
"ADAD1P2","ADAD1P2",NA,NA
"ADAD2","ADAD2",NA,NA
"ADAL","ADAL",NA,NA
"ADAM10","ADAM10",NA,NA
"ADAM11","ADAM11",NA,NA
"ADAM12","ADAM12",NA,NA
"ADAM15","ADAM15",NA,NA
"ADAM17","ADAM17",NA,NA
"ADAM18","ADAM18",NA,NA
"ADAM19","ADAM19",NA,NA
"ADAM1B","ADAM1B",NA,NA
"ADAM2","ADAM2",NA,NA
"ADAM20","ADAM20",NA,NA
"ADAM20P1","ADAM20P1",NA,NA
"ADAM20P3","ADAM20P3",NA,NA
"ADAM21","ADAM21",NA,NA
"ADAM21P1","ADAM21P1",NA,NA
"ADAM22","ADAM22",NA,NA
"ADAM23","ADAM23",NA,NA
"ADAM24P","ADAM24P",NA,NA
"ADAM28","ADAM28",NA,NA
"ADAM29","ADAM29",NA,NA
"ADAM30","ADAM30",NA,NA
"ADAM32","ADAM32",NA,NA
"ADAM33","ADAM33",NA,NA
"ADAM3A","ADAM3A",NA,NA
"ADAM3B","ADAM3B",NA,NA
"ADAM5","ADAM5",NA,NA
"ADAM6","ADAM6",NA,NA
"ADAM7","ADAM7",NA,NA
"ADAM8","ADAM8",NA,NA
"ADAM9","ADAM9",NA,NA
"ADAMDEC1","ADAMDEC1",NA,NA
"ADAMTS1","ADAMTS1",NA,NA
"ADAMTS10","ADAMTS10",NA,NA
"ADAMTS12","ADAMTS12",NA,NA
"ADAMTS13","ADAMTS13",NA,NA
"ADAMTS14","ADAMTS14",NA,NA
"ADAMTS15","ADAMTS15",NA,NA
"ADAMTS16","ADAMTS16",NA,NA
"ADAMTS16-DT","ADAMTS16-DT",NA,NA
"ADAMTS17","ADAMTS17",NA,NA
"ADAMTS18","ADAMTS18",NA,NA
"ADAMTS19","ADAMTS19",NA,NA
"ADAMTS19-AS1","ADAMTS19-AS1",NA,NA
"ADAMTS2","ADAMTS2",-0.917152684891969,0.0473237819454985
"ADAMTS20","ADAMTS20",NA,NA
"ADAMTS3","ADAMTS3",NA,NA
"ADAMTS4","ADAMTS4",NA,NA
"ADAMTS5","ADAMTS5",NA,NA
"ADAMTS6","ADAMTS6",NA,NA
"ADAMTS7","ADAMTS7",NA,NA
"ADAMTS7P1","ADAMTS7P1",NA,NA
"ADAMTS7P3","ADAMTS7P3",NA,NA
"ADAMTS7P4","ADAMTS7P4",NA,NA
"ADAMTS8","ADAMTS8",NA,NA
"ADAMTS9","ADAMTS9",NA,NA
"ADAMTS9-AS1","ADAMTS9-AS1",NA,NA
"ADAMTS9-AS2","ADAMTS9-AS2",NA,NA
"ADAMTSL1","ADAMTSL1",NA,NA
"ADAMTSL2","ADAMTSL2",NA,NA
"ADAMTSL3","ADAMTSL3",NA,NA
"ADAMTSL4","ADAMTSL4",NA,NA
"ADAMTSL5","ADAMTSL5",NA,NA
"ADAP1","ADAP1",NA,NA
"ADAP2","ADAP2",NA,NA
"ADAR","ADAR",NA,NA
"ADARB1","ADARB1",NA,NA
"ADARB2","ADARB2",NA,NA
"ADARB2-AS1","ADARB2-AS1",NA,NA
"ADAT1","ADAT1",NA,NA
"ADAT2","ADAT2",NA,NA
"ADAT3","ADAT3",NA,NA
"ADCK1","ADCK1",NA,NA
"ADCK2","ADCK2",NA,NA
"ADCK5","ADCK5",NA,NA
"ADCY1","ADCY1",NA,NA
"ADCY10","ADCY10",NA,NA
"ADCY10P1","ADCY10P1",NA,NA
"ADCY2","ADCY2",NA,NA
"ADCY3","ADCY3",NA,NA
"ADCY4","ADCY4",NA,NA
"ADCY5","ADCY5",NA,NA
"ADCY6","ADCY6",NA,NA
"ADCY6-DT","ADCY6-DT",NA,NA
"ADCY7","ADCY7",NA,NA
"ADCY8","ADCY8",NA,NA
"ADCY9","ADCY9",NA,NA
"ADCYAP1","ADCYAP1",NA,NA
"ADCYAP1R1","ADCYAP1R1",NA,NA
