"","log2FoldChange","pvalue"
"MANEA",-0.130578606805181,0.000395787218337648
"HPF1",-0.0846603134782495,0.000405934077827015
"CCDC93",0.0553162675679042,0.000408984806869473
"IER3IP1",-0.10551551440306,0.000407415599712142
"GPR34",-0.258944973128552,0.000403855915842526
"CLN5",-0.100472829035966,0.000413697115085619
"SSR1",-0.0757634601980124,0.000428399241868515
"IFI44L",0.256999857624364,0.000424122978269073
"ABHD10",-0.0783800261166052,0.000421205069009406
"VMA21",-0.100388250876624,0.000428375937621305
"RBBP4",-0.0536799602456699,0.000420681777565855
"C4orf3",-0.0740624867951252,0.000423170634135045
"DXO",0.0837577090053497,0.000439460644099986
"TMEM106B",-0.147121390537268,0.000443415174434506
"GAR1",-0.108470140819385,0.00045448486972678
"CNOT8",-0.053537135977832,0.000451202889349212
"RBM27",0.365729800389716,0.000452194335815935
"GBF1",0.0713591459269807,0.000475940595177087
"UBA1",0.0544141316875079,0.000472771661605185
"PLCB2",0.0771191699457873,0.000466635123592969
"MINK1",0.0744089158398975,0.00047488686345237
"SREK1IP1",-0.0900465637244014,0.000475408884174444
"CAMLG",-0.0657942291896783,0.000477204062084114
"ZNF592",0.0625377253363659,0.000475938961231616
"SNRNP48",-0.0661151658367786,0.000483314035880884
"CIITA",0.110624883417663,0.000486995170377243
"POLR2A",0.0748688629374614,0.000487176971369222
"SEC62",-0.0872558193581831,0.000501474076845927
"MAP3K13",-0.0750807915304105,0.0004961284710395
"KMT5C",0.126134944657739,0.000502711964484964
"VPS39",0.0503934141249035,0.000497953676767562
"NUDT21",-0.0674860051841716,0.000494614065845086
"IGLC3",-0.300736863170431,0.000506925773015104
"MPC1",-0.0824077590841584,0.000510235567226865
"RBM14-RBM4",0.164369459436018,0.000514315579714432
"ZZEF1",0.0616132173459426,0.000522577890393737
"NEURL1",0.150783373877345,0.000524586787599665
"MPLKIP",-0.112586428389415,0.000521201547683649
"CCNC",-0.0877132184231718,0.00052856214340488
"GTPBP8",-0.0679613778476555,0.00053619195535088
"METAP2",-0.0480289030246088,0.000541569821932804
"ETNK1",-0.150166764847221,0.000544903356033959
"PPP1CC",-0.0632398402389639,0.000551574967680631
"SPCS1",-0.0789519462870854,0.000559530376580283
"PTEN",-0.076920055100774,0.000560226612012889
"LYRM4",-0.0832370345091276,0.000557387301830825
"DOCK10",0.0654575059973544,0.000569970976540071
"PAXIP1",0.0506824127551472,0.000569202608861711
"ZNF79",0.0825646299721027,0.000577743243339592
"PURA",-0.0882045970425768,0.000583866668257049
"PABIR1",-0.0823918939872306,0.000591294554873851
"APIP",-0.0841366870345758,0.000597248129816494
"HDHD2",-0.0678155914119336,0.000595906148463839
"FAM200A",-0.12320800626506,0.000610201112721223
"PYM1",-0.0676883899122378,0.000618615654546208
"ARPC5",-0.0989733692342296,0.000638088150698052
"EIF3J-DT",-0.0699918566811649,0.000639253644281567
"BRD2",0.0728617146336194,0.000634619558248549
"SNHG21",-0.0909537893198575,0.000637074941614088
"KNDC1",0.24190027029152,0.000654552109437791
"PIEZO1",0.0867601299412182,0.000662004413045698
"SYT17",0.162337288571154,0.000661146941755258
"LINC01184",-0.0694055542769503,0.000668257021858521
"PTGES3",-0.0825751563700091,0.000678861253971265
"DMWD",0.0921491715841911,0.000680634811374872
"FAM225A",0.300100261992187,0.000682310386357067
"C11orf54",-0.0576204586592601,0.000686374196160318
"DEPDC5",0.0674345582105073,0.000692581834768583
"PRPSAP2",-0.0505197174639188,0.000694497614227047
"PIGO",0.0555797727808828,0.000697968905189942
"TBC1D2B",0.0565643350700171,0.000698475515390878
"CLCN6",0.0664243238038488,0.000706136044768357
"ZFAND6",-0.0891786435669607,0.000705772761523718
"SIPA1L3",0.0913879788151385,0.000711077123097903
"BTN2A1",0.0481003287801009,0.000721362875408602
"ZNF391",-0.159555252247589,0.000726033586296184
"DNAJC9-AS1",-0.129251821853522,0.000733198011386201
"KATNIP",0.0786655312410468,0.000747165443739838
"TCFL5",-0.0590146376238525,0.000750537556239633
"ERVK3-1",0.067946055915959,0.000748078337371293
"ENOPH1",-0.0574263980343744,0.000757743915660182
"DPM1",-0.0516612358987178,0.000770880645639433
"KAT6A",0.0697742824978263,0.000798450087215339
"CEP164",0.0635413667594182,0.000773709155930504
"TIMELESS",0.075453630532176,0.000800112213738034
"STXBP3",-0.0763706341574458,0.000768668747450239
"MAPKBP1",0.0698162950824785,0.000792501580590379
"PM20D2",-0.0989267832668425,0.00078015991035265
"ABRAXAS1",-0.0837811014685471,0.00076800456607568
"STT3B",-0.064356452120244,0.000788822173594177
"PCMTD1",-0.0858990228389702,0.000777910701097107
"RSL1D1",-0.0520153786412186,0.000797345830629556
"GCNT4",-0.145479166510078,0.000776551654678641
"PITPNB",-0.0506842357961369,0.000786634245180782
"SMURF1",0.0860923127400718,0.000787192593615131
"HMBOX1",0.0735826338712263,0.000803763121094671
"TM9SF3",-0.0818136555349076,0.000808273983339067
"SLC16A1",-0.0783861612105814,0.000813210759405793
"CBR4",-0.108887993316214,0.000820538177559249
"TMEM131L",0.0692002736383003,0.000830755611927808
"HIKESHI",-0.0565987376179256,0.000829289086450202
"NDUFC2",-0.0844146115025183,0.000828384425353573
"LINC00205",-0.150488199791678,0.000840971387076982
"HS3ST3B1",-0.101324833662534,0.000866220822597476
"WDFY4",0.108658553542054,0.000865639177292318
"PRPF38A",-0.039217799674256,0.000873004023620948
"OLA1",-0.0508125822039354,0.00089711475745271
"NKAPD1",-0.0563604294987319,0.000902733081042573
"TMEM267",-0.12917259331727,0.000899154442805664
"MIS18A",-0.0803403929363345,0.000854814629431357
"PTPN13",0.131888242113296,0.000890969578453017
"SETD5",0.0491241930411435,0.000895495252484014
"NEGR1",-0.207459241174173,0.000870040768600806
"C12orf76",-0.0669213230408606,0.000896414461249484
"RFESD",-0.123060675759371,0.000851956465070824
"TCAIM",-0.0609227471562851,0.000900966806597626
"FUCA1",-0.136408111885737,0.000875269908791296
"ANKFY1",0.0537242761454475,0.000857970255740531
"GPATCH8",0.0555475346044099,0.000881810052990782
"PLCG2",0.0697423234580696,0.000882420367782598
"PITPNA-AS1",-0.0990969037964101,0.000876443278863975
"CDKN2AIPNL",-0.0767404393779681,0.000889141845083954
"COMMD3-BMI1",0.253059909612961,0.000879990787797474
"ASCC3",0.0611494282475646,0.000921765363975926
"SON",0.0410525840234211,0.000912544750069489
"KIF27",0.148244313721654,0.000912300640204331
"BSCL2",-0.143765884179244,0.000913619435456996
"ARL6IP6",-0.095217067463711,0.00091936356820368
"ZNF407",0.0716035273670346,0.000922199795287916
"POM121",0.0609027962647425,0.000926945387565785
"PPP2R5B",0.0649869941946508,0.000940947512225237
"TRPC4AP",0.046745757867929,0.00093296183116995
"FCF1",-0.06759709839642,0.000939330230517051
"NDST2",0.102766181151437,0.000937767072369146
"FAM210B",-0.0672003181683404,0.000945686939161915
"DNMBP",0.0961103806047128,0.000987130336968097
"MADD",0.0539773199990312,0.000979033491756174
"ABITRAM",-0.0517116956242837,0.000966295046036456
"ATPAF1",-0.0462961193906761,0.000980216110684056
