feat1,Degree,Network,Community,type_1
PEPD,9,pos_w,1,prot
ADA2,22,pos_w,1,prot
ADGRE5,28,pos_w,1,prot
ALCAM,56,pos_w,1,prot
CCN5,41,pos_w,1,prot
CD244,20,pos_w,1,prot
CD5L,13,pos_w,1,prot
CDH5,13,pos_w,1,prot
EBI3_IL27,10,pos_w,1,prot
FCAMR,9,pos_w,1,prot
ITGB2,27,pos_w,1,prot
LY9,19,pos_w,1,prot
NOTCH1,26,pos_w,1,prot
NRP2,25,pos_w,1,prot
PCDH17,20,pos_w,1,prot
PTPRC,24,pos_w,1,prot
SEMA4D,21,pos_w,1,prot
TNFSF8,13,pos_w,1,prot
BCAN,34,pos_w,1,prot
CTHRC1,36,pos_w,1,prot
CX3CL1,24,pos_w,1,prot
DPT,26,pos_w,1,prot
DSG3,16,pos_w,1,prot
FLRT2,6,pos_w,1,prot
GFRA3,27,pos_w,1,prot
KITLG,9,pos_w,1,prot
PCDH7,28,pos_w,1,prot
RGMA,13,pos_w,1,prot
VASN,47,pos_w,1,prot
ADAM8,10,pos_w,1,prot
CEACAM8,9,pos_w,1,prot
MMP8,15,pos_w,1,prot
PGLYRP1,6,pos_w,1,prot
PRTN3,5,pos_w,1,prot
ADAMTS15,76,pos_w,1,prot
BAG3,43,pos_w,1,prot
BCL2,84,pos_w,1,prot
BCL2L11,129,pos_w,1,prot
CCDC80,75,pos_w,1,prot
CCL21,24,pos_w,1,prot
CDH2,71,pos_w,1,prot
CELSR2,51,pos_w,1,prot
CHGA,63,pos_w,1,prot
CHRDL1,77,pos_w,1,prot
CHRDL2,51,pos_w,1,prot
CPE,45,pos_w,1,prot
CRLF1,71,pos_w,1,prot
CWC15,165,pos_w,1,prot
DMP1,67,pos_w,1,prot
EDN1,59,pos_w,1,prot
ENO3,61,pos_w,1,prot
FCRLB,51,pos_w,1,prot
GALNT5,13,pos_w,1,prot
GNAS,53,pos_w,1,prot
GOLM2,19,pos_w,1,prot
HS3ST3B1,74,pos_w,1,prot
IGSF21,5,pos_w,1,prot
ITPR1,56,pos_w,1,prot
MEPE,74,pos_w,1,prot
MLN,32,pos_w,1,prot
NDRG1,54,pos_w,1,prot
NOS3,24,pos_w,1,prot
NPPB,71,pos_w,1,prot
NPPC,19,pos_w,1,prot
NPY,62,pos_w,1,prot
OGFR,89,pos_w,1,prot
OMD,64,pos_w,1,prot
PAGR1,84,pos_w,1,prot
PRELP,43,pos_w,1,prot
PRND,43,pos_w,1,prot
PTH1R,46,pos_w,1,prot
PTPRZ1,37,pos_w,1,prot
RSPO1,60,pos_w,1,prot
SMAD5,76,pos_w,1,prot
SORCS2,76,pos_w,1,prot
SPARCL1,49,pos_w,1,prot
SPINT2,134,pos_w,1,prot
SPP1,76,pos_w,1,prot
STC1,26,pos_w,1,prot
STC2,68,pos_w,1,prot
UXS1,71,pos_w,1,prot
VGF,31,pos_w,1,prot
ITGA5,25,pos_w,1,prot
ITGBL1,28,pos_w,1,prot
QSOX1,5,pos_w,1,prot
SIL1,12,pos_w,1,prot
CD48,26,pos_w,1,prot
CD6,14,pos_w,1,prot
COL5A1,22,pos_w,1,prot
DCN,38,pos_w,1,prot
DIPK2B,30,pos_w,1,prot
DSCAM,5,pos_w,1,prot
ICAM3,15,pos_w,1,prot
ITGB1,59,pos_w,1,prot
ITGB7,9,pos_w,1,prot
SLAMF6,6,pos_w,1,prot
TINAGL1,8,pos_w,1,prot
ADGRF5,14,pos_w,1,prot
APOL1,28,pos_w,1,prot
CANT1,38,pos_w,1,prot
COL3A1,4,pos_w,1,prot
SERPINI1,29,pos_w,1,prot
SAT2,18,pos_w,1,prot
ADIPOQ,12,pos_w,1,prot
APOD,15,pos_w,1,prot
BMP10,32,pos_w,1,prot
CD300LG,28,pos_w,1,prot
IL32,26,pos_w,1,prot
NTRK3,30,pos_w,1,prot
PLTP,25,pos_w,1,prot
SHBG,10,pos_w,1,prot
C1S,20,pos_w,1,prot
CDHR5,4,pos_w,1,prot
LEP,12,pos_w,1,prot
PRCP,26,pos_w,1,prot
RTN4R,15,pos_w,1,prot
SSC5D,11,pos_w,1,prot
AGR2,13,pos_w,1,prot
CCL11,27,pos_w,1,prot
SCGN,1,pos_w,1,prot
ITGAV,26,pos_w,1,prot
SETMAR,36,pos_w,1,prot
VEGFD,18,pos_w,1,prot
EFHD1,28,pos_w,1,prot
PPL,22,pos_w,1,prot
AHSG,10,pos_w,1,prot
AMDHD2,34,pos_w,1,prot
APOB,11,pos_w,1,prot
ATP6AP2,29,pos_w,1,prot
C2CD2L,23,pos_w,1,prot
GLP1R,18,pos_w,1,prot
IL13RA2,40,pos_w,1,prot
ITGAL,23,pos_w,1,prot
ITIH1,20,pos_w,1,prot
SEMA6C,11,pos_w,1,prot
AMIGO2,5,pos_w,1,prot
BCAM,24,pos_w,1,prot
CCN1,40,pos_w,1,prot
CD58,25,pos_w,1,prot
CDH6,18,pos_w,1,prot
CNTN1,14,pos_w,1,prot
CNTN5,14,pos_w,1,prot
DDR1,9,pos_w,1,prot
DPP10,6,pos_w,1,prot
ERBB4,24,pos_w,1,prot
HYAL1,8,pos_w,1,prot
L1CAM,10,pos_w,1,prot
LEFTY2,10,pos_w,1,prot
NXPH3,25,pos_w,1,prot
PKD1,52,pos_w,1,prot
PLA2G1B,12,pos_w,1,prot
ROBO2,27,pos_w,1,prot
SEZ6L2,19,pos_w,1,prot
TIE1,10,pos_w,1,prot
ALPI,6,pos_w,1,prot
CDH17,5,pos_w,1,prot
SELE,22,pos_w,1,prot
C5,13,pos_w,1,prot
HYOU1,29,pos_w,1,prot
LRIG1,4,pos_w,1,prot
SERPINA5,32,pos_w,1,prot
ATP1B3,19,pos_w,1,prot
BHMT2,24,pos_w,1,prot
CACNA1C,25,pos_w,1,prot
CDH23,18,pos_w,1,prot
DDA1,25,pos_w,1,prot
DYNC1H1,8,pos_w,1,prot
GAD2,4,pos_w,1,prot
HTR1B,22,pos_w,1,prot
MAP1LC3A,24,pos_w,1,prot
NME1,30,pos_w,1,prot
NUP50,23,pos_w,1,prot
RANBP2,45,pos_w,1,prot
SAFB2,15,pos_w,1,prot
TERF1,26,pos_w,1,prot
TJP3,24,pos_w,1,prot
VIPR1,30,pos_w,1,prot
DNAJB8,6,pos_w,1,prot
SIRT5,23,pos_w,1,prot
AMY1A_AMY1B_AMY1C,2,pos_w,1,prot
AMY2A,10,pos_w,1,prot
CELA2A,10,pos_w,1,prot
CELA3A,13,pos_w,1,prot
CTRB1,12,pos_w,1,prot
CTRL,10,pos_w,1,prot
PNLIP,13,pos_w,1,prot
BMP4,8,pos_w,1,prot
COL4A1,10,pos_w,1,prot
ST3GAL1,7,pos_w,1,prot
THBS2,14,pos_w,1,prot
ANGPTL2,8,pos_w,1,prot
CPA4,11,pos_w,1,prot
ANXA10,5,pos_w,1,prot
ANXA5,17,pos_w,1,prot
CASP1,20,pos_w,1,prot
GPKOW,11,pos_w,1,prot
PRKAB1,14,pos_w,1,prot
RASA1,5,pos_w,1,prot
TIGAR,7,pos_w,1,prot
LGMN,27,pos_w,1,prot
NUDT10,31,pos_w,1,prot
IL16,7,pos_w,1,prot
APCS,16,pos_w,1,prot
SERPINA3,5,pos_w,1,prot
APLP1,21,pos_w,1,prot
DPP6,29,pos_w,1,prot
ENPP6,4,pos_w,1,prot
KLK6,21,pos_w,1,prot
LRTM2,28,pos_w,1,prot
MOG,22,pos_w,1,prot
NCAN,23,pos_w,1,prot
NPTXR,24,pos_w,1,prot
NXPH1,16,pos_w,1,prot
OMG,18,pos_w,1,prot
PTPRR,23,pos_w,1,prot
RTBDN,35,pos_w,1,prot
SCG3,22,pos_w,1,prot
SEZ6,18,pos_w,1,prot
SLITRK1,33,pos_w,1,prot
TMPRSS5,9,pos_w,1,prot
APOA1,17,pos_w,1,prot
APOA2,9,pos_w,1,prot
GDF2,32,pos_w,1,prot
HGFAC,15,pos_w,1,prot
SERPINA6,5,pos_w,1,prot
CTBS,21,pos_w,1,prot
F13B,6,pos_w,1,prot
GAL,4,pos_w,1,prot
BGLAP,9,pos_w,1,prot
DIPK1C,17,pos_w,1,prot
MASP1,16,pos_w,1,prot
PAIP2B,13,pos_w,1,prot
PAM,19,pos_w,1,prot
PDIA3,16,pos_w,1,prot
SPTBN2,31,pos_w,1,prot
HMGCS1,11,pos_w,1,prot
KDM3A,3,pos_w,1,prot
ARSA,22,pos_w,1,prot
GGH,10,pos_w,1,prot
IDUA,13,pos_w,1,prot
MAN2B2,8,pos_w,1,prot
PLA2G15,30,pos_w,1,prot
SMPD1,18,pos_w,1,prot
MANSC1,38,pos_w,1,prot
MMP3,5,pos_w,1,prot
MSMB,17,pos_w,1,prot
PODXL2,8,pos_w,1,prot
ASPN,5,pos_w,1,prot
GSR,41,pos_w,1,prot
ATP1B2,18,pos_w,1,prot
ATP2B4,8,pos_w,1,prot
B3GAT3,13,pos_w,1,prot
CALY,29,pos_w,1,prot
EDEM2,18,pos_w,1,prot
HSD17B3,15,pos_w,1,prot
IFNW1,10,pos_w,1,prot
MAP1LC3B2,12,pos_w,1,prot
NPR1,10,pos_w,1,prot
RYR1,9,pos_w,1,prot
SLC12A2,9,pos_w,1,prot
TSPAN15,21,pos_w,1,prot
UHRF2,9,pos_w,1,prot
MYH4,25,pos_w,1,prot
UBQLN3,4,pos_w,1,prot
CLEC1A,17,pos_w,1,prot
CTSC,15,pos_w,1,prot
FOLR1,31,pos_w,1,prot
IL15RA,28,pos_w,1,prot
IL4R,19,pos_w,1,prot
KIRREL2,8,pos_w,1,prot
PI3,16,pos_w,1,prot
ROBO4,17,pos_w,1,prot
F11,12,pos_w,1,prot
CD3D,18,pos_w,1,prot
CDKL5,8,pos_w,1,prot
KCNC4,6,pos_w,1,prot
KIRREL1,17,pos_w,1,prot
C1RL,7,pos_w,1,prot
RPS10,20,pos_w,1,prot
ENTPD6,10,pos_w,1,prot
SLC39A14,4,pos_w,1,prot
B4GAT1,6,pos_w,1,prot
SFRP4,16,pos_w,1,prot
CEBPB,30,pos_w,1,prot
KEL,4,pos_w,1,prot
BRK1,12,pos_w,1,prot
THBS4,30,pos_w,1,prot
CLEC2L,7,pos_w,1,prot
KIT,2,pos_w,1,prot
SCN2B,9,pos_w,1,prot
BCL2L15,19,pos_w,1,prot
BGN,6,pos_w,1,prot
CSF2,3,pos_w,1,prot
GAMT,7,pos_w,1,prot
HMCN2,10,pos_w,1,prot
ITGA11,8,pos_w,1,prot
KLK14,4,pos_w,1,prot
SOD3,16,pos_w,1,prot
BOC,6,pos_w,1,prot
CDON,10,pos_w,1,prot
PDCD1LG2,10,pos_w,1,prot
CDCP1,26,pos_w,1,prot
NAGPA,11,pos_w,1,prot
CPB1,13,pos_w,1,prot
PNLIPRP1,14,pos_w,1,prot
CHEK2,16,pos_w,1,prot
C9,4,pos_w,1,prot
LBP,5,pos_w,1,prot
KLK4,15,pos_w,1,prot
LUZP2,10,pos_w,1,prot
CA9,10,pos_w,1,prot
LIPF,3,pos_w,1,prot
CNTF,9,pos_w,1,prot
ECSCR,12,pos_w,1,prot
FGF20,15,pos_w,1,prot
GLI2,20,pos_w,1,prot
OTOA,17,pos_w,1,prot
CBX2,6,pos_w,1,prot
CHRM1,13,pos_w,1,prot
F7,11,pos_w,1,prot
IL17D,20,pos_w,1,prot
NTproBNP,16,pos_w,1,prot
WNT9A,43,pos_w,1,prot
CCL22,6,pos_w,1,prot
CILP,15,pos_w,1,prot
COMP,25,pos_w,1,prot
FAP,10,pos_w,1,prot
MEGF10,12,pos_w,1,prot
LAMA4,15,pos_w,1,prot
CD164L2,3,pos_w,1,prot
DDX25,28,pos_w,1,prot
RPGR,6,pos_w,1,prot
SELL,10,pos_w,1,prot
CD4.y,8,pos_w,1,prot
HEPACAM2,3,pos_w,1,prot
ICAM2,3,pos_w,1,prot
LMNB2,15,pos_w,1,prot
GRIK2,7,pos_w,1,prot
RECK,16,pos_w,1,prot
CST6,18,pos_w,1,prot
ENDOU,13,pos_w,1,prot
TEK,4,pos_w,1,prot
CDSN,8,pos_w,1,prot
PSAPL1,7,pos_w,1,prot
CRISP3,2,pos_w,1,prot
CPA1,9,pos_w,1,prot
CTRC,11,pos_w,1,prot
SERPINI2,11,pos_w,1,prot
GPR158,23,pos_w,1,prot
PCSK9,7,pos_w,1,prot
SAA4,4,pos_w,1,prot
CGA,2,pos_w,1,prot
FSHB,1,pos_w,1,prot
CLIC5,9,pos_w,1,prot
OSTN,4,pos_w,1,prot
IDI2,6,pos_w,1,prot
NCLN,7,pos_w,1,prot
PRAME,2,pos_w,1,prot
GHRL,7,pos_w,1,prot
SOWAHA,8,pos_w,1,prot
MAMDC2,16,pos_w,1,prot
CLEC4M,3,pos_w,1,prot
FAM3D,4,pos_w,1,prot
MUC2,2,pos_w,1,prot
S100G,7,pos_w,1,prot
CLPS,1,pos_w,1,prot
SCN3B,2,pos_w,1,prot
NCAM2,2,pos_w,1,prot
SRPX,5,pos_w,1,prot
WIF1,2,pos_w,1,prot
SPINK5,7,pos_w,1,prot
HRG,5,pos_w,1,prot
SELENOP,2,pos_w,1,prot
CPQ,9,pos_w,1,prot
CTSF,5,pos_w,1,prot
NAAA,7,pos_w,1,prot
CRTAP,7,pos_w,1,prot
CST1,1,pos_w,1,prot
DSG4,2,pos_w,1,prot
PYDC1,3,pos_w,1,prot
ST8SIA1,6,pos_w,1,prot
DCUN1D1,3,pos_w,1,prot
LRTM1,6,pos_w,1,prot
ZNF174,3,pos_w,1,prot
DEFB4A_DEFB4B,2,pos_w,1,prot
IL19,3,pos_w,1,prot
REG1B,8,pos_w,1,prot
REG3A,6,pos_w,1,prot
PKD2,17,pos_w,1,prot
SERPINB5,3,pos_w,1,prot
FGA,2,pos_w,1,prot
S100A13,1,pos_w,1,prot
GGT5,6,pos_w,1,prot
ENPEP,2,pos_w,1,prot
POLR2A,3,pos_w,1,prot
UMOD,3,pos_w,1,prot
ERMAP,4,pos_w,1,prot
PLIN1,8,pos_w,1,prot
GSAP,1,pos_w,1,prot
IL20,6,pos_w,1,prot
INSR,3,pos_w,1,prot
GPR15L,4,pos_w,1,prot
TMEM25,3,pos_w,1,prot
TIMD4,1,pos_w,1,prot
PODXL,2,pos_w,1,prot
SLAMF1,1,pos_w,1,prot
TREH,1,pos_w,1,prot
IL22,9,pos_w,1,prot
IL36G,1,pos_w,1,prot
NOTCH2,4,pos_w,1,prot
NEDD9,2,pos_w,1,prot
UNC5D,6,pos_w,1,prot
HLA.DPB2,3,pos_w,1,txn
MEP1A,1,pos_w,1,prot
SUSD2,2,pos_w,1,prot
LRRN3,159,pos_w,2,txn
IL9R,31,pos_w,2,txn
IGSF9B,24,pos_w,2,txn
MB21D2,67,pos_w,2,txn
LOC285638,21,pos_w,2,txn
KDM5D,64,pos_w,2,txn
TXLNGY,107,pos_w,2,txn
USP9Y,88,pos_w,2,txn
EIF1AY,42,pos_w,2,txn
pyroglutamine*,1,pos_w,2,met
ACRV1,6,pos_w,2,prot
EDDM3B,8,pos_w,2,prot
KLK3,6,pos_w,2,prot
LYZL2,4,pos_w,2,prot
TEX101,4,pos_w,2,prot
TMSB4Y,8,pos_w,2,txn
RPS4Y1,15,pos_w,2,txn
TTTY14,10,pos_w,2,txn
BCORP1,9,pos_w,2,txn
NLGN4Y,6,pos_w,2,txn
PPP1R2C,6,pos_w,2,txn
MIR17HG,358,pos_w,2,txn
PPP1CB,160,pos_w,2,txn
PZP,1,pos_w,2,prot
TSPAN6,149,pos_w,2,txn
SOX8,167,pos_w,2,txn
SCML1,278,pos_w,2,txn
NEXMIF,144,pos_w,2,txn
PSD,196,pos_w,2,txn
MAST4,270,pos_w,2,txn
LRP6,194,pos_w,2,txn
PFN2,104,pos_w,2,txn
SLC22A17,234,pos_w,2,txn
SYDE2,246,pos_w,2,txn
SEC14L2,202,pos_w,2,txn
RBFOX2,16,pos_w,2,txn
CACNA1I,270,pos_w,2,txn
VSIG1,285,pos_w,2,txn
PLLP,146,pos_w,2,txn
LAPTM4B,22,pos_w,2,txn
TMEM106B,165,pos_w,2,txn
GLIS3,85,pos_w,2,txn
CUBN,156,pos_w,2,txn
TRIM2,161,pos_w,2,txn
EXPH5,203,pos_w,2,txn
ADTRP,217,pos_w,2,txn
FAM184A,242,pos_w,2,txn
RBM24,6,pos_w,2,txn
SLC16A10,267,pos_w,2,txn
RASGRF2,305,pos_w,2,txn
DNAH6,160,pos_w,2,txn
PLCL1,261,pos_w,2,txn
HPCAL4,204,pos_w,2,txn
CNN3,202,pos_w,2,txn
RCAN3,286,pos_w,2,txn
PPP4R4,114,pos_w,2,txn
KLHL29,245,pos_w,2,txn
CNNM1,26,pos_w,2,txn
DEPDC7,60,pos_w,2,txn
ACVR1C,248,pos_w,2,txn
ZNF391,167,pos_w,2,txn
MCF2L,309,pos_w,2,txn
CCR7,309,pos_w,2,txn
RAI2,76,pos_w,2,txn
PATJ,365,pos_w,2,txn
ATP8A2,151,pos_w,2,txn
HOOK1,333,pos_w,2,txn
DSC1,128,pos_w,2,txn
USP44,173,pos_w,2,txn
TBC1D4,303,pos_w,2,txn
LMO7,363,pos_w,2,txn
HEMGN,127,pos_w,2,txn
MYC,223,pos_w,2,txn
SLC22A23,202,pos_w,2,txn
LEF1,306,pos_w,2,txn
FBLN5,86,pos_w,2,txn
HAPLN3,224,pos_w,2,txn
NKD1,252,pos_w,2,txn
RNF157,253,pos_w,2,txn
FBLN7,182,pos_w,2,txn
USP53,186,pos_w,2,txn
CSGALNACT1,187,pos_w,2,txn
CNKSR2,397,pos_w,2,txn
TMEM263,176,pos_w,2,txn
ANK3,118,pos_w,2,txn
TMEM45B,142,pos_w,2,txn
PDE3B,234,pos_w,2,txn
CAMK4,289,pos_w,2,txn
PLEKHH2,106,pos_w,2,txn
ADGRA3,122,pos_w,2,txn
AK5,211,pos_w,2,txn
RETREG1,262,pos_w,2,txn
OBSCN,259,pos_w,2,txn
WNT7A,225,pos_w,2,txn
OXNAD1,293,pos_w,2,txn
SORCS3,162,pos_w,2,txn
HKDC1,121,pos_w,2,txn
ZFYVE9,294,pos_w,2,txn
TSPAN18,176,pos_w,2,txn
CBR3,149,pos_w,2,txn
KALRN,192,pos_w,2,txn
PDE9A,185,pos_w,2,txn
DHRS3,197,pos_w,2,txn
TRAT1,202,pos_w,2,txn
MAP9,279,pos_w,2,txn
ACSL6,247,pos_w,2,txn
ANKRD55,160,pos_w,2,txn
EML5,338,pos_w,2,txn
FAAH2,170,pos_w,2,txn
RIC3,334,pos_w,2,txn
TMIGD2,196,pos_w,2,txn
AXIN2,324,pos_w,2,txn
FAM153A,209,pos_w,2,txn
CMTM8,100,pos_w,2,txn
NPAS2,189,pos_w,2,txn
PKIA,232,pos_w,2,txn
MAL,238,pos_w,2,txn
LCLAT1,187,pos_w,2,txn
TNK1,295,pos_w,2,txn
MBLAC2,173,pos_w,2,txn
GCNT4,241,pos_w,2,txn
SAMD12,175,pos_w,2,txn
ALS2CL,244,pos_w,2,txn
PCED1B,219,pos_w,2,txn
PLAG1,283,pos_w,2,txn
TMEM30B,279,pos_w,2,txn
FAM153B,181,pos_w,2,txn
TSHZ2,211,pos_w,2,txn
ZNF662,267,pos_w,2,txn
NOG,207,pos_w,2,txn
BEX5,172,pos_w,2,txn
SDR42E1,173,pos_w,2,txn
RBM11,251,pos_w,2,txn
NAP1L3,144,pos_w,2,txn
TRABD2A,293,pos_w,2,txn
ZNF626,120,pos_w,2,txn
ZNF793,209,pos_w,2,txn
ZNF681,184,pos_w,2,txn
GIMAP5,100,pos_w,2,txn
COL27A1,67,pos_w,2,txn
GAL3ST4,253,pos_w,2,txn
RAD54B,108,pos_w,2,txn
MDS2,216,pos_w,2,txn
SVIP,194,pos_w,2,txn
GPRASP1,349,pos_w,2,txn
ZDBF2,364,pos_w,2,txn
TCEA3,214,pos_w,2,txn
PRRT1,196,pos_w,2,txn
TRBV20.1,111,pos_w,2,txn
TNFRSF25,275,pos_w,2,txn
C14orf132,144,pos_w,2,txn
LINC01806,136,pos_w,2,txn
HECW2.AS1,130,pos_w,2,txn
EPHA1.AS1,66,pos_w,2,txn
LEF1.AS1,213,pos_w,2,txn
CHRM3.AS2,236,pos_w,2,txn
RPS3AP6,79,pos_w,2,txn
PPP1R3E,382,pos_w,2,txn
LINC00402,233,pos_w,2,txn
PRKCQ.AS1,268,pos_w,2,txn
LINC00861,160,pos_w,2,txn
LINC01259,124,pos_w,2,txn
THBS4.AS1,159,pos_w,2,txn
PARP11.AS1,185,pos_w,2,txn
KRT73.AS1,186,pos_w,2,txn
CEROX1,206,pos_w,2,txn
NBPF15,229,pos_w,2,txn
MMP28,184,pos_w,2,txn
LINC01215,366,pos_w,2,txn
LOC101929698,182,pos_w,2,txn
SSTR3,167,pos_w,2,txn
TMEM272,220,pos_w,2,txn
SLC4A7,180,pos_w,2,txn
PI4K2B,125,pos_w,2,txn
TRAM1,136,pos_w,2,txn
ZFY,109,pos_w,2,txn
RORA,171,pos_w,2,txn
SCAMP1,138,pos_w,2,txn
GOLT1B,184,pos_w,2,txn
SRSF11,253,pos_w,2,txn
CRYZ,50,pos_w,2,txn
PTBP2,184,pos_w,2,txn
SLC35A3,169,pos_w,2,txn
B4GALT6,91,pos_w,2,txn
ELOVL4,57,pos_w,2,txn
SLC16A7,167,pos_w,2,txn
HELLS,105,pos_w,2,txn
LYPLA1,152,pos_w,2,txn
TRMT13,180,pos_w,2,txn
PARD6B,179,pos_w,2,txn
SGPP1,147,pos_w,2,txn
ZRANB2,195,pos_w,2,txn
TMED7,160,pos_w,2,txn
ETNK1,144,pos_w,2,txn
LPAR6,95,pos_w,2,txn
TMX1,149,pos_w,2,txn
IPMK,211,pos_w,2,txn
TMEM267,161,pos_w,2,txn
ZNF117,105,pos_w,2,txn
SCOC,134,pos_w,2,txn
DPY19L4,174,pos_w,2,txn
HECTD2,135,pos_w,2,txn
TMEM41B,185,pos_w,2,txn
HDGFL3,53,pos_w,2,txn
BMI1,157,pos_w,2,txn
MANEA,115,pos_w,2,txn
FAM241A,123,pos_w,2,txn
GPR171,106,pos_w,2,txn
ALG10B,183,pos_w,2,txn
ZDHHC21,180,pos_w,2,txn
ZBTB41,194,pos_w,2,txn
MAF,98,pos_w,2,txn
BBS10,132,pos_w,2,txn
TMEM64,126,pos_w,2,txn
C5orf24,178,pos_w,2,txn
IGIP,106,pos_w,2,txn
ZBTB6,94,pos_w,2,txn
NAP1L2,67,pos_w,2,txn
LCOR,197,pos_w,2,txn
ZNF493,137,pos_w,2,txn
KPNA5,193,pos_w,2,txn
GMFB,189,pos_w,2,txn
KLHDC1,202,pos_w,2,txn
SLC5A3,129,pos_w,2,txn
FAM169A,145,pos_w,2,txn
CHIC1,189,pos_w,2,txn
TAS2R14,148,pos_w,2,txn
MIR155HG,158,pos_w,2,txn
GVINP1,32,pos_w,2,txn
LOC100132249,111,pos_w,2,txn
HS3ST1,186,pos_w,2,txn
DBNDD1,171,pos_w,2,txn
ABCB4,216,pos_w,2,txn
SCN4A,178,pos_w,2,txn
BIRC3,326,pos_w,2,txn
KCNG1,157,pos_w,2,txn
STAP1,240,pos_w,2,txn
ADAM28,268,pos_w,2,txn
CDK14,218,pos_w,2,txn
SLC9A7,217,pos_w,2,txn
STAG3,186,pos_w,2,txn
CLCN4,193,pos_w,2,txn
TEAD2,148,pos_w,2,txn
CELSR1,243,pos_w,2,txn
ADD2,222,pos_w,2,txn
TPD52,257,pos_w,2,txn
MOXD1,153,pos_w,2,txn
COL19A1,235,pos_w,2,txn
COBLL1,243,pos_w,2,txn
P2RX5,226,pos_w,2,txn
DAZL,126,pos_w,2,txn
DSP,67,pos_w,2,txn
MMP11,236,pos_w,2,txn
DERL3,232,pos_w,2,txn
KLF8,232,pos_w,2,txn
RUBCNL,245,pos_w,2,txn
SYT17,43,pos_w,2,txn
CORO2B,154,pos_w,2,txn
CD79A,252,pos_w,2,txn
STEAP1B,126,pos_w,2,txn
TSPAN13,197,pos_w,2,txn
AEBP1,192,pos_w,2,txn
DTX4,204,pos_w,2,txn
POU2AF1,274,pos_w,2,txn
BACH2,393,pos_w,2,txn
KHDRBS2,182,pos_w,2,txn
CCR6,198,pos_w,2,txn
RALGPS2,275,pos_w,2,txn
CNR1,120,pos_w,2,txn
BCL11A,193,pos_w,2,txn
KCNIP2,176,pos_w,2,txn
PLEKHG1,243,pos_w,2,txn
ZSCAN18,384,pos_w,2,txn
TMEM156,165,pos_w,2,txn
PMEPA1,226,pos_w,2,txn
CPNE5,248,pos_w,2,txn
GPR18,212,pos_w,2,txn
FFAR1,265,pos_w,2,txn
VPREB3,202,pos_w,2,txn
MYO1B,178,pos_w,2,txn
WDFY4,200,pos_w,2,txn
ELL3,153,pos_w,2,txn
STK33,56,pos_w,2,txn
PNPLA7,210,pos_w,2,txn
LAMA5,185,pos_w,2,txn
FCRLA,204,pos_w,2,txn
LARGE1,193,pos_w,2,txn
E2F5,252,pos_w,2,txn
HRK,137,pos_w,2,txn
DTX1,174,pos_w,2,txn
LAMC1,218,pos_w,2,txn
RAPGEF5,185,pos_w,2,txn
BLK,230,pos_w,2,txn
RAB30,282,pos_w,2,txn
CBLN3,111,pos_w,2,txn
SLC2A5,209,pos_w,2,txn
AFF3,255,pos_w,2,txn
OSBPL10,234,pos_w,2,txn
N4BP3,265,pos_w,2,txn
CRIP3,115,pos_w,2,txn
SDK1,118,pos_w,2,txn
ZNF711,235,pos_w,2,txn
PLPP5,223,pos_w,2,txn
SYBU,180,pos_w,2,txn
THRB,125,pos_w,2,txn
AKAP6,234,pos_w,2,txn
RASGRP3,261,pos_w,2,txn
BMP3,71,pos_w,2,txn
SEMA3D,82,pos_w,2,txn
C16orf74,54,pos_w,2,txn
MS4A1,271,pos_w,2,txn
SNX22,242,pos_w,2,txn
TSPAN33,60,pos_w,2,txn
SLC45A3,114,pos_w,2,txn
CXCR5,338,pos_w,2,txn
BEND5,250,pos_w,2,txn
SLC15A2,122,pos_w,2,txn
EBF1,267,pos_w,2,txn
CDCA7L,240,pos_w,2,txn
ABCA1,77,pos_w,2,txn
DIPK1B,109,pos_w,2,txn
LARGE2,224,pos_w,2,txn
NETO1,168,pos_w,2,txn
ZNF667.AS1,164,pos_w,2,txn
NIBAN3,253,pos_w,2,txn
PNOC,216,pos_w,2,txn
PKIG,218,pos_w,2,txn
ZNF608,206,pos_w,2,txn
PARM1,222,pos_w,2,txn
SLC38A11,141,pos_w,2,txn
TPST1,236,pos_w,2,txn
DENND5B,264,pos_w,2,txn
ZNF415,104,pos_w,2,txn
ZNF439,378,pos_w,2,txn
SYNPO,211,pos_w,2,txn
MACROD2,165,pos_w,2,txn
NBEA,338,pos_w,2,txn
MARCHF3,257,pos_w,2,txn
TLR10,167,pos_w,2,txn
UGT8,249,pos_w,2,txn
P2RY14,133,pos_w,2,txn
ZNF135,167,pos_w,2,txn
DIRAS1,159,pos_w,2,txn
GNG7,266,pos_w,2,txn
PAWR,292,pos_w,2,txn
CD19,259,pos_w,2,txn
EFCAB13,174,pos_w,2,txn
TSPYL5,164,pos_w,2,txn
BACE2,205,pos_w,2,txn
XKRX,248,pos_w,2,txn
KCNH8,242,pos_w,2,txn
ZDHHC23,242,pos_w,2,txn
SYN3,162,pos_w,2,txn
CLEC17A,237,pos_w,2,txn
LCN10,202,pos_w,2,txn
CNR2,221,pos_w,2,txn
BEND4,201,pos_w,2,txn
FAM111B,192,pos_w,2,txn
PAX5,240,pos_w,2,txn
ZNF471,124,pos_w,2,txn
TCF4,262,pos_w,2,txn
ZNF418,140,pos_w,2,txn
TLE1,170,pos_w,2,txn
ZNF860,205,pos_w,2,txn
FAM177B,154,pos_w,2,txn
KLHL14,258,pos_w,2,txn
