"","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"42","Hemangioblasts","14/97",0.00331051192378292,0.0137149779699578,0,0,2.49360327909576,14.2401016546452,"NFE2;GMFG;ACRBP;MYL4;DOK1;HHEX;CCS;GIPC3;BLVRB;AHSP;HBQ1;IKBKG;RILP;PF4"
"43","Merkel Cells","15/111",0.00456706496128182,0.0184806814712334,0,0,2.31014384920635,12.4490984298567,"KRT8;CGN;FLI1;LGALS4;FABP1;ACE2;KRT19;KRT18;TSPAN8;CDH1;MDK;GSTA1;TFF1;PRSS8;CD99"
"44","Langerhans Cells","16/123",0.0050615176870976,0.0200160017626132,0,0,2.21127879269261,11.689016286372,"ACHE;CD74;CD84;NCF2;CD80;ITGB2;RNASE6;ITGAL;AIF1;CTSS;PTPRC;BIN2;LGALS9;CD300LF;SIGLEC7;HAVCR2"
"45","Sebocytes","16/124",0.00547692061787688,0.0210713653564266,0,0,2.19068631777131,11.4073686670675,"CEBPA;IL1RN;FGFBP1;ANXA3;IL1R2;TNFAIP2;IL18;TGFA;CXCL1;F11R;KLF4;SSH3;VAMP8;CDH1;FBP1;S100A11"
"46","Smooth Muscle Cells","20/169",0.00557059084135416,0.0210713653564266,0,0,1.98679109067087,10.3119507135142,"PDGFRB;HEXIM1;SPON2;PHLDB1;NRP2;ANGPT1;NEXN;WWP2;NID2;SMTN;FABP4;COL5A1;AKT2;SMOC1;RBPMS2;TIMP3;ANGPTL2;COL6A3;FAS;PRKG1"
"47","Mesangial Cells","18/148",0.00625548806337932,0.0231586153835745,0,0,2.04828345878465,10.3935967878846,"PDGFRB;YAP1;CSTB;PHLDB1;SPARC;SERPINE2;PDGFB;FN1;PTN;HSPG2;NID2;DAB2;PER3;COL5A1;TIMP3;ANGPTL2;COL6A3;CCN2"
"48","Mast Cells","25/235",0.0083713588705653,0.0300707868373513,0,0,1.76333333333333,8.43391587144603,"ACHE;CD274;SPARC;CFH;DAPP1;ENO2;HNMT;C2;CCL7;IGFBP7;PCBD1;PTGDS;CD34;PDGFRB;VCAM1;HGF;MCEMP1;RAB27B;GP1BA;DNM3;DAB2;ADGRF5;ALDH1A1;RAPGEF2;MFGE8"
"49","Proximal Tubule Cells","19/164",0.00846821008638054,0.0300707868373513,0,0,1.93839226883374,9.24891487959768,"SLC13A1;ENPEP;SORD;AFM;PDZK1;LRP2;PRAP1;UPB1;ASS1;KHK;FABP1;GSTA1;HAO1;APOE;TGFBI;AGXT;FBP1;TMEM106A;ENPP7"
"50","Hepatic Stellate Cells","16/132",0.00988984182334419,0.0339004847268683,0,0,2.0387280545589,9.41127252473564,"PDGFRB;PHLDB1;SEMA7A;SPARC;HGF;FN1;NID2;VEGFA;C1QTNF1;COL5A1;TIMP3;ANGPTL2;COL6A3;IGFBP7;CCN2;TIMP1"
"51","Pulmonary Vascular Smooth Muscle Cells","13/99",0.0100700024941316,0.0339004847268683,0,0,2.2325857811521,10.2658632680144,"PDGFRB;SPARC;ANGPT1;SSC5D;PTN;NID2;DAB2;COL5A1;ITGA11;ANGPTL2;COL6A3;IGFBP7;PRKG1"
"52","Red Pulp Macrophages","14/110",0.0101311793436618,0.0339004847268683,0,0,2.15442439862543,9.89341317224624,"FCN1;CD163;VCAM1;CLEC12A;NCF2;RNASE6;PILRA;AIF1;CTSS;CLEC4A;MARCO;CD300LF;SIGLEC7;HAVCR2"
"53","Sertoli Cells","18/158",0.0120190143315062,0.0394586508241901,0,0,1.90095465393795,8.40462495403762,"YAP1;SDC4;RARRES2;SERPINB9;HSPG2;C3;SLC9A3R2;CST3;OCLN;TF;KITLG;C1QTNF1;ERBB2;TIMP3;VWA1;FAS;SHBG;GPRC5C"
"54","Stromal Cells","15/124",0.0124593246895339,0.040146712888498,0,0,2.03320227173438,8.91617338698171,"PDGFRB;SPARC;VCAM1;CFH;MME;MMP1;SSC5D;ICAM1;DAB2;COL5A1;PECAM1;TIMP3;ANGPTL2;COL6A3;IGFBP7"
