Abundance..F17..127C....5A	Abundance..F17..127N....5B	Abundance..F17..128C....2B	Abundance..F17..129C....2A	Abundance..F17..130C....1A	Abundance..F17..130N....4B	Abundance..F17..131N....1B	Abundance..F17..132C....4A	Abundance..F17..132N....6A	Abundance..F17..133C....3A	Abundance..F17..133N....6B	Abundance..F17..134N....3B
8327610.59028924	7839565.82550369	7315500.43626458	6050495.05092338	4747453.13450483	10989267.4863122	5422100.89418608	6895939.46266725	8017362.15149453	6719037.15778602	6375553.52066178	5770043.65434075
5318481.73380542	5217811.88591449	5459760.17985575	4584766.09687576	3786709.51367279	4887192.73341904	4607826.06910728	3663387.34758942	5419502.45123629	4122711.00324898	4658593.05689012	4595256.76310712
9904762.34181488	8791480.43001649	7741821.64476889	6655860.24333884	6162684.81113859	8725929.86334505	6578750.89475051	6589223.53945215	8590542.75954531	6392946.21803387	7475770.31469247	7242742.87402427
5996893.13051249	6640082.06760823	6741586.64391744	5102837.87451054	4739330.11563924	6740018.66384399	6496882.71732171	4026970.17501511	6617053.9991964	6399184.43400327	5887726.7267451	6858594.48276915
7633174.36874878	6921868.97599236	7533718.3172022	6508368.70890875	5831543.00118387	7221948.65810779	5974765.57390232	5830667.42752533	7817071.67206494	5692271.55282337	6428857.76858442	6000883.42976362
7783076.73447102	6804619.83181198	6692683.26339634	5845125.03891645	6001901.09987912	6659359.062326	6384307.4299459	5241059.85018504	7223676.64194163	5734956.44571626	6239655.94004028	6357580.97313338
4743739.79027023	4462890.87109696	4400982.4287136	3908615.11685512	3098900.66598742	4597195.28991829	3543055.08561995	3645671.94517571	3950408.72902998	2743460.76603833	3700657.53318384	3259065.12615586
6454979.32922476	5869937.0329964	5772182.7676387	4721210.30702156	3972967.15540772	5741805.50345771	4287345.69197957	4177618.3125819	5888566.84340457	3966585.06699532	4834061.78444764	4462266.31580247
3815470.97282484	3323289.64822234	3206097.22195512	2920924.40751181	2381442.87021039	2953903.56621714	2663067.40623588	2556309.0620817	3264327.35939876	2060923.92381049	2858965.8092415	2384969.78881453
21973.5455124025	16092.9632402343	14923.0276271484	22375.5114048343	21648.8312970424	20100.1930669829	19498.06670625	22130.4617865535	21824.5385901863	14657.27087816	21114.3645974126	20268.4360570313
4857158.93737246	4030475.8340829	4269397.33012536	3512842.2370324	2877046.41855685	4259973.47723174	2962606.53875373	3057141.09900846	4338241.94256249	3108385.01270411	3476768.60180721	3342363.69743076
2108131.79680028	1904100.59048257	2116660.15084054	1945115.28378545	1240498.09053459	1835546.21183296	1526324.32970515	1511248.15471322	1276978.69948393	997305.349280194	1308307.55892106	1272301.89799901
4420561.64356181	3685598.81822689	3531108.96818398	3451628.69004259	2547701.67657691	3469360.553481	2738164.75093319	3147311.07356008	3108999.80450532	2155173.92307251	3038748.78406751	2421466.69749902
