,Node_1,Node_2,level
1273,6954,2246,L2
1274,8150,9987,L2
1276,22402,7050,L2
1279,48522,31325,L2
1280,6955,2250,L2
1285,80090,51246,L2
1290,6807,42430,L2
1291,35466,43405,L2
1292,50789,40012,L2
1294,51716,70887,L2
1296,50896,9628,L2
1297,48872,1776,L2
1305,65009,44092,L2
1307,50794,22604,L2
1312,32940,6887,L2
1314,10468,70613,L2
1315,48519,51241,L2
1316,42981,43523,L2
1320,65009,44093,L2
1321,44248,44265,L2
1323,8152,44238,L2
1324,50896,9719,L2
1327,51641,70727,L2
1328,80090,19216,L2
1330,48522,45807,L2
1333,8152,44237,L2
1336,9058,9059,L2
1342,60284,46668,L2
1343,51239,51241,L2
1344,19220,45936,L2
1345,10627,10740,L2
1346,50794,42127,L2
1349,48518,48584,L2
1350,51240,44253,L2
1355,51239,51240,L2
1356,51186,51188,L2
1362,10627,10741,L2
1366,6725,42723,L2
1367,51239,1817,L2
1369,51248,32269,L2
1373,44238,5975,L2
1374,42221,6935,L2
1375,44238,6519,L2
1377,51179,51641,L2
1378,9987,1775,L2
1379,34641,44106,L2
1381,8219,12501,L2
1387,8150,32501,L2
1388,48523,7162,L2
1394,43065,6917,L2
1395,10035,46685,L2
1397,48523,45806,L2
1400,50896,6950,L2
1402,9987,32940,L2
1404,8150,32502,L2
1405,31399,1932,L2
1408,6807,9308,L2
1409,60255,51252,L2
1410,50789,90046,L2
1411,51094,45766,L2
1413,7049,22402,L2
1415,7154,7412,L2
1416,45806,50765,L2
1417,42327,1934,L2
1422,31325,45935,L2
1423,30030,31175,L2
1424,50793,45191,L2
1425,6417,6446,L2
1426,48583,50795,L2
1427,8284,70665,L2
1428,9719,10243,L2
1431,50789,32879,L2
1434,32846,31652,L2
1435,51128,33043,L2
1440,51338,43549,L2
1441,42221,6979,L2
1446,50789,19222,L2
1447,31399,31400,L2
1450,51129,45806,L2
1451,51726,45787,L2
1454,9987,30029,L2
1455,7584,33273,L2
1457,51050,31340,L2
1458,6916,45884,L2
1459,16044,6998,L2
1462,42330,6935,L2
1469,9617,2237,L2
1471,51726,45786,L2
1472,10627,46425,L2
1476,46483,33013,L2
1477,51270,51272,L2
1483,16458,31047,L2
1489,42440,42168,L2
1490,31341,31343,L2
1491,35466,10627,L2
1492,6979,302,L2
1494,51239,34103,L2
1495,51270,51271,L2
1498,44249,18130,L2
1502,50900,30595,L2
1503,16458,16441,L2
1504,19222,51171,L2
1505,31343,1912,L2
1506,51051,51048,L2
1508,31323,51174,L2
1509,1934,10800,L2
1510,30030,32796,L2
1513,31323,33238,L2
1514,9893,45834,L2
1516,50793,22603,L2
