"SUID","edgeType_all_genes","interaction","name","selected","shared interaction","shared name"
"1584255","black","pp","7167 (pp) 7169","false","pp","7167 (pp) 7169"
"1584257","black","pp","51052 (pp) 6275","false","pp","51052 (pp) 6275"
"1584259","black","pp","46128 (pp) 46085","false","pp","46128 (pp) 46085"
"1584262","black","pp","6979 (pp) 34599","false","pp","6979 (pp) 34599"
"1584265","black","pp","3018 (pp) 43114","false","pp","3018 (pp) 43114"
"1584268","black","pp","9889 (pp) 46890","false","pp","9889 (pp) 46890"
"1584271","black","pp","45792 (pp) 30308","false","pp","45792 (pp) 30308"
"1584273","black","pp","90046 (pp) 90047","false","pp","90046 (pp) 90047"
"1584276","black","pp","31328 (pp) 45740","false","pp","31328 (pp) 45740"
"1584278","black","pp","6954 (pp) 2526","false","pp","6954 (pp) 2526"
"1584281","black","pp","34622 (pp) 43623","false","pp","34622 (pp) 43623"
"1584284","black","pp","51251 (pp) 50870","false","pp","51251 (pp) 50870"
"1584287","black","pp","45935 (pp) 51054","false","pp","45935 (pp) 51054"
"1584290","black","pp","46483 (pp) 42558","false","pp","46483 (pp) 42558"
"1584292","black","pp","48518 (pp) 48522","false","pp","48518 (pp) 48522"
"1584295","black","pp","33036 (pp) 70727","false","pp","33036 (pp) 70727"
"1584297","black","pp","48519 (pp) 51129","false","pp","48519 (pp) 51129"
"1584300","black","pp","51049 (pp) 51050","false","pp","51049 (pp) 51050"
"1584303","black","pp","2682 (pp) 2683","false","pp","2682 (pp) 2683"
"1584304","black","pp","44282 (pp) 34656","false","pp","44282 (pp) 34656"
"1584306","black","pp","50871 (pp) 30890","false","pp","50871 (pp) 30890"
"1584308","black","pp","48523 (pp) 10639","false","pp","48523 (pp) 10639"
"1584309","black","pp","9893 (pp) 10604","false","pp","9893 (pp) 10604"
"1584311","black","pp","43549 (pp) 45859","false","pp","43549 (pp) 45859"
"1584313","black","pp","48522 (pp) 10638","false","pp","48522 (pp) 10638"
"1584315","black","pp","9891 (pp) 10557","false","pp","9891 (pp) 10557"
"1584318","black","pp","32386 (pp) 32388","false","pp","32386 (pp) 32388"
"1584321","black","pp","16337 (pp) 34109","false","pp","16337 (pp) 34109"
"1584323","black","pp","6917 (pp) 8629","false","pp","6917 (pp) 8629"
"1584326","black","pp","10647 (pp) 9967","false","pp","10647 (pp) 9967"
"1584328","black","pp","35466 (pp) 70302","false","pp","35466 (pp) 70302"
"1584330","black","pp","16044 (pp) 10324","false","pp","16044 (pp) 10324"
"1584332","black","pp","35467 (pp) 70303","false","pp","35467 (pp) 70303"
"1584335","black","pp","7435 (pp) 60662","false","pp","7435 (pp) 60662"
"1584337","black","pp","33674 (pp) 45860","false","pp","33674 (pp) 45860"
