,Node_1,Node_2,level
213,6810,46903,L3
214,6139,34654,L3
216,2682,2685,L3
217,50792,45069,L3
218,43900,43901,L3
219,46483,18130,L3
220,71495,32870,L3
221,2699,2705,L3
223,48468,48666,L3
224,48660,48661,L3
226,1934,33138,L3
227,19627,50,L3
228,31650,31620,L3
229,48511,42698,L3
231,48519,9892,L3
232,6163,9150,L3
233,44255,44242,L3
234,19882,19884,L3
235,9987,30030,L3
236,2682,2684,L3
237,6139,34655,L3
239,55086,34656,L3
240,51726,51445,L3
241,50789,44087,L3
242,9072,9074,L3
243,51130,10770,L3
246,30168,70527,L3
247,44281,42180,L3
248,9987,51641,L3
249,9058,16051,L3
250,6778,42168,L3
251,42221,7584,L3
253,44281,19627,L3
254,50789,31341,L3
255,1910,1912,L3
256,50790,51338,L3
257,9889,9891,L3
258,9056,44248,L3
261,16192,16197,L3
262,9892,9890,L3
263,30154,30099,L3
264,90304,6259,L3
265,9893,44253,L3
267,16265,8219,L3
270,10033,2237,L3
271,51239,31650,L3
273,2366,2285,L3
274,1932,33135,L3
275,50731,42531,L3
276,8152,9058,L3
278,9725,32870,L3
280,10941,60548,L3
281,51493,51495,L3
282,51186,6732,L3
283,31341,1910,L3
285,51049,32386,L3
287,48522,8284,L3
288,10033,34097,L3
289,32886,70507,L3
290,32268,32270,L3
291,42558,46146,L3
292,30030,48858,L3
293,44092,43086,L3
295,48522,10942,L3
296,3,32504,L3
297,51252,43487,L3
298,45936,42326,L3
299,5996,19321,L3
300,48584,50778,L3
301,8150,3,L3
302,30154,30182,L3
303,65009,50790,L3
305,23056,9967,L3
306,48585,70303,L3
307,45321,2366,L3
308,9058,44249,L3
309,1776,2260,L3
311,70887,34599,L3
312,9308,44106,L3
313,6950,6986,L3
314,45859,61097,L3
315,8152,9056,L3
318,51186,6778,L3
319,23052,23033,L3
320,32101,50920,L3
321,32103,50729,L3
323,43170,43412,L3
324,22414,48609,L3
325,45321,2274,L3
326,50794,30155,L3
327,22414,22415,L3
328,6629,44255,L3
331,9725,48545,L3
332,43065,8633,L3
333,2260,43029,L3
334,2684,2699,L3
335,18,45191,L3
336,50896,9605,L3
338,50688,50691,L3
339,6996,16050,L3
340,1776,2262,L3
341,48518,31343,L3
342,9056,16042,L3
344,80134,61041,L3
345,2684,2696,L3
348,31325,32270,L3
349,9893,31325,L3
350,9607,51707,L3
351,48545,43627,L3
352,32269,31400,L3
353,48523,60548,L3
354,10627,51896,L3
355,51171,51173,L3
356,50818,50819,L3
357,2443,2444,L3
358,2697,2698,L3
359,9966,10627,L3
361,60255,51052,L3
362,8015,43114,L3
365,44087,43254,L3
366,6082,16054,L3
367,30334,30336,L3
368,10712,10714,L3
370,51438,51439,L3
372,43170,9057,L3
373,45859,43405,L3
374,16477,50900,L3
375,35467,10642,L3
376,35466,42058,L3
377,50789,50794,L3
379,44262,44275,L3
380,44282,46164,L3
381,10640,10642,L3
382,50794,51270,L3
383,44283,46165,L3
384,31400,1933,L3
386,6082,16053,L3
387,30334,30335,L3
388,35466,10640,L3
389,43170,44260,L3
390,9987,44237,L3
391,16043,6996,L3
392,51101,51090,L3
396,90068,45840,L3
397,51049,60627,L3
398,44265,44257,L3
399,1932,1934,L3
400,43170,9059,L3
401,80135,70302,L3
402,45637,2761,L3
404,48513,48534,L3
406,16043,32989,L3
407,60627,30100,L3
409,10646,10647,L3
410,44238,6629,L3
413,9617,42742,L3
414,50896,42221,L3
415,46483,6014,L3
416,1932,1933,L3
417,50896,9607,L3
418,2637,45191,L3
419,34097,34612,L3
420,5975,44262,L3
422,48519,2683,L3
424,10468,10629,L3
426,10646,10648,L3
428,32269,45861,L3
429,51234,45184,L3
430,6519,6575,L3
431,8284,50679,L3
432,32844,31650,L3
434,48731,60541,L3
435,32844,45124,L3
436,10647,35468,L3
439,6575,6576,L3
440,8150,65007,L3
441,51240,1819,L3
445,50794,50865,L3
446,90066,32535,L3
448,10648,9968,L3
449,16043,61024,L3
450,44237,6790,L3
452,65008,50878,L3
453,42221,10033,L3
455,50793,51094,L3
456,44262,34637,L3
457,51239,50818,L3
458,48519,48585,L3
460,33674,90218,L3
461,8284,48146,L3
462,51171,45428,L3
463,2260,1782,L3
466,44237,6793,L3
467,50789,50792,L3
468,10648,35467,L3
469,50790,51336,L3
471,34641,6139,L3
473,50776,2697,L3
474,51249,45619,L3
475,34621,34622,L3
476,31399,31401,L3
477,45191,45830,L3
478,44281,46950,L3
479,51241,50819,L3
480,10556,6417,L3
481,9987,8037,L3
483,50789,50793,L3
484,44248,44242,L3
487,42221,10035,L3
488,16477,60326,L3
489,5996,46365,L3
490,19216,45833,L3
491,8150,16032,L3
492,50793,51960,L3
493,48731,2520,L3
495,2694,2695,L3
496,44237,34641,L3
497,8150,23052,L3
499,45621,45582,L3
501,60341,32386,L3
502,44271,9309,L3
503,10564,7096,L3
506,46483,42430,L3
508,51246,51248,L3
511,9058,44283,L3
513,10740,43410,L3
514,8150,8283,L3
516,51246,51247,L3
517,6796,16311,L3
518,33043,31338,L3
519,51716,33554,L3
521,46649,42110,L3
522,48193,6892,L3
523,31650,31652,L3
524,32502,48869,L3
525,31349,50729,L3
526,44281,6082,L3
527,51239,45765,L3
528,48284,6906,L3
530,42060,2246,L3
531,46838,46855,L3
533,2694,2696,L3
534,10033,9725,L3
535,60255,51246,L3
536,50794,33043,L3
537,44248,42219,L3
538,34637,46364,L3
539,32270,31401,L3
541,33043,10639,L3
545,61024,61025,L3
546,48519,48523,L3
552,33043,10638,L3
554,6778,6779,L3
555,8150,51234,L3
556,6796,16310,L3
557,8150,40011,L3
559,46700,46218,L3
561,33013,33014,L3
563,46483,46700,L3
566,2889,45191,L3
567,6469,45736,L3
569,43280,6919,L3
571,16043,30030,L3
572,48518,51130,L3
573,40013,30336,L3
577,48584,31349,L3
578,19219,51252,L3
579,19216,45834,L3
580,45786,7050,L3
582,2237,32496,L3
583,70303,32873,L3
584,32787,6631,L3
585,19222,31323,L3
586,65009,10469,L3
587,43067,43069,L3
588,2376,6955,L3
589,50920,50921,L3
590,44248,42744,L3
591,8150,8152,L3
592,50817,7596,L3
593,10638,51785,L3
594,45619,45621,L3
596,9987,34621,L3
597,2697,2699,L3
598,43412,6464,L3
599,9607,6986,L3
600,10033,43331,L3
601,42981,43065,L3
602,9890,31327,L3
603,51234,6810,L3
604,50920,50926,L3
605,51246,32268,L3
609,50789,48583,L3
610,51239,51960,L3
612,31324,31327,L3
613,51674,48870,L3
614,10564,90068,L3
616,90109,51893,L3
617,50794,10646,L3
618,7610,7626,L3
619,6807,42723,L3
620,51130,45807,L3
623,51348,33673,L3
624,30154,48468,L3
625,90047,51091,L3
627,50794,31344,L3
628,50790,43086,L3
629,19222,44246,L3
630,45123,50901,L3
631,51128,90109,L3
632,42168,6783,L3
635,10466,43154,L3
636,51094,45597,L3
638,1775,45321,L3
639,31652,31622,L3
640,48523,10648,L3
641,45597,45621,L3
642,44238,6139,L3
643,6631,33559,L3
644,7005,7006,L3
646,44237,42180,L3
647,50790,43085,L3
648,9605,9991,L3
649,10743,10744,L3
650,44262,46838,L3
651,42981,43066,L3
652,278,51439,L3
653,9987,8219,L3
654,9966,9967,L3
655,2699,1912,L3
657,9966,10469,L3
659,43067,46668,L3
660,40017,30335,L3
662,70727,34613,L3
663,10564,40020,L3
664,51783,51785,L3
665,9966,9968,L3
670,51050,32388,L3
671,44248,46700,L3
672,51649,32940,L3
673,9889,10556,L3
675,51128,30100,L3
676,48585,2832,L3
677,10604,51054,L3
678,32844,32846,L3
679,51052,51054,L3
680,80134,31347,L3
683,48522,45785,L3
685,6950,9409,L3
686,6139,90304,L3
688,50865,50866,L3
689,9611,6954,L3
690,50793,45595,L3
691,9059,34645,L3
692,42981,43281,L3
695,32787,46487,L3
696,32502,9790,L3
697,6950,9408,L3
698,51128,31344,L3
699,9987,51716,L3
700,44237,6725,L3
701,51239,45637,L3
702,60255,10604,L3
703,50865,50867,L3
704,6725,9112,L3
706,9117,6163,L3
707,5996,46364,L3
708,32944,50670,L3
709,48584,32103,L3
710,32268,31399,L3
711,51239,45191,L3
714,30335,10595,L3
715,32502,48646,L3
717,45859,6469,L3
718,48522,45787,L3
719,60255,10605,L3
720,22603,60688,L3
721,61097,7176,L3
723,22407,22408,L3
724,44270,34655,L3
725,42221,70887,L3
726,44238,19538,L3
727,44262,6020,L3
728,50730,42509,L3
729,6066,46165,L3
730,31347,50688,L3
731,43436,19752,L3
732,48518,40017,L3
733,48869,32989,L3
734,51051,45806,L3
735,6807,42558,L3
736,9987,7155,L3
737,42221,42493,L3
738,40012,50920,L3
739,2520,48534,L3
741,45786,45736,L3
742,44249,44271,L3
743,6519,6520,L3
744,51338,51347,L3
745,32501,50817,L3
748,45833,51055,L3
749,48518,51094,L3
750,2250,2460,L3
753,23046,23060,L3
754,51338,51348,L3
755,45321,46649,L3
756,6950,6952,L3
757,51789,6986,L3
758,2682,45637,L3
759,44253,10714,L3
760,42326,1933,L3
761,7346,45931,L3
762,32870,71375,L3
763,19752,46502,L3
764,2683,2698,L3
765,2376,2520,L3
766,44106,6520,L3
768,2832,50687,L3
770,51050,51222,L3
771,51130,10638,L3
773,19216,46890,L3
775,45595,45619,L3
776,60255,10556,L3
777,6066,46164,L3
779,9056,16052,L3
781,43900,50688,L3
782,40011,52192,L3
784,6950,33554,L3
785,10646,9966,L3
786,9892,45833,L3
789,44260,44265,L3
790,79,45736,L3
791,40008,45926,L3
792,10953,10955,L3
793,6955,2263,L3
794,50866,2695,L3
796,9987,6928,L3
797,31325,10562,L3
798,2526,6953,L3
799,2684,2687,L3
801,50794,90109,L3
802,22603,46668,L3
804,2683,2695,L3
805,23052,7267,L3
807,10038,32025,L3
808,6800,42743,L3
809,50794,80135,L3
811,50896,7610,L3
815,48666,31175,L3
816,10942,43068,L3
817,50776,50778,L3
819,32501,8037,L3
820,44260,44267,L3
821,33673,6469,L3
822,18130,42559,L3
827,32501,7275,L3
828,10605,51248,L3
829,22414,3006,L3
830,50789,43900,L3
831,22604,10769,L3
833,8284,48661,L3
836,50794,60627,L3
837,8150,48511,L3
838,50896,51716,L3
840,8152,55114,L3
841,10604,10714,L3
842,33554,34599,L3
843,12502,6917,L3
844,50730,50731,L3
845,45619,45580,L3
846,43067,43068,L3
847,48522,50867,L3
848,48534,30097,L3
849,302,34614,L3
850,42742,50829,L3
853,16197,32509,L3
855,16192,6906,L3
859,46483,9112,L3
861,16337,7159,L3
863,6996,7010,L3
865,5975,16052,L3
867,22607,30031,L3
869,9308,9309,L3
870,51188,6779,L3
871,46700,6195,L3
872,50764,50765,L3
873,10324,6897,L3
874,44246,44253,L3
875,31047,35194,L3
876,48731,48513,L3
877,42325,43549,L3
878,43068,12502,L3
879,31324,32269,L3
880,10629,16458,L3
881,45055,43299,L3
884,46483,6220,L3
885,50789,2682,L3
886,16337,7157,L3
888,50794,51726,L3
889,40008,1558,L3
890,44260,34645,L3
891,31338,31340,L3
892,51726,7346,L3
893,52548,43281,L3
894,46903,32940,L3
895,9966,43405,L3
897,2376,45321,L3
898,51924,10522,L3
900,50900,45123,L3
902,60255,10468,L3
904,50789,51128,L3
905,6725,9072,L3
906,65008,46902,L3
908,48522,51272,L3
909,51174,19220,L3
912,9987,48869,L3
913,45191,48296,L3
914,10769,10770,L3
915,48518,51050,L3
917,10639,51494,L3
918,2274,2275,L3
919,43549,43550,L3
921,60627,17157,L3
922,44249,19438,L3
923,42219,42402,L3
924,10033,45471,L3
925,6996,48285,L3
927,19220,42325,L3
928,6996,48284,L3
930,5975,16051,L3
931,43122,43123,L3
934,43933,34621,L3
935,7409,7412,L3
936,48523,8285,L3
937,51239,60688,L3
938,51046,51048,L3
939,32501,3008,L3
941,35468,10740,L3
942,43069,43066,L3
945,6935,60326,L3
946,46649,42113,L3
947,51270,30334,L3
948,16043,22411,L3
951,2366,2275,L3
952,9987,7154,L3
953,32502,7568,L3
954,32501,1763,L3
955,43933,65003,L3
956,6725,46502,L3
957,48519,45926,L3
959,6996,7005,L3
962,44281,55086,L3
965,50896,6955,L3
966,50864,45191,L3
968,51641,51649,L3
969,71359,31050,L3
970,19438,42559,L3
971,10556,45449,L3
973,16054,46395,L3
975,2376,19882,L3
977,44271,42559,L3
980,44087,90109,L3
983,30154,22008,L3
985,31348,50687,L3
986,44093,51099,L3
987,8150,2376,L3
988,1775,30168,L3
991,9967,10740,L3
992,44275,46365,L3
993,50794,60341,L3
994,7165,23036,L3
995,1558,30308,L3
996,19222,60255,L3
999,45787,45931,L3
1001,65008,43114,L3
1003,51246,70613,L3
1005,65009,51098,L3
1007,70997,51402,L3
1008,7088,45840,L3
1009,1819,32481,L3
1011,7155,33627,L3
1012,32502,48856,L3
1015,32879,60341,L3
1017,42743,42744,L3
1020,60341,17157,L3
1021,2685,2687,L3
1022,7599,7596,L3
1024,23051,23056,L3
1026,46425,46427,L3
1028,2252,2443,L3
1030,51272,30335,L3
1031,51128,51129,L3
1032,48583,2831,L3
1034,31347,31348,L3
1035,44282,42219,L3
1037,10035,10038,L3
1038,6520,9063,L3
1040,10564,7088,L3
1041,6950,1666,L3
1042,23046,23036,L3
1043,19219,45449,L3
1044,2685,2688,L3
1045,16070,6396,L3
1046,7005,8637,L3
1048,23051,23057,L3
1049,30334,2685,L3
1051,34621,8154,L3
1052,16042,44242,L3
1053,9987,16458,L3
1054,6897,6909,L3
1056,10033,10243,L3
1059,42592,60249,L3
1060,8150,22610,L3
1061,7155,16337,L3
1062,34284,9746,L3
1063,33238,33240,L3
1064,51098,51101,L3
1065,10770,10718,L3
1066,42127,8285,L3
1070,2695,51250,L3
1071,46850,45124,L3
1073,50794,7165,L3
1074,32990,48858,L3
1075,32502,9653,L3
1077,51050,45807,L3
1078,80134,80135,L3
1080,42430,42434,L3
1081,9117,6220,L3
1082,16044,6944,L3
1085,6944,6906,L3
1086,42127,8284,L3
1087,51704,51707,L3
1088,51707,52173,L3
1089,44248,44270,L3
1090,31347,31349,L3
1091,9057,44265,L3
1092,30162,45861,L3
1093,45595,60284,L3
1094,50794,48523,L3
1096,46148,6783,L3
1097,45597,10744,L3
1099,44249,51188,L3
1100,48585,31348,L3
1102,45787,45840,L3
1103,33273,33280,L3
1104,44237,44262,L3
1105,40011,48870,L3
1106,7010,30036,L3
1107,30100,50764,L3
1108,45926,30308,L3
1109,44093,90047,L3
1110,10608,43487,L3
1111,50794,48522,L3
1112,8152,44281,L3
1115,46907,16197,L3
1117,10608,16441,L3
1118,10769,10717,L3
1120,8152,43170,L3
1122,32879,32880,L3
1123,31326,31328,L3
1126,34641,44270,L3
1127,22603,22604,L3
1128,10740,46427,L3
1130,42157,42158,L3
1131,55086,9112,L3
1133,42723,6772,L3
1134,8150,51179,L3
1135,44237,44260,L3
1136,6007,6096,L3
1137,6915,8633,L3
1138,44262,5996,L3
1139,31326,31327,L3
1140,42509,42531,L3
1142,1817,32479,L3
1144,34641,44271,L3
1145,6810,16192,L3
1147,51128,22604,L3
1149,34641,43603,L3
1150,48285,280,L3
1151,2694,51249,L3
1154,50794,10522,L3
1156,61025,6944,L3
1157,44246,10712,L3
1158,2376,1776,L3
1159,48858,48812,L3
1161,9266,9409,L3
1162,2698,50687,L3
1164,30155,22407,L3
1165,31326,45449,L3
1167,45597,45639,L3
1168,44237,46483,L3
1169,65009,90046,L3
1172,6928,48870,L3
1173,22402,51439,L3
1174,43550,90218,L3
1176,71310,32870,L3
1177,19751,6020,L3
1178,6954,2544,L3
1179,9266,9408,L3
1180,48584,48520,L3
1181,16043,43933,L3
1182,51726,79,L3
1184,50794,45454,L3
1185,50794,32886,L3
1187,30154,70306,L3
1188,44237,6519,L3
1189,9058,46148,L3
1190,43549,33673,L3
1191,10717,10718,L3
1192,31175,48812,L3
1195,50789,40008,L3
1196,6520,8652,L3
1197,55086,9116,L3
1198,9987,16192,L3
1199,71763,30264,L3
1200,6091,6096,L3
1202,31325,31328,L3
1203,8361,45792,L3
1204,43405,43406,L3
1205,6996,6997,L3
1206,5996,6040,L3
1208,30155,10810,L3
1209,32501,32504,L3
1210,42440,46148,L3
1211,45834,90218,L3
1213,42592,19725,L3
1214,43331,71359,L3
1215,9607,2237,L3
1218,6778,46502,L3
1220,19725,45454,L3
1221,44249,34645,L3
1222,44260,16070,L3
1223,22603,45765,L3
1224,48522,90068,L3
1225,42592,48871,L3
1226,10608,6417,L3
1229,43549,33674,L3
1230,9308,9310,L3
1231,10638,31340,L3
1232,2697,50688,L3
1234,10556,10557,L3
1235,42558,42559,L3
1236,42592,48872,L3
1237,48520,50921,L3
1238,44282,16054,L3
1240,50794,1558,L3
1241,9968,10741,L3
1243,51090,51091,L3
1244,19219,45935,L3
1246,44237,44255,L3
1247,2696,51251,L3
1248,9719,71495,L3
1249,51222,90316,L3
1250,46483,6163,L3
1251,3,22414,L3
1252,51098,51099,L3
1253,70302,70303,L3
1256,7626,42330,L3
1257,10467,6396,L3
1258,70663,70665,L3
1259,50778,2821,L3
1261,2697,1910,L3
1262,6955,2252,L3
1264,1775,2263,L3
1265,9893,51173,L3
1268,19538,6508,L3
1269,51726,10564,L3
1270,51248,10955,L3
1272,32101,50727,L3
1273,6954,2246,L3
1274,8150,9987,L3
1275,51098,43393,L3
1276,22402,7050,L3
1278,34103,46850,L3
1279,48522,31325,L3
1280,6955,2250,L3
1284,10712,32965,L3
1285,80090,51246,L3
1287,31400,31397,L3
1289,33043,51783,L3
1290,6807,42430,L3
1291,35466,43405,L3
1292,50789,40012,L3
1293,60284,10720,L3
1294,51716,70887,L3
1295,10952,43280,L3
1296,50896,9628,L3
1297,48872,1776,L3
1301,44106,6576,L3
1302,6810,15031,L3
1303,6575,42219,L3
1304,6163,6195,L3
1305,65009,44092,L3
1306,9112,46112,L3
1307,50794,22604,L3
1308,60284,10769,L3
1312,32940,6887,L3
1313,43299,43312,L3
1314,10468,70613,L3
1315,48519,51241,L3
1316,42981,43523,L3
1319,32944,32946,L3
1320,65009,44093,L3
1321,44248,44265,L3
1323,8152,44238,L3
1324,50896,9719,L3
1326,10468,10608,L3
1327,51641,70727,L3
1328,80090,19216,L3
1330,48522,45807,L3
1331,19216,43550,L3
1333,8152,44237,L3
1334,19538,44267,L3
1336,9058,9059,L3
1338,19321,6014,L3
1341,31326,71071,L3
1342,60284,46668,L3
1343,51239,51241,L3
1344,19220,45936,L3
1345,10627,10740,L3
1346,50794,42127,L3
1349,48518,48584,L3
1350,51240,44253,L3
1351,70301,42744,L3
1353,6139,55086,L3
1354,45859,45860,L3
1355,51239,51240,L3
1356,51186,51188,L3
1357,51173,45935,L3
1361,6839,46902,L3
1362,10627,10741,L3
1363,51052,18,L3
1364,46148,9113,L3
1365,2263,2366,L3
1366,6725,42723,L3
1367,51239,1817,L3
1369,51248,32269,L3
1370,50865,10543,L3
1371,31327,71072,L3
1372,32103,50921,L3
1373,44238,5975,L3
1374,42221,6935,L3
1375,44238,6519,L3
1376,6997,6998,L3
1377,51179,51641,L3
1378,9987,1775,L3
1379,34641,44106,L3
1381,8219,12501,L3
1383,16477,6929,L3
1384,34599,34614,L3
1386,50865,2694,L3
1387,8150,32501,L3
1388,48523,7162,L3
1389,10556,32965,L3
1390,19439,42436,L3
1394,43065,6917,L3
1395,10035,46685,L3
1397,48523,45806,L3
1398,44093,43085,L3
1399,55086,6753,L3
1400,50896,6950,L3
1402,9987,32940,L3
1403,7005,6626,L3
1404,8150,32502,L3
1405,31399,1932,L3
1406,50920,2688,L3
1408,6807,9308,L3
1409,60255,51252,L3
1410,50789,90046,L3
1411,51094,45766,L3
1412,46425,42509,L3
1413,7049,22402,L3
1415,7154,7412,L3
1416,45806,50765,L3
1417,42327,1934,L3
1418,8154,30041,L3
1420,8283,70661,L3
1422,31325,45935,L3
1423,30030,31175,L3
1424,50793,45191,L3
1425,6417,6446,L3
1426,48583,50795,L3
1427,8284,70665,L3
1428,9719,10243,L3
1431,50789,32879,L3
1433,50921,2690,L3
1434,32846,31652,L3
1435,51128,33043,L3
1436,51049,43269,L3
1437,43408,43410,L3
1439,42592,48878,L3
1440,51338,43549,L3
1441,42221,6979,L3
1442,6520,9072,L3
1446,50789,19222,L3
1447,31399,31400,L3
1448,12501,6915,L3
1449,22403,279,L3
1450,51129,45806,L3
1451,51726,45787,L3
1452,45765,45766,L3
1453,9112,6144,L3
1454,9987,30029,L3
1455,7584,33273,L3
1456,19439,9074,L3
1457,51050,31340,L3
1458,6916,45884,L3
1459,16044,6998,L3
1461,10038,10043,L3
1462,42330,6935,L3
1464,6629,16042,L3
1466,45860,43406,L3
1468,7006,46902,L3
1469,9617,2237,L3
1470,2687,2690,L3
1471,51726,45786,L3
1472,10627,46425,L3
1474,44283,16053,L3
1476,46483,33013,L3
1477,51270,51272,L3
1478,16032,22415,L3
1481,32501,48771,L3
1482,51251,45621,L3
1483,16458,31047,L3
1484,32989,902,L3
1485,18130,33014,L3
1486,44267,6457,L3
1487,55082,6873,L3
1489,42440,42168,L3
1490,31341,31343,L3
1491,35466,10627,L3
1492,6979,302,L3
1494,51239,34103,L3
1495,51270,51271,L3
1496,33043,51493,L3
1498,44249,18130,L3
1499,31326,6275,L3
1501,43603,19627,L3
1502,50900,30595,L3
1503,16458,16441,L3
1504,19222,51171,L3
1505,31343,1912,L3
1506,51051,51048,L3
1508,31323,51174,L3
1509,1934,10800,L3
1510,30030,32796,L3
1512,32101,32103,L3
1513,31323,33238,L3
1514,9893,45834,L3
1515,51049,51046,L3
1516,50793,22603,L3
1518,44248,19439,L3
1519,30100,45807,L3
1520,51439,51436,L3
1521,8152,6807,L3
1522,6732,6084,L3
1524,51171,19219,L3
1525,48468,904,L3
1526,19220,45937,L3
1527,44085,70271,L3
1530,6887,45055,L3
1532,50795,48520,L3
1533,48518,51240,L3
1534,48523,31324,L3
1535,9894,42176,L3
1536,43603,43604,L3
1537,30100,45806,L3
1539,19222,9894,L3
1540,65003,34622,L3
1542,10941,43067,L3
1545,44271,34654,L3
1546,50789,35466,L3
1547,2684,50778,L3
1549,19222,9893,L3
1551,48545,31960,L3
1552,30335,2687,L3
1554,46907,48193,L3
1557,80090,19219,L3
1558,19222,9892,L3
1560,19752,6520,L3
1561,44281,6766,L3
1562,48869,48468,L3
1563,7049,278,L3
1564,48856,48468,L3
1565,42180,43436,L3
1567,65008,90066,L3
1569,6020,46855,L3
1570,48870,16477,L3
1571,8150,44085,L3
1573,16192,6887,L3
1574,9987,22402,L3
1575,44265,6308,L3
1576,51246,42176,L3
1577,51239,45619,L3
1578,9072,6568,L3
1579,9891,31328,L3
1580,48522,51781,L3
1581,51171,33238,L3
1582,6081,46487,L3
1583,31324,10563,L3
1584,51128,51130,L3
1585,46649,2285,L3
1588,50794,45595,L3
1589,70302,32872,L3
1590,45595,10743,L3
1593,60255,10712,L3
1594,10740,43123,L3
1595,6790,42723,L3
1596,42127,48660,L3
1597,45639,2763,L3
1598,22414,7566,L3
1600,32879,51049,L3
1601,43408,70372,L3
1602,51785,45840,L3
1603,44237,6081,L3
1604,31323,31325,L3
1606,51179,33036,L3
1607,33013,6778,L3
1608,44265,43632,L3
1609,9611,42060,L3
1611,22414,7565,L3
1612,50921,50927,L3
1613,60326,30595,L3
1614,31323,31326,L3
1615,31323,19219,L3
1616,45449,51090,L3
1617,23060,7165,L3
1620,7165,35556,L3
1623,44255,6631,L3
1624,34097,70555,L3
1625,50878,7599,L3
1626,35466,35467,L3
1627,2685,2691,L3
1628,16043,22607,L3
1630,48583,80134,L3
1631,9987,22406,L3
1632,30100,48259,L3
1635,46483,42723,L3
1636,2682,2694,L3
1638,16050,6906,L3
1639,31323,31324,L3
1640,44237,6082,L3
1641,55086,34404,L3
1642,31396,51438,L3
1643,19538,30163,L3
1644,10033,9743,L3
1645,6066,5996,L3
1646,40029,16441,L3
1647,19882,2475,L3
1648,9057,30163,L3
1652,48583,32101,L3
1653,44260,42157,L3
1654,44237,51186,L3
1658,48522,10647,L3
1659,48523,30308,L3
1660,1932,50730,L3
1661,16053,46394,L3
1663,22406,22614,L3
1664,23057,9968,L3
1665,2274,42119,L3
1666,19222,80090,L3
1667,50794,31323,L3
1668,32268,32269,L3
1669,30155,7162,L3
1671,31399,31396,L3
1672,48856,48731,L3
1674,34645,42158,L3
1675,9889,9890,L3
1678,60284,50767,L3
1679,9889,31326,L3
1680,60688,60693,L3
1681,52547,52548,L3
1682,6220,9219,L3
1683,16044,7006,L3
