1	2	3	4	5	6	7	8	9	10	11	12
22437764.2851683	25484325.4279547	24785012.3750918	24142982.9304361	25506104.7548546	19074121.5816258	29121924.0995157	19729587.6654839	17773924.8929101	27832235.5173454	20595216.5905472	20880689.9048803
29023976.1258592	29683700.4599215	27918668.0032857	27924182.3775983	29882422.6996679	26727605.4525301	28616182.4858472	28145417.0032095	23241566.8301202	28782736.9150172	25917123.1790712	26493200.3792945
47317508.1195216	50181308.6481738	45174900.3175045	46425187.6346989	47685985.3168632	40433071.8211967	46856521.8561158	43489236.9771411	38187388.1876639	47416349.8603068	41623882.3115477	45020328.2742064
29132515.0285619	25263707.6019104	24431048.9397645	22375943.1454855	26644781.2372123	23510601.538325	27408939.010632	25526096.0302112	20921444.5560545	25937271.4651519	23497169.2311881	23342668.8185478
67370272.0061826	58590374.7902521	58985548.6031807	53801864.8082057	59886105.4365806	55222150.1142056	62595402.6172695	64607980.751654	49572395.5792064	57997024.9806645	59863089.3282342	54727166.6049447
35786726.6197818	24701336.5388913	26117691.6061272	28916536.2613559	26402442.2491236	33136479.9575016	31139149.2932656	26311555.832851	18821930.3589256	30153478.6447355	34217621.9963046	25612703.4435202
15315909.9785241	13266285.3932138	12537635.3155231	12591581.760556	13180407.8256962	13825200.3891944	15065928.1114891	14025692.1892599	10964898.4821937	13376372.2793307	13878799.1766629	13690313.1758762
18797076.2744298	15248200.3045532	15597913.9116278	14877296.1375071	16608825.6894151	15284677.7713416	15599030.3257708	16086928.6025163	11531809.4779844	16155528.6945847	15797606.017149	13357137.4972979
2576989.32488519	2487849.48044883	2482006.20240302	2526809.09861101	2547490.79094389	2162766.84091069	2607163.29803782	2588378.86443204	1914847.30123531	2513413.52807721	2338892.5135843	2586808.7851843
55017616.9473445	47144335.5226558	46545134.0275925	44137384.2500715	50139527.1369833	41895731.2470477	47417134.8449176	51732683.0927742	36969352.8447645	48267877.3411175	46727780.9395598	44288854.0591812
47581056.1906352	40506092.3739529	39591248.7047766	41022388.2989761	40767421.5084398	42875867.1147635	45463672.2640848	41628194.6765062	34617867.9639843	43805246.3856982	41904723.8604872	41143600.4110902
28265807.1478419	25276648.557837	23819618.4803318	23027548.0196668	25798212.3201473	21010921.8222568	24833364.8957562	26533297.4236628	18296806.4301078	25459430.7797214	24171354.9357757	22250660.6218231
29668331.3380386	24628749.8119972	24630263.5381783	23995917.7430996	24884248.14556	27111947.3976103	27373102.083819	26675188.3177632	24358242.5179251	24449125.7503307	23731059.5209694	25092412.0310702
12990949.5891198	10977088.8924474	10561469.507206	10451652.8031646	11107914.0384445	12207642.2639722	11482172.7448904	11524250.4994133	10044995.0866216	11410187.1069746	10872802.929459	10605546.208488
35274798.8097001	32486741.5616552	31307570.1696198	32318865.7496974	32752667.7771364	30390799.5505587	32502071.7061605	32463930.4137192	24917236.6837127	31687922.9599403	30843964.5224589	30951005.7018092
43670095.40875	41446675.7327423	39024048.7766727	38736267.9897719	41285475.8375317	36262191.6283354	41915548.0245267	41226943.3411142	33001942.2772243	40255492.7637821	38541000.1949688	38167155.2600498
14442359.4930215	13496862.1451424	12594316.0048511	12754658.5901073	13234973.9307069	11476382.6904475	13848826.5398051	13402523.2588386	10702481.9796539	13646962.7387156	12980616.4539793	13130006.8245872
71655630.1629712	59221903.6637923	59351658.7783668	59416845.9318301	61428260.1152976	61011668.2007397	62082984.4995873	63810650.5793174	45346202.5454931	60639959.4929656	63452899.4732062	61168622.6737042
31908870.746802	27511808.8263927	25266847.2323816	26164556.7050942	27995390.4470245	24587937.4201283	29905499.6008252	28541659.6017451	23229064.4985814	29752020.2684833	28007548.633804	28725802.5178136
15901601.1786325	11820512.9399925	12703076.8094355	12022146.3713982	12273786.7891967	13061426.1512549	15516194.0192752	14627623.6654952	9689794.32439296	12032339.2444726	14149055.4296469	13430417.5262417
