"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"BLK",0,1.38250691689079,0.622,0.008,0,"B","BLK"
"CD40",0,1.37944673583833,0.638,0.026,0,"B","CD40"
"BLNK",0,1.35522780550685,0.662,0.016,0,"B","BLNK"
"CD72",0,1.34986629312906,0.512,0.015,0,"B","CD72"
"FCGR2B",0,1.30663872768876,0.614,0.029,0,"B","FCGR2B"
"IGHD",0,1.30129218690683,0.477,0.004,0,"B","IGHD"
"MARCH11",0,1.27440481791238,0.678,0.1,0,"B","MARCH1"
"PDLIM1",0,1.25449214133338,0.665,0.03,0,"B","PDLIM1"
"TNFRSF13C",0,1.2388445368672,0.586,0.012,0,"B","TNFRSF13C"
"SYK1",0,1.21387454997798,0.718,0.15,0,"B","SYK"
"EAF2",0,1.20648922187212,0.59,0.069,0,"B","EAF2"
"BCL11A",0,1.16278408433017,0.588,0.041,0,"B","BCL11A"
"COBLL1",0,1.13755578599021,0.525,0.01,0,"B","COBLL1"
"IGLC3",0,1.11848365630812,0.286,0.004,0,"B","IGLC3"
"LY861",0,1.11279267888072,0.691,0.121,0,"B","LY86"
"RUBCNL",0,1.11171344135583,0.523,0.014,0,"B","RUBCNL"
"TNFRSF13B",0,1.08202822077305,0.485,0.005,0,"B","TNFRSF13B"
"FCRL3",0,1.07153206852449,0.465,0.03,0,"B","FCRL3"
"LYN1",0,1.06249853691425,0.806,0.178,0,"B","LYN"
"CD1C",0,1.0555914778819,0.406,0.015,0,"B","CD1C"
"PAX5",0,1.05156334914197,0.492,0.002,0,"B","PAX5"
"GNG7",0,1.0481863657343,0.523,0.035,0,"B","GNG7"
"CCDC50",0,1.04323386588487,0.555,0.066,0,"B","CCDC50"
"PLCG2",0,1.04267923041166,0.566,0.068,0,"B","PLCG2"
"FCRL2",0,1.02729486422832,0.438,0.002,0,"B","FCRL2"
"PALM2-AKAP2",0,1.01648801535355,0.5,0.046,0,"B","PALM2-AKAP2"
"TLR10",0,0.988625916893055,0.451,0.007,0,"B","TLR10"
"CPNE5",0,0.942290484018692,0.416,0.012,0,"B","CPNE5"
"IGLC2",0,0.941650336206635,0.309,0.007,0,"B","IGLC2"
"CIITA1",0,0.93594163671456,0.541,0.077,0,"B","CIITA"
"FAM30A",0,0.931001934695515,0.338,0.01,0,"B","FAM30A"
"HLA-DOA",0,0.910817276538261,0.456,0.036,0,"B","HLA-DOA"
"CXCR5",0,0.907996596526335,0.449,0.031,0,"B","CXCR5"
"IGHA1",0,0.897092206235972,0.392,0.02,0,"B","IGHA1"
"CD180",0,0.889099520677302,0.427,0.02,0,"B","CD180"
"PLD4",0,0.877930008372048,0.463,0.045,0,"B","PLD4"
"PNOC",0,0.866511008375064,0.422,0.008,0,"B","PNOC"
"SEMA4B",0,0.8527596981013,0.456,0.042,0,"B","SEMA4B"
"PKIG",0,0.849151425145397,0.427,0.015,0,"B","PKIG"
"E2F5",0,0.831138314850117,0.4,0.028,0,"B","E2F5"
"FCRL5",0,0.811162249210342,0.302,0.004,0,"B","FCRL5"
"SNX22",0,0.807619005599879,0.376,0.015,0,"B","SNX22"
"TSPAN13",0,0.805267736306099,0.316,0.009,0,"B","TSPAN13"
"NAPSA",0,0.787517144706024,0.436,0.05,0,"B","NAPSA"
"PLEKHG1",0,0.78253018582414,0.378,0.006,0,"B","PLEKHG1"
"TSPAN33",0,0.762328602269606,0.455,0.029,0,"B","TSPAN33"
"AIM2",0,0.743372504067611,0.368,0.012,0,"B","AIM2"
"BACE2",0,0.728986470486387,0.336,0.006,0,"B","BACE2"
"LINC02397",0,0.728963188557468,0.32,0.002,0,"B","LINC02397"
"IGHV5-78",0,0.704061244783815,0.34,0.001,0,"B","IGHV5-78"
"CNR2",0,0.701190096880546,0.326,0.006,0,"B","CNR2"
"CLECL1",0,0.697483183453555,0.342,0.018,0,"B","CLECL1"
"CLEC17A",0,0.668985262206204,0.302,0.002,0,"B","CLEC17A"
"STAP1",0,0.656708875747541,0.32,0.013,0,"B","STAP1"
"JCHAIN",0,0.642145817858384,0.35,0.017,0,"B","JCHAIN"
"MZB1",0,0.638025723496808,0.37,0.016,0,"B","MZB1"
"OSBPL10",0,0.636265664660863,0.332,0.022,0,"B","OSBPL10"
"SETBP1",0,0.605545962527892,0.297,0.016,0,"B","SETBP1"
"EBF1",0,0.588093236320693,0.282,0.001,0,"B","EBF1"
"CDK14",0,0.563248884634611,0.258,0.008,0,"B","CDK14"
"IGHG1",0,0.527878936275864,0.255,0.002,0,"B","IGHG1"
"BASP11",1.70528621940597e-307,0.900484184142369,0.537,0.086,3.6607379271988e-303,"B","BASP1"
"BTK1",2.84423830873282e-304,0.860496559424383,0.507,0.08,6.10572637735675e-300,"B","BTK"
"QRSL1",2.96913191834145e-304,0.867001520539429,0.477,0.07,6.37383548910359e-300,"B","QRSL1"
"KMO",4.79293149694297e-304,0.610676531282853,0.33,0.03,1.02889860444875e-299,"B","KMO"
"GAPT",1.31404078082349e-303,0.835821366288055,0.461,0.064,2.82085134419379e-299,"B","GAPT"
"HDAC9",5.38209215931702e-300,0.712697472752606,0.38,0.042,1.15537372384058e-295,"B","HDAC9"
"LARGE2",1.00699380482985e-299,0.588894897759317,0.302,0.024,2.16171360082824e-295,"B","LARGE2"
"TSPAN3",3.72048585236435e-298,1.01899293387225,0.586,0.114,7.98676697927055e-294,"B","TSPAN3"
"SP140",6.04158899840487e-295,1.14978222084481,0.695,0.172,1.29694791028757e-290,"B","SP140"
"ALOX51",3.49488808859422e-292,1.10974547638233,0.624,0.131,7.50247625978521e-288,"B","ALOX5"
"PARP15",4.58774870113642e-292,1.01583522045783,0.572,0.11,9.84852013672955e-288,"B","PARP15"
"CLIC4",3.23228411140934e-288,0.571511836041211,0.303,0.026,6.93874430196243e-284,"B","CLIC4"
"FADS3",5.05557412461732e-285,0.715994175269839,0.343,0.035,1.0852800973316e-280,"B","FADS3"
"SMIM14",5.53339573869245e-284,1.16320528836337,0.6,0.13,1.18785406322511e-279,"B","SMIM14"
"WDFY4",3.0778447141765e-281,0.634270789831261,0.343,0.036,6.60720924792269e-277,"B","WDFY4"
"NCF11",1.14756587387059e-279,1.21087225875417,0.961,0.394,2.463479661438e-275,"B","NCF1"
"SEL1L3",3.23112398678e-277,0.999273670915272,0.574,0.117,6.93625386242062e-273,"B","SEL1L3"
"FGD21",9.11098091828605e-277,0.822244381794379,0.521,0.091,1.95585427372847e-272,"B","FGD2"
"CD831",3.32145739801522e-276,1.19697910431119,0.617,0.131,7.13017259631927e-272,"B","CD83"
"MARCKS1",1.10101087106965e-271,0.936556809272997,0.602,0.119,2.36354003692522e-267,"B","MARCKS"
"STX71",1.97282513498649e-264,1.0834513526697,0.624,0.149,4.23506371727549e-260,"B","STX7"
"LAT21",5.42381749162956e-254,0.879573741675411,0.577,0.12,1.16433090092812e-249,"B","LAT2"
"GGA2",2.92848167906731e-252,0.935701680001947,0.58,0.13,6.28657162045379e-248,"B","GGA2"
"SH2B2",2.51560261995509e-241,0.606638017885207,0.319,0.037,5.40024414425758e-237,"B","SH2B2"
"STRBP",1.02648767401623e-237,0.811689548561758,0.46,0.083,2.20356108981063e-233,"B","STRBP"
"HHEX1",6.15488749131248e-233,0.711579911775905,0.457,0.082,1.32126969776005e-228,"B","HHEX"
"SYNGR21",1.12390452130873e-228,1.18911160339808,0.918,0.477,2.41268583589344e-224,"B","SYNGR2"
"TPD52",1.60969259349552e-228,0.901235497572331,0.584,0.141,3.45552709045684e-224,"B","TPD52"
"TNFSF9",1.5908536534116e-226,0.629648757516014,0.271,0.027,3.41508553777869e-222,"B","TNFSF9"
"CDCA7L",5.70509839421022e-224,0.591236673751966,0.319,0.04,1.22471347228511e-219,"B","CDCA7L"
"USP6NL",5.97712674696406e-216,0.471223428927647,0.263,0.027,1.28310979877077e-211,"B","USP6NL"
"BCL7A",4.80741029762578e-214,0.575643315097734,0.287,0.034,1.03200676859133e-209,"B","BCL7A"
"PLEKHF2",2.74127802980876e-209,0.887891623986162,0.524,0.124,5.88470154659047e-205,"B","PLEKHF2"
"IFT57",2.74257112517784e-209,0.946769939514558,0.562,0.146,5.88747743441928e-205,"B","IFT57"
"PMEPA1",2.77555582757412e-206,0.597795049676224,0.33,0.046,5.95828569505336e-202,"B","PMEPA1"
"SYPL1",6.05527084439203e-206,1.03586736324624,0.758,0.285,1.29988499216564e-201,"B","SYPL1"
"MBD4",1.52606203578077e-205,1.06875356198085,0.73,0.262,3.27599737221058e-201,"B","MBD4"
"CD82",1.97877617815547e-202,1.15746386664869,0.753,0.289,4.24783882164636e-198,"B","CD82"
"RAB30",7.51006541528041e-202,0.551281734107869,0.302,0.039,1.61218574269825e-197,"B","RAB30"
"EZR",9.19653460900317e-202,1.19461992993186,0.91,0.491,1.97422008451471e-197,"B","EZR"
"TRAF4",9.10212796685648e-200,0.588247947956647,0.33,0.048,1.95395381064508e-195,"B","TRAF4"
"FCHSD2",3.65425378096512e-197,0.812133959586424,0.527,0.128,7.84458659159783e-193,"B","FCHSD2"
"TFEB1",1.53401700931843e-195,0.74442858481016,0.491,0.112,3.29307431390387e-191,"B","TFEB"
"SNX3",5.65591055543005e-190,1.02093977770806,0.912,0.558,1.21415431893417e-185,"B","SNX3"
"FCMR1",8.92892162891971e-182,1.13436985446014,0.945,0.591,1.9167716060802e-177,"B","FCMR"
"SMARCB1",5.35612936413634e-179,0.937779627107655,0.661,0.232,1.14980029059915e-174,"B","SMARCB1"
"CTSZ1",1.544071009122e-177,0.707232730065952,0.828,0.288,3.31465723528219e-173,"B","CTSZ"
"ORAI2",5.40546423993138e-176,0.790945196315343,0.509,0.132,1.16039100838607e-171,"B","ORAI2"
"ARHGAP17",1.34903017222859e-174,0.850897372857494,0.6,0.188,2.89596307072312e-170,"B","ARHGAP17"
"ACP5",4.18833973956903e-173,0.801585258257383,0.451,0.107,8.99110891893283e-169,"B","ACP5"
"METTL7A",1.59099397317955e-172,0.577605138085572,0.358,0.066,3.41538676222454e-168,"B","METTL7A"
"POU2F21",1.6006144610034e-167,0.968018714363317,0.773,0.316,3.43603906343601e-163,"B","POU2F2"
"RRAS2",1.67272184394254e-166,0.586583452135758,0.372,0.073,3.59083198239146e-162,"B","RRAS2"
"BTLA",4.18106248159738e-164,0.55911110401597,0.307,0.051,8.9754868292451e-160,"B","BTLA"
"REL1",5.84908971171424e-161,0.926737531119498,0.73,0.297,1.2556240884137e-156,"B","REL"
"BCAS4",7.03464880852784e-160,0.692967965133306,0.457,0.114,1.51012805972667e-155,"B","BCAS4"
"CALHM61",1.15781686749133e-158,0.704967300076365,0.553,0.155,2.48548546944365e-154,"B","CALHM6"
"SMC6",1.3681455563219e-154,0.630175929298009,0.38,0.083,2.93699806575623e-150,"B","SMC6"
"HSH2D",8.20082851773052e-152,0.69207890836702,0.492,0.136,1.76047185790121e-147,"B","HSH2D"
"PTPN61",2.78976944105623e-149,1.00265139699353,0.91,0.585,5.98879805911541e-145,"B","PTPN6"
"DAPP11",5.90599086475016e-148,0.678182766344361,0.521,0.153,1.26783905893592e-143,"B","DAPP1"
"KDM4B",2.08476740794144e-147,0.683831633672508,0.445,0.116,4.47537019462789e-143,"B","KDM4B"
"TMEM156",4.16377079632932e-146,0.553132090933752,0.342,0.07,8.93836676848016e-142,"B","TMEM156"
"PRKCB1",2.83930038366736e-145,0.935731935227808,0.822,0.435,6.09512613361873e-141,"B","PRKCB"
"IKZF31",8.39331115834476e-144,0.860408031023889,0.646,0.24,1.80179210636187e-139,"B","IKZF3"
"PHACTR11",3.27714489353121e-141,0.627895171783495,0.35,0.074,7.03504694294344e-137,"B","PHACTR1"
"ZNF296",4.60091743516848e-141,0.512390272861137,0.285,0.051,9.87678945807617e-137,"B","ZNF296"
"TCTN1",2.48789271031794e-140,0.456610568535771,0.257,0.041,5.34075928123951e-136,"B","TCTN1"
"ZDHHC21",4.88305296098095e-139,0.46070045817939,0.27,0.046,1.04824497913378e-134,"B","ZDHHC21"
"CD52",1.16822460356886e-138,0.690293003947259,1,0.95,2.50782775648128e-134,"B","CD52"
"PLPP5",2.75139512483973e-138,0.911485511863483,0.402,0.105,5.90641991449344e-134,"B","PLPP5"
"CTSH1",4.4793271977671e-138,0.722285154749901,0.685,0.244,9.61577169544663e-134,"B","CTSH"
"SAV1",3.91151367765587e-136,0.466191548442468,0.293,0.054,8.39684641182385e-132,"B","SAV1"
"ADAM19",2.58397444072297e-134,0.549024338539975,0.362,0.083,5.5470179319e-130,"B","ADAM19"
"DRAM2",2.9573952648468e-132,0.765287719276933,0.56,0.199,6.34864041504662e-128,"B","DRAM2"
"RABEP2",8.53874383922892e-131,0.540132283173932,0.372,0.09,1.83301213996727e-126,"B","RABEP2"
"IFNGR21",1.61699299435687e-126,0.686664622924195,0.636,0.238,3.4711988609859e-122,"B","IFNGR2"
"CHPT1",6.56307070660749e-125,0.662209316763545,0.459,0.139,1.40889438858743e-120,"B","CHPT1"
"MT-CO11",1.33781050294227e-124,0.419671263711817,1,1,2.87187780666618e-120,"B","MT-CO1"
"GUCD1",1.01550498797497e-123,0.576356771457309,0.375,0.096,2.17998455768587e-119,"B","GUCD1"
"MTSS1",1.02176257604757e-123,0.672074569136754,0.493,0.153,2.19341772200131e-119,"B","MTSS1"
"LYL11",2.00157534000993e-123,0.620467465335537,0.476,0.146,4.29678178239932e-119,"B","LYL1"
"BIRC3",3.51691461073149e-123,0.876151894470885,0.676,0.289,7.5497605948573e-119,"B","BIRC3"
"PARP1",5.5220097323623e-123,0.794506378743628,0.739,0.366,1.18540982924622e-118,"B","PARP1"
"SIGLEC10",1.3694106181606e-122,0.424729181964667,0.311,0.065,2.93971377400537e-118,"B","SIGLEC10"
"CD811",2.71331737983695e-119,0.750526405919702,0.896,0.569,5.82467841929598e-115,"B","CD81"
"TBC1D91",6.8532541449331e-118,0.446940480553018,0.291,0.061,1.47118806729279e-113,"B","TBC1D9"
"P2RY10",7.99756716743731e-118,0.607386031194791,0.424,0.123,1.71683774383377e-113,"B","P2RY10"
"SCIMP1",1.57934503672313e-117,0.652594179186643,0.344,0.085,3.39037999033355e-113,"B","SCIMP"
"MT-ND4L1",3.99806559773902e-116,0.531223350498234,0.997,0.981,8.58264741866635e-112,"B","MT-ND4L"
"KIAA0040",5.89161899704522e-116,0.725505102694633,0.495,0.166,1.2647538500957e-111,"B","KIAA0040"
"DDAH2",7.82000703793877e-115,0.57335221162573,0.4,0.113,1.67872091083432e-110,"B","DDAH2"
"PXK",1.5624990431498e-114,0.564608870559778,0.414,0.12,3.35421669592967e-110,"B","PXK"
"TMEM1541",2.77139156699302e-114,0.610758352186631,0.495,0.164,5.94934627686392e-110,"B","TMEM154"
"HIP1R",1.19002015526253e-113,0.461013210343352,0.302,0.067,2.55461626730207e-109,"B","HIP1R"
"CYBB1",3.53030959624765e-111,0.33379165483522,0.584,0.181,7.57851561026482e-107,"B","CYBB"
"POLD4",2.24847024770512e-110,0.824374641212313,0.862,0.569,4.82679108074858e-106,"B","POLD4"
"SP110",2.51039883665903e-110,0.794179334159419,0.775,0.431,5.38907318265594e-106,"B","SP110"
"SHMT2",6.60412724616142e-109,0.692458737899868,0.528,0.199,1.41770799593347e-104,"B","SHMT2"
"MT-CO2",5.23726804263258e-107,0.393241585855336,1,0.999,1.12428433071194e-102,"B","MT-CO2"
"UVRAG",6.26125278405268e-107,0.624180789565355,0.561,0.213,1.34410313515259e-102,"B","UVRAG"
"NCOA3",7.59004903781758e-107,0.682913836973584,0.545,0.211,1.6293558269483e-102,"B","NCOA3"
"PLEKHA2",3.66643693571764e-106,0.630495975401871,0.44,0.144,7.87074016990507e-102,"B","PLEKHA2"
"PIK3AP11",3.5993243804934e-105,0.494260881038413,0.367,0.1,7.72666964760518e-101,"B","PIK3AP1"
"SNX25",7.79367484152743e-105,0.439419823348219,0.293,0.068,1.67306817823069e-100,"B","SNX25"
"RPS11",3.44842047615358e-104,0.505910360731235,0.997,0.968,7.4027242361589e-100,"B","RPS11"
"NT5C",7.50224374528721e-104,0.676792852017342,0.653,0.292,1.6105066648008e-99,"B","NT5C"
"SIPA1L3",9.50334180635575e-104,0.410047306166627,0.261,0.055,2.04008238557039e-99,"B","SIPA1L3"
"AC007384.1",8.55639745184015e-103,0.569937320276358,0.374,0.107,1.83680184098653e-98,"B","AC007384.1"
"SYVN1",3.49759446890408e-102,0.554500541674999,0.416,0.131,7.50828604639639e-98,"B","SYVN1"
"RHBDF2",4.45943216033208e-101,0.499943868646988,0.363,0.103,9.57306301858488e-97,"B","RHBDF2"
"SKAP21",4.34720276102138e-100,0.540970924730738,0.399,0.122,9.33214016708459e-96,"B","SKAP2"
"FAM3C",5.83009768146991e-100,0.482625301708093,0.302,0.076,1.25154706928115e-95,"B","FAM3C"
"TENT5C",2.02544972792083e-98,0.566026586480842,0.374,0.109,4.34803293092765e-94,"B","TENT5C"
"CD53",1.02490221069183e-96,0.732614084599408,0.907,0.653,2.20015757569215e-92,"B","CD53"
"RIC3",9.5932935380751e-95,0.47713747444638,0.368,0.107,2.05939232381858e-90,"B","RIC3"
"SGPP1",1.16991328967947e-94,0.435286128526201,0.283,0.07,2.51145285895493e-90,"B","SGPP1"
"ITM2C",1.05755523890644e-93,0.563928215224361,0.471,0.17,2.27025383136046e-89,"B","ITM2C"
"MT-CO3",4.46021957330069e-93,0.360211707941837,1,0.999,9.57475335800459e-89,"B","MT-CO3"
"RPL81",5.79528244661938e-93,0.338739647089845,1,0.993,1.24407328281578e-88,"B","RPL8"
"EEF21",1.23625174198048e-92,0.43668925694664,1,0.979,2.65386161450949e-88,"B","EEF2"
"KYNU1",1.73826225111575e-92,0.387082266823145,0.278,0.067,3.73152757447018e-88,"B","KYNU"
"DUSP221",1.79055167707294e-91,0.60321120184997,0.48,0.181,3.84377728517247e-87,"B","DUSP22"
"AMFR",4.29810228874466e-91,0.534978882358059,0.461,0.167,9.22673618324816e-87,"B","AMFR"
"CAPG1",2.21947882443489e-88,0.54095789992601,0.628,0.267,4.76455519241437e-84,"B","CAPG"
"UNC93B11",3.07183533410026e-88,0.509578890032485,0.476,0.175,6.59430891171303e-84,"B","UNC93B1"
"WASHC41",3.9459224491707e-88,0.621971316104492,0.519,0.214,8.47071172163475e-84,"B","WASHC4"
"DNAJC101",1.14844963880367e-87,0.535925491873243,0.423,0.148,2.46537683961984e-83,"B","DNAJC10"
"CIAO2A",3.32856262315688e-87,0.618442060939271,0.602,0.278,7.14542538313087e-83,"B","CIAO2A"
"PPM1K",3.81392098826283e-87,0.631717322359118,0.6,0.269,8.18734418550382e-83,"B","PPM1K"
"LINC02245",4.18861816342083e-87,0.435276291910802,0.278,0.072,8.9917066114155e-83,"B","LINC02245"
"LAPTM51",5.24526640513653e-86,0.629677142296752,0.995,0.941,1.12600133919066e-81,"B","LAPTM5"
"CYSLTR1",1.60621681715594e-85,0.428795861859845,0.319,0.091,3.44806564138866e-81,"B","CYSLTR1"
"CCR6",2.77225032663353e-85,0.421094857876557,0.285,0.075,5.9511897761842e-81,"B","CCR6"
"ATP2A3",1.09770350430051e-84,0.632617410451972,0.598,0.278,2.35644011268191e-80,"B","ATP2A3"
"MT-ATP6",1.07211876611665e-83,0.356484435262383,1,0.998,2.30151735522261e-79,"B","MT-ATP6"
"C11orf24",4.0280124405071e-83,0.376720332359351,0.261,0.066,8.6469343060366e-79,"B","C11orf24"
"MTPN1",1.31283252539933e-82,0.606745135844013,0.832,0.516,2.81825758227474e-78,"B","MTPN"
"ODC1",8.14698772189509e-82,0.576504872163103,0.693,0.368,1.74891385425922e-77,"B","ODC1"
"UBE2J1",1.72534412289551e-81,0.638499315280199,0.532,0.235,3.70379622861978e-77,"B","UBE2J1"
"ARPC31",3.75908062445558e-81,0.49353069119434,0.988,0.865,8.06961837651879e-77,"B","ARPC3"
"NCF41",5.61922803727616e-80,0.498154701214184,0.491,0.197,1.20627968276207e-75,"B","NCF4"
"PPP3CA1",6.6501908961693e-80,0.502293007033065,0.441,0.166,1.42759647968066e-75,"B","PPP3CA"
"CHD7",4.57227060771834e-79,0.45658099965868,0.371,0.122,9.81529331358896e-75,"B","CHD7"
"CHCHD101",1.82687003305873e-78,0.648686268923415,0.822,0.53,3.92174189996717e-74,"B","CHCHD10"
"RELB1",5.10727704959383e-78,0.540167281665049,0.457,0.18,1.09637916423631e-73,"B","RELB"
"CAMK1D",8.49009629799691e-78,0.505221097915278,0.44,0.17,1.822568972291e-73,"B","CAMK1D"
"BMP2K",7.43237585065688e-77,0.381516155829678,0.258,0.068,1.59550812386051e-72,"B","BMP2K"
"ZCCHC7",1.26147133732471e-76,0.583283314614666,0.52,0.23,2.70800051983496e-72,"B","ZCCHC7"
"MAP3K81",1.49570728613244e-76,0.50440970127234,0.354,0.117,3.21083483114051e-72,"B","MAP3K8"
"SLC2A6",1.68399950731712e-76,0.384088530996302,0.271,0.074,3.61504174235766e-72,"B","SLC2A6"
"ANKRD13A",5.02436477751187e-76,0.557125132085364,0.503,0.219,1.07858038678847e-71,"B","ANKRD13A"
"NOTCH21",6.7158835219599e-76,0.490369463278148,0.479,0.191,1.44169871565913e-71,"B","NOTCH2"
"SP100",9.12484862584581e-76,0.646808904141336,0.789,0.506,1.95883125451032e-71,"B","SP100"
"LRMP",1.31908528585223e-74,0.524186028344988,0.386,0.14,2.83168038313899e-70,"B","LRMP"
"TCF3",2.25673442528672e-74,0.453282707130969,0.355,0.12,4.84453179076299e-70,"B","TCF3"
"RNF141",4.28534131687902e-74,0.433443774747037,0.324,0.105,9.1993422049442e-70,"B","RNF141"
"PLAC8",2.30519008557485e-73,0.61786510118383,0.715,0.392,4.94855155670354e-69,"B","PLAC8"
"RIPOR1",4.15124169104948e-73,0.424937950074075,0.339,0.112,8.91147053817591e-69,"B","RIPOR1"
"HERPUD11",8.38932476719632e-73,0.714571007604539,0.693,0.388,1.80093634777403e-68,"B","HERPUD1"
"CCNG2",3.32266758699211e-71,0.401598706699157,0.299,0.093,7.13277050899597e-67,"B","CCNG2"
"SH3BP5",6.30177459778251e-71,0.567760918486867,0.648,0.338,1.35280195290597e-66,"B","SH3BP5"
"TRAF5",7.71993031363358e-71,0.522579729958343,0.448,0.182,1.65723744042772e-66,"B","TRAF5"
"BACH2",1.07465968014183e-70,0.607926795096609,0.42,0.165,2.30697193536048e-66,"B","BACH2"
"RFX5",1.67041949628504e-70,0.431633913090852,0.32,0.105,3.58588953267509e-66,"B","RFX5"
"EBLN3P",2.80968317085541e-70,0.587548812833436,0.604,0.305,6.03154686287531e-66,"B","EBLN3P"
"APPL1",4.40245623309624e-70,0.538164257590537,0.524,0.239,9.4507527955877e-66,"B","APPL1"
"ZFP36L11",6.17442120472095e-70,0.728327664224996,0.93,0.704,1.32546300001745e-65,"B","ZFP36L1"
"PIKFYVE",6.45500880185734e-69,0.459327069471913,0.375,0.138,1.38569673949472e-64,"B","PIKFYVE"
"DMXL1",1.35781637387621e-67,0.455789706092619,0.346,0.122,2.91482440980006e-63,"B","DMXL1"
"LMBRD1",4.09532334293483e-67,0.525989874888925,0.582,0.29,8.7914306202782e-63,"B","LMBRD1"
"SNX101",1.07776666553996e-65,0.431309031767156,0.439,0.176,2.31364170091464e-61,"B","SNX10"
"DCK",2.82924841374092e-65,0.52711186835514,0.547,0.264,6.07354756977762e-61,"B","DCK"
"MT-ATP81",4.29267002993999e-65,0.46649778127397,0.987,0.93,9.21507475327218e-61,"B","MT-ATP8"
"PARP141",4.7487779414987e-65,0.456880570204619,0.435,0.178,1.01942016070153e-60,"B","PARP14"
"VEGFB",1.57723925303476e-64,0.545495391140994,0.585,0.301,3.38585950448971e-60,"B","VEGFB"
"RHOQ1",2.9398469436533e-64,0.467024323934525,0.331,0.117,6.31096943394054e-60,"B","RHOQ"
"PDE4B",1.75173316236397e-63,0.601322844959335,0.508,0.241,3.76044557964673e-59,"B","PDE4B"
"RPS231",6.84880464816619e-63,0.282554901239442,1,0.993,1.47023289382184e-58,"B","RPS23"
"ITSN2",9.9461848785166e-63,0.555310669050706,0.662,0.364,2.13514750787116e-58,"B","ITSN2"
"ARHGAP25",1.61058122459452e-62,0.517130915924127,0.566,0.282,3.45743471483705e-58,"B","ARHGAP25"
"UCP2",6.48491009893064e-62,0.578450286176905,0.907,0.678,1.39211565093744e-57,"B","UCP2"
"JUND1",9.17678355684697e-62,0.46138938576753,0.996,0.962,1.96998012614834e-57,"B","JUND"
"SNHG7",1.50043636847549e-61,0.574698739457347,0.797,0.534,3.22098675220633e-57,"B","SNHG7"
"SNX291",1.5698388146731e-61,0.466782226919496,0.376,0.149,3.36997298345874e-57,"B","SNX29"
"CCDC32",6.69543827640507e-61,0.428476976418906,0.338,0.125,1.43730973479588e-56,"B","CCDC32"
"VAV3",1.6078965734987e-60,0.331604664534825,0.262,0.081,3.45167157432966e-56,"B","VAV3"
"LTB1",2.71173839050851e-59,0.507998398961169,0.985,0.81,5.82128880290463e-55,"B","LTB"
"CD692",3.26948914015678e-59,0.705093820205925,0.851,0.591,7.01861233717457e-55,"B","CD69"
"ID3",3.68558161865847e-59,0.547171612911539,0.379,0.149,7.91183806077413e-55,"B","ID3"
"SLC15A4",7.92812182230658e-59,0.377297759360331,0.289,0.098,1.70192991159455e-54,"B","SLC15A4"
"JAZF1",3.15331292200257e-57,0.369073302704874,0.287,0.099,6.76921684966291e-53,"B","JAZF1"
"TXNDC5",1.48800559046176e-56,0.265872857414138,0.25,0.08,3.19430160104425e-52,"B","TXNDC5"
"MCM5",2.14002881128264e-56,0.403914728459371,0.33,0.125,4.59399984918045e-52,"B","MCM5"
"UGCG",2.65314078067578e-56,0.321550267085623,0.366,0.144,5.6954973138767e-52,"B","UGCG"
"CAMK2D",4.85978810939728e-56,0.486415848299101,0.358,0.145,1.04325071344431e-51,"B","CAMK2D"
"NFKBID",5.34197727607081e-55,0.361683820316633,0.263,0.088,1.14676226185412e-50,"B","NFKBID"
"NUP88",3.35352741748732e-54,0.364378810812368,0.301,0.109,7.19901730712004e-50,"B","NUP88"
"LAMTOR51",1.52307209188511e-53,0.485472047564036,0.657,0.377,3.26957885964977e-49,"B","LAMTOR5"
"PPP1R16B",1.89987831569367e-53,0.31855275201745,0.282,0.097,4.07846878029961e-49,"B","PPP1R16B"
"CYBA1",3.60986510756934e-53,0.278106420364204,0.996,0.915,7.74929742641911e-49,"B","CYBA"
"MAP4K1",8.27340587692928e-53,0.476775992857184,0.507,0.252,1.77605203960041e-48,"B","MAP4K1"
"NCR3",2.00017035990291e-52,0.2645123510652,0.263,0.087,4.29376571160358e-48,"B","NCR3"
"CHD9",2.3392167811938e-52,0.403080209515431,0.39,0.168,5.02159666418872e-48,"B","CHD9"
"GNB5",3.38033212688136e-52,0.327554936450683,0.305,0.112,7.25655897677621e-48,"B","GNB5"
"GSAP1",5.04640115635138e-52,0.348132768617273,0.29,0.105,1.08331093623395e-47,"B","GSAP"
"MEF2A",6.0477852522006e-52,0.454362664566551,0.404,0.181,1.2982780600899e-47,"B","MEF2A"
"ST6GAL1",6.27181773944862e-52,0.446653160375418,0.481,0.231,1.34637111412743e-47,"B","ST6GAL1"
"TRAK1",1.64272270778665e-51,0.332088116789897,0.254,0.086,3.52643283680561e-47,"B","TRAK1"
"AFTPH",1.71376920942433e-50,0.421122051109262,0.414,0.188,3.6789483618712e-46,"B","AFTPH"
"ORAI3",5.74890770099464e-50,0.342081012907192,0.299,0.114,1.23411801617252e-45,"B","ORAI3"
"MKNK21",6.81757741849046e-50,0.504805933150128,0.664,0.409,1.46352934442735e-45,"B","MKNK2"
"CLASRP",1.46857457249248e-49,0.416377511517247,0.449,0.217,3.15258903476962e-45,"B","CLASRP"
