"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SLC6A6",5.20582094821271e-66,0.421658354450468,0.463,0.088,1.11753358295282e-61,"CD16+ Mono","SLC6A6"
"NADK1",6.30562542458153e-66,0.70653056043063,0.685,0.183,1.35362860989492e-61,"CD16+ Mono","NADK"
"ADA21",6.41666260620477e-66,0.909401771391902,0.847,0.301,1.37746496167398e-61,"CD16+ Mono","ADA2"
"CAPNS12",7.34966493867643e-66,1.03259509504749,0.975,0.536,1.57775257238567e-61,"CD16+ Mono","CAPNS1"
"RRBP11",1.59522321771343e-65,0.556817396171147,0.606,0.143,3.42446568146542e-61,"CD16+ Mono","RRBP1"
"GSTP11",2.43818534408291e-65,1.12909678575632,0.99,0.574,5.23405247814279e-61,"CD16+ Mono","GSTP1"
"LRRK1",2.64169213966087e-65,0.318803090116831,0.296,0.041,5.67092051620998e-61,"CD16+ Mono","LRRK1"
"RRP121",2.77287526671427e-65,0.698375671409128,0.591,0.143,5.95253133505552e-61,"CD16+ Mono","RRP12"
"PTP4A3",4.73851237074744e-65,0.508179522032794,0.478,0.095,1.01721645062835e-60,"CD16+ Mono","PTP4A3"
"CALHM2",7.20788416975769e-65,0.698460760827364,0.562,0.135,1.54731649472188e-60,"CD16+ Mono","CALHM2"
"CD742",8.52515221870923e-65,1.06164552961981,1,0.84,1.83009442679031e-60,"CD16+ Mono","CD74"
"FKBP151",9.39044434085667e-65,0.580292182307182,0.601,0.143,2.0158466866517e-60,"CD16+ Mono","FKBP15"
"CAMKK21",2.05730377567282e-64,0.444190539623617,0.502,0.103,4.41641401523684e-60,"CD16+ Mono","CAMKK2"
"SYNGR22",4.58752452686115e-64,0.981007023442926,0.961,0.497,9.84803890181283e-60,"CD16+ Mono","SYNGR2"
"DPEP21",1.07282464126967e-63,0.7445668528175,0.704,0.196,2.30303265741361e-59,"CD16+ Mono","DPEP2"
"MPZL1",1.11968519931775e-63,0.349756516144748,0.315,0.047,2.40362821737541e-59,"CD16+ Mono","MPZL1"
"ULK2",1.83143251094386e-63,0.436918258606245,0.36,0.06,3.93153617124319e-59,"CD16+ Mono","ULK2"
"ZNF1061",1.8552372701822e-63,0.769161646726215,0.803,0.254,3.98263784790013e-59,"CD16+ Mono","ZNF106"
"TLR21",2.02049294016145e-63,0.359418232432651,0.424,0.077,4.33739219464459e-59,"CD16+ Mono","TLR2"
"ATP6V1B21",2.96332433768408e-63,0.683721566464089,0.695,0.193,6.36136835570641e-59,"CD16+ Mono","ATP6V1B2"
"ASCL2",4.41930273206723e-63,0.352508501911976,0.31,0.045,9.48691717492872e-59,"CD16+ Mono","ASCL2"
