"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"786","GLRX",6.50631620020665e-230,0.916945289509706,0.662,0.338,1.39671089869836e-225,"CD14+ Mono","GLRX"
"792","RHOA",4.06750949876383e-224,0.708975064797146,0.921,0.876,8.73172264099632e-220,"CD14+ Mono","RHOA"
"814","ETS2",2.27907564217713e-203,0.551182572817773,0.262,0.052,4.89249168106164e-199,"CD14+ Mono","ETS2"
"832","AGO4",2.12955447456768e-190,0.566411850049543,0.293,0.071,4.57151459055444e-186,"CD14+ Mono","AGO4"
"839","MCOLN1",1.15700838253692e-185,0.569511740349069,0.271,0.062,2.48374989479202e-181,"CD14+ Mono","MCOLN1"
"842","HEXB",1.61636095605634e-183,0.720939319946186,0.466,0.185,3.46984206436614e-179,"CD14+ Mono","HEXB"
"849","MXD1",1.03791069021364e-176,0.76090206207841,0.39,0.135,2.22808287868162e-172,"CD14+ Mono","MXD1"
"854","ENO1",2.58813470066494e-173,0.714502386913809,0.841,0.696,5.55594876191742e-169,"CD14+ Mono","ENO1"
"869","ATP6V1A",4.35207033798877e-157,0.52906878838302,0.295,0.085,9.34258939456049e-153,"CD14+ Mono","ATP6V1A"
"882","TNFSF10",1.78383395921994e-149,0.710685370210815,0.505,0.238,3.82935636025744e-145,"CD14+ Mono","TNFSF10"
"885","TXN",7.14059849525221e-148,0.720122194176405,0.633,0.367,1.53287227897579e-143,"CD14+ Mono","TXN"
"887","GABARAPL1",1.58707608299843e-147,0.619357867445275,0.327,0.109,3.40697622737272e-143,"CD14+ Mono","GABARAPL1"
"891","MIS18BP1",2.36998559089761e-144,0.664795425658975,0.459,0.202,5.08764806797991e-140,"CD14+ Mono","MIS18BP1"
"898","MAPKAPK3",3.56256792238994e-138,0.580669910218074,0.434,0.183,7.64776455899449e-134,"CD14+ Mono","MAPKAPK3"
"910","PEA15",1.44882818628499e-134,0.514330122427934,0.301,0.1,3.11019946749798e-130,"CD14+ Mono","PEA15"
"915","TMEM127",2.98203410716655e-132,0.566928953515321,0.35,0.133,6.40153261785443e-128,"CD14+ Mono","TMEM127"
"928","JAK2",2.0642490510021e-126,0.540430781871292,0.298,0.102,4.43132343778621e-122,"CD14+ Mono","JAK2"
