info_transp1,info_transp2,info_transp3
MAR09188,MAM02155c  <=> MAM02155s ,MAM02155
MAR09192,MAM01290c  <=> MAM01290s ,MAM01290
MAR09197,MAM01821c  -> MAM01821s ,MAM01821
MAR09198,MAM03120s  -> MAM03120c ,MAM03120
MAR09618,MAM00536c  <=> MAM00536s ,MAM00536
MAR09650,MAM01604c  <=> MAM01604s ,MAM01604
MAR09731,MAM02001c  <=> MAM02001s ,MAM02001
MAR04312,MAM01682c  <=> MAM01682s ,MAM01682
MAR00219,MAM01987s  <=> MAM01987c ,MAM01987
MAR01354,MAM01988s  <=> MAM01988c ,MAM01988
MAR01527,MAM02519s  <=> MAM02519c ,MAM02519
MAR01617,MAM03884s  <=> MAM03884c ,MAM03884
MAR01733,MAM02962s  <=> MAM02962c ,MAM02962
MAR01849,MAM01446c  <=> MAM01446s ,MAM01446
MAR08988,MAM01742c  <=> MAM01742s ,MAM01742
MAR09274,MAM02319s  <=> MAM02319c ,MAM02319
MAR09930,MAM02123c  <=> MAM02123s ,MAM02123
MAR10004,MAM02877c  <=> MAM02877s ,MAM02877
MAR10394,MAM02381c  <=> MAM02381s ,MAM02381
MAR10465,MAM03836s  -> MAM03836c ,MAM03836
MAR10481,MAM03039s  <=> MAM03039c ,MAM03039
MAR11227,MAM04077s  <=> MAM04077c ,MAM04077
MAR11228,MAM04076s  <=> MAM04076c ,MAM04076
MAR11229,MAM04075s  <=> MAM04075c ,MAM04075
MAR11230,MAM04079s  <=> MAM04079c ,MAM04079
MAR11231,MAM04078s  <=> MAM04078c ,MAM04078
MAR11232,MAM04080s  <=> MAM04080c ,MAM04080
MAR11254,MAM03490s  <=> MAM03490c ,MAM03490
MAR11311,MAM01413s  <=> MAM01413c ,MAM01413
MAR11372,MAM01991c  <=> MAM01991s ,MAM01991
MAR11653,MAM03805s  -> MAM03805c ,MAM03805
MAR11654,MAM03806s  -> MAM03806c ,MAM03806
MAR11655,MAM03808s  -> MAM03808c ,MAM03808
MAR11656,MAM03809s  -> MAM03809c ,MAM03809
MAR11657,MAM03810s  -> MAM03810c ,MAM03810
MAR11658,MAM03811s  -> MAM03811c ,MAM03811
MAR11659,MAM03812s  -> MAM03812c ,MAM03812
MAR11660,MAM03813s  -> MAM03813c ,MAM03813
MAR11661,MAM03814s  -> MAM03814c ,MAM03814
MAR11662,MAM03815s  -> MAM03815c ,MAM03815
MAR11663,MAM03816s  -> MAM03816c ,MAM03816
MAR11664,MAM03818s  -> MAM03818c ,MAM03818
MAR11665,MAM03817s  -> MAM03817c ,MAM03817
MAR11666,MAM03819s  -> MAM03819c ,MAM03819
MAR11667,MAM03820s  -> MAM03820c ,MAM03820
MAR11668,MAM03821s  -> MAM03821c ,MAM03821
MAR11669,MAM03822s  -> MAM03822c ,MAM03822
MAR11670,MAM03823s  -> MAM03823c ,MAM03823
MAR11671,MAM03824s  -> MAM03824c ,MAM03824
MAR11672,MAM03826s  -> MAM03826c ,MAM03826
MAR11673,MAM03825s  -> MAM03825c ,MAM03825
MAR11674,MAM03827s  -> MAM03827c ,MAM03827
MAR11675,MAM03828s  -> MAM03828c ,MAM03828
MAR11676,MAM03832s  -> MAM03832c ,MAM03832
MAR11677,MAM03833s  -> MAM03833c ,MAM03833
MAR11678,MAM03834s  -> MAM03834c ,MAM03834
MAR11679,MAM03835s  -> MAM03835c ,MAM03835
MAR11680,MAM03838s  -> MAM03838c ,MAM03838
MAR11681,MAM03839s  -> MAM03839c ,MAM03839
MAR11682,MAM03840s  -> MAM03840c ,MAM03840
MAR11683,MAM03841s  -> MAM03841c ,MAM03841
MAR11684,MAM03842s  -> MAM03842c ,MAM03842
MAR11685,MAM03843s  -> MAM03843c ,MAM03843
MAR11686,MAM03844s  -> MAM03844c ,MAM03844
MAR11687,MAM03846s  -> MAM03846c ,MAM03846
MAR11688,MAM03847s  -> MAM03847c ,MAM03847
MAR11689,MAM03848s  -> MAM03848c ,MAM03848
MAR11690,MAM03855s  -> MAM03855c ,MAM03855
MAR11691,MAM03856s  -> MAM03856c ,MAM03856
MAR11692,MAM03859s  -> MAM03859c ,MAM03859
MAR11693,MAM03860s  -> MAM03860c ,MAM03860
MAR11694,MAM03861s  -> MAM03861c ,MAM03861
MAR11697,MAM03936s  -> MAM03936c ,MAM03936
MAR11699,MAM03937s  -> MAM03937c ,MAM03937
MAR11701,MAM03938s  -> MAM03938c ,MAM03938
MAR11703,MAM03940s  -> MAM03940c ,MAM03940
MAR11705,MAM03939s  -> MAM03939c ,MAM03939
MAR11707,MAM03941s  -> MAM03941c ,MAM03941
MAR11709,MAM03943s  -> MAM03943c ,MAM03943
