Mixture	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
P20109_113_R1	0.0400062906588111	0	0.32595700052895	0.0862512163480484	0.0793300315355451	0.456778459907719	0.000457036387840388	0.011219964633087	0	0
P20109_114_R1	0.0782283370796762	0	0.169068641906707	0.130005778505236	0.116790202702067	0.503543440851844	0	0.00236359895446957	0	0
P20109_115_R1	0.045303528463038	0	0.260405058854383	0.0671439077379788	0.155709790525476	0.466547504274438	0	0.00489021014468659	0	0
P20109_116_R1	0.0440099725118458	0	0.209297212075731	0.120239045568016	0.157771846117894	0.461471295275411	0	0.00721062845110204	0	0
P20109_117_R1	0.0477301283856465	0	0.193925408613551	0.0677459504271842	0.0588896506173879	0.630897709975738	0.00012565959015861	0.000685492390332948	0	0
P20109_118_R1	0.0877432566310797	0	0.303705763677139	0.0647632077310334	0.117791193760635	0.425609085101782	0.000387493098330217	0	0	0
P20109_119_R1	0.0272803617736138	0	0.18939353830677	0.0389958963454251	0.0746662910052154	0.662820007724888	0.00119582652979592	0.00564807831429106	0	0
P20109_120_R1	0.0992115982750865	0	0.193231539815538	0.162643184487346	0.0857285881369836	0.453653770198106	0	0.00553131908694098	0	0
P20109_121_R1	0.0472002218730209	0	0.133229727871747	0.204416073403532	0.0581059368575231	0.552672423059489	0	0.00437561693468804	0	0
P20109_122_R1	0.0835669129729526	0	0.338768793356602	0.0748001169402468	0.0999637490163158	0.39956212923799	0	0.00333829847589153	0	0
P20109_123_R1	0.0388223519211868	0	0.335629017403134	0.0282976226738588	0.0731762367170496	0.524074771284771	0	0	0	0
P20109_124_R1	0.101070969330282	0	0.16459041334491	0.0409314301233301	0.0857848886201819	0.606647629120213	0.000974669461081289	0	0	0
P20109_125_R1	0.0461344412461107	0	0.184011881059855	0.121333704753546	0.118745988126906	0.525178838075066	8.16999100706274e-05	0.00451344682844496	0	0
P20109_126_R1	0.0444126462126352	0	0.4492728423669	0.0374761097785103	0.0939015102329204	0.374936891409034	0	0	0	0
P20109_127_R1	0.0364215653398651	0	0.166281124945205	0.0319692431805173	0.0812711590713232	0.681213015632418	0	0.00284389183067082	0	0
