GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
GJB2	1	1	1	1	1	0.999887972041252	0.999857625981363	0.999531041437475	1	0.239940027322869
GJB3	1	1	1	1	1	1	1	1	1	0.150409206084984
GJB4	1	1	1	1	1	1	1	1	1	0.239886492233836
GJB5	1	1	1	1	1	0.999999557058405	1	0.999997457862661	1	0.15040923481272
GJB6	0.999443566808812	0.999883159115578	1	0.998465135687711	1	0.999635043936786	1	0.999552398570605	1	0.15045854104084
GJB7	1	1	0.999988974256587	1	0.999976683733712	0.999990133721167	1	1	1	0.0425388393916674
GJC1	1	1	0.999981275686538	1	0.999931098145025	1	1	1	0.999997572927712	0.150409530453102
GJC2	1	0.999990220517564	0.999903862252894	0.999930041725527	0.999979585550212	0.999943366744898	1	1	0.999974134287874	0.150416666424007
GJC3	0.99986303724785	1	1	0.999729117602656	0.999976957681214	0.999938836425309	0.999923665422109	1	1	0.0425443903139775
GJD2	1	1	1	1	1	0.999998062868347	1	1	1	0.150409199975045
GJD3	1	0.999999427092562	1	1	0.999997245578836	1	1	1	1	0.150409402690106
GJD4	1	0.999974440976505	0.999978219250686	1	1	1	0.99999492459324	1	1	0.0425414951445762
GJE1	1	1	1	1	1	1	1	1	1	0.239886492233837
GK	1	0.999824109507966	0.996364111553487	0.999964941946942	1	0.979536373293611	1	1	1	0.150331342948557
GK2	1	1	1	1	1	1	1	1	1	0.150409206084984
GK3P	0.999997764989557	1	1	1	0.999997760397927	0.99999485458937	1	1	1	0.150409240842165
GK5	0.998829505447493	0.998274079706125	0.987204618750976	0.99840700746532	0.985736204148308	0.993915338244191	0.997525827933998	0.996961053501256	0.998687923657664	0.151544364316642
GKAP1	0.997203250880582	1	0.992533298542335	0.995451238343513	0.998087503796267	0.997106422754144	0.998298215436064	0.999827023152167	0.998874594193361	0.240506753097778
GKN1	1	1	1	1	1	1	1	1	1	0.239886492233836
GKN2	1	1	1	1	1	0.999993517784013	1	1	1	0.150409185206135
GLA	0.985191793628678	0.986213429985697	0.935363198022224	1	0.979438755475001	0.440842681385278	1	0.654787068663232	0.939941909209788	0.15445399161675
GLB1	1	0.996668563198436	0.977473629279502	1	0.98265103669489	0.831516436812724	1	1	1	0.0423313464218133
GLB1L	1	1	0.999398944172078	1	0.996774569534234	0.989060550740235	1	1	0.99999318329877	0.239879540722658
GLB1L2	1	0.998237988616336	0.994768341619334	1	0.996339660518359	1	1	1	1	0.150917799218317
GLB1L3	1	0.999828907980477	0.998764455751025	0.999052386765463	0.999854968289386	0.99976716731955	0.999903546932322	1	0.999707567932107	0.15046894822446
GLCCI1	0.981936103015385	0.99003797557382	0.896517430769154	0.971536317313012	0.974657652759822	0.969731636014125	0.994179558321285	0.985553268377246	0.994802714469676	0.154838909611423
GLCE	1	1	0.990198474060836	0.997046113528844	0.998729942996444	0.968876188520407	0.999285446369188	1	0.999892750016571	0.15023091138643
GLDC	0.999357499604914	0.990848991511632	0.999345747015549	0.999513769176799	0.999779893323927	0.999874245997755	1	1	1	0.0433787999484012
GLDN	0.99999825424001	1	0.999982425342421	1	1	0.999964475835577	1	1	1	0.150409103294797
GLE1	0.996043671370217	0.995968402641507	0.965373438610471	0.986776056043264	0.982767972865922	0.943960529531204	1	1	1	0.240882179794404
GLG1	0.908865202857988	0.951506892268465	0.667171615429154	0.84045174928949	0.85257223834355	0.494686021650577	1	1	0.989054003024363	0.160622136936788
GLI1	0.996180131073667	0.998458866774817	0.999067060590489	1	0.99954337899234	0.999161489283839	1	0.999885575477042	0.99803144508363	0.240475300448993
GLI2	1	1	1	1	1	1	1	1	1	0.150409206084984
GLI3	0.999744237101168	1	1	1	0.999435852570234	1	1	0.999845784069575	1	0.150419025230279
GLI4	0.998315007414856	0.998679549680011	0.994530128949948	0.99779225836634	0.996313209267996	0.993965238524094	1	1	1	0.150743827669958
GLIDR	0.999694941014003	1	0.999504183448401	0.99995220323817	0.999694164204879	0.999514077521204	1	1	1	0.150408067541346
GLIPR1	0.997499816350711	0.983370512691992	0.902907799023741	1	0.899972554155587	0.421817936852286	1	1	1	0.151983082443691
GLIPR1L1	1	1	1	1	1	1	1	1	1	0.150409206084984
GLIPR1L2	1	0.999998845292573	0.999486704021809	0.999705137100261	0.99988039308383	0.999639590333767	0.999856105920445	0.999995896718461	1	0.150439039786534
GLIPR2	1	0.996960748002847	0.82381624863138	1	0.86501024490775	0.134245255766964	1	1	1	0.0395835535177971
GLIS1	0.999996514544226	1	0.999985981472273	1	1	1	0.999993038628	0.999995286703757	1	0.150411234320707
GLIS2	1	0.999938851132741	0.999890930666671	0.999943067347544	0.999913720806675	0.999977115904355	1	0.999972802611583	1	0.150426589775943
GLIS2.AS1	1	1	0.999978011368425	0.999991467056804	0.999954591324029	1	1	0.999998584022525	1	0.239887943445546
GLIS3	0.999556223358645	1	0.99994737139321	0.999428752539804	0.999559034455234	0.999174978065523	0.999994695698977	0.999576154841227	0.999373401194149	0.239947430959911
GLIS3.AS1	1	1	0.999999363181412	1	0.99999937182298	1	0.999976747456795	0.999999327626534	1	0.239894383262533
GLMN	0.997576710880819	1	0.989984398108346	0.993115549015373	0.999141762205886	0.997716169397769	0.997295133926711	1	0.999986185546953	0.15111210301357
GLMP	1	0.997026656211048	0.985133910915839	0.998296579427123	0.994921946967974	0.927070144890701	1	1	1	0.0426589150338225
GLO1	0.99040566766777	1	0.886933895272006	0.956023459331465	0.983534726022276	0.873189353830028	0.997271627243264	1	1	0.150024629765093
GLOD4	0.990002873891073	1	0.951289051864104	0.987936928683117	0.964588562788467	0.928687594567086	1	1	1	0.150042656995273
GLOD5	0.999988845620821	0.999735716159138	1	1	0.999980889258899	1	0.999995630760659	1	1	0.23998435966082
GLP1R	1	0.99999939605474	1	1	0.999834882977472	0.999818820412255	1	1	0.999929597766418	0.150411214943341
GLP2R	1	1	1	1	1	1	1	1	1	0.150409206084984
GLRA1	1	1	1	1	1	1	1	1	1	0.239886492233836
GLRA2	1	1	1	0.999988359839852	1	1	1	1	1	0.0425387383331004
GLRA3	0.999805832983983	1	1	0.999931839798003	0.999968034529914	1	0.999973227844746	0.999912013236614	0.999953603481551	0.0425425296151787
GLRA4	0.999998109030134	1	0.999998020996801	0.999998326897866	0.999995711015516	1	1	1	1	0.239886644179324
GLRB	1	0.999992693294948	0.999985504779392	1	1	1	1	0.999983096990447	0.999982410232294	0.239889984882699
GLRX	1	1	0.935222956586269	1	0.953530060667615	0.62838809366767	1	1	1	0.146960075621074
