GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
AARD	0	0	0.0267724508171632	0.00202217397071469	0	0.0709593831061948	0	0.0630981637041594	NA	NA
AARS1	NA	NA	17.3346107021235	13.565086420026	25.8367664551948	15.0248624562048	0	0	0	NA
AARS2	6.22961459564068	57.8555308452523	3.9481037386046	3.81024434496137	6.87429996071776	3.00430336660628	NA	NA	NA	NA
AARSD1	47.0193186792365	NA	26.4916577282242	34.5397198333403	43.3840118025504	21.0865804633804	NA	46.281584146057	NA	NA
AASDH	9.1168555899888	NA	7.7738962184293	6.88030514629587	NA	5.49349412537428	NA	NA	150.428244561865	NA
AASDHPPT	NA	NA	14.4614917356625	11.3928504131705	NA	10.5191966743526	0	0	NA	NA
AASS	4.78737900341535	NA	0.805522736486149	NA	1.54920596957817	0.309751366664506	NA	6.21288284243016	0	NA
AATBC	0	NA	NA	0	NA	17.7767758068522	NA	NA	0	NA
AATF	NA	NA	35.1306793496052	19.180503669573	46.306803529548	41.4868142740407	NA	NA	0	NA
AATK	0	NA	0	0.124877809830318	0	1.58356866190957	NA	0	0	NA
ABALON	0	5.12655431418795	0.0198817662862576	0.00835553836050296	0.0164341513727881	0	0	0.119010895184643	0	NA
ABAT	5.18473641551929	79.5120037319196	3.15580582063799	NA	4.73180683012531	5.19291356681573	NA	NA	NA	NA
ABCA1	7.4097784058351	NA	0.793623708742429	0	0	1.85492203488213	NA	NA	NA	NA
ABCA10	2.05905730747072	29.4896184487489	0.259799290653892	1.31919463719772	NA	0.0518740097896842	NA	NA	0	NA
ABCA11P	5.8265287863736	NA	1.55572556890826	3.36345194549858	2.34494981137657	NA	NA	0	0	NA
ABCA12	0	0	0	0	0	0	0	0	0	NA
ABCA13	0	NA	0	0	0.0946116282351004	0.0834155305609381	NA	0	0	NA
ABCA17P	0.463709521190125	NA	0.170977935299736	0.741976106241231	0.414594891683606	0.0357362743715735	NA	0	0	NA
ABCA2	NA	737.392549123064	40.8268219882875	NA	102.689461295658	NA	NA	NA	NA	NA
ABCA3	0	NA	2.86539494890849	2.22985158924194	8.57996866273053	1.18575078943173	NA	NA	NA	NA
ABCA4	0	0.414827181011441	0	0.00298162110461009	0	2.33729467165045e-05	0	0	0	NA
ABCA5	25.2266767306547	NA	11.2376202779726	17.9324370799399	NA	NA	NA	NA	NA	NA
ABCA6	0.126220775342533	0	0.063079895423664	0	0.347845446126244	0.554015885241958	0	0	NA	NA
ABCA7	97.0396988908367	NA	44.1638079662356	37.9686706217707	62.5323723342137	NA	NA	NA	NA	NA
ABCA8	0	0	0.000306483402583435	0	0	0	0	0	0	NA
ABCA9	0.0273835482453841	NA	0.0253493298695793	0	0.0797459124378761	0.188944990925082	NA	0	0	NA
ABCA9.AS1	0	0	0.00799844654163473	0.0734611428363552	0	0	NA	0	0	NA
ABCB1	NA	NA	10.82035682212	NA	26.4268740420022	NA	NA	NA	0	NA
ABCB10	NA	NA	14.2858423217234	13.2577982487652	NA	9.73414224983959	NA	NA	NA	NA
ABCB11	0	0	0.00022535852220984	0	0	0.00301376329215541	0.0496857001664539	0.0731586518366591	0	NA
ABCB4	16.8501077752888	NA	NA	0	0	0.843350828499638	0	NA	NA	NA
ABCB5	0.0232050340255832	0.0687580969264523	0	0.00686276029981214	0.00267047724718195	0	0	0.0314579009459395	0	NA
ABCB6	5.8607060152774	NA	3.32273209777084	4.40128277916244	3.45168155467393	1.85286962090691	0	NA	NA	NA
ABCB7	15.8289853823778	NA	11.3750742680323	8.81608553278072	8.12364354571046	15.5175119604474	NA	0	NA	NA
ABCB8	14.8103941517768	227.759663633284	10.1309105352983	10.822014854103	21.5874542293451	8.89622528571224	NA	NA	NA	NA
ABCB9	1.41445127862258	75.6057839808998	0.468212210947387	1.39687221786964	0.62581810403391	0.404161056960096	NA	NA	NA	NA
ABCC1	11.0061138852132	NA	13.8641180951274	NA	20.6245745866932	14.3663388162684	NA	NA	NA	NA
ABCC10	14.8788622866241	175.334416571249	16.1634964193625	14.7563419658612	26.6096747786496	11.0432957826207	NA	NA	NA	NA
ABCC11	0	0	0.0105059707691628	0.0405140660360428	0.121480493523765	0.0220059809126523	NA	0.156765782939939	0	NA
ABCC12	0	0	0	0	0.00361124330196327	0	0	0	0	NA
ABCC13	0	0	0.000242853291426925	0.107016675302728	0	0	0	0.0438565404757523	NA	NA
ABCC2	2.60777659200301	NA	0.501610949828676	1.32526083630682	1.17848053037035	0.39397224964089	NA	NA	NA	NA
ABCC3	0	NA	NA	NA	NA	8.27866034108352	NA	NA	0	NA
ABCC4	NA	NA	3.05182825241366	2.39457276274489	NA	1.8152074108326	NA	NA	NA	NA
