GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
AASDH	0.156124878382836	4.43031604345823	0.0481992253182014	0.0945043200656633	0.219251926112436	0.0474598603683382	2.09522618313462	0.22336480476635	0.280275041790212	586079.534348215
AASDHPPT	0.475268941457485	3.50741110149253	0.0489461802617441	0.0853642402713852	0.217529952381653	0.0582368130819753	0	0	0.697060325899171	477162.563247704
AASS	0.0631302610244362	2.08513571842641	0.0803957200806169	0.199732998156285	0.111915804725862	0.0480691747995888	0.551200582028592	0.152128931435358	0	791.039889202522
AATBC	0	5.03722381674409	0.345867945284734	0	0.695733567891106	0.0493978891256368	0.730941850355123	0.36804952605107	0	32973468.6620107
AATF	0.427567800095845	2.4964154343137	0.0372666383876206	0.121193143267972	0.0876868016647529	0.0211752885823748	0.642237826794161	1.111018574468	0	155152.886976374
AATK	0	0.615407916010184	0	0.12471831622506	0.124488675913104	0.0286884114840349	0.913472658052545	0.155988893610246	0	58990.6027032841
ABALON	0.00419060206100162	0.329484952149504	0.00526828020587931	0.00840640244694844	0.0115853164302225	0.00017288323107145	0.0601591801694403	0.0400573827251612	0.313749626372957	5092115.07759433
ABAT	0.186311396298496	0.464650693630942	0.0542191789930356	0.203025664017387	0.127953385479267	0.0345391493283737	0.453542345558089	0.21825387741624	0.50390245928908	9602.71669215671
ABCA1	0.0760922444411885	1.42892087161113	0.109025659313575	0.0478894859449984	0	0.0532208946269057	0.954227965619324	0.21385297321174	2.48607588592786	2775167.95441904
ABCA10	0.191780325895383	0.447106344624695	0.106417389575476	0.0963288324035725	0.228173336575652	0.0495233748578535	0.585083977209362	0.248120801017237	0	1856828.83806313
ABCA11P	0.0757497099019105	1.36752067680119	0.0548413048267989	0.117052385722276	0.152179314197741	0.0963231552449101	1.17197304183438	0	0	340852362.186893
ABCA12	0	0	0	0	0	0	0	0	0	22750.0164643092
ABCA13	0	0.576255791342871	0.0109136291053078	0	0.0511001744718173	0.0112477835069808	0.364393138390872	0	0	1344039.72991241
ABCA17P	0.175052024026205	1.00432424456254	0.0566718078283134	0.110538094061937	0.133356540718983	0.0423705576566593	0.410405961185676	0.0248291023227068	0	681866.500599555
ABCA2	1.58871995222931	0.270155162546702	0.065445348287716	0.30966748167354	0.0628868447668093	0.144751458827983	13.0179173924876	0.483059964040184	6.13050685439983	55123.5621706281
ABCA3	0.211848343528312	1.68815154206661	0.0664630237550438	0.126121233864385	0.0597503834661689	0.0594214765894971	0.210021796461192	0.280953535877525	0.854871140754976	9767472.07073946
ABCA4	9.64616285512789e-05	0.104543560713503	0	0.00122600832333825	0	5.28872902324343e-05	0.00507338646910961	0.000985330736892999	0	24890030.217571
ABCA5	0.14630984233958	2.98197489026849	0.0731609547697415	0.0725233699475233	0.261541689997051	0.196493291010386	0.815457087613419	1.22865826171673	6.72354260292237	537378.076567244
ABCA6	0.116287924102161	0	0.0676126742855155	0.00435059546993582	0.143457511562733	0.0435707327629467	0	0	1.66367080106813	27834581.2030732
ABCA7	0.119249642587393	15.9553346088151	0.0837372061017119	0.183675803939034	0.145881763672599	0.092668741455347	0.877873265412182	1.17308626054698	4.10916941374743	1650.38613291035
ABCA8	0	0	0.000145318208918164	0	0	0	0	0	0	1189483.44975668
ABCA9	0.0359571757650408	2.37904778289541	0.0156695981623753	0	0.0432963745263701	0.0126577269853039	0.342093450752056	0	0.291321486355184	13299136.9369665
ABCA9.AS1	0	0	0.0070129745322058	0.0357953114626329	0.00223442202558898	0.00221326526191062	0.25667985766518	0	0	494063845.171169
