Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
P20109_159_R1	0.0466471067193063	0.0520879793293126	0	0.31610817356616	0	0.0262083095622632	0	0.0169413584577587	0	0	0.0468893452017149	0.0193022294127974	0.44223846463893	0	0	0.00303268654279568	0	0.00136569491029867	0	0.028524568578486	0.000654083080176556	0	9999	0.605832659516563	0.798774384679628
P20109_160_R1	0.0754093238391224	0	0	0.228723107033357	0.0201555990614106	0	0.070867138105718	0.013464249919915	0	0.0491969688703176	0.0538879162924065	0.0352983674970805	0.406922702566551	0	0	0	0	0.00154831375944503	0	0.0445263130546768	0	0	9999	0.658266424846596	0.765104703019347
P20109_161_R1	0.158494059092763	0	0	0.356353329540972	0.0330961241033027	0	0	0.0328523546136017	0	0.132032160269196	0.00116456235615184	0.00770602140155617	0.218327354630498	0	0	0.0210088618968927	0	0.00137610081934678	0	0.0375890712757198	0	0	9999	0.547178259822765	0.836383212856244
P20109_162_R1	0.0376939253395119	0.000410651781380451	0	0.279290896815061	0	0	0.0104684747840811	0.0144579691252728	0	0.0224404600054969	0.0194797664515987	0.0578468304901445	0.509010651602469	0	0	0.00531984361546483	0	0.000977710279216422	0	0.0426028197103031	0	0	9999	0.647932996532736	0.76599439594777
P20109_163_R1	0.0656630062608436	0	0	0.307713869673283	0.0213213210218115	0	0.00814077266160751	0.0407801793864829	0.000942239341868591	0.000100756765529399	0.0399228981737424	0.0371009235322933	0.431569221720797	0	0	0.00339331995225577	0	0.00134219538667326	0	0.0410442200149208	0.000965076107890067	0	9999	0.593613226546203	0.806759559230292
P20109_164_R1	0.0316000939898505	0.0075477833977597	0	0.19355107702715	0.0491512321344632	0	0.0653880027463931	0.00541610099152029	0	0	0.118782835380529	0	0.506897879580639	0	0	0.0029210804851598	0	0.000324278928487495	0	0.0184196353380478	0	0	9999	0.666083073528126	0.755560456421479
P20109_165_R1	0.0783733970692602	0	0	0.0930916054758443	0.054475969381375	0.00762411835327293	0.0390526037621355	0.0270564399767518	0	0	0.215152539311331	0.0467543106538266	0.408298714418817	0	0	0.00307389467458504	0	0.000866021834896001	0	0.0261803850879044	0	0	9999	0.670542927802135	0.750707081262075
P20109_166_R1	0.0414321878733947	0.0337783843000083	0	0.1678298753095	0.00335997807666013	0	0	0.0470105379215069	0	0	0.0740847958015855	0.0354485793045082	0.523005583140719	0	0	0.0259063899436314	0	0.0141779534423811	0	0.0339657348861039	0	0	9999	0.626890809050424	0.783049381097474
P20109_167_R1	0.0843593100337819	0	0	0.290111313837804	0.0819310048015866	0	0.0234489300894715	0.0220851792900278	0	0.0453554680781412	0.0250976785767777	0.0285358709008145	0.332840759996113	0	0	0.00874172313856301	0	0.00143558303623416	0	0.0534755945132617	0.00258158370742302	0	9999	0.608554193414695	0.79932743387583
P20109_168_R1	0.0104817113578851	0	0.00564579841017904	0.287130346167383	0	0	0.0803331221516437	0	0	0.0083393186657455	0.0564758731037193	0.0998028606738587	0.40907183966815	0	0	0.00398603539337672	0	0.000321234501212003	0	0.0365443237671254	0.00186753613972213	0	9999	0.626040317121437	0.781882782120036
P20109_169_R1	0.0116248917971652	0.0515042529758646	0	0.287604469487609	0	0	0.0179398354736354	0.0547513134165826	0	0	0.0791431468664127	0.0189947149849155	0.405873577973076	0	0	0.0234215449737236	0	0.013127428704866	0	0.0360148233461493	0	0	9999	0.535449815167338	0.844108348377683
P20109_170_R1	0.0636166243793989	0.018534496150173	0	0.328466886595787	0	0.0623719264132394	0.0246253813539148	0.0195971877692565	0	0.0434674313716356	0.0591276234856563	0	0.316536819318876	0	0	0.021080302967179	0	0.00989115131423975	0	0.0326841688806437	0	0	9999	0.553609062103926	0.833067183153716
P20109_172_R1	0.0906830491655189	0	0	0.350298568750531	0	0	0.0690531199220704	0.0315784497682381	0	0.00389881384683123	0.0295774078123039	0.0398373643374231	0.353786264228904	0	0	0.00183891950949799	0	0.00117178162108316	0	0.027804960346024	0.000471300691574905	0	9999	0.59394131072983	0.807985478325851
P20109_173_R1	0.214838957409862	0	0	0.359077750837413	0	0	0.0313603606364413	0.0119528139212787	0.0019593243190973	0	0.10515935040074	0.000543987218742664	0.271618451420644	0	0	0.00348900383578059	0	0	0	0	0	0	9999	0.61702155520055	0.792256926569425
P20109_174_R1	0.111174767224777	0	0	0.320279170115943	0	0	0.0176344214677827	0.0257505533783575	0	0.0185379434051418	0.0575758693916034	0.00947553635698091	0.407369890987984	0	0	0.00741379312970385	0	0	0	0.0247880545417257	0	0	9999	0.637264081752908	0.778719589277151
