"","log2FoldChange","pvalue"
"HSD17B11",-0.183743592401882,0.000215268005658097
"SDHD",-0.157866963893987,0.000214275428784224
"ZNF8-ERVK3-1",0.300417643662118,0.000225019885971781
"RPP40",-0.215265576999444,0.000245814145277102
"ELAC1",-0.154183015940953,0.000246257169911362
"SRP9",-0.237090643863826,0.000244470169097169
"TPRKB",-0.177400186794861,0.000248792231544259
"MPLKIP",-0.237890511216981,0.000248905246854761
"GLO1",-0.149423717158783,0.000253788170467711
"PEX13",-0.179921378316489,0.000252592902947279
"PGRMC2",-0.176355972453965,0.000255015909828114
"MICALL1",0.144758962225213,0.000267933679702401
"AKAP8",0.0947504081819222,0.00027396344561381
"NDUFB5",-0.1629502658498,0.00027392294245454
"TEX30",-0.197766706346245,0.000275945931571186
"COMMD2",-0.129757362373305,0.00027873739840972
"ARMC10",-0.142402491990074,0.000282817065622883
"DEPDC5",0.144392799097704,0.000287842178040102
"ZCCHC10",-0.189675930995047,0.000293534305280653
"GTF2A2",-0.162914975529604,0.000295552012258574
"FAM98B",-0.184006048637441,0.000297501251942466
"MED4",-0.121574691301902,0.000299043600135456
"RAB4A",-0.129093014018003,0.000304743360974224
"CLCN6",0.141721344171489,0.000308902171727222
"NUDT5",-0.106631206358793,0.000308525284697394
"BAZ2A",0.10788139628477,0.000333784952462079
"CIC",0.187144948629339,0.000349087875688593
"EP300",0.166708878242412,0.000346966748858389
"CNIH1",-0.182354728194505,0.000332840250747564
"GAR1",-0.222726080383634,0.000335626601113017
"CSNK1A1",-0.11476490957826,0.000326705160009137
"UBA1",0.112102497364173,0.000333170910745771
"BRME1",0.312608429665685,0.000344411380296703
"DCAF5",0.0920966521856192,0.00034001639163674
"DOP1B",0.118809804890581,0.00032440806709276
"SYTL1",0.207920891394124,0.000325472131231552
"GUK1",0.175130493016065,0.000347123089067246
"NKAPD1",-0.121934289796709,0.000329176831263585
"PCMTD1",-0.182848145590139,0.000349475071554904
"GPR34",-0.526055039231156,0.000345534790882403
"SPHK1",0.319295854016538,0.000333073747120927
"ZNF407",0.15506640505893,0.000340595599142253
"BORCS8",0.125853100361306,0.00034950300706096
"NEURL1",0.311538824575135,0.000353592870128498
"TRAK1",0.132097228861558,0.000354051415888385
"NR1H2",0.213316680934602,0.000363701570001058
"IQSEC1",0.10829934316392,0.000360542204619609
"PAXIP1",0.105335912355694,0.000362955816805537
"FZR1",0.170791292975945,0.000367311551103249
"MAP4",0.120191280205912,0.000371141986458813
"KMT5C",0.259473921083895,0.00037039307923121
"ATG4B",0.13657704353075,0.000373763146902432
"SCN5A",0.836960078563414,0.00037777161220803
"FANCA",0.205109040303479,0.000378480364183331
"SLC9A6",-0.121484807865369,0.000376094001496882
"SBNO2",0.206339762497272,0.000380624515471674
"AKAP8L",0.104086265184816,0.0003929643387993
"TMEM131L",0.14725918631727,0.000389594255741531
"SRRM2",0.168651510783832,0.000392184343176224
"LINC01679",0.433853485914295,0.000394430477622906
"RAPGEF1",0.162946962428964,0.000404273693234704
"PTGES3",-0.172348207381534,0.000399705409698498
"CHAC2",-0.369523657426143,0.000404903989028344
"ZNF592",0.127290527796494,0.000402949975245122
"GAK",0.151268448836724,0.000405659574978197
"PSMG1",-0.169779653724944,0.000398880303156109
"EID1",-0.225621084785738,0.000414279828950181
"PPP6C",-0.124708436176481,0.000421553712585113
"ENOPH1",-0.120443245270905,0.000423031666268688
"STT3B",-0.13543828808789,0.00041972208347112
"DHX37",0.149791102484328,0.000428251396192628
"ZNF707",0.144948560888417,0.000433900366719882
"SEC62",-0.176585156386428,0.000451690934429669
"COX15",-0.10523764294019,0.000448018500109458
"PARP12",0.122007909269184,0.000450092422644664
"CLN5",-0.20103100303345,0.00043915079010612
"LPXN",-0.130939751859069,0.000455128871120373
"SMAP1",-0.109134734623251,0.000437462822067294
"NFYB",-0.138331524739169,0.000450679354528588
"LPAR6",-0.257796863292,0.000452516844859406
"ARMT1",-0.228222926837522,0.000457225885821625
"ARPC5",-0.203595924236325,0.000458560363033655
"RNF123",0.128375752386267,0.000456009135069693
"PTPN1",0.0952446753773623,0.000447594159405193
"ZNF628",0.332977546989691,0.000445494963676367
