"","log2FoldChange","pvalue"
"VPS50",0.0378346080974192,0.439837022788482
"HSPB6",-0.00966017124839388,0.991957321621272
"ARHGAP33",0.00912321573921031,0.917156637173061
"NDUFAB1",-0.0247414232361361,0.735531901149403
"PDK4",0.38211961029504,0.0498374052588748
"SLC22A16",0.0401579891220253,0.836145882462495
"ZMYND10",0.0672567077569114,0.531603859324169
"ABCB5",-0.279096291243886,0.831844527394152
"ARX",0.309466209130564,0.788308487459551
"SLC25A13",0.121928580063526,0.0143258250078453
"ST7",0.0583994039745835,0.27330450104401
"CDC27",0.0369607182744135,0.400344249650071
"SLC4A1",-0.407704706848362,0.309171841358128
"CALCR",0.398740164524615,0.608205861963506
"HCCS",-0.0352810061947219,0.585657488728719
"DVL2",-0.0403185771903537,0.366347758160511
"PRSS22",0.273951430590165,0.333425342558916
"UPF1",0.0448256490754801,0.415917472075822
"SKAP2",0.0086762323998104,0.921943435957031
"SLC25A5",-0.0472726788305241,0.397683906704863
"MCUB",-0.0508128532003385,0.366605323524714
"HOXA11",-0.572522372730921,0.68554708962816
"POLR2J",-0.0853347500172084,0.157856535234787
"DHX33",0.0400985811424405,0.23424738401391
"MEOX1",-0.0804119803592689,0.561548628957718
"THSD7A",-0.322884983510528,0.791824935388541
"LIG3",0.0354704018875431,0.323033620390508
"RPAP3",-0.00476235232392639,0.926280991866713
"ACSM3",-0.0516597327605408,0.399298080312683
"REXO5",0.185904805765934,0.0738424291488987
"CIAPIN1",-0.0101464348629995,0.773467549349753
"SPPL2B",-0.0272448343932679,0.755643111521828
"FAM214B",0.0203962483864855,0.795824737961435
"COPZ2",0.0633844977662184,0.556719381229222
"PRKAR2B",0.254175896886853,0.066995216453048
"MSL3",0.0347069707304394,0.474491552337189
"CREBBP",0.0164895631656073,0.720807361289473
"TSPOAP1",0.113691965598399,0.313867974270677
"MPO",0.0518365226135471,0.720723367885155
"PON1",0.544461642688192,0.753716709085974
"GCFC2",-0.0225794076852538,0.712192460013138
"WDR54",-0.000142445297087838,0.997975718910068
"CROT",0.0770504215583803,0.27840838351669
"ABCB4",-0.0295784141671947,0.849262425516491
"KMT2E",-0.00411625749889336,0.93335963805047
"RHBDD2",-0.119660859255792,0.0581697380474967
"SOX8",-0.228693739008162,0.203544117683231
"IBTK",0.0328050324001165,0.473202963208687
"ZNF195",0.0178303419863273,0.707875598865047
"MYCBP2",-0.0072340179640644,0.889277123682265
"FBXL3",-0.0110421352626103,0.884255644753868
"ITGAL",0.0117393486470498,0.850425079901157
"PDK2",-0.0336214709724826,0.568895305153563
"ITGA3",-0.00518587391443053,0.951350581900271
"ZFX",0.00718490615499433,0.921506313419511
"LAMP2",0.0330749593643512,0.699752321295459
"ITGA2B",0.304007836464231,0.169905060348837
"GDE1",0.0132303200956563,0.835839605721395
"REX1BD",-0.0157910076621075,0.806821711440379
"CRLF1",-0.739311345038865,0.360762193937078
"OSBPL7",0.0711898685300821,0.252224657562324
"TMEM98",-0.321020535768187,0.441534743152004
"YBX2",0.160647415543494,0.661542907254195
"MAP3K14",-0.0278481342416941,0.602213487272585
"ABCC8",0.334098940827736,0.778691294406678
"TMEM132A",0.679574290307827,0.117753922518245
"AP2B1",-0.000673665268097681,0.988519145649217
"ZNF263",-0.00707845543785633,0.822963621758304
"CX3CL1",-0.127333658324443,0.9479108006289
"SPATA20",0.136562040738147,0.348981476269603
"CACNA1G",-0.624409870311936,0.659062298939576
"TNFRSF12A",0.00992482754118112,0.953560993580332
"MAP3K9",-0.0634700393040653,0.457776779062214
"RALA",-0.0259294625221978,0.683195526897616
"BAIAP2L1",-0.124762831574605,0.46571633564918
"KDM7A",0.0429683426285508,0.498238856537151
"ETV1",0.0183834238431664,0.941500512374011
"AGK",0.0476775394172305,0.302440680409767
"ALDH3B1",0.0186409080478832,0.871828719677929
"TTC22",0.0697815300277333,0.368208411171007
"PHTF2",-0.0529405416407446,0.499967614004816
"CCL26",-0.666599824960185,0.631311014377559
"FARP2",-0.0454538231610605,0.475264448143242
"GGCT",0.0114091601279817,0.844827731856381
"DBF4",-0.028862994608075,0.730115363876032
"TBXA2R",-0.411502548883016,0.0106052451158621
"IFRD1",-0.112637292985183,0.415265085336428
"LGALS14",-1.03003075159668,0.00929158264492993
"COX10",-0.0614848103259845,0.107838985712991
"GTF2IRD1",-0.122395924260412,0.535235809814649
"PAF1",-0.00831667062263208,0.873311679042784
"VPS41",0.0335566433876984,0.539399310789608
"ARHGAP44",-0.19556696047524,0.460463155111939
"ELAC2",0.0151500762603529,0.678168196125394
"SCIN",-0.180901368541805,0.334019582301408
"ARSD",0.0461417806703544,0.5838497250722
"PNPLA4",0.0177377003811418,0.782467563495704
"ADIPOR2",0.0518186708560051,0.266824054403005
