"","log2FoldChange","pvalue"
"CLEC2B",-0.415210762682089,5.3215373491454e-06
"IL32",0.468673063262942,5.47792954291895e-06
"RPL34",-0.3957409595551,5.53724611399676e-06
"BICRAL",0.233869016011679,5.59155446516067e-06
"RPL22L1",-0.544461757420736,5.59135864961476e-06
"OSER1",-0.541194909466492,5.74699131417487e-06
"ZNF682",-0.601189366713612,5.73886721544469e-06
"TBKBP1",0.594146620436873,5.75042383555166e-06
"TXNDC5",0.949816808899962,5.71296478531688e-06
"GP1BA",-1.1714233118924,5.81110061545888e-06
"HNRNPUL1",0.193008437100395,5.84395215200014e-06
"ADAM23",-1.07322526367677,5.97168375261704e-06
"PLAU",-1.15616866967858,6.31545674749e-06
"TNFSF4",-0.658295307587521,6.3619831788822e-06
"TRMT6",-0.322042952539268,6.42643089606243e-06
"RGS3",0.431809762835755,6.42373149482324e-06
"TGFBR3",0.563074932161918,6.69393015820246e-06
"TDRP",-1.27798262225073,6.71315670730195e-06
"MRPL10",0.31493216634379,6.80692340094569e-06
"NUP107",-0.320855105903056,6.91786953029335e-06
"EGF",-1.20191030178031,6.89465240116408e-06
"SAR1A",-0.25385854166771,6.99027590143654e-06
"PNPLA8",-0.401131426170336,6.98342867925253e-06
"IL2RG",0.286993747019994,7.06269579286704e-06
"PDE4B",-0.813022786105788,7.06448668009247e-06
"LOC285097",-0.935269481206129,7.2655544249021e-06
"AP3M2",-0.411545381468353,7.5222006981206e-06
"DAZAP1",0.182111560797514,7.59542762643116e-06
"PPP2R2B",0.539791557801365,7.77351404662797e-06
"LMF1",-0.984543320322206,7.85219350114509e-06
"SLC24A3",-1.26314316886291,7.93522057004176e-06
"ST8SIA6",0.708062319395301,8.10503977752931e-06
"SCARNA9",-0.73838263664435,8.20097044637681e-06
"COX7C",-0.273963321796465,8.38802433824865e-06
"LY6G6F",-1.27403268197846,8.43881259205246e-06
"TRG-AS1",0.496864573345263,8.50399047254594e-06
"XK",-0.954088689999674,8.65797293378268e-06
"ZNF14",-0.550147341009656,8.67141999286368e-06
"NDUFA4",-0.273815837742648,8.76628811656709e-06
"SNHG20",-0.374473312431447,9.19978531770733e-06
"SMIM5",-0.648263251336563,9.8417313303218e-06
"CCNH",-0.452906021423562,1.00183583977433e-05
"RBIS",-0.348282977518462,9.98180666315934e-06
"TNS1",-0.668196991122757,1.00962490419654e-05
"IGF1R",-0.533963172225775,1.05962787951779e-05
"DAPK2",0.658380751538842,1.07469003861682e-05
"LINC00487",-1.61049471253495,1.07878067544305e-05
"RAB11FIP5",0.577378392335802,1.08935554451259e-05
"LDHC",4.49117694417563,1.10073837978426e-05
"FOXO4",0.201783606183631,1.09682729431992e-05
"FHIT",-0.821133039631816,1.10445844526474e-05
"ZNF700",-0.449202619515658,1.10045208770189e-05
"H2BC8",-0.77811950718578,1.11115095675776e-05
"FUT11",0.359365134403666,1.13658331474775e-05
"ZBED4",0.188390601026215,1.1600006597043e-05
"MED6",-0.235845072794047,1.15667089488945e-05
"RUVBL1",0.250097202854941,1.16581956035083e-05
"APOBEC3G",0.408489698886485,1.17211699523653e-05
"USP28",0.357642200345917,1.19531139113146e-05
"SOD2",-0.630083503111162,1.20196181673389e-05
"C18orf21",-0.330059747986413,1.19961503726562e-05
"PKHD1L1",-0.905074048912452,1.24265254231119e-05
"NIT2",-0.247655215538917,1.2598745768808e-05
"CTNNAL1",-0.991074579288666,1.25681689091249e-05
"TPM1",-0.406204869632034,1.27110181957627e-05
"ACTN4",0.370200559784956,1.2828646000157e-05
"ZC3H12B",-0.642055701183112,1.29259284474814e-05
"TARBP1",-0.321025067314811,1.30002305706481e-05
"RAPGEF1",0.299232100783732,1.33603644698455e-05
"GMPR",-0.846484823232439,1.33449542478554e-05
"FOXK2",0.208180820469918,1.32700569165263e-05
"DLG3",0.373401594383645,1.36875693576722e-05
"RNF139-AS1",-0.552080136131191,1.36820239801045e-05
"NIBAN1",0.347678619978907,1.39084197008543e-05
"RCAN2",1.17196009278614,1.43871860401425e-05
"FAM83G",0.429863905817434,1.43801384857807e-05
"ZNF302",-0.441117110469494,1.44576720802591e-05
"SELP",-0.684481035249404,1.46199743816041e-05
"FFAR2",-0.873094355856089,1.46775181434639e-05
"GOLPH3",0.266261344305754,1.4961567153316e-05
"FAM153B",-1.15717759954157,1.51841211689516e-05
"CRIM1",0.489486234265709,1.55107951313235e-05
"NACC1",0.322105399967569,1.54483293923516e-05
"NFKBID",-0.575063709890454,1.55112625213667e-05
"KHSRP",0.220459598072927,1.56307801616674e-05
"AHSA1",0.321156668866981,1.56206506436654e-05
"AREG",-1.64843381724604,1.60817681719196e-05
"OLR1",-2.07925667709102,1.60368981951191e-05
"APH1B",-0.251886620095612,1.61787806721661e-05
"C12orf75",0.443568183348615,1.62064660607754e-05
"DDX55",-0.231147634431158,1.65711299708836e-05
"SDC4",-0.606244199255465,1.65564976140708e-05
"SLC25A33",-0.4653045243063,1.66788490889926e-05
"ITGA2B",-1.18854859218937,1.68571093271168e-05
"MEIS1",-0.749714534327707,1.68101549034809e-05
"PCYT1B",-1.09755519467042,1.71756094972787e-05
"C1orf116",-1.13023894419533,1.73192963424855e-05
"LMO7",-0.511793531653233,1.76009827195174e-05
"KRR1",-0.363870369547246,1.77903956862574e-05
