"","log2FoldChange","pvalue"
"NUDCD2",-0.175611756490911,0.000659861867850677
"ZNF296",0.343829478866503,0.000727237372365763
"PTEN",-0.169019337212674,0.000654324819848596
"ACER2",0.33506784208238,0.000625201802932918
"HIC1",0.453776042091837,0.000744124582330755
"SLC25A22",0.210879871979482,0.000635924701528443
"TRAK1",0.139552811151001,0.000718096713311981
"PSMG1",-0.180671293225471,0.00071962050135799
"EPOR",0.200078557829343,0.000715965433516795
"NRARP",0.808443042100968,0.000683931417725994
"ZNF407",0.163532077457153,0.000709090417809023
"SUPT16HP1",0.691515223898524,0.000747603736363384
"TTC39C-AS1",-0.480258981543922,0.000705047533556951
"ADD2",0.310719917980835,0.000755465022567324
"HSPA1L",-0.20002638110934,0.000754360349901833
"CIC",0.196483201159557,0.00076649998234442
"AKAP8",0.0977067063670534,0.00077136946527878
"NR1H2",0.224419751376741,0.000775780709927049
"ZCCHC10",-0.196420056543176,0.000774001281273812
"SFT2D1",-0.178967510498586,0.000766100027011811
"ZFX",0.195949558266849,0.000837332444920755
"SAMD4A",0.323485508207939,0.00095392944181553
"OTUD5",0.0902573460363606,0.000943529105028016
"PPP2R5B",0.144668353655444,0.000911706458799008
"UNG",-0.17607259793137,0.000968959468519359
"CRLS1",-0.179078502278846,0.000847529978478865
"TXNL1",-0.14655155604166,0.000986118814272622
"GMEB2",0.143290241824438,0.00095034479245282
"FAM83D",0.35902287642846,0.000938602344866578
"MSLN",0.997161597974618,0.000957674952596281
"CD37",0.152992651335519,0.000809776239600252
"CYTH1",0.0950240712235274,0.000937661560510868
"PPARGC1A",-0.955886474176768,0.000964066520371029
"AMBRA1",0.162397103291075,0.000864861366041758
"SMAP1",-0.114959750268099,0.000894703956784332
"ODC1",0.290514241185747,0.000907354981494288
"RPP40",-0.216268023794679,0.000935613106384097
"SLC25A35",0.157158767502838,0.000838869757411345
"TICAM1",0.308776772076914,0.000977469082684469
"DTD2",-0.174791887046772,0.000887444804769685
"CLUHP3",0.263653810171967,0.000953429834700337
"NARS1",-0.125929813793338,0.000888896695780473
"DOCK10",0.141156470396274,0.000937473816917087
"CBLN3",0.363083597566728,0.000975995238436578
"DPP9",0.141931531055768,0.000889080707883538
"ABHD10",-0.167011779016642,0.000803470166051425
"SLC30A5",-0.17083063027059,0.000864571685647461
"DHX37",0.156894547321953,0.00094593937225591
"UEVLD",-0.17207078836682,0.000934381170400471
"ANKRD22",0.72975056000569,0.000831744584964242
"LARP1",0.0856513934886132,0.000960739824428677
"CNOT8",-0.113473155351552,0.00087598046795565
"VBP1",-0.155240837052226,0.000966779777202743
"LMNA",0.78098734338418,0.000810751033573922
"AZI2",-0.151933272946032,0.000947441544112668
"TMUB1",0.226349980228538,0.000798396480603095
"HDHD2",-0.147128781809274,0.000832703841888408
"TUBA1A",0.320416721208828,0.000819322163030235
"RAB4A",-0.132120599442613,0.000922027045988843
"MPLKIP",-0.240075020301768,0.000920643032000878
"ARMC10",-0.145619579258502,0.000874111006515766
"HCFC1",0.134716177223738,0.000950742876566137
"BASP1",-0.22870688560922,0.000867903504213785
"SEPHS2",-0.175676580854063,0.000812914759552546
"ATP6AP2",-0.192253507811971,0.000830697034003048
"CSF1",0.261819502368782,0.000862186923965792
"ERCC6L",0.714451813175807,0.000978796334457645
"BLOC1S5",-0.118592063465481,0.000858623429989886
"HMGB1",-0.146603514201089,0.000849387404932763
"SLC9A6",-0.127520377784571,0.000813535857015457
"THORLNC",1.30827453786163,0.000944714523444452
"SNHG15",0.318504425600211,0.000984540017448772
"TRIM26",0.108222332833838,0.000784714770334799
"IGLVI-70",0.735710460816515,0.000883380496803621
"BORCS8",0.129551212756868,0.000975061378908439
"COX15",-0.110043248176195,0.000993696701597277
"MKNK2",0.143536243913699,0.000991686336466777
"DOT1L",0.17481958497528,0.00101325565245474
"NFYB",-0.14445227664718,0.00101767354463591
"ZDHHC19",0.824044313588412,0.00100821017006309
"SOCS1",0.376941077597295,0.00101820227646915
"TAT-AS1",1.11411520201666,0.00100621054534178
"KCTD6",-0.183375152303842,0.00102300000881766
"FAM98B",-0.18615735916296,0.0010333430878785
"SMIM30",-0.170045292962559,0.00104853321999355
"SLC25A40",-0.198873818117331,0.0010578876564943
"USP7",0.0668841504249659,0.00105419798449606
"JAM2",0.684459429651698,0.00106873685289146
"SBF1",0.201836270551321,0.00107591892733503
"KLF2",0.241532989262833,0.00107726829950962
"DACH1",-0.346714193127108,0.00108074488633255
"TMEM230",-0.142286010377841,0.00109064605396276
"SLC44A1",-0.177870144355402,0.00110463517566789
"ID3",0.363636578220932,0.00110683480694705
"CDKN2C",-0.191950090417049,0.00110393503491825
"TCF20",0.144469438439705,0.00111119176707725
"SLC25A28",0.113345639804827,0.0011169678753597
"MED7",-0.173881602753387,0.00114159055901402
"HEXB",-0.198417751684593,0.0011934135633081
"NDC1",-0.14267295039141,0.0011524823700066
"TESK2",0.141370825786074,0.0011661276845657
"NCOA3",0.140059057208086,0.00116726755312303
"FAM193A",0.118786933441779,0.00118694084461499
"SLC38A6",-0.173630114759649,0.00115953204723519
"LRWD1",0.198835248200845,0.00119145153436261
"BATF2",0.620729828629258,0.00119528283071154
"GPR34",-0.531641883415601,0.00118503044692624
"METTL9",-0.181342432358225,0.00114915173937892
"H4C11",0.469351277157679,0.00118266870641322
"H2BC18",0.332671506657459,0.00116791318944443
"DGKK",-0.677999764986996,0.00118640864721582
"CMAS",-0.151563228898348,0.00121924523938727
"ARID1A",0.105778853245483,0.00121413892378247
"ZNF22",-0.177355094375783,0.00121651951128278
"PTGR2",-0.243903759395423,0.0012250267215743
"TSNAX",-0.173573925304844,0.00123322967111867
"PRPF4",-0.0934446025355413,0.00123628086675809
"OLA1",-0.109961903778947,0.00124979685509126
"TMEM218",-0.119340533506349,0.00124959455710296
"HRK",0.512610013583966,0.0012556090865074
"HMMR",-0.474675717144418,0.00126073929564281
"EHD1",0.156616199149041,0.0012790579187841
"PPARG",-0.524100758744285,0.00127372487422763
"R3HCC1L",0.0989506063959755,0.00128061299617336
"DTX2P1-UPK3BP1-PMS2P11",0.246486024152193,0.00126903704630155
"TM2D2",-0.139333426231349,0.00128550263720127
"COLEC12",-0.581046356517598,0.00128991023518949
"COMMD2",-0.128073011834756,0.0013034282495599
"SPTSSA",-0.310372702122315,0.00130150612569077
"NEGR1",-0.448058553751724,0.00130082793837376
"CNIH1",-0.182276016366944,0.00131001020691973
"ARHGDIA",0.204964419300715,0.00131344420663003
"CD40",0.259308764407916,0.0013313082006971
"CDK16",0.187811162560755,0.00133270371180247
"DLX2",1.04921811515034,0.00133208795943092
"EPSTI1",0.29862388340013,0.00135288252264318
"SBNO2",0.207615783866324,0.0013616681206195
"SCOC",-0.255902369470948,0.00136761753022536
"GLRX2",-0.198609875755241,0.00137929492112538
"HSP90AB1",0.140409197912397,0.00139080551302975
"MED25",0.17455390940017,0.00139218898967808
"SLBP",-0.125823596207828,0.00139319872116828
"DLGAP1",0.600643788571249,0.00138172395105498
"SLC39A13",0.161372365733245,0.0013991777538665
"QPCT",-0.327501624687769,0.00140483481351197
"CCDC88C",0.138250094983367,0.0014093230767697
"MTCO1P12",0.50498889391495,0.00141556834482071
"KDM6B",0.306672436094699,0.00142128658752172
"C2CD3",0.130068977229825,0.00143165459478493
"PCMTD1",-0.181856358109679,0.00143322081059873
"TAGAP",0.267967268799551,0.00144353533629545
"KNDC1",0.507759542655015,0.0014458795446922
"MAP3K13",-0.153102571355415,0.00145376861919182
"GIT1",0.154663979440338,0.00146841915941783
"CLCN6",0.139205717740811,0.00149840883914042
"NEURL1",0.309315538406506,0.00148894637349805
"HELZ2",0.210065289572173,0.00150556973519089
"SERINC3",-0.122553121968343,0.00150634515949391
"CC2D1B",0.105246466610422,0.00148993118023541
"CNBP",-0.114803910223421,0.00148864340231949
"ATL3",-0.147318512440196,0.00150354171863075
"SEPTIN10",-0.279670894173284,0.0014948275471865
"MYOF",0.381584478433376,0.00151823608986859
"ZFAND1",-0.121861908789975,0.00152914427383099
"ATG4B",0.135786725041852,0.00152822000408438
"TMX1",-0.241745127654002,0.00153952389448436
"SLC35B3",-0.157791621138482,0.00156734701261201
"WDR20",0.0896295678721167,0.00158328219191303
"ZADH2",-0.119777613193437,0.0015857818914735
"GCLM",-0.247474603634982,0.00167396254112308
"ZNF821",0.181296651494522,0.00167409320591542
"UBE2S",0.389853619856566,0.00165894508091379
"LAMTOR3",-0.153546975972594,0.00165835925997562
"FN1",0.987652260906615,0.00163783314800635
"IDE",-0.109685189153965,0.00162197046684005
"CISD1",-0.215007722016619,0.00167881501503569
"MRS2",-0.1310847377122,0.00168258351655882
"EVI2A",-0.218411072715634,0.00168330915153273
"PRR7",0.520236334974255,0.00160586318930813
"DNAJB1",0.296547064972355,0.00160070633866712
"MED4",-0.118244874580008,0.00162078622875863
"VPS53",0.120064793284005,0.00164630230175661
"ENOPH1",-0.119971160790382,0.00164808777080309
"PCNT",0.122735133492897,0.00167155867280077
"STT3B",-0.135018645060192,0.00162904433113054
"GASK1B",-0.348367568232911,0.00163915710246524
"MIDN",0.367143255019186,0.00161336775746065
"PPID",-0.123529933265646,0.00167170419807796
"RMI1",-0.254682500016987,0.00166600416230019
"LOC101927556",1.25454720886815,0.00161580971555619
