GeneSymbol	B cells	Plasma cells	T cells CD8	T cells CD4	NK cells	Monocytes	Dendritic cells	Mast cells	Eosinophils	Neutrophils
KCNAB3	16.1443127151591	22.9308646642336	4.53714344171684	5.21360539592436	7.86853743524144	1.76614659490952	1.15217583088171	13.0201507807332	8.42662191460334	200392.108472543
KCNB1	0	0	0	0.000932786101965899	0.00399561089119049	0	0	0	0.116226082228096	161595.523654486
KCNB2	0	0	0	0	0	0	0	0	0	238382.973699692
KCNC1	1.44851233760956e-05	0	0	0.000464191962873617	0	0	0.00249374198355601	0	0	96695.2800410766
KCNC2	0	0	0	0	0	0	0	0.00137696373065688	0.0299821719231936	185609.583012366
KCNC3	2.15296330798295	13.3453337291708	0.194992370560714	0	1.01174042152828	5.84155084669116	0	0	23.1405688119256	101910.546631566
KCNC4	0.988389862418182	9.87797441871249	0.354981864148734	0.593288274706771	0.599567692736442	0.225512863229106	0.430515357537082	0.387350032241696	0	72513.1019691015
KCND1	0.231397964800311	22.7792504780537	0.488474864977123	1.04090589441033	1.44623876187884	0.763976073328519	5.30874044156076	1.48294350840789	19.4610698489976	41605.7340881903
KCND2	0	0	0.000193845327437048	0	0	1.09400498522483e-05	0.118223600746696	0.000848277428241673	0	244533.893324946
KCND3	0.0473547694462018	2.25101412540143	0.00725753067981727	0.107941277978902	0.0571208046912288	0.0369050149316894	0.357306649992703	0.0384770790549074	0	205846.633881484
KCND3.AS1	0	0	0	0	0	0	0	0	0	340095.172799707
KCND3.IT1	0	0	0	0	0	0	0	0	0	329134.668781075
KCNE1	0	53.6944144488843	0	0	0	2.80801763627058	0	0.628975778209119	39.7089749294355	232359.184982439
KCNE1B	0	6.64933765850604	0	0	0	0.355589264825296	0	0	0	401415.610427983
KCNE2	0	3.47791336872812	0.0546248971081376	0	0.237277218931368	0	0	0.311951728189849	1.48251222756044	163074.549990659
KCNE3	0	113.339916767201	0	0	0.807763365343479	42.6563969178998	0	0	0	218708.43579963
KCNE4	0.00531705874079424	0.0180366147357125	0.00401195033766522	0.00186023491505827	0.000240500325720649	0	0	0	0.0926839318237398	150027.798456361
KCNE5	0.00955907703181436	0	0	0.0133999662723461	0.556539140940052	0.194690715649141	0	0	0	220310.720864139
KCNF1	0	0	0	0	0	0	0	0	0	172012.807965876
KCNG1	9.17841126882168	0	0.379711119038438	0	0	0.56828007128536	0	0	0	7242.55787292134
KCNG2	0	0	0.00603594946426367	0.00246074109261452	0.0156188052243142	0.00154003033772998	0	0	0	226863.191589744
KCNG3	0	3.44440604606007	0.00172464787130466	0.0662300460094509	0	0	0	0.301263065455913	0	204983.385855521
KCNG4	0	0	0	0	0	0	0.172411283905115	0.00413101652276904	0	195243.413317819
KCNH1	0	0	0	0	0.00150150423032525	0	0	0	0	133043.898415757
KCNH2	0.61981819577851	2.24051782059013	0.310457160715807	2.33397756874395	0.407858711321433	0.413739704576999	0	0	25.6968122076364	11811.4879323461
KCNH3	0.0881526069679275	10.7606562088676	0	0	1.24769170346972	2.21394961365085	0	0	0	112342.91603813
KCNH4	0.131557219457556	0	0.025876475758021	0	0.0915048264378155	0.0319643744756286	0	0.13864588794345	0	29301.6788654727
KCNH5	0	0	0.00218313319574048	0.000115073736415727	0	0.000141004301635661	0	0	0	125214.965033666
KCNH6	0	0	0	0.022269335220678	0	0	0	0	0	214320.9637797
KCNH7	0	0	0	0	0	0	0	0	0	245173.373419689
KCNH7.AS1	0	0	0	0	0	0	0	0	0	340542.540310671
KCNH8	15.6198797210584	0	0	0	0	0	0	4.68036013554189	0	242950.08169171
KCNIP1	0	0	0	0	0.00523575558141554	0.00404585487008502	0.845208678636186	0.0862220951719208	0	236478.798509186
KCNIP1.AS1	0	0	0	0	0	0	0	0	0	360354.530081959
KCNIP1.OT1	0	0	0	0	0.00897739845560164	0	0.448292734488137	0	2.22326831777108	360576.625289919
KCNIP2	21.416199818631	0	1.18123875182511	1.45924803865071	0	1.7576182174356	0.464566814605416	2.05870729416442	0	79193.5227952082
KCNIP3	0.027021107766346	0	0	0.0619080064270243	0.0811726222465226	0	0	0	2.94625542044083	69165.8018040552
KCNIP4	0	0	0	0.060663821204741	0	0	0	0	0	249279.488399834
KCNIP4.IT1	0	0	0.000119471547904482	8.26156733952921e-05	0.00219498916475236	0	0.023870882130415	0	0	407264.126282276
KCNJ1	0.0575732623097982	3.39861407718262	0.0512466867826915	0.0713890949156826	0.163884091572723	0.016471920585132	0.297395672367637	0	0	149444.404318653
KCNJ10	0	1.93505251083744	0	0	0	0.0945565126713483	0	0.0555552672239894	0	225468.104668608
KCNJ11	0.325363814488323	0	0.0707858014925931	0	0.437827569538402	0.0281646102104363	0.635437967973403	0.281427820415265	5.74762607827686	255024.544733279
KCNJ12	0	0	0.00118006591133279	0.0273876795949355	0	0.0142846254712716	0	0	0	243655.438554863
KCNJ13	0	0	0	0	0	0	0	0	0	70428.4281547078
KCNJ14	0.71221453793305	0.473197485868901	0.26259967156005	0.517999021938005	0.681210530242929	0.188079733122269	0.73258846305517	1.68652537806498	0.627541148164386	237185.768002607
KCNJ15	0	42.7847137994636	0	0	0.0825894470973003	2.59449152425897	0	0	62.0665254710958	159913.462719426
KCNJ16	5.51991602057988e-05	0.0824366205340392	0	0	0.0279490165775775	0.00359259473334728	0.623478769603916	0	5.21154328180182	153252.967747522
KCNJ18	0	0	0.00174401734049456	0	0	0	0	0.000372733021647642	0	373583.821595442
KCNJ2	0	3.18240145101301	0	0	0	0.870090911415187	0	0	0	85916.2432642838
KCNJ2.AS1	0	0	0.00257101412714911	0	0	0.278955888072123	0	0	0	390503.147818132
KCNJ3	0.0453166813547168	0	0.00555347588495447	0.0110811172161465	0.00436426711741289	0.000374559460368795	0	0	1.95994339361713	172076.456464337
KCNJ4	0	0	0.000351625865589344	0	0.00334823885523972	0	0.233411252153768	0	0	194220.391447024
KCNJ5	0.0618162670216083	0	0	0	0	0.0058826108217056	0.451964068181394	0	0	80188.3175034576
KCNJ6	0.0010917543548985	0	5.71625099088369e-05	0	0.000976246179781537	0	0	0	0	159981.809374867
KCNJ8	0	0.338862426783601	0.000208759415802007	0.0224519794574272	0	0	0	0.0208878933095258	0	81819.6997779106
KCNJ9	0.00254120340120423	0	0.0042772125470687	0	0	0.000164811855780655	0.0114413339799397	0	0	170958.223020538
KCNK1	0.107381628461886	6.33634874041559	0.0292229342837891	0.00122185869803482	0.191961514481057	0.046417408216457	0	0	0	113042.780435042
KCNK10	0.0586845365240749	2.45686483873583	0	0.00261642006188545	0.0410313870086043	0.145150838474686	0	0.144585214124829	0	36727.275026713
KCNK12	0.000183308457928577	0	0.0136269540439806	0.0248582706504745	0.00847500278395974	0.00167179522219341	0	0.0114666573966062	0.191982192087885	243958.950758
KCNK13	0	0	0.139113585305707	0	0	1.38243398479025	0	0	0	150649.371104078
KCNK15	0	0	0.000397996886020602	0.00340353509859215	0	0	0.223177810736158	0	0	87108.0076455709
KCNK16	0	0	0	0	0	0	0	0	0	32593.91865599
KCNK17	0	6.97963442744839	0.00248987739567963	0.14911119971329	0.555190048294717	0.385819124644832	0.0836377684199634	0	14.6914475059081	88369.3420738082
KCNK18	0	0	0	0	0	0	0	0	0	253002.304861569
KCNK2	0	0	0.000240014676275102	0	0	1.0179935321375e-06	0	0	0	24940.7382168365
KCNK3	0	0	0	0	0.00229629130567033	0	0	0.00902486306703021	0	205645.242334965
KCNK4	0.00190276131395373	0	0	0	0.0147975417272579	0.00957774686521939	0.855609858950594	0.00241059347515571	1.01039547895871	237596.209949252
KCNK4.TEX40	0	0	0.0155408176219725	0.00242151417032632	0.0355947240889856	0	0	0	0	367160.75293181
KCNK5	0	0	0.531738648808233	0	0.217392040217103	0.129913524076034	0	0.559707841842412	0	180238.560595823
KCNK6	0	55.5663254710322	3.32477233743982	1.40226903531087	3.88998672731966	11.0937126555639	1.22425240895842	0	0	33151.9604289782
KCNK7	0.940093012764833	0	0.543998963575664	0	0.100510900280533	1.00573662229183	0	4.17954258499167	3.31808780876852	212856.316635528
KCNK9	0	0	0.0146594142924943	0.00494342989451035	0.0920621156252313	0.0409381204753572	0	0	0	198934.411263892
KCNMA1	0	0	0	0	0	1.41909345198599	0	0	0	157328.074127169
KCNMA1.AS1	0.00972616608418919	0.0160818168917989	0	0	0	0.0163502040654353	0	0.129843270869104	1.24230837259536	337729.933246174
KCNMA1.AS2	0	0	0	0	0	0	0	0	0	314259.699041503
KCNMB1	0	22.6986216320045	0.198451331562442	0	0.84170290287222	4.66199204445866	0	0	0	138830.772064578
KCNMB2	0	0	0	0	0	0	0.323466337272546	0.00274355079637689	1.5800235908133	269202.436589823
KCNMB3	2.93281274138047	45.9100835336819	0.645210765042294	1.12804425478811	0.610790087584735	0.849437939749127	0	0	0	204868.243020934
KCNMB4	0.991059424954107	4.51871936298301	0.155582767244284	0.572910940986195	0.483142709488021	0.664079748734103	0	0	4.62994150010113	112752.262540885
KCNN1	0	0	0.0046541123178605	0.00254853598275129	0	0	0	0.0132784277354254	0.273035197323318	50105.133652509
KCNN2	0	0.135725576307677	0	0	0	0.000791921598496836	0	0.00333573277719657	0	23901.9328206595
KCNN3	0.156237801282593	109.331446219088	0.0672135275769672	0.144439692103679	0.12242442176258	0.0841667883665853	0	0	0	133331.466750142
KCNN4	50.8449124005099	228.445633483493	14.9773846676755	26.416957044658	21.8956667396551	13.1732741102562	0	10.5266859646803	164.792091132497	46317.0442538124
KCNQ1	4.70753442080849	0	0	3.84455770365	5.62497829319752	20.4334907488373	0	0	0	11363.9323370665
KCNQ1.AS1	0	0	0	0	0	0	0	0	0	322535.997994348
KCNQ1DN	0.0292342581032501	0.350324044393339	0.00759358437660418	0	0	0	0	0.0778270254996078	2.06693725095475	340908.876659943
KCNQ1OT1	0.0160505233958479	0.652273778279352	0.0108624055999	0	0.0118495715973195	0.00585096172673194	0	0.0282851091804648	0.0050360827484528	393154.935143774
KCNQ2	0.15592633874492	0	0.0690417697797303	0.100647212060857	0.0974462668051121	0.0358683811967084	0.850971403770066	0	11.1592801027805	20394.8518126632
KCNQ3	0	0	0.0541554703490101	0.0637544480200509	0.104061113782392	0.0172158120841985	0	0.0707061959610722	0	243527.004884342
KCNQ4	0.0459751239726374	0	0.0997913130033135	0.0541367418681247	0.143817605195439	0.0568234261248066	0.56316218247739	0.276340689955514	9.14591421362913	73954.1433673689
