"","X","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"948","CRISP3","CRISP3",-0.129354052817841,0.00485515833618567,0.0149700715365725,"group2-group1"
"949","MPO","MPO",0.296632435951165,0.00492208100513055,0.0151604244236002,"group2-group1"
"950","CAPN3","CAPN3",0.238572831345448,0.00494302006842993,0.015186072492789,"group2-group1"
"951","CD99","CD99",0.103227176712599,0.00494369003684027,0.015186072492789,"group2-group1"
"952","MENT","MENT",-0.12811339003043,0.00494599418855119,0.015186072492789,"group2-group1"
"953","ANXA1","ANXA1",0.290882647489319,0.00499968364128616,0.0153348114202303,"group2-group1"
"954","AFM","AFM",0.134061605010278,0.0050736202059077,0.0155452744883314,"group2-group1"
"956","IFNLR1","IFNLR1",0.259866695909544,0.00525979269418506,0.0160819812187269,"group2-group1"
"958","CGN","CGN",0.245801277423782,0.0052994910375069,0.0161695326749819,"group2-group1"
"959","MRPL46","MRPL46",0.15993247185391,0.00532821019861755,0.0162402068931794,"group2-group1"
"963","FGD3","FGD3",0.286417787912182,0.00542251383635051,0.0164474732304369,"group2-group1"
"965","JAM3","JAM3",0.187921280328442,0.00543223973617068,0.0164543385998206,"group2-group1"
"968","CXADR","CXADR",0.276130856086514,0.00555654363615994,0.0167786952980326,"group2-group1"
"969","ALDH3A1","ALDH3A1",0.271135471292539,0.00564908272939346,0.0170405250959929,"group2-group1"
"970","FCN1","FCN1",0.252610646284902,0.00567412680803577,0.0170984254225655,"group2-group1"
"976","C1QBP","C1QBP",0.258384178980819,0.00608770908864654,0.018231940231674,"group2-group1"
"977","CRACR2A","CRACR2A",0.264968794189547,0.00617582170996263,0.0184768954536548,"group2-group1"
"978","CDH1","CDH1",0.154761970531738,0.00626654115774411,0.0187263425859974,"group2-group1"
"979","CRHBP","CRHBP",0.143872752126056,0.00627201142377401,0.0187263425859974,"group2-group1"
"980","BRSK2","BRSK2",0.216678279560371,0.00633582835948405,0.0188923425133232,"group2-group1"
"981","KRT8","KRT8",0.410542219549542,0.00634053643707495,0.0188923425133232,"group2-group1"
"983","BCL2L11","BCL2L11",0.339483803528797,0.00643221549085232,0.0191265166630329,"group2-group1"
"986","LAMP1","LAMP1",0.129269108026496,0.00650062460411858,0.0192711214176862,"group2-group1"
"987","CFH","CFH",0.114674072212965,0.00664377542860021,0.0196755375661585,"group2-group1"
"988","CCL18","CCL18",0.282250195726178,0.00671398526036714,0.0198633389838595,"group2-group1"
"990","AGRN","AGRN",0.165605816810434,0.00680631520338672,0.0200958175146458,"group2-group1"
"991","GSTA1","GSTA1",0.517355969572903,0.00682397999038413,0.0201276422925255,"group2-group1"
"993","ACY3","ACY3",0.383898707070011,0.00686053646101522,0.0201947110529179,"group2-group1"
"997","MAGED1","MAGED1",0.218482810522229,0.00700165369547531,0.0205274159998739,"group2-group1"
"998","CASP9","CASP9",0.302086207298948,0.00701390395638676,0.0205427267179544,"group2-group1"
"999","COPB2","COPB2",0.269626779191139,0.00709474750426201,0.0207587056606185,"group2-group1"
"1000","IL18BP","IL18BP",0.165566032337855,0.00714162044424384,0.0208749565585248,"group2-group1"
"1003","LAG3","LAG3",0.261482113501825,0.00730267107089749,0.0212818619543703,"group2-group1"
"1004","BAG6","BAG6",0.16531278101055,0.00744435365104378,0.0216731531095627,"group2-group1"
"1008","CD72","CD72",0.219560556383797,0.00788271006128545,0.0228582951479537,"group2-group1"
"1009","ATP6V1G2","ATP6V1G2",0.351691909340473,0.00793027007793154,0.022973418669766,"group2-group1"
"1011","C2","C2",0.159100955171069,0.00796656861024012,0.0230329179502788,"group2-group1"
"1014","IL1R2","IL1R2",0.0943191471088594,0.0081931090028239,0.0236178082990673,"group2-group1"
"1015","LEO1","LEO1",0.19859955910204,0.00829430499203905,0.0238859640312612,"group2-group1"
"1017","ADGRF5","ADGRF5",0.144753751572541,0.00844714023584254,0.0242782604811875,"group2-group1"
"1018","CD300LF","CD300LF",0.286203612402518,0.00847972456311553,0.024335216793808,"group2-group1"
"1022","FABP3","FABP3",0.337862099366957,0.00858115611476028,0.0245427782029788,"group2-group1"
"1023","ITGBL1","ITGBL1",0.194451353063571,0.00865343746173842,0.0247253154454168,"group2-group1"
"1024","BIRC2","BIRC2",0.223615336096854,0.00875630260909342,0.024994797389043,"group2-group1"
"1025","FSTL3","FSTL3",0.181746593431641,0.00887065583402707,0.0252938360733448,"group2-group1"
"1026","DSCAM","DSCAM",0.18687804395518,0.00887837010306252,0.0252938360733448,"group2-group1"
"1028","CHM","CHM",0.284585321198292,0.00890638972883033,0.0253242968651469,"group2-group1"
"1031","CHCHD10","CHCHD10",0.222788431673547,0.00910846187472995,0.0258235053926631,"group2-group1"
"1036","HSDL2","HSDL2",0.26013314334692,0.00971036098975126,0.0273757913212893,"group2-group1"
"1037","COL5A1","COL5A1",0.227472446852757,0.00971217776263326,0.0273757913212893,"group2-group1"
"1039","CCL3","CCL3",0.268387358929392,0.0102783230678456,0.0289158212967398,"group2-group1"
"1041","HYAL1","HYAL1",0.118201484618565,0.0104432846162913,0.029323459109913,"group2-group1"
"1043","GCLM","GCLM",0.261890059769379,0.0105334815802963,0.0295025692392475,"group2-group1"
"1044","FGF16","FGF16",0.251896516320899,0.0105374311233254,0.0295025692392475,"group2-group1"
"1047","FGFR2","FGFR2",0.111051688007275,0.0106669506576427,0.029779844099608,"group2-group1"
"1048","B2M","B2M",0.15758172410547,0.0107151938470615,0.0298859843654207,"group2-group1"
"1050","C1QTNF1","C1QTNF1",0.155360630666275,0.010851108133448,0.0302074181657795,"group2-group1"
"1051","AREG","AREG",0.237829800340855,0.0110275033719576,0.0306692600915624,"group2-group1"
"1052","ERBB3","ERBB3",0.108792078211249,0.0111109428752787,0.0308719448901516,"group2-group1"
"1054","CPXM2","CPXM2",0.144290719383725,0.0112139553584535,0.0310990431809862,"group2-group1"
"1055","MDM1","MDM1",0.172543165621543,0.011261609670351,0.0312015972193706,"group2-group1"
"1056","CPTP","CPTP",0.177391574117923,0.0112746736031486,0.0312082111193215,"group2-group1"
"1057","INHBC","INHBC",0.227756563056751,0.0113775602665495,0.0314632059215935,"group2-group1"
"1058","CCL15","CCL15",0.218934261519068,0.0114269213720504,0.0315698404258065,"group2-group1"
"1060","CEACAM19","CEACAM19",0.177307500521962,0.0116038912742082,0.0319982775419911,"group2-group1"
"1064","LYAR","LYAR",0.33155778046224,0.0119415688311809,0.0328056444488175,"group2-group1"
"1065","BAG4","BAG4",0.183262664203423,0.0119815004671389,0.0328844374323446,"group2-group1"
"1066","EPHX2","EPHX2",0.274499977375498,0.0119973311123636,0.0328969970369971,"group2-group1"
"1067","CYB5A","CYB5A",0.299546527604988,0.0122234182156901,0.0334855215037135,"group2-group1"
"1069","C7orf50","C7orf50",0.138742851882611,0.0123520670222119,0.0337746416332324,"group2-group1"
"1071","CCL7","CCL7",0.287440444899725,0.013087125353879,0.0357177099994288,"group2-group1"
"1072","BCAN","BCAN",-0.156451218931947,0.0132401810237792,0.0361017249370396,"group2-group1"
"1075","IL20RB","IL20RB",-0.157929762202097,0.0133096196028792,0.0361897842783404,"group2-group1"
"1076","ADGRD1","ADGRD1",0.186876885699776,0.0134108502336209,0.0364011655255502,"group2-group1"
"1079","MPRIP","MPRIP",0.194194403235255,0.0137646623743859,0.0372883300466449,"group2-group1"
"1080","BLNK","BLNK",0.188817025679065,0.0138263754502083,0.037420829111999,"group2-group1"
"1081","FGF21","FGF21",0.541374162271735,0.0138831674325975,0.0375397765083093,"group2-group1"
"1083","APOE","APOE",0.254780204448078,0.0139512000208577,0.0376540698623888,"group2-group1"
"1087","MMP10","MMP10",-0.271447642431434,0.0145149700530631,0.0390315156072709,"group2-group1"
"1090","LCAT","LCAT",0.110655061651949,0.0149824402516234,0.0401776815188028,"group2-group1"
"1091","CTSC","CTSC",0.185158123167633,0.0151282023836262,0.0405313799883953,"group2-group1"
"1092","CCL22","CCL22",0.196698206584207,0.0152778168549826,0.0408947423691522,"group2-group1"
"1094","CD80","CD80",0.202382388869605,0.0154475795208109,0.041273560273611,"group2-group1"
"1096","GSTA3","GSTA3",0.521849987267949,0.0155230914131751,0.0413996315699916,"group2-group1"
"1101","FOLH1","FOLH1",0.356586803738055,0.0162151008350435,0.0430488099371771,"group2-group1"
"1103","EDDM3B","EDDM3B",0.328838886639345,0.016337972168774,0.0432963668624898,"group2-group1"
"1106","IL15RA","IL15RA",0.176347128740746,0.0166448380516962,0.0439899291366257,"group2-group1"
"1107","IGFBP7","IGFBP7",0.10551771565205,0.0166621963457383,0.043996025220048,"group2-group1"
"1108","FGF5","FGF5",-0.174613324682852,0.0168074648586316,0.0443395485395128,"group2-group1"
"1110","ATRN","ATRN",0.0796071245092873,0.0168665113879397,0.0444151466549078,"group2-group1"
"1111","CASP1","CASP1",0.24441284854479,0.0168954326311427,0.0444512597487219,"group2-group1"
"1112","CD302","CD302",0.172978185651002,0.0169292130167529,0.0445000806186768,"group2-group1"
"1113","CCN3","CCN3",0.162936323834282,0.0171254169053331,0.0449753761134668,"group2-group1"
"1116","CHAC2","CHAC2",0.300466422076,0.017385715579121,0.0455362425069631,"group2-group1"
"1118","EPHA1","EPHA1",0.150278227806574,0.017638862283978,0.046116631892726,"group2-group1"
"1119","FKBP7","FKBP7",0.183443564080261,0.0178414481053091,0.046604604836299,"group2-group1"
"1122","CAMLG","CAMLG",0.334378735689211,0.0183314105613721,0.0477564287619346,"group2-group1"
"1124","GFRA1","GFRA1",0.139732546174064,0.0183690118661292,0.0477692363742844,"group2-group1"
"1125","ADGRG2","ADGRG2",-0.113413409821609,0.0184280693231576,0.0478802192280797,"group2-group1"
"1126","IL10RB","IL10RB",0.127814041222805,0.0184665660460136,0.0479376310412946,"group2-group1"
"1128","FABP4","FABP4",0.25615547776309,0.0186170623051455,0.0482426180123584,"group2-group1"
"1129","IL17RB","IL17RB",0.273740280531424,0.0187635535474717,0.0485791559072275,"group2-group1"
"1134","FAM3C","FAM3C",0.136576823354369,0.0190172472102769,0.0490188832413045,"group2-group1"
"1136","ACHE","ACHE",0.14273298412566,0.0190683544542629,0.0490640845684951,"group2-group1"
"1137","CD59","CD59",0.0949931326399941,0.0191980010821452,0.0493515750431826,"group2-group1"
"1138","CCN4","CCN4",0.129568927471676,0.0192138530274177,0.0493515750431826,"group2-group1"
"1139","CCL27","CCL27",0.180499783540676,0.0193406054106322,0.049633529073993,"group2-group1"
"1140","KLF4","KLF4",0.238277362067562,0.0194506160098274,0.0498572169536226,"group2-group1"
"1141","EFNA4","EFNA4",0.11979921457839,0.0194618831830596,0.0498572169536226,"group2-group1"
"1142","CCT5","CCT5",0.19024091870174,0.0196770603488285,0.0503643147107056,"group2-group1"
"1143","GZMB","GZMB",0.376263137562909,0.019740793352902,0.0504832361946915,"group2-group1"
"1145","ERI1","ERI1",0.182393316658293,0.0204322951207947,0.0521603481555308,"group2-group1"
"1146","IL3","IL3",0.48689254031638,0.0206978087437832,0.052792054937241,"group2-group1"
"1147","CCL11","CCL11",0.138007091541201,0.020850157725298,0.0531342729128561,"group2-group1"
"1148","CLTA","CLTA",0.225588819111732,0.0209565316709374,0.0533135056357307,"group2-group1"
"1149","CRYM","CRYM",0.221612068917341,0.0209569681749759,0.0533135056357307,"group2-group1"
"1150","CD6","CD6",0.22052656235593,0.0210223493820615,0.0533884865599893,"group2-group1"
"1153","ADAMTS16","ADAMTS16",0.14181414501655,0.0213528807893211,0.0541294269105666,"group2-group1"
"1154","CPB1","CPB1",0.232540396516554,0.021370290336912,0.0541294269105666,"group2-group1"
"1156","GPKOW","GPKOW",0.160592534229464,0.0219495986730732,0.0555005855721393,"group2-group1"
"1157","GP2","GP2",-0.357227915749465,0.0221048597785696,0.0558448618260665,"group2-group1"
"1160","CLEC12A","CLEC12A",0.107774051025095,0.0225181421288959,0.0567418357265195,"group2-group1"
"1162","GOLGA3","GOLGA3",0.28227788002298,0.0226202801235494,0.0569011005173278,"group2-group1"
"1164","MFGE8","MFGE8",0.237982546698852,0.0228201937771297,0.057291940737744,"group2-group1"
"1165","KCNIP4","KCNIP4",-0.361220706696579,0.0228344546559945,0.057291940737744,"group2-group1"
"1167","HMCN2","HMCN2",0.246899281521011,0.0229732392661338,0.0575413696443094,"group2-group1"
"1168","KRT19","KRT19",0.268055604020353,0.0238237114202426,0.0596204695902134,"group2-group1"
"1169","LY75","LY75",0.164811192942148,0.0238976288463823,0.0597542935140937,"group2-group1"
"1170","ADIPOQ","ADIPOQ",-0.336736938039941,0.0240232347113903,0.0600170214199947,"group2-group1"
"1171","FCAR","FCAR",0.210272593557223,0.0246194449750222,0.0614540031272331,"group2-group1"
"1172","ITGA2","ITGA2",-0.149711309268248,0.0246980351146258,0.0615975739249584,"group2-group1"
"1173","CFC1","CFC1",0.154614611595158,0.0248200501834061,0.0618491105593318,"group2-group1"
"1174","INSL5","INSL5",0.404698859782694,0.0249030676924822,0.062003123394485,"group2-group1"
"1176","LRP2","LRP2",0.202453303380345,0.0251114083066935,0.0624155157146811,"group2-group1"
"1179","CEP112","CEP112",0.14280494933083,0.0255669484825699,0.0633860817765495,"group2-group1"
"1182","ADA2","ADA2",0.194804730365062,0.0261080978667607,0.0645634264505427,"group2-group1"
"1183","EPHA2","EPHA2",0.122283413144156,0.0261497942910916,0.064592037528838,"group2-group1"
"1189","ITGB2","ITGB2",0.124457803451418,0.0269574761703564,0.0662714069351992,"group2-group1"
"1195","MKI67","MKI67",0.251784526978232,0.028339448598629,0.069319002722839,"group2-group1"
"1196","FGFBP1","FGFBP1",-0.134186557207441,0.0284085633651692,0.0693853808699134,"group2-group1"
"1197","CLSTN3","CLSTN3",0.135808598444261,0.0284140612046823,0.0693853808699134,"group2-group1"
"1198","LRRC37A2","LRRC37A2",0.188284897757758,0.0284997382119618,0.0694149190775776,"group2-group1"
"1200","FURIN","FURIN",0.136812906474256,0.0285226979302064,0.0694149190775776,"group2-group1"
"1201","CHGB","CHGB",-0.183729230706358,0.0285424182550196,0.0694149190775776,"group2-group1"
"1203","DPP7","DPP7",0.261687660345281,0.0285777827778838,0.0694149190775776,"group2-group1"
"1204","FOLR3","FOLR3",0.789519197571496,0.0285923922577501,0.0694149190775776,"group2-group1"
"1205","MARCO","MARCO",0.129489078267114,0.0287287014880985,0.0696879621989311,"group2-group1"
"1207","AZU1","AZU1",0.266864778326632,0.0290497015856534,0.0703498572782643,"group2-group1"
"1208","CPB2","CPB2",0.0877459275507178,0.0294318574900542,0.0712163240425733,"group2-group1"
"1209","FCN2","FCN2",0.272382748013666,0.0295624873760048,0.0714238016020713,"group2-group1"
"1215","MRPL58","MRPL58",0.273133972014888,0.0308063982133594,0.0741128411338679,"group2-group1"
"1216","KLRK1","KLRK1",0.163723649358984,0.0313031281516759,0.0752459240027539,"group2-group1"
"1218","CWC15","CWC15",0.274959299410952,0.0315229513885893,0.0756499071501203,"group2-group1"
"1219","ERC2","ERC2",0.329003625597587,0.031653825552648,0.0759016670142659,"group2-group1"
"1220","MAPT","MAPT",-0.390707085069495,0.0317725418114344,0.0760657090283507,"group2-group1"
"1221","C1RL","C1RL",0.079796916466499,0.0317742835181718,0.0760657090283507,"group2-group1"
"1223","CA7","CA7",-0.185125329834671,0.0325231050109636,0.0777310187629162,"group2-group1"
"1227","FCRL5","FCRL5",0.23133038707096,0.0328311197510064,0.0782113798143371,"group2-group1"
"1228","FGF23","FGF23",0.211292013929752,0.0335979564274144,0.0799729858610197,"group2-group1"
"1230","IDUA","IDUA",0.192379622125615,0.0338720787434616,0.0804943789976733,"group2-group1"
"1231","DDA1","DDA1",0.176976464469679,0.0339870180972099,0.0807019121837079,"group2-group1"
"1232","ADH1B","ADH1B",0.358698561628198,0.0341667065107297,0.081062729814012,"group2-group1"
"1235","DTX3","DTX3",0.121917196618311,0.0348482330739195,0.0824788544737383,"group2-group1"
"1236","GSR","GSR",0.102080159752603,0.0350496546688472,0.0828884632662139,"group2-group1"
"1238","LEG1","LEG1",-0.250241529223473,0.0358586180535021,0.0846645723508776,"group2-group1"
"1239","ATXN2L","ATXN2L",0.14383541384423,0.0362953705775488,0.0856266087152341,"group2-group1"
"1241","HBQ1","HBQ1",0.298466950399915,0.0367880069582278,0.0866489478959708,"group2-group1"
"1242","IL12B","IL12B",0.21753733866688,0.0368524160334881,0.0867307665586841,"group2-group1"
"1245","CLEC6A","CLEC6A",0.182128906279926,0.0372312180101837,0.0874111246937887,"group2-group1"
"1247","ARID4B","ARID4B",0.303131371359009,0.0376245220114187,0.0881371210914093,"group2-group1"
"1248","FARSA","FARSA",0.194799101172939,0.0376309021970848,0.0881371210914093,"group2-group1"
"1250","ACP5","ACP5",0.139729397918621,0.0377750431032448,0.0883331607926276,"group2-group1"
"1252","ADAMTS4","ADAMTS4",0.164359352697231,0.038341018506098,0.0895134162087257,"group2-group1"
"1253","FABP9","FABP9",0.193623630463173,0.039459735399593,0.0920517211277018,"group2-group1"
"1254","ENPP6","ENPP6",-0.1520878112817,0.0400025610613334,0.09316765167611,"group2-group1"
"1256","FAM20A","FAM20A",0.132404753477553,0.04003372237605,0.09316765167611,"group2-group1"
"1260","HAVCR2","HAVCR2",0.132761328829121,0.0410478853708744,0.0952245785230681,"group2-group1"
"1261","HSP90B1","HSP90B1",0.365479723730423,0.0411220578214698,0.0953209952515116,"group2-group1"
"1262","BTD","BTD",0.0770365139025269,0.0411706914327528,0.0953581070189672,"group2-group1"
"1263","KITLG","KITLG",-0.141126113238204,0.0413086385191695,0.0956018609592496,"group2-group1"
"1264","GP1BA","GP1BA",0.113343102223359,0.0413800476721193,0.0956311205735795,"group2-group1"
"1265","CD274","CD274",0.136201676176005,0.0413867148565098,0.0956311205735795,"group2-group1"
"1266","CLSTN2","CLSTN2",0.148410259137005,0.0415736215908111,0.0959871215718333,"group2-group1"
"1267","IL16","IL16",0.147018022475503,0.0420557786048572,0.0969709175645741,"group2-group1"
"1268","ITIH5","ITIH5",-0.162998615774806,0.0420660702948614,0.0969709175645741,"group2-group1"
"1269","IL12A_IL12B","IL12A_IL12B",0.253368900907737,0.0421708893040995,0.0971359412418304,"group2-group1"
"1271","M6PR","M6PR",0.121389774454208,0.0429690862728746,0.0988187562357296,"group2-group1"
"1272","CD34","CD34",-0.0790613585893174,0.0431756530139583,0.0992157498111637,"group2-group1"
"1273","ENPEP","ENPEP",0.175860237563181,0.0432211331814228,0.0992422406043197,"group2-group1"
"1274","GALNT2","GALNT2",0.122300055277358,0.0434141521573101,0.0996071952557438,"group2-group1"
"1275","IGF2R","IGF2R",0.0967335679528312,0.043471303993371,0.0996600953510773,"group2-group1"
