"","X","Actinobacteria","Bacteroidetes","Cyanobacteria","Elusimicrobia","Epsilonbacteraeota","Firmicutes","Fusobacteria","Kiritimatiellaeota","Lentisphaerae","Proteobacteria","Spirochaetes","Synergistetes","Tenericutes","Verrucomicrobia"
"27",1192,0.00928445653913879,0.260445013606531,0.0179286057307508,0,0,0.651512726108532,0,0,0.000160076836881703,0.0358572114615015,0,0,0.00448215143268769,0.0203297582839763
"28",1193,0.0156875300144069,0.283656154954378,0,0,0,0.654073955498639,0,0,0.00112053785817192,0.0318552905394589,0,0,0.00464222826956939,0.00896430286537538
"29",1196,0.00400192092204258,0.391547943012646,0.0590683528093485,0,0,0.509844725468225,0,0,0,0.0353769809508564,0,0,0,0.000160076836881703
"30",1203,0.00448215143268769,0.0914038738594525,0.0112053785817192,0,0,0.858171922522811,0,0,0.00176084520569874,0.0156875300144069,0,0,0.00528253561709621,0.0120057627661277
"31",1210,0.0464222826956939,0.397470785977269,0,0,0,0.500080038418441,0,0,0,0.0560268929085961,0,0,0,0
"32",1214,0.00368176724827917,0.191291820073635,0.0137666079718265,0.0296142148231151,0,0.677445173683368,0,0,0,0.0808388026252601,0,0,0.00336161357451577,0
"33",1218,0.0592284296462302,0.314711061309429,0,0,0,0.595966063710581,0,0,0,0.0300944453337602,0,0,0,0
"34",1225,0.0406595165679526,0.415719545381783,0,0,0,0.503281575156075,0,0,0.00048023051064511,0.0398591323835441,0,0,0,0
"35",1249,0.00576276612774132,0.381783255962862,0.0048023051064511,0,0,0.596126140547463,0,0,0.000320153673763406,0.0104049943973107,0,0,0,0.000800384184408516
"36",1257,0.0152072995037618,0.318072674883944,0.0051224587802145,0,0,0.642388346406275,0,0.00176084520569874,0.00256122939010725,0.0147270689931167,0,0,0.000160076836881703,0
"37",1261,0.0276932927805347,0.145189691051705,0,0,0,0.728829838322395,0,0,0.00352169041139747,0.086281415079238,0,0,0.00448215143268769,0.00400192092204258
"38",1267,0.0228909876740836,0.439090763566512,0.0224107571634385,0,0,0.415559468544902,0,0,0,0.100048023051065,0,0,0,0
"39",1281,0.135425004001921,0.336161357451577,0,0,0,0.513526492716504,0,0,0.000960461021290219,0.010244917560429,0,0,0,0.00368176724827917
"40",1284,0.022090603489675,0.476068512886185,0,0,0,0.471426284616616,0,0,0,0.0304145990075236,0,0,0,0
"41",1299,0.00384184408516088,0.26220585881223,0,0,0,0.669761485513046,0,0,0.00144069153193533,0.0592284296462302,0,0.00304145990075236,0,0.00048023051064511
"42",1313,0.00944453337602049,0.351208580118457,0.00432207459580599,0,0,0.576276612774132,0,0,0.0124859932767729,0.0372979029934368,0,0,0.00896430286537538,0
"43",1316,0.00528253561709621,0.493516888106291,0.0342564430926845,0,0,0.450936449495758,0,0,0,0.0160076836881703,0,0,0,0
"44",1317,0.0169681447094605,0.329117976628782,0,0,0.00704338082279494,0.616776052505203,0,0,0.00832399551784857,0.0190491435889227,0,0,0.00272130622698895,0
"45",1331,0.0126460701136546,0.243476868897071,0.00368176724827917,0,0,0.48679366095726,0,0.000640307347526813,0,0.252761325436209,0,0,0,0
"46",1346,0.0809988794621418,0.217544421322235,0,0,0,0.49063550504242,0,0,0.00256122939010725,0.208099887946214,0,0,0.000160076836881703,0
"47",1347,0.0284936769649432,0.126300624299664,0.00624299663838643,0,0.00192092204258044,0.561709620617897,0.000160076836881703,0,0.0051224587802145,0.270049623819433,0,0,0,0
"48",1370,0.00528253561709621,0.207619657435569,0.00048023051064511,0.0187289899151593,0,0.220105650712342,0,0,0,0.547622858972307,0,0,0,0.000160076836881703
"49",1372,0.0465823595325756,0.419401312630062,0.00128061469505363,0,0,0.510965263326397,0,0,0.00384184408516088,0.0158476068512886,0,0,0.00160076836881703,0.00048023051064511
"50",1416,0.0809988794621418,0.241075716343845,0.00320153673763406,0,0,0.65135264927165,0,0,0,0.0233712181847287,0,0,0,0
"51",1455,0.0049623819433328,0.281255002401153,0.00608291980150472,0,0,0.695213702577237,0,0,0,0.0124859932767729,0,0,0,0
"52",1456,0.0536257403553706,0.470625900432207,0,0,0,0.451256603169521,0,0,0,0.0243316792060189,0,0,0,0.000160076836881703
"53",1461,0.018889066752041,0.101808868256763,0.00208099887946214,0.00336161357451577,0.0292940611493517,0.60429005922843,0,0.00128061469505363,0.00160076836881703,0.0438610533055867,0.192572434768689,0,0.000960461021290219,0
"54",1463,0.0051224587802145,0.162958219945574,0.0208099887946214,0,0,0.340323355210501,0,0,0.000640307347526813,0.466784056347047,0,0,0.000800384184408516,0.00256122939010725
"55",1466,0.0177685288938691,0.473987514006723,0,0,0,0.472386745637906,0,0,0.00176084520569874,0.0340963662558028,0,0,0,0
"56",1469,0.124219625420202,0.0958860252921402,0,0,0,0.757003361613575,0,0,0,0.00896430286537538,0,0,0,0.0139266848087082
"57",1473,0.0304145990075236,0.0569873539298863,0,0,0,0.850648311189371,0,0,0.00160076836881703,0.0177685288938691,0,0,0.016167760525052,0.026412678085481
"58",1475,0.016167760525052,0.193853049463743,0,0,0,0.455098447254682,0,0,0,0.334880742756523,0,0,0,0
"59",1500,0.0208099887946214,0.218504882343525,0.00672322714903154,0.0116856090923643,0,0.654554186009284,0,0.00448215143268769,0.00352169041139747,0.0757163438450456,0,0,0.00400192092204258,0
"60",1509,0.010244917560429,0.0683528093484873,0.0115255322554826,0,0,0.402113014246838,0,0,0,0.49623819433328,0,0,0.00704338082279494,0.00448215143268769
"61",1515,0.0048023051064511,0.459260445013607,0,0,0,0.471586361453498,0,0,0,0.0643508884264447,0,0,0,0
"62",1529,0.0174483752201057,0.127741315831599,0.0121658396030094,0,0.0108852249079558,0.687850168080679,0,0.00288138306387066,0.0169681447094605,0.0569873539298863,0.00416199775892428,0.00432207459580599,0.05826796862494,0.000320153673763406
"63",1534,0.0624299663838643,0.202497198655355,0,0,0,0.717624459740676,0,0,0.00416199775892428,0.0131263006242997,0,0,0,0.000160076836881703
"64",1536,0.000160076836881703,0.0713942692492396,0,0,0,0.834000320153674,0,0,0,0.0944453337602049,0,0,0,0
"65",1553,0.0209700656315031,0.235953257563631,0,0,0,0.688490475428206,0,0,0.00048023051064511,0.0541059708660157,0,0,0,0
"66",1554,0,0.576756843284777,0,0,0,0.423243156715223,0,0,0,0,0,0,0,0
"67",1557,0.0217704498159116,0.538978709780695,0,0,0,0.406435088842644,0.00816391868096686,0,0,0.0246518328797823,0,0,0,0
"68",1578,0.0520249719865535,0.146310228909877,0.00848407235473027,0,0,0.657595645910037,0,0,0.000320153673763406,0.0308948295181687,0,0,0.0184088362413959,0.0859612614054746
"69",1626,0.0177685288938691,0.499439731070914,0,0,0,0.476228589723067,0,0,0,0.00656315031214983,0,0,0,0
"70",1639,0.0243316792060189,0.18136705618697,0.00352169041139747,0,0,0.782455578677765,0,0,0,0.00208099887946214,0,0,0.00528253561709621,0.000960461021290219
"71",1644,0.0104049943973107,0.143108692172243,0.00384184408516088,0,0,0.358412037778134,0.0134464542980631,0,0,0.470785977269089,0,0,0,0
"72",1695,0.00896430286537538,0.258043861053306,0,0,0,0.391708019849528,0,0.0168080678725788,0.00144069153193533,0.318072674883944,0,0,0.00432207459580599,0.000640307347526813
"73",1744,0.0147270689931167,0.429646230190491,0.000960461021290219,0,0,0.496078117496398,0.00176084520569874,0.00272130622698895,0,0.0536257403553706,0,0,0.00048023051064511,0
"74",1778,0.0561869697454778,0.264286857691692,0,0,0,0.661917720505843,0,0,0,0.0176084520569874,0,0,0,0
"75",1797,0.0051224587802145,0.1259804706259,0,0,0,0.486633584120378,0.0680326556747239,0,0,0.310549063550504,0,0,0,0.00368176724827917
"76",1808,0.0352169041139747,0.323835441011686,0.000160076836881703,0,0,0.616936129342084,0,0,0.000160076836881703,0.0236913718584921,0,0,0,0
