"","Symbol","CSGene","SASP","CellAge"
"1455","RFWD3","no","no","yes"
"1456","CEP55","no","no","yes"
"1457","CENPQ","no","no","yes"
"1458","MSL2","no","no","yes"
"1459","PRMT6","no","no","yes"
"1460","FAIM","no","no","yes"
"1461","RIF1","no","no","yes"
"1462","P3H2","no","no","yes"
"1463","FANCI","no","no","yes"
"1464","NEIL3","no","no","yes"
"1465","NUDT15","no","no","yes"
"1466","PHF10","no","no","yes"
"1467","CWF19L1","no","no","yes"
"1468","TBC1D19","no","no","yes"
"1469","BRIX1","no","no","yes"
"1470","CPPED1","no","no","yes"
"1471","TMA16","no","no","yes"
"1472","MIS18BP1","no","no","yes"
"1473","MNS1","no","no","yes"
"1474","DRAM1","no","no","yes"
"1475","HJURP","yes","no","yes"
"1476","STYK1","no","no","yes"
"1477","MCM10","no","no","yes"
"1478","TNFRSF19","no","no","yes"
"1479","CDCA7L","no","no","yes"
"1480","PLXNA3","no","no","yes"
"1481","HAUS7","no","no","yes"
"1482","POMGNT1","no","no","yes"
"1483","G2E3","no","no","yes"
"1484","DEPDC1","no","no","yes"
"1485","LYAR","no","no","yes"
"1486","TMEM127","no","no","yes"
"1487","NDC1","no","no","yes"
"1488","IQCC","no","no","yes"
"1489","ASF1B","no","no","yes"
"1490","HHAT","no","no","yes"
"1491","EDEM2","no","no","yes"
"1492","TMEM30A","no","no","yes"
"1493","CDK5RAP2","no","no","yes"
"1494","PRR11","no","no","yes"
"1495","DEPDC1B","no","no","yes"
"1496","CENPJ","no","no","yes"
"1497","CENPN","no","no","yes"
"1498","PBK","no","no","yes"
"1499","NXT2","no","no","yes"
"1500","SULF2","no","no","yes"
"1501","BAIAP2L1","no","no","yes"
"1502","SLC25A40","no","no","yes"
"1503","PCDHB8","no","no","yes"
"1504","PCDHB2","no","no","yes"
"1505","FAM214A","no","no","yes"
"1506","NPDC1","no","no","yes"
"1507","TMEM9B","no","no","yes"
"1508","EMC7","no","no","yes"
"1509","MAP3K7CL","no","no","yes"
"1510","LXN","no","no","yes"
"1511","CMC2","no","no","yes"
"1512","ENY2","no","no","yes"
"1513","OLFML3","no","no","yes"
"1514","PRTFDC1","no","no","yes"
"1515","KIF15","no","no","yes"
"1516","SDHAF3","no","no","yes"
"1517","KNL1","no","no","yes"
"1518","PLSCR4","no","no","yes"
"1519","TIGAR","no","no","yes"
"1520","NUP107","no","no","yes"
"1521","SLC44A2","no","no","yes"
"1522","PHTF2","no","no","yes"
"1523","ZNFX1","no","no","yes"
"1524","KIAA1191","no","no","yes"
"1525","NIPAL3","no","no","yes"
"1526","MCOLN1","no","no","yes"
"1527","ATP10D","no","no","yes"
"1528","RCN3","no","no","yes"
"1529","SPC25","no","no","yes"
"1530","AS3MT","no","no","yes"
"1531","RHBDD2","no","no","yes"
"1532","C3orf14","no","no","yes"
"1533","CNOT6","yes","no","yes"
"1534","HEG1","no","no","yes"
"1535","SERINC1","no","no","yes"
"1536","KCTD16","no","no","yes"
"1537","NCEH1","no","no","yes"
"1538","SEMA6A","no","no","yes"
"1539","TRMT5","no","no","yes"
"1540","Mar-04","no","no","yes"
"1541","PCDH10","no","no","yes"
"1542","CIP2A","no","no","yes"
"1543","CALCOCO1","no","no","yes"
"1544","ZBTB4","no","no","yes"
"1545","FANCM","no","no","yes"
"1546","PCDHB16","no","no","yes"
"1547","LSM2","no","no","yes"
"1548","SQOR","no","no","yes"
"1549","RHOU","no","no","yes"
"1550","NTN4","yes","no","yes"
"1551","PLEKHA1","no","no","yes"
"1552","TMEM35A","no","no","yes"
"1553","ABHD4","no","no","yes"
"1554","FAM111A","no","no","yes"
"1555","CLSPN","no","no","yes"
"1556","FIGNL1","no","no","yes"
"1557","PERP","no","no","yes"
"1558","CENPK","no","no","yes"
"1559","TMBIM1","no","no","yes"
"1560","IFIH1","no","no","yes"
"1561","NCAPG","no","no","yes"
"1562","SIL1","no","no","yes"
"1563","ZMAT3","yes","no","yes"
"1564","ZDHHC6","no","no","yes"
"1565","NUCKS1","no","no","yes"
"1566","MFSD1","no","no","yes"
"1567","SMURF2","yes","no","yes"
"1568","FNDC3B","no","no","yes"
"1569","GINS3","no","no","yes"
"1570","FNDC4","no","no","yes"
"1571","NABP1","no","no","yes"
"1572","NT5DC2","no","no","yes"
"1573","CENPH","no","no","yes"
"1574","MRPS15","no","no","yes"
"1575","MRPS9","no","no","yes"
"1576","MRPL11","no","no","yes"
"1577","MRPL1","no","no","yes"
"1578","PINK1","no","no","yes"
"1579","NBEAL1","no","no","yes"
"1580","MARCKSL1","no","no","yes"
"1581","RASL11B","no","no","yes"
"1582","VKORC1","no","no","yes"
"1583","MIS12","no","no","yes"
"1584","DDA1","no","no","yes"
"1585","GGCT","no","no","yes"
"1586","CENPM","no","no","yes"
"1587","NUP37","no","no","yes"
"1588","DSCC1","no","no","yes"
"1589","MLPH","no","no","yes"
"1590","MFSD11","no","no","yes"
"1591","PAGR1","no","no","yes"
"1592","OGFRL1","no","no","yes"
"1593","CENPU","no","no","yes"
"1594","SUV39H2","no","no","yes"
"1595","NARS2","no","no","yes"
"1596","E2F8","no","no","yes"
"1597","ECHDC3","no","no","yes"
"1598","ZFAND1","no","no","yes"
"1599","ZFHX4","no","no","yes"
"1600","SUGCT","no","no","yes"
"1601","GSDMD","no","no","yes"
"1602","SHCBP1","no","no","yes"
"1603","QSER1","no","no","yes"
"1604","GEMIN6","no","no","yes"
"1605","PIP4K2C","no","no","yes"
"1606","BORA","no","no","yes"
"1607","MCMBP","no","no","yes"
"1608","NUP85","no","no","yes"
"1609","ACTR5","no","no","yes"
"1610","SCD5","no","no","yes"
"1611","WDR76","no","no","yes"
"1612","DSN1","no","no","yes"
"1613","RMI1","no","no","yes"
"1614","MYO19","no","no","yes"
"1615","ARMC9","no","no","yes"
"1616","COQ10B","no","no","yes"
"1617","WDR26","no","no","yes"
"1618","PIGZ","no","no","yes"
"1619","SLC35F5","no","no","yes"
"1620","FAM214B","no","no","yes"
"1621","CEP70","no","no","yes"
"1622","ULBP2","no","no","yes"
"1623","PDCD1LG2","no","no","yes"
"1624","COLEC12","no","no","yes"
"1625","ITFG1","no","no","yes"
"1626","FAM83D","no","no","yes"
"1627","ANP32E","no","no","yes"
"1628","CDT1","no","no","yes"
"1629","MAP1LC3B","no","no","yes"
"1630","REXO5","no","no","yes"
"1631","NETO2","no","no","yes"
"1632","SEH1L","no","no","yes"
"1633","KIF18A","no","no","yes"
"1634","CDCA3","no","no","yes"
"1635","APH1B","no","no","yes"
"1636","NUF2","no","no","yes"
