"","Symbol","CSGene","SASP","CellAge"
"867","ORC2","no","no","yes"
"868","CLDN11","no","no","yes"
"869","P2RX5","no","no","yes"
"870","PA2G4","no","no","yes"
"871","PAFAH1B3","no","no","yes"
"872","SERPINB2","no","no","yes"
"873","PAM","no","no","yes"
"874","PCK2","no","no","yes"
"875","PCNA","yes","no","yes"
"876","PCNT","no","no","yes"
"877","PCOLCE","no","no","yes"
"878","PDK2","no","no","yes"
"879","ENPP2","no","no","yes"
"880","SERPINF1","no","no","yes"
"881","PFAS","no","no","yes"
"882","PFKP","no","no","yes"
"883","SERPINI1","no","no","yes"
"884","PIM1","yes","no","yes"
"885","PLAT","no","no","yes"
"886","PLCB4","no","no","yes"
"887","PLK1","yes","no","yes"
"888","PLOD1","no","no","yes"
"889","PLOD2","no","no","yes"
"890","EXOSC9","no","no","yes"
"891","PRRX1","no","no","yes"
"892","PODXL","no","no","yes"
"893","POLA1","no","no","yes"
"894","POLD1","no","no","yes"
"895","POLD2","no","no","yes"
"896","POLE","no","no","yes"
"897","POLE2","no","no","yes"
"898","POLR2D","no","no","yes"
"899","CTSA","no","no","yes"
"900","PPP1CC","no","no","yes"
"901","PPP1R3C","no","no","yes"
"902","PRIM1","no","no","yes"
"903","PRIM2","no","no","yes"
"904","PRKAR2B","no","no","yes"
"905","PRNP","no","no","yes"
"906","PRPS1","no","no","yes"
"907","PRPS2","no","no","yes"
"908","PRRG1","no","no","yes"
"909","MASP1","no","no","yes"
"910","HTRA1","no","no","yes"
"911","PSG1","no","no","yes"
"912","PSG2","no","no","yes"
"913","PSG4","no","no","yes"
"914","PSG5","no","no","yes"
"915","PSG6","no","no","yes"
"916","PSG7","no","no","yes"
"917","PSG9","no","no","yes"
"918","PSME1","no","no","yes"
"919","PTBP1","no","no","yes"
"920","PTGS1","no","no","yes"
"921","PTMA","no","no","yes"
"922","PTPRK","no","no","yes"
"923","PTPRM","no","no","yes"
"924","PTX3","no","no","yes"
"925","PXMP2","no","no","yes"
"926","RAD21","no","no","yes"
"927","RAD51","no","no","yes"
"928","RAD51D","no","no","yes"
"929","RANBP1","no","no","yes"
"930","RARRES3","no","no","yes"
"931","RBBP7","yes","no","yes"
"932","RBBP8","no","no","yes"
"933","RBL1","yes","no","yes"
"934","RBP1","no","no","yes"
"935","RFC2","no","no","yes"
"936","RFC3","no","no","yes"
"937","RFC4","no","no","yes"
"938","RPA3","no","no","yes"
"939","RPL4","no","no","yes"
"940","RPL5","yes","no","yes"
"941","MRPL23","no","no","yes"
"942","RPS9","no","no","yes"
"943","RPS16","no","no","yes"
"944","RRAS","no","no","yes"
"945","RRM1","yes","no","yes"
"946","RRM2","yes","no","yes"
"947","SORT1","no","no","yes"
"948","SAFB","no","no","yes"
"949","SAT1","no","no","yes"
"950","SCD","no","no","yes"
"951","CXCL12","no","no","yes"
"952","SELENOW","no","no","yes"
"953","SET","no","no","yes"
"954","SFPQ","no","no","yes"
"955","SFRP1","no","no","yes"
"956","SRSF3","yes","no","yes"
"957","SRSF7","no","no","yes"
"958","TRA2B","no","no","yes"
"959","SGSH","no","no","yes"
"960","SHMT2","no","no","yes"
"961","STIL","no","no","yes"
"962","SKP2","no","no","yes"
"963","SLC1A1","no","no","yes"
"964","SLC1A3","no","no","yes"
"965","SLC20A2","no","no","yes"
"966","SMPD1","no","no","yes"
"967","SNRPA","no","no","yes"
"968","SNRPB","no","no","yes"
"969","SNRPB2","no","no","yes"
"970","SNRPC","no","no","yes"
"971","SNRPD1","no","no","yes"
"972","SNRPE","no","no","yes"
"973","SNRPF","no","no","yes"
"974","SOX4","no","no","yes"
"975","SOX11","no","no","yes"
"976","SPARC","no","no","yes"
"977","SSRP1","no","no","yes"
"978","STAT1","yes","no","yes"
"979","STC1","no","no","yes"
"980","AURKA","no","no","yes"
"981","SVIL","no","no","yes"
"982","VAMP2","no","no","yes"
"983","SYT1","no","no","yes"
"984","TAF5","no","no","yes"
"985","TAF13","no","no","yes"
"986","TAP1","no","no","yes"
"987","TAPBP","no","no","yes"
"988","TCF3","yes","no","yes"
"989","TCF19","no","no","yes"
"990","TCOF1","no","no","yes"
"991","TCP1","no","no","yes"
"992","DYNLT3","no","no","yes"
"993","TFAM","no","no","yes"
"994","TGFB2","yes","no","yes"
"995","TGM2","no","no","yes"
"996","THBS1","no","no","yes"
"997","TIMP2","no","no","yes"
"998","TIMP3","no","no","yes"
"999","TK1","no","no","yes"
"1000","TLR3","no","no","yes"
"1001","GPR137B","no","no","yes"
"1002","TMPO","no","no","yes"
"1003","TNFRSF1B","no","no","yes"
"1004","TOP2A","no","no","yes"
"1005","TPM1","no","no","yes"
"1006","TPM2","no","no","yes"
"1007","TTF1","no","no","yes"
"1008","TTK","no","no","yes"
"1009","TWIST1","yes","no","yes"
"1010","TYMS","yes","no","yes"
"1011","UBE2H","no","no","yes"
"1012","UCHL1","no","no","yes"
"1013","UMPS","no","no","yes"
"1014","USP1","no","no","yes"
"1015","VRK1","no","no","yes"
"1016","WFS1","no","no","yes"
"1017","WNT5A","yes","no","yes"
"1018","XPO1","no","no","yes"
"1019","ZNF711","no","no","yes"
"1020","ZNF22","no","no","yes"
"1021","ZFAND5","no","no","yes"
"1022","BTG2","no","no","yes"
"1023","RNF103","no","no","yes"
"1024","MALL","no","no","yes"
"1025","SCG2","no","no","yes"
"1026","REEP5","no","no","yes"
"1027","DEK","yes","no","yes"
"1028","YEATS4","no","no","yes"
"1029","HMGA2","yes","no","yes"
"1030","PABPN1","no","no","yes"
"1031","ANP32A","no","no","yes"
"1032","SLC7A5","no","no","yes"
"1033","CHAF1B","no","no","yes"
"1034","GTPBP6","no","no","yes"
"1035","CDC7","no","no","yes"
"1036","CDC45","no","no","yes"
"1037","FZD8","no","no","yes"
"1038","HIST1H2AJ","yes","no","yes"
"1039","HIST1H2AC","yes","no","yes"
"1040","HIST1H2BE","yes","no","yes"
"1041","HIST1H2BC","yes","no","yes"
"1042","HIST2H2BE","yes","no","yes"
"1043","HIST1H3I","yes","no","yes"
"1044","HIST1H3J","yes","no","yes"
"1045","HIST1H4C","yes","no","yes"
"1046","HIST1H4H","yes","no","yes"
"1047","RAD54L","no","no","yes"
"1048","PIK3R3","no","no","yes"
"1049","ENC1","no","no","yes"
"1050","HAT1","no","no","yes"
"1051","KHSRP","no","no","yes"
"1052","PLA2G4C","no","no","yes"
"1053","RUVBL1","no","no","yes"
"1054","STC2","no","no","yes"
"1055","DCHS1","no","no","yes"
"1056","PEA15","no","no","yes"
"1057","CTSF","no","no","yes"
"1058","CTNNAL1","yes","no","yes"
"1059","ADAM19","no","no","yes"
"1060","TNFSF10","no","no","yes"
"1061","ADAM23","no","no","yes"
"1062","RIOK3","no","no","yes"
"1063","TNFRSF10D","no","no","yes"
"1064","TNFRSF10B","no","no","yes"
"1065","SUCLG2","no","no","yes"
"1066","CREG1","no","no","yes"
"1067","BANF1","no","no","yes"
"1068","GMPS","no","no","yes"
"1069","SOCS2","no","no","yes"
"1070","GGH","no","no","yes"
"1071","TSC22D1","yes","no","yes"
"1072","SPHK1","no","no","yes"
"1073","FUBP1","no","no","yes"
"1074","SLC5A6","no","no","yes"
"1075","DDX18","no","no","yes"
"1076","TIMELESS","no","no","yes"
"1077","H1FX","no","no","yes"
"1078","P4HA2","no","no","yes"
"1079","SELENBP1","no","no","yes"
"1080","ATP6V0E1","no","no","yes"
"1081","TAF1B","no","no","yes"
"1082","TAF1A","no","no","yes"
"1083","BAZ1B","no","no","yes"
"1084","PSTPIP2","no","no","yes"
"1085","PRC1","no","no","yes"
"1086","PAPSS2","no","no","yes"
"1087","CLDN1","no","no","yes"
"1088","LDB2","no","no","yes"
"1089","PKMYT1","no","no","yes"
"1090","NMI","no","no","yes"
"1091","ATP6V0D1","no","no","yes"
"1092","INA","no","no","yes"
"1093","SLC16A3","no","no","yes"
"1094","SMC3","no","no","yes"
"1095","PRPF4","no","no","yes"
"1096","CCNB2","no","no","yes"
"1097","CCNE2","yes","no","yes"
"1098","SYNGR2","no","no","yes"
"1099","SYNGR1","no","no","yes"
"1100","EXO1","no","no","yes"
"1101","ZW10","no","no","yes"
"1102","BUB3","no","no","yes"
"1103","AURKB","yes","no","yes"
"1104","PTTG1","no","no","yes"
"1105","DHRS3","no","no","yes"
"1106","PTER","no","no","yes"
"1107","TRIP13","no","no","yes"
"1108","SLIT2","no","no","yes"
"1109","SNRNP40","no","no","yes"
"1110","ARHGAP29","no","no","yes"
"1111","ITM2B","no","no","yes"
"1112","KIF23","no","no","yes"
"1113","GDF15","no","no","yes"
"1114","EEF1E1","no","no","yes"
"1115","TMEM59","no","no","yes"
"1116","ATP6V1G1","no","no","yes"
"1117","PREPL","no","no","yes"
"1118","APOBEC3B","no","no","yes"
"1119","KIF20B","no","no","yes"
"1120","AKAP12","no","no","yes"
"1121","IER2","no","no","yes"
"1122","RIN1","no","no","yes"
"1123","SNCAIP","no","no","yes"
"1124","ISG15","no","no","yes"
"1125","SH3PXD2A","no","no","yes"
"1126","CEP135","no","no","yes"
"1127","IPO13","no","no","yes"
"1128","ESPL1","no","no","yes"
"1129","CEP57","no","no","yes"
"1130","HDAC9","no","no","yes"
"1131","KNTC1","no","no","yes"
"1132","SNPH","no","no","yes"
"1133","PCLAF","no","no","yes"
"1134","EIF4A3","no","no","yes"
"1135","DLGAP5","no","no","yes"
"1136","URB2","no","no","yes"
"1137","ARHGAP11A","no","no","yes"
"1138","MELK","no","no","yes"
"1139","GINS1","no","no","yes"
"1140","HEPH","no","no","yes"
"1141","NUAK1","no","no","yes"
"1142","SV2A","no","no","yes"
"1143","NCAPD2","no","no","yes"
"1144","KIF14","no","no","yes"
"1145","PUM3","no","no","yes"
"1146","GFPT2","no","no","yes"
"1147","HS3ST3A1","no","no","yes"
"1148","USP3","no","no","yes"
"1149","THOC1","no","no","yes"
"1150","HNRNPDL","no","no","yes"
"1151","NAALADL1","no","no","yes"
"1152","TROAP","no","no","yes"
"1153","CHAF1A","no","no","yes"
"1154","SMC4","no","no","yes"
"1155","UBA2","no","no","yes"
"1156","SAE1","no","no","yes"
"1157","EDIL3","no","no","yes"
"1158","KIF20A","no","no","yes"
"1159","FRY","no","no","yes"
"1160","TRAP1","no","no","yes"
"1161","OPTN","no","no","yes"
"1162","TOB1","no","no","yes"
"1163","CEBPZ","no","no","yes"
"1164","TRIM28","no","no","yes"
"1165","AASS","no","no","yes"
"1166","ATP6AP2","no","no","yes"
"1167","ALYREF","no","no","yes"
"1168","PRMT3","no","no","yes"
"1169","DDX39A","no","no","yes"
"1170","HNRNPR","no","no","yes"
"1171","EFS","no","no","yes"
"1172","MRVI1","no","no","yes"
"1173","TRIM22","no","no","yes"
"1174","CITED2","no","no","yes"
"1175","TUBA1B","no","no","yes"
"1176","TUBB4B","no","no","yes"
"1177","NDRG1","yes","no","yes"
"1178","NDC80","no","no","yes"
"1179","CPQ","no","no","yes"
"1180","IFITM3","no","no","yes"
"1181","PGRMC2","no","no","yes"
"1182","TUBGCP3","no","no","yes"
"1183","TOMM40","no","no","yes"
"1184","GPNMB","no","no","yes"
"1185","MAD2L2","no","no","yes"
"1186","TACC3","no","no","yes"
"1187","PPIH","no","no","yes"
"1188","FST","no","no","yes"
"1189","CAP2","no","no","yes"
"1190","SYNCRIP","no","no","yes"
"1191","SEMA3C","no","no","yes"
"1192","NOP56","no","no","yes"
"1193","RNASEH2A","no","no","yes"
"1194","ANP32B","no","no","yes"
"1195","DPYSL4","no","no","yes"
"1196","CCT2","no","no","yes"
"1197","NPC2","no","no","yes"
"1198","SMC2","no","no","yes"
"1199","PAICS","no","no","yes"
