"","Gene_name","LFC_1_Ctrl","FDR_1_Ctrl","LFC_2_Ctrl","FDR_2_Ctrl","LFC_2_1","FDR_2_1"
"ADAM20P1","ADAM20P1",NA,NA,NA,NA,NA,NA
"ADAM21","ADAM21",NA,NA,NA,NA,NA,NA
"ADAM21P1","ADAM21P1",NA,NA,NA,NA,NA,NA
"ADAM22","ADAM22",NA,NA,NA,NA,NA,NA
"ADAM23","ADAM23",-1.07322526367677,0.000494980511046662,-1.66701819517989,2.61786936073514e-09,-0.593792931503115,0.00860040376958938
"ADAM28","ADAM28",NA,NA,-0.601842604275147,0.00157380805332125,NA,NA
"ADAM29","ADAM29",NA,NA,NA,NA,NA,NA
"ADAM30","ADAM30",NA,NA,NA,NA,NA,NA
"ADAM32","ADAM32",NA,NA,NA,NA,NA,NA
"ADAM33","ADAM33",NA,NA,NA,NA,NA,NA
"ADAM3A","ADAM3A",NA,NA,NA,NA,NA,NA
"ADAM3B","ADAM3B",NA,NA,NA,NA,NA,NA
"ADAM5","ADAM5",NA,NA,NA,NA,NA,NA
"ADAM6","ADAM6",NA,NA,NA,NA,NA,NA
"ADAM7","ADAM7",NA,NA,NA,NA,NA,NA
"ADAM8","ADAM8",NA,NA,0.225225640598772,0.0552432372557168,NA,NA
"ADAM9","ADAM9",NA,NA,NA,NA,NA,NA
"ADAMDEC1","ADAMDEC1",0.929502685587394,0.00453224394889454,0.954894477259842,0.0022583598266157,NA,NA
"ADAMTS1","ADAMTS1",NA,NA,NA,NA,NA,NA
"ADAMTS10","ADAMTS10",NA,NA,NA,NA,NA,NA
"ADAMTS12","ADAMTS12",NA,NA,NA,NA,NA,NA
"ADAMTS13","ADAMTS13",NA,NA,NA,NA,NA,NA
"ADAMTS14","ADAMTS14",NA,NA,0.995472991142497,0.00335740836517013,NA,NA
"ADAMTS15","ADAMTS15",NA,NA,NA,NA,NA,NA
"ADAMTS16","ADAMTS16",NA,NA,NA,NA,NA,NA
"ADAMTS17","ADAMTS17",NA,NA,-0.647816141942162,0.000249680645085376,-0.320036451223743,0.0240100238617322
"ADAMTS18","ADAMTS18",NA,NA,NA,NA,NA,NA
"ADAMTS19","ADAMTS19",NA,NA,NA,NA,NA,NA
"ADAMTS19-AS1","ADAMTS19-AS1",NA,NA,NA,NA,NA,NA
"ADAMTS2","ADAMTS2",1.35413148278716,0.0809525894530412,1.73788703319228,0.0131571509834725,NA,NA
"ADAMTS20","ADAMTS20",NA,NA,NA,NA,NA,NA
"ADAMTS3","ADAMTS3",NA,NA,NA,NA,NA,NA
"ADAMTS4","ADAMTS4",NA,NA,NA,NA,NA,NA
"ADAMTS5","ADAMTS5",NA,NA,NA,NA,NA,NA
"ADAMTS6","ADAMTS6",NA,NA,-0.42003071541469,0.0447212460933327,NA,NA
"ADAMTS7","ADAMTS7",NA,NA,NA,NA,NA,NA
"ADAMTS7P1","ADAMTS7P1",NA,NA,-0.620367519705287,0.0319063366612985,NA,NA
"ADAMTS8","ADAMTS8",NA,NA,NA,NA,NA,NA
"ADAMTS9","ADAMTS9",NA,NA,NA,NA,NA,NA
"ADAMTS9-AS1","ADAMTS9-AS1",NA,NA,NA,NA,NA,NA
"ADAMTS9-AS2","ADAMTS9-AS2",NA,NA,NA,NA,NA,NA
"ADAMTSL1","ADAMTSL1",NA,NA,NA,NA,NA,NA
"ADAMTSL2","ADAMTSL2",-1.09432405011292,0.0344070790737779,-1.28556647391739,0.008021599977676,NA,NA
"ADAMTSL3","ADAMTSL3",NA,NA,NA,NA,NA,NA
"ADAMTSL4","ADAMTSL4",NA,NA,NA,NA,NA,NA
"ADAMTSL4-AS1","ADAMTSL4-AS1",NA,NA,NA,NA,NA,NA
"ADAMTSL5","ADAMTSL5",NA,NA,-0.352437017633578,0.0782893197576691,NA,NA
"ADAP1","ADAP1",NA,NA,NA,NA,NA,NA
"ADAP2","ADAP2",NA,NA,NA,NA,NA,NA
"ADAR","ADAR",NA,NA,NA,NA,NA,NA
"ADARB1","ADARB1",NA,NA,-0.273304124502961,0.00983193186862638,NA,NA
"ADARB2","ADARB2",NA,NA,NA,NA,NA,NA
"ADARB2-AS1","ADARB2-AS1",NA,NA,NA,NA,NA,NA
"ADAT1","ADAT1",0.171592026343556,0.0776090341262168,0.19254266449101,0.033976095792119,NA,NA
"ADAT2","ADAT2",-0.411147554571564,0.00619779760029946,-0.365686623894124,0.0132766875829091,NA,NA
"ADAT3","ADAT3",NA,NA,NA,NA,NA,NA
"ADCK1","ADCK1",NA,NA,NA,NA,NA,NA
"ADCK2","ADCK2",NA,NA,NA,NA,NA,NA
"ADCK5","ADCK5",NA,NA,NA,NA,NA,NA
"ADCY1","ADCY1",1.26539391998879,0.0792484629205701,1.18243621166289,0.0906418222070519,NA,NA
"ADCY10","ADCY10",NA,NA,NA,NA,NA,NA
"ADCY10P1","ADCY10P1",NA,NA,-0.331554341788101,0.0761576629161452,NA,NA
"ADCY2","ADCY2",NA,NA,NA,NA,NA,NA
"ADCY3","ADCY3",NA,NA,NA,NA,-0.162361596336884,0.0147056800215241
"ADCY4","ADCY4",NA,NA,NA,NA,NA,NA
"ADCY5","ADCY5",NA,NA,NA,NA,NA,NA
"ADCY6","ADCY6",NA,NA,NA,NA,NA,NA
"ADCY6-DT","ADCY6-DT",NA,NA,NA,NA,NA,NA
"ADCY7","ADCY7",NA,NA,0.161376025782022,0.016286141474992,NA,NA
"ADCY8","ADCY8",NA,NA,NA,NA,NA,NA
"ADCY9","ADCY9",0.280796791623379,0.0436673902451254,0.280606359271124,0.0357870219321705,NA,NA
"ADCYAP1","ADCYAP1",NA,NA,NA,NA,NA,NA
"ADCYAP1R1","ADCYAP1R1",NA,NA,NA,NA,NA,NA
"ADD1","ADD1",0.156532076976351,0.00678919629196737,0.14701246171844,0.00916917652484258,NA,NA
"ADD2","ADD2",NA,NA,-0.418129366175218,0.025850701286513,-0.312531736307841,0.021450303480879
"ADD3","ADD3",NA,NA,NA,NA,NA,NA
"ADD3-AS1","ADD3-AS1",-0.770152490224887,0.00176645823249622,-0.557069014713154,0.0258523871282055,NA,NA
"ADGB","ADGB",NA,NA,NA,NA,NA,NA
"ADGRA1","ADGRA1",NA,NA,NA,NA,NA,NA
"ADGRA2","ADGRA2",NA,NA,NA,NA,NA,NA
