"","X","Bifidobacteriaceae","Atopobiaceae","Coriobacteriaceae","Coriobacteriales.Incertae.Sedis","Eggerthellaceae","Bacteroidaceae","Bacteroidales.RF16.group","Barnesiellaceae","Dysgonomonadaceae","Marinifilaceae","Muribaculaceae","Prevotellaceae","Rikenellaceae","Tannerellaceae","Flavobacteriaceae","Clostridium.sp..K4410.MGS.306","Elusimicrobiaceae","Campylobacteraceae","Staphylococcaceae","Enterococcaceae","Lactobacillaceae","Streptococcaceae","Christensenellaceae","Clostridiaceae.1","Clostridiales.vadinBB60.group","Defluviitaleaceae","Family.XI","Family.XIII","Lachnospiraceae","Peptococcaceae","Peptostreptococcaceae","Ruminococcaceae","Erysipelotrichaceae","Acidaminococcaceae","Veillonellaceae","Fusobacteriaceae","Victivallaceae","vadinBE97","Oligosphaeraceae","Desulfovibrionaceae","Succinivibrionaceae","Shewanellaceae","Burkholderiaceae","Enterobacteriaceae","Halomonadaceae","Pasteurellaceae","Pseudomonadaceae","Spirochaetaceae","Synergistaceae","Anaeroplasmataceae","Puniceicoccaceae","Akkermansiaceae"
"23",1164,0.0239934264585045,0.000493015612161052,0.0106820049301561,0,0.00493015612161052,0.000328677074774034,0.000657354149548069,0,0,0,0.00870994248151191,0.302218570254725,0.00936729663105998,0,0,0,0.00115036976170912,0.000328677074774034,0,0,0.0037797863599014,0,0.00394412489728841,0.000328677074774034,0.0057518488085456,0,0,0.00213640098603122,0.0591618734593262,0.000328677074774034,0,0.123253903040263,0.00805258833196384,0.0691865242399343,0.180936729663106,0,0,0.00213640098603122,0.00164338537387017,0.00197206244864421,0.149383730484799,0,0.00197206244864421,0,0,0,0,0.0231717337715694,0,0,0,0
"24",1165,0,0.000489556135770235,0.0135443864229765,0,0.00326370757180157,0.000815926892950392,0,0,0,0.000326370757180157,0.00538511749347258,0.328981723237598,0.00783289817232376,0.0138707571801567,0,0,0,0,0,0,0,0.000163185378590078,0.0133812010443864,0.000652741514360313,0.00701697127937337,0,0,0.00293733681462141,0.12597911227154,0,0.000652741514360313,0.281494778067885,0.0097911227154047,0.0701697127937337,0.0536879895561358,0,0,0.00766971279373368,0,0.0122389033942559,0,0,0.0385117493472585,0.00114229765013055,0,0,0,0,0,0,0,0
"25",1182,0,0,0,0,0,0.0665919641427885,0,0.0550664318873059,0,0,0,0.00048023051064511,0.0485032815751561,0.0270529854330078,0,0.00112053785817192,0,0,0,0,0,0,0.00048023051064511,0,0,0,0,0.00816391868096686,0.122939010725148,0,0,0.151592764526973,0.000320153673763406,0.462141828077477,0,0,0,0,0,0.0184088362413959,0,0,0,0.0180886825676325,0,0,0,0,0,0,0,0.0190491435889227
"26",1185,0.0535801266439357,0.0107160253287871,0.0313362558856957,0,0.00649456080532554,0.000649456080532554,0.0759863614223088,0,0,0,0.0108783893489203,0.015262217892515,0.0310115278454295,0.0103912972885209,0,0,0.000487092060399416,0,0,0,0,0,0.0493586621204741,0.000487092060399416,0.0870271147913622,0.00113654814093197,0,0.00616983276505926,0.0943334956973535,0,0.00324728040266277,0.361747036856633,0.0504952102614061,0.0136385776911836,0.0133138496509174,0,0.000162364020133139,0.00649456080532554,0.00259782432213022,0.000324728040266277,0.00162364020133138,0,0.00162364020133138,0.00243546030199708,0,0,0,0.0560155869459328,0,0.000974184120798831,0,0
"27",1192,0.00146771037181996,0,0.00750163078930202,0,0.000489236790606654,0.0223418134377038,0,0.00407697325505545,0,0.000815394651011089,0.116764514024788,0.0883887801696021,0.029191128506197,0.00375081539465101,0,0.00407697325505545,0,0,0,0,0,0,0.00244618395303327,0.000163078930202218,0.0432159165035877,0,0,0.000489236790606654,0.102902804957599,0.000163078930202218,0.000978473581213307,0.422863666014351,0.0045662100456621,0,0.0859425962165688,0,0.000163078930202218,0,0,0.0125570776255708,0,0,0.0233202870189172,0.000652315720808871,0,0,0,0,0,0,0,0.0207110241356817
"28",1193,0.0105365537364241,0,0.00421462149456962,0.000162100826714216,0.000972604960285297,0.0863997406386773,0,0.0139406710974226,0,0.00356621818771276,0,0.117198897714378,0.0450640298265521,0.0210731074728481,0,0,0,0,0,0,0,0.00243151240071324,0.102934024963527,0.000486302480142649,0.079429405089966,0.000486302480142649,0,0.00162100826714216,0.0812125141838223,0,0.000162100826714216,0.354514508023991,0.00162100826714216,0.00842924298913924,0.0290160479818447,0,0.00113470578699951,0,0,0.00324201653428433,0,0,0.0171826876317069,0.00340411736099854,0,0,0,0,0,0.000486302480142649,0.000162100826714216,0.00891554546928189
"29",1196,0.00180239226609864,0.000819269211863018,0.00131083073898083,0,0.000163853842372604,0.313943961985909,0,0.0109782074389644,0,0.00213009995084385,0,0.0271997378338522,0.026052760937244,0.0204817302965755,0,0.0468621989185646,0,0,0,0,0,0.000163853842372604,0.000163853842372604,0,0.000163853842372604,0,0,0.000327707684745207,0.148287727347206,0,0.000655415369490415,0.231033917745371,0.000491561527117811,0.140586596755694,0,0,0,0,0,0.00737342290676716,0,0,0.0186793380304768,0.000163853842372604,0,0,0,0,0,0,0,0.000163853842372604
"30",1203,0.0016273393002441,0.00016273393002441,0.00244100895036615,0,0.00032546786004882,0.00992676973148902,0,0.0112286411716843,0,0.0016273393002441,0,0.05793327908869,0.00846216436126932,0.00374288039056143,0,0.000976403580146461,0,0,0,0,0,0.0016273393002441,0.0403580146460537,0,0.0214808787632221,0.00032546786004882,0,0.00374288039056143,0.156550040683482,0.00016273393002441,0,0.463791700569569,0.00716029292107404,0.140764849471115,0.0364524003254679,0,0.00032546786004882,0.00146460537021969,0,0.00146460537021969,0,0,0.013506916192026,0,0,0.00016273393002441,0,0,0,0,0,0.0122050447518308
"31",1210,0.0445013606531135,0,0.00176084520569874,0,0.000160076836881703,0.233392028173523,0,0,0,0.00416199775892428,0,0.0853209540579478,0.0681927325116056,0.00640307347526813,0,0,0,0,0,0,0,0.00160076836881703,0.00336161357451577,0.000640307347526813,0,0,0,0,0.156555146470306,0,0.00464222826956939,0.326556747238675,0.000960461021290219,0,0.00576276612774132,0,0,0,0,0.0168080678725788,0,0,0.0134464542980631,0.0257723707379542,0,0,0,0,0,0,0,0
"32",1214,0.000506329113924051,0.000337552742616034,0.00219409282700422,0,0.000843881856540084,0.0030379746835443,0,0.000168776371308017,0,0.00118143459915612,0.00573839662447257,0.181434599156118,0.00894514767932489,0.00118143459915612,0,0,0.0312236286919831,0,0,0,0,0.0020253164556962,0.00354430379746835,0,0.0121518987341772,0,0,0.00405063291139241,0.206413502109705,0,0,0.184303797468354,0.00641350210970464,0.0570464135021097,0.23831223628692,0,0,0,0,0.00489451476793249,0.0178902953586498,0,0.0226160337552743,0,0,0,0,0,0,0.00354430379746835,0,0
"33",1218,0.010453522032808,0,0.0406883242200064,0,0.00836281762624638,0.165165648118366,0,0,0,0.00353811514956578,0.00369893856545513,0.0490511418462528,0.0749437118044387,0.0151174010935992,0,0,0,0,0,0,0.000804117079446767,0.00289482148600836,0.000160823415889353,0,0,0,0,0,0.161305886137022,0,0.000160823415889353,0.38806690254101,0.00820199421035703,0.00498552589256996,0.0321646831778707,0,0,0,0,0.013669990350595,0,0,0.010453522032808,0.00611128980379543,0,0,0,0,0,0,0,0
"34",1225,0.0351046698872786,0,0.00466988727858293,0,0.00112721417069243,0.303220611916264,0,0.0035426731078905,0,0.00998389694041868,0,0,0.0895330112721417,0.0119162640901771,0,0,0,0,0,0,0,0.000483091787439614,0.000322061191626409,0,0.000161030595813205,0,0,0.00660225442834139,0.138647342995169,0,0,0.300161030595813,0.0434782608695652,0.0164251207729469,0,0,0.000483091787439614,0,0,0.00161030595813205,0,0,0.0104669887278583,0.022061191626409,0,0,0,0,0,0,0,0
"35",1249,0,0.000321802091713596,0.00289621882542237,0.00080450522928399,0.00176991150442478,0.0265486725663717,0,0.00176991150442478,0,0.00370072405470636,0.0416733708769107,0.297023330651649,0.0086886564762671,0.00434432823813355,0,0.00305711987127916,0,0,0,0,0,0.00112630732099759,0.0242960579243765,0.000321802091713596,0.00225261464199517,0,0,0.00176991150442478,0.109090909090909,0,0.00080450522928399,0.223974255832663,0.00595333869670153,0.140949316170555,0.0886564762670957,0,0,0.000321802091713596,0,0.000965406275140788,0,0,0.00611423974255833,0,0,0,0,0,0,0,0,0.00080450522928399
"36",1257,0.00403030791552475,0.000644849266483959,0.00983395131388038,0,0.000806061583104949,0,0,0.000644849266483959,0,0.00032242463324198,0.00145091084958891,0.312913106561341,0.00499758181525068,0,0,0,0,0,0,0,0,0.000644849266483959,0.00419152023214574,0.00467515718200871,0.00257939706593584,0,0,0.00032242463324198,0.105755279703369,0,0.00580364339835563,0.0720619055295825,0.00306303401579881,0.0211188134773497,0.42672900209576,0,0,0.00257939706593584,0,0.00193454779945188,0.00902788973077543,0,0.00386909559890376,0,0,0,0,0,0,0,0,0
"37",1261,0.0229143133774407,0.000968210424398903,0.00161368404066484,0,0.00242052606099726,0.00355010488946264,0,0,0,0.000161368404066484,0.0122639987090528,0.109085041148943,0.0169436824269808,0.000806842020332419,0,0,0,0,0,0,0.000161368404066484,0.00387284169759561,0.0121026303049863,0.0111344198805874,0.0143617879619171,0.000161368404066484,0,0.00613199935452638,0.137001775052445,0,0.0108116830724544,0.467484266580603,0.0158141035985154,0.0059706309504599,0.049701468452477,0,0.00290463127319671,0.000645473616265935,0,0.000645473616265935,0.0837502017105051,0,0.00225915765693077,0.000322736808132968,0,0,0,0,0,0,0.00403421010166209,0
"38",1267,0.00671800753727675,0.000163853842372604,0.01572996886777,0,0.000819269211863018,0.000491561527117811,0,0.000327707684745207,0,0.000327707684745207,0.00114697689660823,0.442896935933148,0.00311322300507947,0.000491561527117811,0,0,0,0,0,0,0,0.00245780763558905,0.00245780763558905,0.00196624610847124,0.00114697689660823,0.000819269211863018,0,0.00180239226609864,0.148943142716697,0,0.000327707684745207,0.128952973947239,0.0091758151728658,0.073570375225299,0.053744060298214,0,0,0,0,0,0.101425528428642,0,0.000655415369490415,0,0,0.000327707684745207,0,0,0,0,0,0
