"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","CSGene","CellAge","SASAP","Synaptic_proteins"
"MCFD2","MCFD2",0.315539661748896,2.05608327637891e-06,1.09470517611212e-05,"group2-group1",NA,"yes",NA,NA
"MDK","MDK",0.264789202411589,2.63558476867305e-05,0.000122088974307945,"group2-group1",NA,"yes",NA,NA
"MGMT","MGMT",2.02140416738794,1.29150689063222e-20,1.07975405016667e-18,"group2-group1",NA,"yes",NA,NA
"MIF","MIF",1.05535045779524,2.2365390913065e-16,4.38751930462342e-15,"group2-group1","yes",NA,NA,"yes"
"MINK1","MINK1",1.84125918783211,3.21065802863448e-19,1.32179625601388e-17,"group2-group1","yes",NA,NA,"yes"
"MTHFD2","MTHFD2",0.214232920650578,0.00372880935282407,0.0120567585600716,"group2-group1",NA,"yes",NA,NA
"MZT1","MZT1",0.369327378424894,6.36901514453896e-05,0.000279109914055283,"group2-group1",NA,"yes",NA,NA
"NBN","NBN",0.468442557936473,6.5752390927992e-05,0.000287285857522452,"group2-group1","yes",NA,NA,NA
"NEXN","NEXN",1.35565386926801,1.06153483234452e-18,3.5259844487989e-17,"group2-group1",NA,"yes",NA,NA
"NFKB1","NFKB1",0.338758892197514,0.00128655808343442,0.00455831427621673,"group2-group1","yes",NA,"yes",NA
"NMI","NMI",0.381079549198299,0.000194259641731852,0.000789737041421702,"group2-group1",NA,"yes",NA,NA
"NPC2","NPC2",0.210714684746079,0.000255990761448649,0.00101253179393018,"group2-group1",NA,"yes",NA,NA
"NPM1","NPM1",0.382040096845505,0.00604935689572799,0.018135661749962,"group2-group1",NA,"yes",NA,"yes"
"NT5C","NT5C",0.875991805600441,1.90214253289398e-12,1.89759816506795e-11,"group2-group1",NA,"yes",NA,NA
"NUDT15","NUDT15",0.237586876423777,0.00390258461097504,0.0125630559668282,"group2-group1",NA,"yes",NA,NA
"PAGR1","PAGR1",0.1948771411185,0.0111618490875403,0.030983936261045,"group2-group1",NA,"yes",NA,NA
"PARP1","PARP1",0.451988481407329,0.000335293731279095,0.00130501142014487,"group2-group1","yes","yes",NA,"yes"
"PDGFB","PDGFB",2.0815924861015,3.36010987558048e-18,9.44384727530938e-17,"group2-group1","yes",NA,NA,NA
"PEBP1","PEBP1",0.905306581743862,8.99053853047432e-18,2.30520562496284e-16,"group2-group1","yes",NA,NA,"yes"
"PGD","PGD",0.685365258757119,2.82449649158578e-13,3.17538586342509e-12,"group2-group1","yes",NA,NA,"yes"
"PGR","PGR",0.300351229349142,0.0189986830426191,0.0490142546633501,"group2-group1","yes",NA,NA,NA
"PLA2G15","PLA2G15",0.154272720114752,0.00439063786000593,0.0137849994251314,"group2-group1",NA,"yes",NA,NA
"PLAT","PLAT",0.342323046820437,0.000836562441675234,0.00306069219059253,"group2-group1",NA,"yes",NA,NA
"PLEKHO1","PLEKHO1",0.411158388617263,6.74944058640135e-07,3.80127453449926e-06,"group2-group1",NA,"yes",NA,NA
"PNPT1","PNPT1",0.35473088760322,0.0174834927770955,0.0457513423343333,"group2-group1","yes",NA,NA,"yes"
"PPP1CC","PPP1CC",0.597588778971439,6.25037408711849e-08,3.97170509927116e-07,"group2-group1",NA,"yes",NA,"yes"
"PPP1R14A","PPP1R14A",1.01351342789117,3.5294233108246e-10,2.84201221419843e-09,"group2-group1",NA,"yes",NA,NA
"PRTFDC1","PRTFDC1",1.76630254816834,5.26193849694211e-13,5.61337453524153e-12,"group2-group1",NA,"yes",NA,NA
"PSME1","PSME1",0.551934363768672,1.02226912838442e-11,9.42615981787906e-11,"group2-group1",NA,"yes",NA,NA
"PSMG3","PSMG3",0.61309752298393,9.92792821278509e-09,6.8766194706092e-08,"group2-group1",NA,"yes",NA,NA
"PSRC1","PSRC1",0.608220349346734,1.24634777265546e-11,1.13846079358497e-10,"group2-group1",NA,"yes",NA,NA
"PSTPIP2","PSTPIP2",1.73924605148353,5.81822394845159e-17,1.30820527702492e-15,"group2-group1",NA,"yes",NA,NA
"PTEN","PTEN",0.539766816285828,6.18809419694739e-06,3.11321847464324e-05,"group2-group1","yes",NA,NA,NA
"PTPRK","PTPRK",0.111507636062179,0.0104148507381215,0.0292717391418548,"group2-group1",NA,"yes",NA,"yes"
"PTPRM","PTPRM",0.159442398289323,0.000343621195126428,0.00133387085438851,"group2-group1",NA,"yes",NA,NA
"RANBP1","RANBP1",0.710873135662268,2.94895262161048e-07,1.73436388590894e-06,"group2-group1",NA,"yes",NA,"yes"
"RBP2","RBP2",0.523445629900219,0.00166974266031094,0.00579650569606753,"group2-group1","yes",NA,NA,NA
"RBPMS2","RBPMS2",1.64232183760297,7.57052159163059e-20,4.02338811133386e-18,"group2-group1",NA,"yes",NA,NA
"RNASEH2A","RNASEH2A",0.401354702664164,1.76704008484636e-06,9.45981349451631e-06,"group2-group1",NA,"yes",NA,NA
"RRAS","RRAS",0.738892168922578,2.26027223644157e-06,1.1968796643331e-05,"group2-group1",NA,"yes",NA,NA
"RRM2","RRM2",0.421261168634769,0.00329798607366183,0.0107469490449426,"group2-group1","yes","yes",NA,NA
"RRM2B","RRM2B",0.638447171199205,3.22580195485775e-08,2.13326224299756e-07,"group2-group1",NA,"yes",NA,NA
