"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CNST",-2.81393255977497,0.0628948863636364,-19.8921827332269,5.11299340211148e-47,1.49452797143718e-43,96.2130301875622
"DPEP2",1.2087935302391,-1.70753863636364,18.3705786866526,6.96322319740718e-43,1.01767507030106e-39,86.8370843772656
"C3",2.0867741209564,-0.174618181818182,17.4769599059849,2.10252470828738e-40,2.04855990744133e-37,81.2065094034754
"ITGAL",2.14865963431786,0.629865909090909,16.0181706669518,2.77787135882751e-36,2.0299294954632e-33,71.8415822034757
"ARHGEF12",-2.59899008438819,-0.0736676136363636,-15.8442481962054,8.71551072584704e-36,5.09508757033018e-33,70.7125014651392
"LTA4H",1.47256898734177,0.649415340909091,15.2066832920102,5.87104336103806e-34,2.86017662405237e-31,66.5542902182132
"TRIM25",-2.83817130801688,-0.239070454545455,-14.7780725771673,1.00954296605166e-32,4.21556298538429e-30,63.7440105379289
"CDC42BPB",-2.31994592123769,-0.153467613636364,-13.6800112003835,1.53240289439182e-29,5.59901707538411e-27,56.5055197003495
"BMP4",1.42889345991561,-0.183676704545455,13.0218899410688,1.25246281429587e-27,4.06772089576314e-25,52.1534263529712
"PLXNA4",-2.10916856540084,0.337808522727273,-12.9212826179121,2.45549435100641e-27,7.17740998799174e-25,51.4880503963951
"SDCCAG8",-2.52580977496484,-0.678999431818182,-12.8336166280528,4.41439589449482e-27,1.17302538178258e-24,50.9083400750538
"CALCOCO1",-2.47234669479606,-0.2217875,-12.7501906419721,7.71335827325458e-27,1.8788455193936e-24,50.3567610534886
"ARHGAP45",-1.79850133614627,0.110208522727273,-12.6776569487958,1.25294286679929e-26,2.81719384588794e-24,49.877290911177
"ITPA",-1.57585914205345,0.695547159090909,-12.6541246847996,1.46647947534069e-26,3.06179964744346e-24,49.7217569421977
"TRIM5",-1.72650372714487,-0.0793517045454546,-12.5109452646716,3.81942060520607e-26,7.44277761934489e-24,48.7756973171772
"BRAP",-2.66987862165963,-0.700828409090909,-12.3000315817234,1.56292969309284e-25,2.85527718306899e-23,47.3831358613086
"NFATC1",-1.43490042194093,-0.238215909090909,-12.1896733611714,3.26487463743566e-25,5.61366386189672e-23,46.6551196257443
"PDE5A",-2.43001877637131,-0.545860795454545,-11.9721197988303,1.39280652260817e-24,2.26176303643538e-22,45.2215164020115
"KAZN",-2.36755274261603,-0.3716,-11.7897393019227,4.6908480713049e-24,7.2164994275917e-22,44.0215972074596
"IKBKG",-1.62700717299578,-0.335692045454545,-11.6494560305839,1.19206416889379e-23,1.74220178283828e-21,43.1000349170199
"GYS1",-2.6286888185654,-1.49777897727273,-11.4547994127765,4.3388391651392e-23,5.95955104812807e-21,41.8235784332583
"PMM2",-1.45744592123769,0.0960221590909091,-11.4497861767225,4.4854643537057e-23,5.95955104812807e-21,41.7907426460661
"OPHN1",-2.46290288326301,-0.663853977272727,-10.7701929245153,3.97469160729091e-21,5.05131459483102e-19,37.3612665557712
"TNIP1",-1.89315042194093,-0.263499431818182,-10.7535970178359,4.43201174575833e-21,5.3978209720215e-19,37.2537173297884
"ADAMTS15",-2.41884486638537,0.696614772727273,-10.7034961090127,6.15601427591935e-21,7.19761189140491e-19,36.9292449990153
"DOK1",-3.09630654008439,-0.394672159090909,-10.5595543574104,1.57954122570705e-20,1.77576884720835e-18,35.9988000880791
"TJAP1",-1.58220928270042,-0.0157090909090909,-10.5084170111141,2.20616606710316e-20,2.38837904227502e-18,35.668907117718
"MAP3K5",-2.0673335443038,0.253848295454545,-10.4307315815826,3.66257721621016e-20,3.82346900106511e-18,35.168442176481
"SMTN",-1.88637855133615,0.49201875,-10.3854024945859,4.92125146614599e-20,4.96028208122232e-18,34.8768200264633
"DNPEP",1.75093832630098,0.577803977272727,10.3379645158558,6.70189439372499e-20,6.52987910428605e-18,34.5719520259409
"HMCN2",1.58700506329114,0.0639477272727273,10.3173949814366,7.66143902087898e-20,7.22399556710621e-18,34.4398625374454
"CRACR2A",-1.71765133614627,-0.523110227272727,-10.289076201124,9.21026764536368e-20,8.41300385231189e-18,34.2581148942185
"RNF5",-1.40691097046413,-0.665755681818182,-10.2839452385437,9.5225821084067e-20,8.43469924329479e-18,34.2251978475204
"VPS53",-1.26869697609001,0.0199505681818182,-10.2269323495968,1.37899414558211e-19,1.18552937868721e-17,33.8597120217244
"BACH1",-0.892712025316456,-0.302261931818182,-10.1237831032994,2.69123148783615e-19,2.24756275398431e-17,33.199770849275
"GP1BB",-1.79752728551336,-0.111417045454545,-10.1037591757893,3.06364785783011e-19,2.48751185789928e-17,33.0718593577272
"EGF",-2.78472032348805,-2.12379715909091,-10.0944423903573,3.25401141760851e-19,2.57066901991072e-17,33.0123669679463
"KLK13",-1.16898277074543,0.696977840909091,-10.077993562116,3.61930811856121e-19,2.72717259203422e-17,32.9073681501723
"CD69",-2.45936378340366,-0.133182386363636,-10.0771664801176,3.63871813511238e-19,2.72717259203422e-17,32.902089780506
"SLMAP",-1.66574789029536,0.531846022727273,-9.96594948051589,7.46200426862653e-19,5.45285961929883e-17,32.1933721750797
"SUSD1",-1.73491216596343,0.207216477272727,-9.82677264275349,1.82761680664344e-18,1.30295705507775e-16,31.3095542008208
"MYH9",-1.56251315049226,0.298994886363636,-9.69242096849741,4.32507869045156e-18,3.01004881242617e-16,30.4597886601492
"NFAT5",-1.86828199718706,0.372603409090909,-9.67437490269308,4.85436835187624e-18,3.27797069972191e-16,30.3459137307134
"DGKA",-1.00516139240506,0.294739204545455,-9.67182003523376,4.93433837795977e-18,3.27797069972191e-16,30.3297970938607
"TXLNA",-1.79945555555556,0.161585227272727,-9.64059388728149,6.02443531375461e-18,3.91320542713438e-16,30.1329205308233
"CMIP",-1.07559796061885,0.283861931818182,-9.57821727776308,8.97088114314088e-18,5.70040990900017e-16,29.7402301124536
"MTSS2",-1.82641744022504,-0.298413636363636,-9.53817675607414,1.15786697845975e-17,7.20094718731455e-16,29.4885742509147
"BANK1",-2.29828748241913,0.711959090909091,-9.50212960889531,1.45649795163719e-17,8.86946565132397e-16,29.2623015056655
"MASP1",0.632916385372715,-0.268641477272727,9.48771078316687,1.59638704887954e-17,9.52293743647937e-16,29.1718689853209
"HEXIM1",-1.43654184247539,0.405049431818182,-9.47245571485282,1.7589613798001e-17,1.02828882263114e-15,29.0762395848612
"GAPDH",-2.08661779184248,-0.407191477272727,-9.46157737326897,1.8848547996771e-17,1.08028050577572e-15,29.0080767883914
"BTC",-1.70147538677918,-1.18683863636364,-9.37317834064706,3.30248194349563e-17,1.85637590785341e-15,28.4551220999712
"WWP2",-1.01173108298172,-0.224086363636364,-9.25551344670906,6.94881955047247e-17,3.83233953698699e-15,27.7217875703046
"MINDY1",-2.28149662447257,0.443571590909091,-9.24748405757078,7.30986030590108e-17,3.95680031002757e-15,27.6718598324037
"ITGB2",0.786440576652602,0.0651369318181818,9.18063694571816,1.113795418846e-16,5.91931638052158e-15,27.2567776161688
"FOXO1",-1.64044064697609,-0.231723863636364,-9.10432657142852,1.79908447988937e-16,9.39057845485113e-15,26.7842254391216
"DDHD2",-1.20531631504923,0.526460227272727,-9.05355746556129,2.47326071541426e-16,1.26830545107998e-14,26.4706174932765
"BCR",-1.46407137834037,-0.19013125,-9.04203928487723,2.65822080555202e-16,1.32273885985438e-14,26.3995561571546
"GP5",-1.20252756680731,-0.926580681818182,-9.04133810628011,2.66991422276458e-16,1.32273885985438e-14,26.3952313002013
"MTHFSD",-1.27525555555556,-0.0720761363636364,-8.99631156738393,3.53835149044658e-16,1.72376690109589e-14,26.1177646824549
"OGA",-1.09154402250352,0.301202272727273,-8.81463758832786,1.09665092344009e-15,5.25493549051701e-14,25.0034944006321
"WASF1",-1.20735189873418,0.204377272727273,-8.79157007713805,1.2652772818236e-15,5.96517015285544e-14,24.8626328672905
"AXIN1",-1.60922510548523,-0.157211931818182,-8.66794369125315,2.71680926887318e-15,1.26051325284386e-13,24.1101741700337
"TIMM8A",-1.25443150492264,0.205268181818182,-8.59898110778928,4.15349795848724e-15,1.89698039572784e-13,23.6922762724636
"CNDP1",-1.08550323488045,0.296836363636364,-8.58789140814085,4.44638211738138e-15,1.99950383524704e-13,23.6252012395746
"ESYT2",-1.47934106891702,0.393632954545455,-8.58091567233193,4.64102503828656e-15,2.05541154347146e-13,23.5830271989576
"CRYZL1",-1.93634479606189,1.20504602272727,-8.5726758913576,4.88185876973215e-15,2.12980196775031e-13,23.533228983937
"ANKMY2",-1.36453326300985,0.0294823863636364,-8.54861898010954,5.6582971746078e-15,2.43223568255568e-13,23.3879499254497
"CEP170",-1.45891673699015,-0.0463704545454545,-8.42968829135399,1.17094534344215e-14,4.96039599837886e-13,22.67222227996
"SNAP23",-2.6290658931083,-0.600511931818182,-8.37266166831263,1.6571302866076e-14,6.91970261107716e-13,22.3305350204213
"MTSS1",-2.56088326300985,0.851836363636364,-8.34697218661131,1.93714694484481e-14,7.97504298560756e-13,22.1769351462979
"YES1",-1.6080405766526,0.346990340909091,-8.28360501833549,2.84479262801978e-14,1.15490678495859e-12,21.7989302204358
"RAB11FIP3",-2.36604697609001,-0.0906204545454545,-8.26294052927607,3.22374135766102e-14,1.29082136827989e-12,21.6759317734347
"CD84",-0.676757243319269,-0.0393545454545455,-8.25168698073837,3.45074250005931e-14,1.36304328752343e-12,21.6090055178125
"DARS1",-1.60022144866385,0.609365340909091,-8.23442553449402,3.83009220811256e-14,1.49271460324173e-12,21.5064276449208
"MCEMP1",-1.84261504922644,0.0228897727272727,-8.21392786123406,4.33457554875245e-14,1.66710056960571e-12,21.3847415602631
"CASP2",-0.970649015471167,-1.24053920454545,-8.1973970042942,4.78898309876017e-14,1.81794773995792e-12,21.2867028992175
"EIF2AK3",-1.28521976090014,0.276317613636364,-8.15603196856263,6.14359257319761e-14,2.30227193480213e-12,21.0417682320234
"TFRC",0.778692053445851,0.166514204545455,8.15179691139061,6.30209462013743e-14,2.31510415450095e-12,21.0167225708176
"NPL",-1.19277637130802,1.06354545454545,-8.15089837140528,6.3362412712992e-14,2.31510415450095e-12,21.0114094570457
"RAB33A",-1.04454416315049,0.241189772727273,-8.1148726771879,7.86740588271213e-14,2.83906511051451e-12,20.7986055480967
"MAVS",-1.39990196905767,0.0254420454545455,-8.1115992932201,8.02349817288516e-14,2.86008355601748e-12,20.7792908098141
"PLEKHO1",-1.11960372714487,-0.146321022727273,-8.05870291947793,1.10162514242062e-13,3.8610164986941e-12,20.4676664032223
"EHD3",-2.73916125175809,-0.0568642045454545,-8.0575030515068,1.10956341392509e-13,3.8610164986941e-12,20.460608536934
"FGD3",-1.32614303797468,-0.624864772727273,-8.04783960581563,1.17559761561263e-13,4.04267274168908e-12,20.4037838061018
"GPD1",1.43633052039381,-0.525711363636364,8.01791087430504,1.40583027400879e-13,4.77818824526476e-12,20.2279910669266
"NRGN",-1.62812911392405,0.549384090909091,-8.00003138466167,1.56413787783338e-13,5.25514369759423e-12,20.1231168391552
"USP25",-1.20322791842475,0.861901704545455,-7.87476597918992,3.29352555215459e-13,1.09397445328953e-11,19.3914434697367
"SH2B3",-2.54232250351617,-2.04515113636364,-7.87091883934839,3.36943111724943e-13,1.10661203996855e-11,19.3690590173486
"NFX1",-1.15681300984529,-0.0720414772727273,-7.81607600748677,4.65997379569586e-13,1.51345593386878e-11,19.0505287420901
"MAMDC2",0.786504078762307,0.0959272727272727,7.76791597534039,6.18982566454463e-13,1.98822641950153e-11,18.7717009114603
"PFKFB2",-1.47209458509142,-0.377650568181818,-7.70002454538273,9.22334698753942e-13,2.93041774397584e-11,18.380068748707
"TAB2",-1.4239158931083,-0.0946659090909091,-7.61376228141652,1.52734860605422e-12,4.8004730919317e-11,17.8849263153177
"PRG2",-1.18218818565401,0.486884090909091,-7.57725900450577,1.88920806588103e-12,5.87463316656408e-11,17.6762424643213
"PDLIM5",-1.75666188466948,0.670002272727273,-7.54045716476049,2.33970645157356e-12,7.19890732415739e-11,17.4663667761812
"EIF2AK2",-1.66729170182841,-1.30904545454545,-7.53044822014457,2.47961689439554e-12,7.54991685658141e-11,17.4093772677647
"RABEP1",-1.23230808720113,0.121578977272727,-7.48213021935758,3.28035496949816e-12,9.88502842870426e-11,17.1348077721947
"EDAR",-1.06381511954993,-0.0196880681818182,-7.46171173913794,3.69118491806597e-12,1.10095239954151e-10,17.0190526361702
"EGFL7",-0.735738748241914,0.944701704545455,-7.45018551649002,3.94514820221019e-12,1.16481496919802e-10,16.9537812689106
"DAAM1",-1.57380267229255,0.428348863636364,-7.44513513282644,4.06179778630872e-12,1.18726349293804e-10,16.9251981639274
"GOPC",-2.21588818565401,-0.00849659090909092,-7.42600883158686,4.53529704066376e-12,1.31254190592675e-10,16.8170425530838
"ASRGL1",-1.67359838255978,-0.359446022727273,-7.38465494930957,5.75357341479652e-12,1.64879363641669e-10,16.5836914437234
"NFE2",-1.18828797468354,-0.0208585227272727,-7.37469813416202,6.09220203558183e-12,1.72888413106851e-10,16.5276094446056
"XIAP",-0.741074753867792,0.0454392045454545,-7.34641207852268,7.16541032905278e-12,2.01389369152128e-10,16.3685053569743
"GTPBP2",-1.03521146272855,0.449984659090909,-7.33776310693441,7.52940358904428e-12,2.09604254197871e-10,16.3199209832037
"TBC1D5",-1.23672243319269,-0.615650568181818,-7.3356832924898,7.61962282431934e-12,2.10114693542315e-10,16.3082424448943
"LRRC59",-0.760759845288326,0.12585625,-7.33042529698328,7.8524981832602e-12,2.13230790394457e-10,16.2787256733121
"BIN2",-1.32288136427567,0.368124431818182,-7.32984727225176,7.87852390099261e-12,2.13230790394457e-10,16.2754815054678
"MPIG6B",-2.42784127988748,0.458155113636364,-7.30928280314684,8.86201880398481e-12,2.37648449211446e-10,16.1601518170215
"DECR1",-1.39765400843882,0.638604545454545,-7.30388847027606,9.13948533749546e-12,2.42861051286357e-10,16.1299278890083
"LAT2",-1.41882904360056,0.04190625,-7.29954467401882,9.36913940631479e-12,2.46720671032956e-10,16.1055986711603
"MARS1",-1.23399781997187,0.138867613636364,-7.22227180686693,1.4550862603065e-11,3.79751530256778e-10,15.6740998498921
"CASP7",-1.25857271448664,0.536922727272727,-7.20609264433692,1.59510095118014e-11,4.12608856663678e-10,15.5840680055014
"CAMSAP1",-1.98021322081575,-0.145563636363636,-7.18656917015336,1.78186172402229e-11,4.53136285263009e-10,15.475572282675
"STAT2",-0.948662869198312,-0.270823863636364,-7.18647821397531,1.78278045861259e-11,4.53136285263009e-10,15.4750671967353
"SNX9",-1.04423621659634,0.831505113636364,-7.16754274357716,1.9845914731625e-11,4.9986900404946e-10,15.3699932147342
"BMPER",0.448922222222222,0.2804375,7.16610155158557,2.00084411473783e-11,4.9986900404946e-10,15.3620021645772
"PSTPIP2",-2.60103213783404,-0.483861931818182,-7.13764456582862,2.3500599095892e-11,5.82137721671969e-10,15.2043957480672
"ZBTB16",-0.985048241912799,0.271139772727273,-7.10133155100911,2.88418325905578e-11,7.08442661026893e-10,15.0037810028337
"SULT1A1",-2.14237552742616,0.175047727272727,-7.09017289056322,3.07119276849849e-11,7.48091371860091e-10,14.9422475648492
"MAP2K6",-1.44974444444444,0.821969318181818,-7.0760502686888,3.32511297058056e-11,8.03248364711322e-10,14.8644466095632
"PRDX1",-1.48431912798875,1.47748068181818,-7.02662533361307,4.38792718759874e-11,1.05130419420911e-09,14.5928478975912
"EVI5",-1.3414464838256,0.248535795454545,-7.00703244016958,4.89650117042738e-11,1.16361568464709e-09,14.485476756808
"SCAMP3",-1.19253987341772,0.327074431818182,-6.9822053562081,5.62515370184419e-11,1.3259938927815e-09,14.3496642780728
"IL1RAP",-0.841573347398031,0.302074431818182,-6.96676250014302,6.13130106702363e-11,1.43374344151281e-09,14.2653241132992
"AKT2",-2.62792658227848,0.662338636363636,-6.96373139486689,6.23579559942976e-11,1.44660559818517e-09,14.2487823444476
"MITD1",-1.9254423347398,0.214305681818182,-6.91867032732059,8.01303440053941e-11,1.84425980730525e-09,14.00335178502
"LPP",-0.921163431786217,0.479540909090909,-6.9104812173398,8.38586797407366e-11,1.91499156939198e-09,13.9588464169008
"APPL2",-2.26283966244726,-0.118229545454545,-6.88846351386602,9.47521918910906e-11,2.14698183641595e-09,13.8393365173595
"SPART",-1.12133066104079,0.344139772727273,-6.86548521162827,1.07608641469541e-10,2.41953891550361e-09,13.714846337096
"PTPN1",-1.12591680731364,-0.407255113636364,-6.86261123752832,1.09333036418358e-10,2.43954553779282e-09,13.6992927883436
"GP6",-1.25002475386779,0.00249090909090909,-6.86094926143429,1.10342628548146e-10,2.44342047913811e-09,13.6903001187923
"DCTD",-1.76202911392405,0.300628409090909,-6.85437617223018,1.14426378453856e-10,2.5147992798543e-09,13.6547465724063
"CLEC1B",-1.30677067510549,0.292109659090909,-6.85186298343919,1.16026842015537e-10,2.53094372545831e-09,13.6411580478549
"IRAG2",-1.59670555555556,-0.214850568181818,-6.80860331272171,1.47300545631219e-10,3.18932959170411e-09,13.4077108064377
"CALCOCO2",-1.0376870604782,-0.121798863636364,-6.80288580051513,1.5201139567144e-10,3.26712727608544e-09,13.3769210191971
"NAA80",-1.69609627285513,-0.594909659090909,-6.74405660675642,2.09982410828278e-10,4.48013567044566e-09,13.0609947368921
"KIF22",-1.80177559774965,0.181235795454545,-6.73331146479231,2.227088058594e-10,4.71723072121034e-09,13.0034649121323
"IRAK1",-0.871837834036568,0.262282954545455,-6.72540834584487,2.3255114425539e-10,4.89026614862233e-09,12.9611858817807
"USP8",-1.52578558368495,-0.985344886363636,-6.72038898829084,2.39023288655963e-10,4.99046480529557e-09,12.9343492229248
"ARHGEF10",-1.41883157524613,-0.0124460227272727,-6.71472471047932,2.46540239743559e-10,5.11090156574769e-09,12.9040786297483
"PON3",-0.528198101265823,0.387522159090909,-6.59716211505152,4.6726406967702e-10,9.61840053285865e-09,12.2792460913313
"LILRB4",-0.715769760900141,1.19567840909091,-6.59113043349774,4.82763507814274e-10,9.86795617721064e-09,12.2473668927043
"AKT3",-0.762575457102673,0.543259659090909,-6.57549920605832,5.2532427490656e-10,1.06633531635547e-08,12.1648332253876
"ELAC1",-1.82810365682138,1.04021704545455,-6.56999666777132,5.41168477339095e-10,1.09092100638771e-08,12.1358077410177
"TBL1X",-1.2379482419128,0.286854545454545,-6.56265903431286,5.63030346975366e-10,1.1272176056226e-08,12.0971251554933
"PLXNB3",-0.481382559774965,0.191238636363636,-6.5576137280507,5.78564262953395e-10,1.15043764667536e-08,12.0705424749045
"TAX1BP1",-0.861248523206751,0.0957170454545455,-6.54946315732509,6.04554276801081e-10,1.19399469668214e-08,12.0276249996553
"LRRFIP1",-0.733796624472574,0.188384090909091,-6.52723790536553,6.81404039809077e-10,1.33674094520935e-08,11.910761089398
"ACADSB",-1.17420604781997,-0.604405681818182,-6.51887442262206,7.12746322296992e-10,1.3889050000494e-08,11.8668472361871
"BLOC1S3",-0.490933614627286,0.295297727272727,-6.50797181628894,7.55741213694702e-10,1.46293481299974e-08,11.8096529044931
"GIT1",-1.43510949367089,-0.321186931818182,-6.49227146792476,8.22171780584841e-10,1.58105797016414e-08,11.7273928312852
"CES2",0.799948452883263,0.893874431818182,6.47033707767555,9.24688488429853e-10,1.76657807299376e-08,11.6126743134334
"ABRAXAS2",-0.835346343178622,0.08823125,-6.45463328457855,1.00570612388567e-09,1.90888246760897e-08,11.5306889642076
"GMFG",-1.29172784810127,-0.0128693181818182,-6.42767368224689,1.16137267282607e-09,2.19012407914232e-08,11.3902267682455
"ABHD14B",1.07557243319269,1.19968181818182,6.39757222464071,1.36325401251273e-09,2.55435351190687e-08,11.2338256598622
"PIBF1",-1.39903220815753,0.297328409090909,-6.34870804462111,1.76669948093923e-09,3.28921183616903e-08,10.9809115935763
"CTRC",-0.945617440225035,-0.292595454545455,-6.34405983100876,1.81069855499879e-09,3.34114520537749e-08,10.9569162838505
"CHAC2",-1.16431596343179,0.76870625,-6.34335590613433,1.81745496974007e-09,3.34114520537749e-08,10.9532833979236
"STK11",-1.03233502109705,0.955961363636364,-6.33468098154753,1.90278001846755e-09,3.47614124623791e-08,10.9085337465062
"LECT2",1.80583755274262,-0.937567045454546,6.32983312172059,1.95216436099146e-09,3.54420896098014e-08,10.8835427821678
"BIRC2",-0.847371800281294,-1.00386988636364,-6.27105554808285,2.66094155755538e-09,4.80119269921875e-08,10.5815018025876
"NTF3",-0.606706540084389,0.281059659090909,-6.25083298683515,2.95900246609909e-09,5.30623571067953e-08,10.4779965930737
"REEP4",-0.691659563994374,0.137300568181818,-6.23223973730892,3.26183704103765e-09,5.8136278481421e-08,10.3830184031941
"PCBP2",-1.09163431786217,0.389454545454545,-6.22325605462821,3.41886241190383e-09,6.05656656363326e-08,10.3371925301263
"OPLAH",-0.788901898734178,0.25838125,-6.21469825540826,3.57533432993199e-09,6.29560376288627e-08,10.2935783648413
"APOL1",1.94742524613221,-0.817121022727273,6.19849256275449,3.89113748126784e-09,6.81065560344066e-08,10.2110925286214
"SERPINB9",-0.711754781997187,0.534699431818182,-6.17091291753956,4.49266836920749e-09,7.81670812094851e-08,10.071031865432
"MAP4K5",-1.47082616033755,-0.0101340909090909,-6.16442216053251,4.64699519739253e-09,8.03737690057892e-08,10.0381275577742
"DNM1",-2.13073206751055,-0.558082954545455,-6.11667812460713,5.95358977144413e-09,1.02366722952536e-07,9.79678110404769
"C1QTNF9",-0.8284194092827,0.469438636363636,-6.10662300328366,6.2715804820095e-09,1.07203682742186e-07,9.74610740629563
"DCTN1",-1.03515450070324,0.914985795454546,-6.10426998789856,6.34836617804313e-09,1.07885315921047e-07,9.73425699075975
"PRTFDC1",-2.47387257383966,0.574320454545455,-6.08001877907688,7.19547132651131e-09,1.21574350794177e-07,9.61229463113918
"SESTD1",-0.899510478199719,0.267896022727273,-6.07423701511956,7.4132521960339e-09,1.24534115913834e-07,9.58326414042772
"INPPL1",-1.2066741209564,-1.15774204545455,-6.07014950237048,7.57110271968206e-09,1.26459047140747e-07,9.56275143906141
"NFKB1",-0.999169620253165,-0.0583318181818182,-6.06551032677305,7.75425224296625e-09,1.28695199178814e-07,9.53948121176802
"KLK6",-0.589279043600563,0.203915909090909,-6.06454167844446,7.79303806180297e-09,1.28695199178814e-07,9.53462391354165
"ARHGEF1",-1.62679831223629,-0.368204545454545,-6.05375351031741,8.23807541650115e-09,1.35280305856364e-07,9.48056081999371
"DNAJC21",-0.474366596343179,-0.0267573863636364,-6.04356531138797,8.6811919004849e-09,1.41760468855404e-07,9.4295622510424
"FGF2",-0.510127144866386,0.312872727272727,-6.04098966848144,8.7968646646665e-09,1.42851307860112e-07,9.41667839904154
"IRAK4",-1.57276068917018,0.618567613636364,-6.02686313197465,9.45867237479869e-09,1.52749720174235e-07,9.34607891449012
"RAB2B",-0.786692756680732,0.571925568181818,-6.02465771842458,9.56630452683112e-09,1.53639055669931e-07,9.33506683001795
"VAV3",-1.4289923347398,0.468532386363636,-5.99941703092045,1.08869465116552e-08,1.73893686631519e-07,9.20922389404282
"MYCBP2",-1.20075864978903,-0.225520454545455,-5.92335782560745,1.60421837882624e-08,2.54844039201581e-07,8.83213098430552
"FRMD4B",-0.975369479606188,0.0482397727272727,-5.92127727473306,1.62125055690225e-08,2.56157587990555e-07,8.82186082089418
"TOP2B",-1.27207088607595,0.154627272727273,-5.90359170182182,1.77336554980389e-08,2.7868534957402e-07,8.73465734857721
"STX4",-0.705569198312237,0.411757954545455,-5.87699372641866,2.02879127360199e-08,3.17120689451263e-07,8.6038377596182
"NUMB",-1.27643199718706,-0.296626704545455,-5.81534825824681,2.76723492754796e-08,4.29225625728293e-07,8.30216987783039
"GFER",-0.978517862165964,0.143602272727273,-5.81476437404464,2.77535556834237e-08,4.29225625728293e-07,8.29932286047336
"TREML1",-0.959381715893108,0.0505090909090909,-5.80023396196457,2.98512427662441e-08,4.59237803188061e-07,8.22853503314412
"CD40LG",-1.30866856540084,-0.343610795454545,-5.7851198309307,3.21976759688796e-08,4.92742444277671e-07,8.15503107893652
"AZI2",-0.801312798874824,0.311484090909091,-5.76229727883446,3.6086458597313e-08,5.49378742083052e-07,8.04428642782074
"NDUFB7",-0.974696132208158,0.619716477272727,-5.75252792501854,3.78881784623625e-08,5.73005212063614e-07,7.99697264687565
"NUB1",-1.01076547116737,-0.885602840909091,-5.75177595099222,3.80304519809583e-08,5.73005212063614e-07,7.99333304718289
"PRKRA",-0.912989873417722,-0.237265909090909,-5.74364125787204,3.96033239640615e-08,5.91469977555062e-07,7.95398142656962
"HEPH",0.438362376933896,0.13041875,5.74335071570502,3.96606621966446e-08,5.91469977555062e-07,7.95257663155361
"RBP2",1.3862599859353,1.34222784090909,5.73016037104089,4.23510329178519e-08,6.2838613816691e-07,7.88885146924304
"THOP1",-0.586714416315049,0.578796022727273,-5.72480099826449,4.34944271196182e-08,6.42091972073959e-07,7.86298795466874
"ATG16L1",-0.974606962025317,0.42891875,-5.72019214743161,4.45017948763705e-08,6.53452179208428e-07,7.84075961514054
"NAPRT",0.731418284106892,0.831686363636364,5.71924752331129,4.47110625527491e-08,6.53452179208428e-07,7.83620523973619
"STX16",-1.2152935302391,-2.39639659090909,-5.70058045496448,4.90494521472967e-08,7.13291286699245e-07,7.74631051934841
"DBN1",-0.601992967651195,-0.121247727272727,-5.6968032203991,4.9976084660386e-08,7.23168789417368e-07,7.72814512724962
"PLA2G4A",-1.26903734177215,0.560550568181818,-5.69114598719287,5.13960051246617e-08,7.40051837336877e-07,7.70095398966319
"OGFR",-0.706366596343179,0.468369886363636,-5.67848787693634,5.47174075040387e-08,7.84014618305417e-07,7.64018100464395
"NPPB",-3.01279662447257,1.07071363636364,-5.63088341770992,6.91922586928691e-08,9.86580351996372e-07,7.41246459093127
"CDC37",-1.01033966244726,0.712473863636364,-5.627815651214,7.02437071874565e-08,9.9671046654823e-07,7.3978354801413
"DLG4",-0.854557665260197,0.3231625,-5.59737193193236,8.15610182638114e-08,1.15149348125461e-06,7.25296064373398
"ATXN10",-1.27283860759494,-0.314661931818182,-5.59642542471825,8.19400082452818e-08,1.15149348125461e-06,7.24846520294167
"FOXJ3",-0.555466666666667,0.129459090909091,-5.58665362212044,8.59546294941049e-08,1.20213101440798e-06,7.20208498940536
"APOH",0.513927988748242,0.766322727272727,5.58342405721986,8.73232025556915e-08,1.21545581462041e-06,7.1867688475349
"RRM2B",-0.978920604781998,0.777057386363636,-5.57740493881373,8.99308903993783e-08,1.24581987031935e-06,7.15823982533987
"CACNA1H",-0.720014135021097,0.0655903409090909,-5.56876146351818,9.38089657783941e-08,1.29341324042569e-06,7.11730969284675
"CRKL",-1.42376905766526,0.919065909090909,-5.55556077136413,1.00048723848908e-07,1.37296910709088e-06,7.05488520882238
"SULT2A1",2.05419500703235,0.806384659090909,5.53971431631017,1.08075517283508e-07,1.47619035990511e-06,6.98008650477262
"PTH",1.11779310829817,0.858151136363636,5.52354428685702,1.16913164429182e-07,1.58947525407674e-06,6.90391528550954
"DFFA",-0.878435091420535,0.69069375,-5.51869989377192,1.19695453754057e-07,1.61976764501439e-06,6.88112559805568
"THTPA",-0.9467611814346,1.2676,-5.48744329286409,1.39264626936516e-07,1.87590094255961e-06,6.73442312552849
"CCL25",0.868169901547117,0.760140909090909,5.47504470516812,1.47863049766671e-07,1.98258575444028e-06,6.67639374376305
"SRPK2",-0.649003094233474,0.0413,-5.45645341006976,1.61734244785456e-07,2.15867213473921e-06,6.5895549122381
"TNFRSF17",0.656934950773558,0.438003977272727,5.44610095012936,1.70000113005867e-07,2.25868331961885e-06,6.54129012523145
"PADI2",1.77255787623066,1.03838465909091,5.44225587548875,1.73173918882711e-07,2.29044056513197e-06,6.52338038637169
"TEK",0.296150773558368,0.280418181818182,5.43489406355401,1.794124912474e-07,2.36226446809077e-06,6.48911537198581
