1	2	3	4	5	6	7	8	9	10	11	12
6062680.60375655	4670620.52986246	4605076.68918793	4630354.3022516	4610971.93058906	5294685.87083768	5525210.54385806	5475177.81872763	4441349.63922891	4871179.33687351	4799421.03726696	4962897.29903038
4284271.13536641	4067721.41821124	3660192.34175419	3916508.3114335	3864629.73124656	4061024.63084134	4060495.82380551	3960457.65096663	3599919.79123601	4044579.91185396	3806233.16635436	3976992.21917914
3430333.74288785	2436916.692375	2356237.68548438	2607621.39634047	2607968.18596875	3757045.18829062	2314349.07299063	3022623.06395	2318843.27833125	2731949.52314909	3275127.24226875	2938948.95411562
4235202.35091644	3610126.52207633	3169406.46712969	3241743.18556407	3518872.02031694	4037391.30946201	3625235.41053485	3750396.61602134	3089671.20331212	3734182.28843011	3752051.50532011	3563253.54498231
3657977.52772328	3023955.23853942	2968002.08926641	2939004.392283	2992101.33044457	3280717.8532397	3498039.75839666	3223852.90981459	2773632.281151	3128239.63397898	3049554.05259141	3294646.21168815
4775056.99133931	4166161.11237305	3978014.07787693	4095250.8623285	4141193.98379333	4268235.08191651	4320519.28470178	4337499.71546292	3674881.46527406	4309361.31008083	4271443.41424285	4486098.24797704
8986580.04287787	7323873.41347389	7132465.47230069	7525928.67257068	7361589.7343855	8449868.3467239	7780861.40227237	7776074.81731575	6271484.66620958	7652827.65306098	8105439.72352983	7929892.20200529
403394.212649998	191081.46915	223140.115687501	193735.37844375	231254.301712501	265390.929375001	262737.020081251	237524.881790626	202332.458329814	261600.761193749	245921.797522023	220185.860737757
3934530.47174363	5482327.47119062	5451862.83710152	5105792.27854702	5690704.70427329	2530996.57273134	4315135.1779785	4583377.19080313	2870115.63442006	5530244.53609837	3942825.42182059	3868481.33792529
2657665.62001874	1531202.0668797	1381957.659225	1349626.04468581	1559330.24457467	2639631.66776255	1617028.93615312	2776541.33222812	1663727.027325	2137623.03531562	2415650.39177034	2113224.93446389
6263818.22257456	5584157.71268569	5457330.8186385	5383728.09930363	5626414.98997711	5654700.40209585	5534222.39081249	5739933.30401389	4669259.16331563	5650197.86600156	5543504.13353836	5587886.71317455
5393405.68952707	4666999.25137389	4372830.30234773	4366094.72980964	4655415.11227396	4925726.28010547	4806733.36821157	4696362.67752745	3896090.96718404	4668345.6719625	4594381.49611183	4719501.49104844
5752737.46187038	4874452.54596094	4816230.91238688	4926248.72419721	4785622.11443429	4885893.59561016	5130280.61179465	5110177.34985892	4197487.15266641	4785900.96435813	5018659.09753726	5608038.90408299
4237493.38623902	3576803.59872514	3571203.26130007	3637469.43464998	3726927.0764666	3526068.17259082	3910548.6840485	3695933.83828864	3019808.43677698	3677175.88356724	3644422.44498072	3634448.48157832
4322921.84111594	3693897.23622934	3375383.29611868	3393430.1084981	3500044.76992191	3898118.79774909	3566419.99010771	3785727.09073239	3077721.93015352	3642129.13560835	3841692.89042399	3629616.63295017
6561347.40020186	5120577.667598	5061092.47797284	4879304.2066578	5551929.2652716	5232846.28374792	5532422.60477828	5922714.11200195	4382755.85820703	5456120.33827251	5467853.15643931	5379080.24398855
3209188.73883674	2545621.16982422	2278734.37672924	2206804.52971371	2504601.21221596	2753705.36746312	2952875.18517664	2626003.56506542	2035232.88716517	2667064.47335625	2684806.6967397	2710101.84304387
4997857.43627127	3491776.24261641	3403699.8427421	3266452.68566331	3674159.35813702	4284778.75620256	4456461.77808974	4196358.21421919	3504404.93292239	3689399.44119169	3874042.29410859	4184433.09655533
7668676.15006191	6167755.78275476	5774099.35216359	5975688.73720466	6193749.47794384	6845958.78489132	7511549.46400016	7008013.50776159	5820696.64204548	6263087.71437697	6524128.06885977	6704830.52486673
6881046.06656782	5795025.32094307	5478286.51046211	5594729.05119275	5875201.94713041	6775606.61298591	6523924.8386533	5898607.13619375	5272826.27037337	6231349.65451497	6145133.6334727	6243344.24793135
1056103.14645	1118974.51924206	918979.262809334	1010798.69018954	1082526.47708906	986058.525077133	976822.335585936	1008373.23896719	856473.454611508	1067200.01463281	1023713.66547656	1014569.21429531
3636032.42336831	3568106.86724736	3560761.07944764	3569680.78573704	3585934.06625413	2734159.97066868	3224162.98356591	3565030.27077656	2664425.58097031	3628336.87559174	3065191.84653515	2843253.26349171
2373993.84741615	2296852.72138577	2116837.75630155	2221256.68759445	2184965.05365307	2354911.61818945	2307916.95238242	2052475.70924856	1855847.5792248	2258416.95585229	2191274.19091444	2221487.02541977
137721.54391875	147448.373789063	129002.683211189	136627.0871625	139927.25835	145867.5664875	130686.779025	135411.06294375	93724.861725	141994.0025625	136627.0871625	139267.2241125
3387232.06847208	3278548.27309613	2879290.7857691	2548116.86760469	3463277.79381946	2970954.27561797	3091764.21754431	2813447.70572968	2761181.87601094	4022816.06856923	2912942.36159744	2966528.22314654
5645448.83615626	4457659.58239618	4397676.98457657	4226049.00260224	4577754.00543531	4432195.14903722	5377226.89281234	4521244.02283124	4209913.59380624	4833750.72238781	4495631.63208449	4661684.14792101
6205458.52600283	5101433.22956838	5135585.9803556	5040612.74841581	5075789.38797485	5375091.76192693	5426690.05695755	5427289.53133808	4585296.35174484	5159563.35702395	5219511.79915503	5694064.6125995
7495886.01900558	7226817.33529336	6428125.95147256	6258803.66567598	6576504.49397899	6918007.79335039	7417190.30847733	6806195.03421646	5895104.40049636	6792515.57771864	6620272.60018576	6695583.49558631
3045214.84396584	3179788.81173077	2875779.70306376	2828001.2871959	3088509.71947031	3001670.29961307	3065308.30111201	3118070.56221598	3069005.92424535	3011274.75844468	2636075.10313132	2976053.33259609
