Abundances..Normalized...F16..127C..Sample..5A	Abundances..Normalized...F16..127N..Sample..5B	Abundances..Normalized...F16..128C..Sample..2B	Abundances..Normalized...F16..129C..Sample..2A	Abundances..Normalized...F16..130C..Sample..1A	Abundances..Normalized...F16..130N..Sample..4B	Abundances..Normalized...F16..131N..Sample..1B	Abundances..Normalized...F16..132C..Sample..4A	Abundances..Normalized...F16..132N..Sample..6A	Abundances..Normalized...F16..133C..Sample..3A	Abundances..Normalized...F16..133N..Sample..6B	Abundances..Normalized...F16..134N..Sample..3B
9538438.30097097	9412240.86434913	8722060.44158863	9244916.23185827	8897356.84833421	12605974.3408258	8925298.28087344	11083571.4609065	10223082.6597031	10554406.2993626	9484719.1540009	9087465.07413926
7643854.65483776	7675604.05877145	7271237.40107143	7445030.29792905	7446785.26776991	6986119.5274623	7343728.07625948	7164701.42288187	6177925.90021126	6439081.68588553	6576606.66152094	6952908.91580283
10542944.4324494	10403347.7081998	10226269.4678135	10342175.7306211	11361470.2765344	9642832.83656349	10999946.6824872	10134970.9798325	10198604.3915501	9678406.72216868	10190151.135368	10306175.0585656
15393446.4868364	15436262.619796	15934819.7074578	15406450.9443665	14235832.6249915	16336999.7304686	14059068.5642645	16270788.8790507	15187327.734225	11829937.7897226	14858002.5467768	13025987.1216076
13300704.0523327	12961601.5815118	11707392.7655328	11441440.6321787	11826415.2721609	12828195.1121808	11692509.4123683	11899621.3150073	12995081.592221	11372704.6812022	12368291.9687153	12319413.5216763
13860145.0288596	13763844.7200948	13224031.9744875	13897531.7864238	15238336.5663016	17868840.5624943	13722200.0336885	17013373.0950706	14342911.2463986	17950608.2942778	15227998.1993974	15767279.4398022
2448612.26450628	2525321.99780613	2894385.02241636	2699596.74579563	2581587.20495457	2446471.27342051	2624682.46046207	2465653.32405644	2347043.67021968	2150969.74052102	2510336.10456671	2396875.08585143
7293443.18351756	6569801.88285754	6830644.6997197	7026501.89974631	6754886.78166363	6592459.11493875	6392290.64828068	6925837.65275286	6785479.90965076	6286855.19390813	6866882.46310493	6603780.11671642
8034275.82700763	8064584.80428314	8078524.8251104	7263861.81638879	5668411.25696666	8137905.19563631	6463904.64503852	6673378.12066393	7591926.25819149	4688822.65112748	6943087.62482226	5762475.9710141
4591853.61677164	4344638.54034054	4351155.6153626	4042150.24818807	3662143.9329017	4231084.73958247	4153469.70639687	3598572.42447952	3785879.14675458	3252826.74040473	3641710.43258045	3709927.12091577
2326655.8998378	2311235.6262787	2448563.89569385	3376251.7377332	3275842.11757346	2342195.14201116	3133368.29410028	3324856.52272425	2148537.53781938	2962479.31052249	2909300.36926855	2562778.55396207
4863600.82781149	4442398.58697456	4680537.55676887	5508724.49794813	5396413.34279137	4832346.48917839	5202491.87841835	5618506.14156025	4645213.41002425	4475764.11810251	4999758.71287871	4889070.84200696
7529298.64342606	6923204.99516225	6954120.48125045	6996023.44889798	6352740.78362594	6364794.67054872	6271574.7411503	6733686.10142879	6073229.92359385	5363835.65506065	6584465.83370391	5899358.63515662
2383466.38072218	2401691.17489567	2746875.91769019	2660890.34797301	1891286.61390435	2235578.19436545	2218930.70079579	2183394.06323812	1849809.13321717	1490965.56006544	1974809.55724138	1750123.9591011
394013.212280189	335974.383640758	357282.71890068	410666.787695488	434570.721286809	352648.642662158	411782.950770663	427554.811700628	359099.27085046	330175.50386776	405056.889318925	363502.188667963
19240623.7650771	18319481.2498452	19477966.5717918	19483749.2395336	16519025.0402622	18211856.2106598	17128212.0760437	18061974.2540321	17721181.4521428	13116716.8443645	17319013.3604611	15375974.3468493
13373511.3383279	12964566.1960617	12898729.5346261	13363559.2800718	11855763.9054214	13295503.2126212	11188593.8782657	12928894.96386	11040643.4959346	11802602.0188504	12075444.7474939	13000008.9850704
6671215.56904969	7409257.33826025	7299910.12318368	6882793.62038613	7107880.36761729	7346393.94662652	7811687.81174542	6755015.87711838	7636040.08580023	8569728.23126706	7439684.95638218	8617838.69929319
18037612.9646631	19978707.6323526	18623098.4368744	16282038.2848749	15365024.1849467	17545439.1417792	15745495.9394845	15741277.5474119	16395723.566469	15018513.1870248	18756922.3389015	16678662.9413184
15548627.0074938	15813498.1767049	15373502.4668275	14820252.2492994	14178834.0531181	14865429.9374088	13975555.1962342	14569073.7274012	14549377.2726847	12508953.2030948	14441450.9594546	14020419.2276499
613282.887503256	603696.475612434	685275.199918255	682375.194627443	588703.462583557	602362.897096725	614194.395024356	631807.958969962	535430.834000295	472338.396820985	597133.936271591	541792.497476372
3790179.38722682	3589549.68076432	3491248.90944053	3200350.28633012	2872786.71243461	3527961.75838545	3372680.22380669	2775797.60331012	3118675.5859313	2547282.40411476	2921757.35165764	2947799.54758186
17081872.7451484	16655192.791534	16399355.0315971	15657229.1967152	10920197.8656042	22656266.6435749	9949709.69992334	21500539.8320033	10575861.6466356	16068988.2099461	12599019.4498142	18759580.187275
9100463.94998454	8875350.8885152	8915503.13672619	9075973.64682375	9984987.85777013	8572849.64766002	9654985.31371011	8928837.48155839	9319765.63666691	8745400.24557968	8881799.33244477	9197835.80052466
4242332.94569018	4608886.763155	3856050.47067645	3790836.69624197	4748047.35266506	3494880.89292046	4785284.90254586	3869984.9470435	4370722.12079274	4600150.87780857	4397189.99054272	4872407.4866717
1923943.2892925	1824594.68695785	1773042.93334618	1813040.62934674	1727767.16041365	1786279.65649088	1881607.01953553	1690926.28186434	1697285.96388975	1659703.71954066	1684547.12343259	1752709.64906133
8643021.28169928	8966658.31610915	10349583.6615824	9703227.96716105	8587173.85612714	8236812.13746067	8725983.25636582	8328640.65527967	7928632.69080652	7017168.39312921	8425756.85388861	7851075.30413159
7828217.68025371	7297954.5983371	7555000.37626361	8203673.90606317	8495812.99524248	8213033.77657353	8304718.1418377	8607586.44946287	9147843.33749272	7854625.67031874	8291355.47631835	8091389.55690788
