1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16
12216497.6845441	7763383.06608742	8695536.21575496	9066323.45468103	11219564.292321	11083442.3076446	10713099.8631035	9756362.60261263	10404851.2228268	9266620.83553979	8301828.64324042	7305149.62559372	10026529.3869026	7054236.35101152	7140331.27164112	6953991.5381938
1733255.02225923	2448036.74511467	2226741.0143174	2273792.86886768	1944505.66684249	1864036.5539767	2157327.47784265	2112999.42713124	1471237.63936904	2306956.32912493	2271921.02706237	2082270.80089804	2229710.80150774	2274557.44782898	2497157.91593873	2630692.90153812
29084846.7360633	21955763.5463587	24212606.4860116	23747288.0644437	27474599.7106887	27501311.3895813	25012606.9812755	25632833.0604904	24813829.2290742	23220070.5479785	24461853.909981	21910455.1852709	25601146.3776911	23096147.6084657	22003356.2937148	21703790.7458659
23483905.2169737	29358290.1542747	29157948.2319995	25537854.1048146	24791580.5616153	24616639.3163301	25664594.4188939	28642864.1484306	19195213.4326913	24504763.2132657	30136038.075776	31232015.3011986	27313223.469018	31861552.4338229	29891138.539061	29117593.0713202
38607628.3780356	11857473.6893607	17074241.9793935	14911497.6320202	27467563.3206049	28980493.4644191	16691916.250087	22860099.8049421	28704238.3556987	16047974.9705135	17233746.935677	13677804.2538661	16317879.6567483	14350753.3107228	13709480.387758	13138347.0482168
19704667.4073027	27145379.5617778	24967894.0619465	25228785.8855621	21641289.6106528	21868649.2269336	25619251.2589138	24356826.1851601	16269817.0317609	24816371.2899764	26983235.5568801	22430713.5651719	25347252.8466823	26471136.99772	27230155.9815925	29342075.9034616
10011284.475717	9793643.68540682	10215952.7666957	9434527.28856735	10716504.1271667	9970621.7686496	9242952.98552302	10654642.6761205	7604156.07860336	10030638.3878798	10404313.2504627	10564661.8019004	10264552.7430548	11648673.0113684	10481470.5199001	9669720.97855269
10955613.3103233	16852180.4317909	16808666.3240218	14229402.5600286	14214814.5038971	12254419.0642718	12913956.6787053	14514519.6876469	10479756.0737737	12753336.6132908	16948480.9115543	17425102.1847234	15073876.6476648	18548753.1287946	18402073.802473	17244294.2875105
163140.052766353	264160.857539988	236272.245647943	282323.382969473	226593.705510206	194872.927824496	234502.207306641	180926.581055194	158384.457589557	215451.356715059	239121.044833347	241578.387693745	259835.457499064	216536.184776323	260369.23112814	258205.700389953
28706270.2879611	22017746.6622091	19620278.7890937	22931870.1872743	22709754.5945293	26955610.6335904	25976129.8888761	18076911.9260425	101215355.514323	26633514.8257629	18966299.3370744	23062595.3476385	21613335.7540862	20714376.6324007	22253031.280621	22406354.1531431
9649675.36119003	13393326.9494498	12299200.8716273	12841344.8789472	11042064.4092572	10944597.5191901	11610207.2586263	11876451.1961365	8373008.53410138	12916655.4466355	13298060.7801512	12437221.7371533	13462512.3642665	13226391.2929566	14282130.4098683	15357422.4067507
