"","x"
"465","TMOD3"
"466","NDUFV2"
"467","SLC25A5"
"468","UGGT1"
"469","PNP"
"470","ATAD3A"
"471","REXO2"
"472","PGD"
"473","SCCPDH"
"474","KATNAL1"
"475","C15orf48"
"476","EFHD2"
"477","RAB6B"
"478","SULT1A3"
"479","LRPAP1"
"480","PPCS"
"481","TPST2"
"482","MYH11"
"483","TUBB4B"
"484","ANXA3"
"485","LYN"
"486","SRP14"
"487","TPM4"
"488","NARS1"
"489","PTPN11"
"490","AIFM1"
"491","TXN"
"492","COTL1"
"493","SCRN1"
"494","GDI1"
"495","HLA-DRB1"
"496","MYO18A"
"497","RPL18"
"498","ESYT1"
"499","NDUFB4"
"500","PGAM1"
"501","COL9A1"
"502","PLEK"
"503","CERT1"
"504","RPL10"
"505","ADSS2"
"506","ACTR1A"
"507","GNB1"
"508","NDUFB3"
"509","ATP5PB"
"510","PFKP"
"511","SACM1L"
"512","CD9"
"513","RPS14"
"514","CANX"
"515","S100A4"
"516","MYH10"
"517","PSMD11"
"518","FAM177A1"
"519","ANXA6"
"520","NAGA"
"521","TOM1L2"
"522","AHSA1"
"523","GANAB"
"524","STRIP2"
"525","ATP6V1E1"
"526","MYDGF"
"527","PSME1"
"528","SEPTIN2"
"529","CALCOCO1"
"530","ADH5"
"531","HNRNPF"
"532","CHMP4B"
"533","COX5B"
"534","TSPO"
"535","PITHD1"
"536","RUVBL2"
"537","ESYT2"
"538","FASN"
"539","PPT1"
"540","THBS2"
"541","FERMT3"
"542","SERPINB1"
"543","OXCT1"
"544","NDUFA13"
"545","ME2"
"546","GMPR"
"547","ARHGAP6"
"548","CAPN1"
"549","UQCRB"
"550","HNRNPC"
"551","TANGO2"
"552","COX7A2"
"553","UBE2N"
"554","FLNB"
"555","SRSF9"
"556","APOBR"
"557","DAPP1"
"558","GLOD4"
"559","SERBP1"
"560","NCKIPSD"
"561","F11R"
"562","RAP1B"
"563","TRMT112"
"564","SPTB"
"565","PLP2"
"566","H1-4"
"567","ENO1"
"568","NKX6-1"
"569","POR"
"570","PYGB"
"571","ATE1"
"572","TM9SF3"
"573","NAPG"
"574","PCCA"
"575","HP1BP3"
"576","PAICS"
"577","CAB39"
"578","CDIPT"
"579","ATP6V1D"
"580","RHOG"
"581","YIPF3"
"582","CYBB"
"583","S100A12"
"584","RPS6KA1"
"585","DCXR"
"586","ATOX1"
"587","PLXNA2"
"588","GLA"
"589","NCF4"
"590","DGKG"
"591","ATP2C1"
"592","PACS1"
"593","TMX1"
"594","PLBD1"
"595","DSTN"
"596","PLEKHO2"
"597","RNPEP"
"598","MTMR12"
"599","RAB6A"
"600","TUBB"
"601","EHD1"
"602","DIAPH1"
"603","MASTL"
"604","PHB"
"605","PTPRJ"
"606","CD36"
"607","PRKG1"
"608","COPS2"
"609","GLIPR2"
"610","RPS23"
"611","SLC35B2"
"612","FYB1"
"613","TMED4"
"614","SLC25A1"
"615","ALDH2"
"616","ACADSB"
"617","MAGED2"
"618","GPS1"
"619","LMAN2"
"620","GGH"
"621","NDUFB1"
"622","SLC3A2"
"623","RPS6"
"624","OSTC"
"625","IQGAP2"
"626","H2BC12"
"627","TJP2"
"628","HCLS1"
"629","SHMT2"
"630","TSPAN9"
"631","CISD2"
"632","CAPN2"
"633","DCTN2"
"634","ACSL1"
"635","DYNLL1"
"636","MYH8"
"637","DECR1"
