"","X","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"545","CPPED1",0,1.0896511576551,0.503,0.058,0,"CD14+ Mono","CPPED1"
"548","PLEKHO1",0,1.08328858244572,0.697,0.284,0,"CD14+ Mono","PLEKHO1"
"565","RILPL2",0,1.04363984728629,0.654,0.266,0,"CD14+ Mono","RILPL2"
"566","COMT",0,1.04163231115289,0.636,0.234,0,"CD14+ Mono","COMT"
"568","NFE2",0,1.04134168149129,0.397,0.016,0,"CD14+ Mono","NFE2"
"570","CLEC4A",0,1.03676995504375,0.438,0.027,0,"CD14+ Mono","CLEC4A"
"571","EIF4EBP1",0,1.0363164913509,0.488,0.087,0,"CD14+ Mono","EIF4EBP1"
"575","HBEGF",0,1.03049859831219,0.337,0.014,0,"CD14+ Mono","HBEGF"
"576","ELOB",0,1.0277704722919,0.922,0.751,0,"CD14+ Mono","ELOB"
"581","SCPEP1",0,1.01397901471312,0.507,0.116,0,"CD14+ Mono","SCPEP1"
"582","CD300LF",0,1.00407425921128,0.413,0.023,0,"CD14+ Mono","CD300LF"
"587","LAT2",0,0.98939978724331,0.5,0.081,0,"CD14+ Mono","LAT2"
"592","NADK",0,0.969533689475703,0.503,0.132,0,"CD14+ Mono","NADK"
"593","CDKN1A",0,0.965111031225389,0.375,0.065,0,"CD14+ Mono","CDKN1A"
"594","BACH1",0,0.96056680170963,0.493,0.125,0,"CD14+ Mono","BACH1"
"612","CMIP",0,0.887622096969043,0.448,0.087,0,"CD14+ Mono","CMIP"
"613","CREG1",0,0.887324502900995,0.437,0.096,0,"CD14+ Mono","CREG1"
"615","CEBPA",0,0.885437508009497,0.381,0.035,0,"CD14+ Mono","CEBPA"
"620","RELT",0,0.871156129549973,0.392,0.071,0,"CD14+ Mono","RELT"
"627","MCEMP1",0,0.841382754106757,0.28,0.004,0,"CD14+ Mono","MCEMP1"
"637","HNMT",0,0.820226042841806,0.34,0.011,0,"CD14+ Mono","HNMT"
"649","RNASE6",0,0.776762699769037,0.36,0.045,0,"CD14+ Mono","RNASE6"
"651","CES1",0,0.764420828384336,0.262,0.014,0,"CD14+ Mono","CES1"
"666","FBP1",0,0.705826895909439,0.331,0.05,0,"CD14+ Mono","FBP1"
"667","OSCAR",0,0.700695253229228,0.278,0.012,0,"CD14+ Mono","OSCAR"
"670","PPM1F",0,0.696148244719508,0.324,0.05,0,"CD14+ Mono","PPM1F"
"687","CD163",0,0.63208165031711,0.251,0.005,0,"CD14+ Mono","CD163"
"708","NAGA",5.04990318962498e-295,0.659324410715405,0.328,0.058,1.08406271771679e-290,"CD14+ Mono","NAGA"
"711","PIK3AP1",6.68139557153822e-289,0.681990937536563,0.358,0.07,1.43429518734211e-284,"CD14+ Mono","PIK3AP1"
"720","INPPL1",1.94911273230657e-281,0.741666079412783,0.357,0.074,4.18416030244251e-277,"CD14+ Mono","INPPL1"
"732","CASP1",1.22534152925278e-270,0.919733810078549,0.568,0.214,2.63044066084694e-266,"CD14+ Mono","CASP1"
"736","KYNU",4.08985240052376e-268,0.622236364795036,0.277,0.043,8.77968614820436e-264,"CD14+ Mono","KYNU"
"738","TMSB10",2.12966363729068e-267,0.471090288878823,0.992,0.995,4.5717489301719e-263,"CD14+ Mono","TMSB10"
"739","PPIF",6.45481611693813e-267,0.808568974987125,0.368,0.084,1.38565537582311e-262,"CD14+ Mono","PPIF"
"742","NUDT16",1.050034266824e-263,0.673537895844645,0.363,0.081,2.25410856059107e-259,"CD14+ Mono","NUDT16"
"760","HSBP1",7.1900253417517e-248,0.85873871449692,0.547,0.209,1.54348274011384e-243,"CD14+ Mono","HSBP1"
"762","SERPINB6",4.8542770613609e-247,0.797569048960401,0.489,0.162,1.04206765676234e-242,"CD14+ Mono","SERPINB6"
"765","HHEX",4.43748939433073e-245,0.631844553549599,0.316,0.065,9.52595848280978e-241,"CD14+ Mono","HHEX"
"778","SKAP2",2.78645597329924e-235,0.688727662279469,0.371,0.094,5.98168503788148e-231,"CD14+ Mono","SKAP2"
"779","BID",6.05908657608892e-235,0.791805599833012,0.478,0.163,1.30070411528901e-230,"CD14+ Mono","BID"
"786","GLRX",6.50631620020665e-230,0.916945289509706,0.662,0.338,1.39671089869836e-225,"CD14+ Mono","GLRX"
"788","ANXA1",7.06715879142604e-228,0.957971914940798,0.857,0.558,1.51710697775543e-223,"CD14+ Mono","ANXA1"
"790","PPP1R9B",1.89965681757383e-226,0.708223238603141,0.368,0.098,4.07799329028574e-222,"CD14+ Mono","PPP1R9B"
"805","VASP",2.08070943613019e-211,0.885892978300133,0.685,0.395,4.46665894654068e-207,"CD14+ Mono","VASP"
"812","SULT1A1",6.05264376838211e-207,0.661631858487065,0.321,0.079,1.29932103775859e-202,"CD14+ Mono","SULT1A1"
"819","TPP1",3.94687299689145e-200,0.75715231694828,0.533,0.229,8.47275226242688e-196,"CD14+ Mono","TPP1"
"823","CD63",4.75643863983624e-197,0.808363772426702,0.628,0.323,1.02106468281364e-192,"CD14+ Mono","CD63"
"827","SH2B3",1.48850910764268e-192,0.665199609076875,0.371,0.113,3.19538250137654e-188,"CD14+ Mono","SH2B3"
"829","VAMP8",1.17271158584134e-190,0.828311160268798,0.785,0.604,2.5174599613256e-186,"CD14+ Mono","VAMP8"
"854","ENO1",2.58813470066494e-173,0.714502386913809,0.841,0.696,5.55594876191742e-169,"CD14+ Mono","ENO1"
"855","STAT2",5.04953187543316e-172,0.753745434524574,0.428,0.165,1.08398300769924e-167,"CD14+ Mono","STAT2"
"863","BNIP3L",5.13923948124605e-163,0.745506480071897,0.582,0.306,1.10324053943909e-158,"CD14+ Mono","BNIP3L"
"868","ATP6V1F",5.79222045786037e-159,0.782174021980313,0.695,0.467,1.24341596568889e-154,"CD14+ Mono","ATP6V1F"
"881","MTDH",7.05189350930198e-150,0.713081318862086,0.793,0.588,1.51382997964186e-145,"CD14+ Mono","MTDH"
"885","TXN",7.14059849525221e-148,0.720122194176405,0.633,0.367,1.53287227897579e-143,"CD14+ Mono","TXN"
"890","PLIN3",1.96194016626502e-144,0.546646393074038,0.317,0.105,4.21169695492112e-140,"CD14+ Mono","PLIN3"
"892","LAP3",4.1620282667528e-142,0.647112189450051,0.38,0.149,8.93462608023824e-138,"CD14+ Mono","LAP3"
"923","DAPP1",2.65377404100567e-129,0.515247954069255,0.363,0.141,5.69685673382688e-125,"CD14+ Mono","DAPP1"
"926","COX6B1",7.24581707504202e-128,0.569879444638393,0.879,0.822,1.55545955149927e-123,"CD14+ Mono","COX6B1"
"932","TNFRSF1A",2.45045643083668e-125,0.570827537560576,0.419,0.184,5.2603948200771e-121,"CD14+ Mono","TNFRSF1A"
"937","ATOX1",5.83200734640571e-123,0.586595610867005,0.415,0.185,1.25195701705291e-118,"CD14+ Mono","ATOX1"
"939","NUMB",8.02000679677082e-122,0.576701894920814,0.392,0.169,1.72165485906279e-117,"CD14+ Mono","NUMB"
"948","CLTA",8.24295592759501e-121,0.623298191325437,0.635,0.412,1.76951534897682e-116,"CD14+ Mono","CLTA"
"956","NAPRT",2.48617084257377e-117,0.59775791656712,0.45,0.22,5.33706294775311e-113,"CD14+ Mono","NAPRT"
"957","COX5B",3.82048517339416e-117,0.592112136074602,0.825,0.718,8.20143552172523e-113,"CD14+ Mono","COX5B"
"964","FUOM",1.4394729652099e-114,0.53042459913843,0.291,0.104,3.09011661441608e-110,"CD14+ Mono","FUOM"
"975","WAS",2.17235844736458e-109,0.567452205062303,0.784,0.63,4.66340187895754e-105,"CD14+ Mono","WAS"
"981","REEP4",3.80828411174498e-107,0.455184752451534,0.259,0.087,8.17524350268295e-103,"CD14+ Mono","REEP4"
"986","SNX18",1.62847535250305e-105,0.475688776326373,0.286,0.105,3.4958480392183e-101,"CD14+ Mono","SNX18"
"990","RNASET2",1.05542550110104e-104,0.59802461277506,0.803,0.653,2.2656819232136e-100,"CD14+ Mono","RNASET2"
"997","RAB10",6.18000808881006e-102,0.603375192974912,0.521,0.304,1.32666233642486e-97,"CD14+ Mono","RAB10"
"1024","RALB",1.47862949543783e-95,0.42276331202411,0.253,0.091,3.17417393785639e-91,"CD14+ Mono","RALB"
"1034","PRKAR1A",7.08184346231991e-93,0.495580930389951,0.375,0.181,1.52025933605621e-88,"CD14+ Mono","PRKAR1A"
"1046","MTPN",8.66310292552855e-90,0.506944642648714,0.688,0.507,1.85970830502321e-85,"CD14+ Mono","MTPN"
"1052","CAT",1.57730743649651e-88,0.521258892272429,0.471,0.263,3.38600587392705e-84,"CD14+ Mono","CAT"
"1053","HSPA1A",2.12929788599758e-88,0.517523742388843,0.346,0.159,4.57096377187101e-84,"CD14+ Mono","HSPA1A"
"1054","EP300",5.15595628662411e-88,0.527054258768692,0.359,0.171,1.1068291360496e-83,"CD14+ Mono","EP300"
"1079","CSTB",5.59173188586642e-84,0.539811935962952,0.757,0.632,1.20037708393895e-79,"CD14+ Mono","CSTB"
"1084","STX7",2.622127492168e-82,0.386505712399267,0.333,0.149,5.62892108743706e-78,"CD14+ Mono","STX7"
"1098","PRDX5",5.60549736373526e-80,0.532153669308528,0.658,0.499,1.20333211907305e-75,"CD14+ Mono","PRDX5"
"1115","TBL1X",3.8781543145207e-75,0.403498203843372,0.281,0.122,8.32523386698159e-71,"CD14+ Mono","TBL1X"
"1142","RCOR1",1.45006934562901e-68,0.456663955345624,0.315,0.157,3.1128638642618e-64,"CD14+ Mono","RCOR1"
"1170","INPP5D",2.90245207553442e-63,0.48302009233024,0.481,0.304,6.23069387054973e-59,"CD14+ Mono","INPP5D"
"1172","DYNLT1",5.07182928847472e-63,0.45983124523815,0.408,0.238,1.08876959335687e-58,"CD14+ Mono","DYNLT1"
"1174","PTPN6",1.28171440335455e-62,0.426046026288121,0.727,0.582,2.75145630968122e-58,"CD14+ Mono","PTPN6"
"1194","HCLS1",2.36197446034702e-58,0.413685602722545,0.823,0.77,5.07045057402695e-54,"CD14+ Mono","HCLS1"
"1197","NDUFB7",4.88879237632553e-58,0.461155785218678,0.609,0.463,1.0494770594258e-53,"CD14+ Mono","NDUFB7"
"1198","JMJD1C",2.45907807002073e-57,0.53080923538127,0.546,0.382,5.2789028929135e-53,"CD14+ Mono","JMJD1C"
"1205","IGF2R",7.13230339720488e-57,0.462757025824843,0.375,0.217,1.53109157027797e-52,"CD14+ Mono","IGF2R"
"1210","TPD52L2",1.07434709425537e-55,0.392782263754547,0.327,0.179,2.30630090723801e-51,"CD14+ Mono","TPD52L2"
"1232","DOK2",2.89689226600973e-52,0.432660517771923,0.534,0.368,6.21875862744308e-48,"CD14+ Mono","DOK2"
"1233","PTEN",3.56527596167569e-52,0.43309929380281,0.487,0.332,7.65357790692921e-48,"CD14+ Mono","PTEN"
"1244","PCBP2",8.49870087792489e-51,0.38775035037472,0.739,0.64,1.82441611746414e-46,"CD14+ Mono","PCBP2"
"1247","P4HB",7.39604314157769e-50,0.43032995516616,0.632,0.499,1.58770858120248e-45,"CD14+ Mono","P4HB"
"1254","DBNL",3.87522096157968e-49,0.429520210498383,0.546,0.398,8.3189368382231e-45,"CD14+ Mono","DBNL"
"1256","TNFAIP8L2",7.03027596394461e-49,0.354555461131928,0.284,0.152,1.50918934117999e-44,"CD14+ Mono","TNFAIP8L2"
"1301","IL10RB",4.17303525145203e-41,0.356555840994501,0.317,0.189,8.95825477429207e-37,"CD14+ Mono","IL10RB"
"1303","BST2",4.94460716095293e-41,0.403220866294626,0.614,0.502,1.06145881924177e-36,"CD14+ Mono","BST2"
"1304","PXN",8.18051263735023e-41,0.36973777551995,0.441,0.292,1.75611064785997e-36,"CD14+ Mono","PXN"
"1309","PRDX3",5.36835179885167e-40,0.367535098878265,0.393,0.26,1.15242408065949e-35,"CD14+ Mono","PRDX3"
"1321","STK11",4.42789680006334e-39,0.343761263751634,0.255,0.14,9.50536606069597e-35,"CD14+ Mono","STK11"
"1325","GUSB",3.81567174777555e-38,0.347750739940633,0.307,0.186,8.19110254094977e-34,"CD14+ Mono","GUSB"
"1343","CSNK1D",1.48694760590874e-36,0.38225217724346,0.387,0.258,3.1920304256043e-32,"CD14+ Mono","CSNK1D"
"1347","DBI",8.46404417002967e-36,0.383825441846163,0.595,0.498,1.81697636198027e-31,"CD14+ Mono","DBI"
