"","x"
"633","MMRN1"
"634","CAVIN2"
"635","PIN1"
"636","QDPR"
"637","SRSF3"
"638","CYBB"
"639","HINT1"
"640","CYBA"
"641","H3-3A"
"642","FAH"
"643","PFKP"
"644","ACADM"
"645","PRTN3"
"646","C2orf88"
"647","TPST2"
"648","NDUFB9"
"649","ARCN1"
"650","TOR4A"
"651","RPS14"
"652","RASA1"
"653","ATP5MPL"
"654","C20orf27"
"655","MAOB"
"656","POTEI"
"657","MACF1"
"658","ARPC1B"
"659","CLIC4"
"660","ACAT2"
"661","PDCD10"
"662","PSME1"
"663","TUBG1"
"664","USO1"
"665","FGB"
"666","UBASH3B"
"667","PDLIM5"
"668","MOB1B"
"669","HSPH1"
"670","TALDO1"
"671","PSME2"
"672","RUVBL1"
"673","AIF1"
"674","PPP2CB"
"675","HLA-E"
"676","ATP5MC1"
"677","H1-10"
"678","AKR7A2"
"679","STXBP5"
"680","FCGR2A"
"681","OSBPL8"
"682","FN3K"
"683","RPS10"
"684","IVD"
"685","SRC"
"686","DNAJA1"
"687","MYL12A"
"688","TMEM109"
"689","CERS2"
"690","MYL9"
"691","COPE"
"692","TAP2"
"693","SOD1"
"694","DOK2"
"695","MRPS36"
"696","GP9"
"697","VSIR"
"698","EMD"
"699","SULT1A3"
"700","CYB5R3"
"701","LTBP1"
"702","PRPF19"
"703","SCP2"
"704","TJP2"
"705","COASY"
"706","ERO1A"
"707","SSR1"
"708","RPL7"
"709","IARS2"
"710","TFAM"
"711","PGAM1"
"712","PAFAH1B2"
"713","FKBP1A"
"714","SYNCRIP"
"715","PRAF2"
"716","TREML1"
"717","UNC13D"
"718","FGG"
"719","RPL7A"
"720","TXN"
"721","TUBA8"
"722","RAB37"
"723","UPF1"
"724","GPX1"
"725","PPM1F"
"726","PRKAA1"
"727","ACAA1"
"728","RPLP0"
"729","MIF"
"730","CHMP2A"
"731","RAB8B"
"732","SNX5"
"733","APOB"
"734","CD9"
"735","ITGA2B"
"736","TPM1"
"737","DLST"
"738","THEMIS2"
"739","HMGCL"
"740","UBE2N"
"741","KCTD12"
"742","PLCG2"
"743","RPS13"
"744","ATP6V1C1"
"745","NCK2"
"746","GET3"
"747","BCAP31"
"748","PMVK"
"749","PDIA5"
"750","ISOC1"
"751","GMPPA"
"752","FARSB"
"753","UBA6"
"754","H2BC12"
"755","VPS35"
"756","LGALSL"
"757","RAB21"
"758","NDUFS3"
"759","ESD"
"760","HVCN1"
"761","MANF"
"762","RPL10A"
"763","SLC16A3"
"764","ATP5PF"
"765","CPNE1"
"766","CTPS2"
"767","RAB3GAP2"
"768","COPS8"
"769","UFC1"
"770","ANO6"
"771","ATP2C1"
"772","DEK"
"773","PPA2"
"774","DBN1"
"775","USP14"
"776","GTPBP2"
"777","RPS11"
"778","ACTBL2"
"779","COX6B1"
"780","GIMAP4"
"781","AP1S2"
"782","MYO1G"
"783","USP47"
"784","H2AC20"
"785","ATP1B3"
"786","SYTL4"
"787","HNRNPUL2"
"788","CCS"
"789","RPS5"
"790","FAM162A"
"791","PSMD2"
"792","SCIN"
"793","APOE"
"794","NRBP1"
"795","ROCK1"
"796","CACYBP"
"797","UROD"
"798","RHOG"
"799","HADH"
"800","CSRP1"
"801","PLG"
"802","MYO1F"
"803","RASA3"
"804","MAP2K2"
"805","COMT"
"806","OXCT1"
"807","MYLK"
"808","ABHD11"
"809","COPS2"
"810","SPTA1"
"811","MYL6"
"812","GSPT1"
"813","SULT1A1"
"814","GMPR"
"815","SCAMP3"
"816","EIF3D"
"817","RPS19"
"818","MAPRE2"
"819","SCRN1"
"820","ALDH2"
"821","HNRNPA1"
"822","HDHD2"
"823","TGFB1I1"
"824","RASGRP2"
"825","FKBP3"
"826","RPL12"
"827","PGRMC1"
"828","WBP2"
"829","ARL6IP5"
"830","ATP6V1H"
"831","CALU"
"832","DPP3"
"833","SRSF7"
"834","PPP1CA"
"835","VAC14"
"836","CYB5R1"
"837","SERPINE2"
"838","TMEM205"
"839","RPL13"
"840","BTK"
"841","DDX19B"
"842","NDUFA13"
"843","VCL"
"844","ZC3HAV1"
"845","TUBA4A"
"846","NDUFV1"
"847","HK3"
"848","LTA4H"
"849","VTN"
"850","HNRNPA2B1"
"851","CHMP4B"
"852","CRELD1"
"853","HGS"
"854","TAOK1"
"855","CALM1"
"856","HBB"
"857","SLC25A1"
"858","SPPL2A"
"859","ANXA1"
"860","GSTK1"
"861","RPL17"
"862","SLC2A3"
"863","SRPRB"
"864","NDUFB11"
"865","SERPINE1"
"866","MYCT1"
"867","UBA52"
"868","KHSRP"
"869","VARS1"
"870","PRPS2"
"871","CASP3"
"872","PCK2"
"873","CYB5B"
"874","ATP13A1"
"875","ATL3"
"876","OSBP"
"877","PTTG1IP"
"878","PRPSAP1"
"879","HNRNPA3"
"880","LRCH4"
"881","RAB3GAP1"
"882","HBA1"
"883","FERMT3"
"884","WAS"
"885","TTYH3"
"886","NRGN"
"887","GALK1"
"888","TBCB"
"889","INPPL1"
"890","DHX9"
"891","PDHB"
"892","RAP1GDS1"
"893","PSMA5"
"894","PRDX4"
"895","GP1BB"
"896","CD53"
