"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"TIA1","TIA1",2.32042298136646,2.0117390659652e-06,6.37142462178346e-05,"group2-group1"
"IST1","IST1",2.84723866459627,2.03303471804681e-06,6.37142462178346e-05,"group2-group1"
"FHIT","FHIT",1.68452872670808,2.04896994337203e-06,6.37142462178346e-05,"group2-group1"
"PPP2R5A","PPP2R5A",2.54249083850932,2.32587988678195e-06,7.15636516743541e-05,"group2-group1"
"RTN4IP1","RTN4IP1",1.96003369565217,2.35046248434901e-06,7.15666858515848e-05,"group2-group1"
"DUT","DUT",1.72307670807453,2.45551423105933e-06,7.39945164679011e-05,"group2-group1"
"BCL2L1","BCL2L1",2.12738850931677,2.60315590103303e-06,7.72480370750337e-05,"group2-group1"
"LAT","LAT",2.78618695652174,2.6163378961438e-06,7.72480370750337e-05,"group2-group1"
"ENO2","ENO2",1.41307857142857,2.64629099900488e-06,7.73510859009128e-05,"group2-group1"
"KAZN","KAZN",1.16637950310559,2.69343097192119e-06,7.74189446738227e-05,"group2-group1"
"TBCB","TBCB",2.32066288819876,2.70164783879135e-06,7.74189446738227e-05,"group2-group1"
"NFU1","NFU1",2.539174689441,2.72807092076762e-06,7.74189446738227e-05,"group2-group1"
"NRGN","NRGN",1.49437034161491,3.06138639943757e-06,8.59187361074963e-05,"group2-group1"
"USP8","USP8",1.45623229813665,3.08637266208933e-06,8.59187361074963e-05,"group2-group1"
"CRYZL1","CRYZL1",1.35099394409938,3.13322627187579e-06,8.60316389181136e-05,"group2-group1"
"CDC37","CDC37",1.07565931677019,3.14929365865144e-06,8.60316389181136e-05,"group2-group1"
"TACC3","TACC3",2.22246335403727,3.24929631079545e-06,8.79416029301397e-05,"group2-group1"
"PRTFDC1","PRTFDC1",3.32557795031056,3.32235070560378e-06,8.85489199689855e-05,"group2-group1"
"ANXA4","ANXA4",1.26998881987578,3.35539322159891e-06,8.85489199689855e-05,"group2-group1"
"PPBP","PPBP",2.85344347826087,3.36261721401211e-06,8.85489199689855e-05,"group2-group1"
"HPSE","HPSE",3.24901366459627,3.54499680489838e-06,9.25180862564105e-05,"group2-group1"
