"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp"
"aspartate" "aspartate" 0.278164657994617 0.00312757745164709 0.0380956309040902 "group2-group1"
"docosapentaenoate (n6 DPA; 22:5n6)" "docosapentaenoate (n6 DPA; 22:5n6)" 0.469836902706178 0.00344689514456939 0.0414099594765391 "group2-group1"
"taurochenodeoxycholic acid 3-sulfate" "taurochenodeoxycholic acid 3-sulfate" 0.952969901118781 0.00350943221826806 0.0415915142624471 "group2-group1"
"gamma-glutamylthreonine" "gamma-glutamylthreonine" 0.183996423482739 0.00358839638413724 0.0419603150518448 "group2-group1"
"pentadecanoate (15:0)" "pentadecanoate (15:0)" 0.362226391967497 0.00382616723671224 0.0441519561394294 "group2-group1"
"linoleate (18:2n6)" "linoleate (18:2n6)" 0.522430474353186 0.00411180698794915 0.0468318795900183 "group2-group1"
"stearate (18:0)" "stearate (18:0)" 0.284421149421969 0.0044539729589552 0.0495724059316865 "group2-group1"
"hexadecadienoate (16:2n6)" "hexadecadienoate (16:2n6)" 0.583056800889812 0.0044654732823298 0.0495724059316865 "group2-group1"
"oleoyl ethanolamide" "oleoyl ethanolamide" 0.37793510561528 0.00534540165261719 0.058598965616816 "group2-group1"
"adrenoylcarnitine (C22:4)*" "adrenoylcarnitine (C22:4)*" 0.445623391762878 0.00554002124520153 0.0595475698966175 "group2-group1"
"palmitoylcarnitine (C16)" "palmitoylcarnitine (C16)" 0.21949367460739 0.00558253647031987 0.0595475698966175 "group2-group1"
"(16 or 17)-methylstearate (a19:0 or i19:0)" "(16 or 17)-methylstearate (a19:0 or i19:0)" 0.334963704240181 0.00563563090241648 0.0595475698966175 "group2-group1"
"cis-4-decenoylcarnitine (C10:1)" "cis-4-decenoylcarnitine (C10:1)" 0.344018887479538 0.00613965778952566 0.0630408001795181 "group2-group1"
"2'-deoxyuridine" "2'-deoxyuridine" -0.235454193502098 0.00616890333616144 0.0630408001795181 "group2-group1"
"dihomo-linolenoylcarnitine (C20:3n3 or 6)*" "dihomo-linolenoylcarnitine (C20:3n3 or 6)*" 0.254227832572214 0.00625243021618759 0.0630408001795181 "group2-group1"
"dihomolinoleate (20:2n6)" "dihomolinoleate (20:2n6)" 0.472282468739804 0.0062537623895303 0.0630408001795181 "group2-group1"
"3-hydroxyhexanoylcarnitine (1)" "3-hydroxyhexanoylcarnitine (1)" 0.331747391796758 0.00649900525848664 0.0645767834258164 "group2-group1"
"margarate (17:0)" "margarate (17:0)" 0.376955313400396 0.0065534021948662 0.0645767834258164 "group2-group1"
"N-acetylglutamine" "N-acetylglutamine" 0.31000542320127 0.0066724262143279 0.065019086555173 "group2-group1"
"quinolinate" "quinolinate" 0.264743436977171 0.00710209680870255 0.0684454824311223 "group2-group1"
"laurate (12:0)" "laurate (12:0)" 0.495590524904104 0.00736645501435798 0.069562394582759 "group2-group1"
"2R,3R-dihydroxybutyrate" "2R,3R-dihydroxybutyrate" 0.231356756022474 0.00737662793180911 0.069562394582759 "group2-group1"
"docosadienoate (22:2n6)" "docosadienoate (22:2n6)" 0.386602935071655 0.00746941834925126 0.0696880839605676 "group2-group1"
"tiglyl carnitine (C5)" "tiglyl carnitine (C5)" 0.301560045957105 0.00786672729810287 0.072622314109855 "group2-group1"
"N-acetylcarnosine" "N-acetylcarnosine" 0.235789321534731 0.00803194076753906 0.0733751255534558 "group2-group1"
"mead acid (20:3n9)" "mead acid (20:3n9)" 0.505319562877089 0.00843855911680495 0.0762950138704943 "group2-group1"
"3-hydroxymyristate" "3-hydroxymyristate" 0.419353513317262 0.00876598837051187 0.0784466510299889 "group2-group1"
"3-hydroxy-2-ethylpropionate" "3-hydroxy-2-ethylpropionate" 0.255488567086196 0.0089264945174774 0.0789962498526834 "group2-group1"
"taurodeoxycholic acid 3-sulfate" "taurodeoxycholic acid 3-sulfate" 0.883389904429094 0.00900755414511784 0.0789962498526834 "group2-group1"
"vanillic acid glycine" "vanillic acid glycine" -0.627220465896019 0.00924793307754544 0.0798159596617718 "group2-group1"
"docosapentaenoate (DPA; 22:5n3)" "docosapentaenoate (DPA; 22:5n3)" 0.443127803837122 0.00928304205872374 0.0798159596617718 "group2-group1"
"N-stearoyltaurine" "N-stearoyltaurine" 0.46686050751884 0.00939295593092329 0.0799769160332012 "group2-group1"
"gamma-glutamylisoleucine*" "gamma-glutamylisoleucine*" 0.243275188407712 0.00950239991638858 0.080130814679546 "group2-group1"
"dodecadienoate (12:2)*" "dodecadienoate (12:2)*" 0.422063052379199 0.00964923955916031 0.0805941246988914 "group2-group1"
"9-hydroxystearate" "9-hydroxystearate" 0.564607782512208 0.00993307439686964 0.0821821343967422 "group2-group1"
"N-acetylglucosamine/N-acetylgalactosamine" "N-acetylglucosamine/N-acetylgalactosamine" 0.178976733892388 0.0102489472065686 0.0840030532725298 "group2-group1"
"glutamine conjugate of C7H12O2*" "glutamine conjugate of C7H12O2*" 0.672952888441636 0.0110996123170175 0.0901329629817071 "group2-group1"
"S-adenosylhomocysteine (SAH)" "S-adenosylhomocysteine (SAH)" 0.237701897609716 0.0113499512432348 0.0907467600631209 "group2-group1"
"N-acetylalanine" "N-acetylalanine" 0.102627502669029 0.0113821477844279 0.0907467600631209 "group2-group1"
"3-hydroxyoctanoate" "3-hydroxyoctanoate" 0.379525707929257 0.0114973603334709 0.0908395046167027 "group2-group1"
"gamma-glutamyltryptophan" "gamma-glutamyltryptophan" 0.178762224926213 0.011780444692734 0.0922450892457834 "group2-group1"
"stearoylcarnitine (C18)" "stearoylcarnitine (C18)" 0.22981908346585 0.012019603671021 0.0932848886680128 "group2-group1"
"dihomolinolenate (20:3n3 or 3n6)" "dihomolinolenate (20:3n3 or 3n6)" 0.347296246458168 0.0121875799056646 0.0937588383970862 "group2-group1"
"3-hydroxyhexanoate" "3-hydroxyhexanoate" 0.293226331158161 0.0125358135079162 0.0955992038821087 "group2-group1"
"N-acetylhistidine" "N-acetylhistidine" 0.218224180703049 0.0128051815544732 0.0968115881316637 "group2-group1"
