"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"Q99471","Q99471",-0.189278027113666,0.00442630223300341,0.0335579853863354,"Control vs hc-like","PFDN5"
"P06756","P06756",-0.28639463981944,0.00443367393536433,0.0335579853863354,"Control vs hc-like","ITGAV"
"P62995","P62995",-0.232117916224805,0.00448306863836934,0.0336580386058321,"Control vs hc-like","TRA2B"
"P28331","P28331",-0.217300306862697,0.00450357391443515,0.0336580386058321,"Control vs hc-like","NDUFS1"
"Q96B49","Q96B49",0.352763107396065,0.00459583280208919,0.034116242665111,"Control vs hc-like","TOMM6"
"P27635","P27635",-0.202790784417765,0.0046075958972258,0.034116242665111,"Control vs hc-like","RPL10"
"Q9NYB9","Q9NYB9",0.182653711701466,0.00465685784320962,0.0343317268700692,"Control vs hc-like","ABI2"
"Q9BXW7","Q9BXW7",-0.366788225095863,0.00471940036983828,0.0346428397837698,"Control vs hc-like","HDHD5"
"Q9BR76","Q9BR76",-0.179498753711897,0.00488600845004117,0.0355305902152736,"Control vs hc-like","CORO1B"
"Q9UJ14","Q9UJ14",-0.370218092877764,0.00488692294559548,0.0355305902152736,"Control vs hc-like","GGT7"
"P13674","P13674",-0.244218110839068,0.0049221774895877,0.0355305902152736,"Control vs hc-like","P4HA1"
"P16402","P16402",-0.741511609008899,0.00492379288949182,0.0355305902152736,"Control vs hc-like","H1-3"
"Q6UXD5","Q6UXD5",-0.387500966818735,0.00496668494736206,0.0356888796006649,"Control vs hc-like","SEZ6L2"
"Q9BW83","Q9BW83",-0.244256962634765,0.00506672363841165,0.0362547493958615,"Control vs hc-like","IFT27"
"Q9Y3F4","Q9Y3F4",0.229316769035595,0.00513939806601222,0.0366208991900369,"Control vs hc-like","STRAP"
"Q9NX63","Q9NX63",-0.376809759320029,0.00519762034219394,0.0368814476781511,"Control vs hc-like","CHCHD3"
"P82979","P82979",-0.37712770677803,0.00525430870549849,0.0371289947114686,"Control vs hc-like","SARNP"
"P26378","P26378",-0.629156987001004,0.00532700576127339,0.0374871521134239,"Control vs hc-like","ELAVL4"
"P55145","P55145",-0.284775969134468,0.00540856726815566,0.0379044858340292,"Control vs hc-like","MANF"
"O95817","O95817",0.309338483029064,0.00546176042685244,0.0381204016677447,"Control vs hc-like","BAG3"
"P23246","P23246",-0.188947718910526,0.00549545602819275,0.0381990270041317,"Control vs hc-like","SFPQ"
"P46108","P46108",0.207989187237295,0.00565562383671452,0.0391017505944647,"Control vs hc-like","CRK"
"Q04760","Q04760",-0.25382513765863,0.00567124626942617,0.0391017505944647,"Control vs hc-like","GLO1"
"P62899","P62899",-0.183319306158367,0.00573885990440457,0.0393754142075519,"Control vs hc-like","RPL31"
"P14406","P14406",0.197030529267561,0.00575718035095739,0.0393754142075519,"Control vs hc-like","COX7A2"
"Q99460","Q99460",-0.164723990646294,0.00584596399298143,0.0395142432198652,"Control vs hc-like","PSMD1"
"Q99593","Q99593",-0.510994815867601,0.00584870988703563,0.0395142432198652,"Control vs hc-like","TBX5"
"P12277","P12277",-0.208018848500995,0.00589912494562534,0.0395142432198652,"Control vs hc-like","CKB"
