"BIOCHEMICAL" "logFC" "P.Value" "adj.P.Val" "Comp" "Gene_name"
"P35580" "P35580" 22.7138451375201 8.73026445398068e-21 4.35603820151744e-20 "CB" "MYH10"
"P37837" "P37837" 19.0869905845966 9.04697188354847e-21 4.46752529094816e-20 "CB" "TALDO1"
"O00151" "O00151" 22.0619631403712 9.99106798886987e-21 4.88338935374354e-20 "CB" "PDLIM1"
"Q9BQE3" "Q9BQE3" 20.9122696643856 1.01516830342405e-20 4.91177391252644e-20 "CB" "TUBA1C"
"P35609" "P35609" 18.17369122133 1.04887169519162e-20 4.98325715721208e-20 "CB" "ACTN2"
"P11678" "P11678" 19.9185022347171 1.05074942145808e-20 4.98325715721208e-20 "CB" "EPX"
"Q01813" "Q01813" 18.0366344796326 1.06385748352508e-20 4.99595818243641e-20 "CB" "PFKP"
"P04899" "P04899" 19.2025220358208 1.09888859365646e-20 5.11036540156743e-20 "CB" "GNAI2"
"Q96A08" "Q96A08" 21.8854861411512 1.14192918885253e-20 5.25946232173425e-20 "CB" "H2BC1"
"P60981" "P60981" 18.786956229983 1.17042096249621e-20 5.33934896224463e-20 "CB" "DSTN"
"P63104" "P63104" 21.9366658743164 1.24128121013615e-20 5.6091858458039e-20 "CB" "YWHAZ"
"Q9Y696" "Q9Y696" 20.8251952501221 1.29145286533055e-20 5.67528369259941e-20 "CB" "CLIC4"
"Q9NZA1" "Q9NZA1" 20.8251952501221 1.29145286533055e-20 5.67528369259941e-20 "CB" "CLIC5"
"O15247" "O15247" 20.8251952501221 1.29145286533055e-20 5.67528369259941e-20 "CB" "CLIC2"
"P26447" "P26447" 18.4411529297033 1.30487794933608e-20 5.682150343018e-20 "CB" "S100A4"
"P30405" "P30405" 20.3898945738966 1.32235607375208e-20 5.69830039562986e-20 "CB" "PPIF"
"O43707" "O43707" 19.4568658853493 1.33237921567963e-20 5.69830039562986e-20 "CB" "ACTN4"
"P50552" "P50552" 20.9063990115546 1.37696837794451e-20 5.76167695154319e-20 "CB" "VASP"
"P01137" "P01137" 18.1120877833217 1.40261685798045e-20 5.79184030148822e-20 "CB" "TGFB1"
"P48735" "P48735" 20.7458080952429 1.41770178352284e-20 5.79533387154905e-20 "CB" "IDH2"
"P20674" "P20674" 21.1809241819988 1.43094800805662e-20 5.79533387154905e-20 "CB" "COX5A"
"P55072" "P55072" 20.7687141068495 1.44416474162933e-20 5.79533387154905e-20 "CB" "VCP"
"P02675" "P02675" 23.106961218373 1.46506177536124e-20 5.79533387154905e-20 "CB" "FGB"
"P60174" "P60174" 20.0779243598892 1.47507753056028e-20 5.79533387154905e-20 "CB" "TPI1"
"P14625" "P14625" 20.7243037196492 1.47605580862001e-20 5.79533387154905e-20 "CB" "HSP90B1"
"P09382" "P09382" 20.4516826860773 1.53665582351532e-20 5.98421251596618e-20 "CB" "LGALS1"
"Q9H427" "Q9H427" 20.5105635700733 1.5874790737891e-20 6.02716367041413e-20 "CB" "KCNK15"
"P55209" "P55209" 19.1819059285096 1.59889883376182e-20 6.02716367041413e-20 "CB" "NAP1L1"
"Q6NXT2" "Q6NXT2" 20.6390158430524 1.60055933682738e-20 6.02716367041413e-20 "CB" "H3-5"
"P0DMV8" "P0DMV8" 21.0948156317555 1.61059906015242e-20 6.02716367041413e-20 "CB" "HSPA1A"
"P35542" "P35542" 19.1015185854988 1.68505841848865e-20 6.25692234462064e-20 "CB" "SAA4"
"P61106" "P61106" 18.6090369608588 1.74919644718923e-20 6.44511614002799e-20 "CB" "RAB14"
"P09486" "P09486" 17.9517072375414 1.81437251771361e-20 6.63423233576197e-20 "CB" "SPARC"
"P04275" "P04275" 19.3173045098854 1.83583755640896e-20 6.6618650721204e-20 "CB" "VWF"
"Q15555" "Q15555" 20.2438874099768 1.86885798140383e-20 6.73069904580779e-20 "CB" "MAPRE2"
"P17301" "P17301" 18.4390239145626 1.88352345597461e-20 6.73289354784953e-20 "CB" "ITGA2"
"Q9NYL9" "Q9NYL9" 18.3510788831773 1.90827551239475e-20 6.77084422545989e-20 "CB" "TMOD3"
"P02730" "P02730" 18.2324303236075 1.92821187182201e-20 6.79127563678487e-20 "CB" "SLC4A1"
"P09493" "P09493" 20.3549910102334 1.96512017634349e-20 6.87074864575571e-20 "CB" "TPM1"
"Q13201" "Q13201" 21.0041355160704 2.02435031772517e-20 7.02654929123445e-20 "CB" "MMRN1"
"P00488" "P00488" 22.6942881783439 2.07670981901927e-20 7.15643167849086e-20 "CB" "F13A1"
"P35749" "P35749" 22.3761600440594 2.09552736928768e-20 7.16969721349142e-20 "CB" "MYH11"
"P59998" "P59998" 18.6906418735193 2.17635357122322e-20 7.34649797339278e-20 "CB" "ARPC4"
"P35442" "P35442" 20.7967460007423 2.18957279128475e-20 7.34649797339278e-20 "CB" "THBS2"
"P62820" "P62820" 17.6897531119153 2.19321338245338e-20 7.34649797339278e-20 "CB" "RAB1A"
"Q04917" "Q04917" 20.0230442114608 2.22280723904112e-20 7.39392130208816e-20 "CB" "YWHAH"
"P02775" "P02775" 23.2760706927696 2.24598186588685e-20 7.41948492248139e-20 "CB" "PPBP"
"P07359" "P07359" 19.6606533491781 2.28212121369799e-20 7.45433453351174e-20 "CB" "GP1BA"
"P50148" "P50148" 18.0439748235583 2.28765590068106e-20 7.45433453351174e-20 "CB" "GNAQ"
"P22314" "P22314" 19.4139930509074 2.35908422302478e-20 7.60286593073656e-20 "CB" "UBA1"
"Q9ULX5" "Q9ULX5" 17.9429394284872 2.36498334797442e-20 7.60286593073656e-20 "CB" "RNF112"
"P68366" "P68366" 21.8471257731767 2.38901546477229e-20 7.6202762938556e-20 "CB" "TUBA4A"
"P78371" "P78371" 20.2891966010333 2.40221653522379e-20 7.6202762938556e-20 "CB" "CCT2"
"P14770" "P14770" 19.2689237345292 2.46357212002993e-20 7.76349372035746e-20 "CB" "GP9"
"P29350" "P29350" 18.7434950603202 2.50170406232345e-20 7.78462002288005e-20 "CB" "PTPN6"
"Q93084" "Q93084" 20.33862854491 2.50277971508043e-20 7.78462002288005e-20 "CB" "ATP2A3"
"Q13423" "Q13423" 18.9575388625875 2.77798838849512e-20 8.54469833657141e-20 "CB" "NNT"
"Q9Y536" "Q9Y536" 19.581253421526 2.79244481271548e-20 8.54469833657141e-20 "CB" "PPIAL4A"
"Q9NY65" "Q9NY65" 19.1701808296934 2.84693038946958e-20 8.54469833657141e-20 "CB" "TUBA8"
"P24844" "P24844" 20.2655139369026 2.84752019674864e-20 8.54469833657141e-20 "CB" "MYL9"
"Q96QV6" "Q96QV6" 20.2787827350113 2.87201760373277e-20 8.54469833657141e-20 "CB" "H2AC1"
"Q8IUE6" "Q8IUE6" 20.2787827350113 2.87201760373277e-20 8.54469833657141e-20 "CB" "H2AC21"
"P34931" "P34931" 20.3336676618952 2.95570896912924e-20 8.73941108773398e-20 "CB" "HSPA1L"
"P13501" "P13501" 20.4065714846714 3.01004425576443e-20 8.74231155926327e-20 "CB" "CCL5"
"P19971" "P19971" 19.1273865184748 3.01058017852469e-20 8.74231155926327e-20 "CB" "TYMP"
"Q9H0U3" "Q9H0U3" 18.0885425965283 3.01144343899466e-20 8.74231155926327e-20 "CB" "MAGT1"
"P10606" "P10606" 20.5285022242306 3.07868243696509e-20 8.88366799582097e-20 "CB" "COX5B"
"P30041" "P30041" 17.4804252676486 3.10553543937948e-20 8.90749386504653e-20 "CB" "PRDX6"
"P23528" "P23528" 20.7811184977723 3.18230736494566e-20 9.01979852167781e-20 "CB" "CFL1"
"P02776" "P02776" 23.9550639290749 3.18235062664624e-20 9.01979852167781e-20 "CB" "PF4"
"Q15833" "Q15833" 18.8294340188955 3.32180670725484e-20 9.33614612248015e-20 "CB" "STXBP2"
"O75347" "O75347" 18.0034855815697 3.35086627535399e-20 9.33614612248015e-20 "CB" "TBCA"
"Q93077" "Q93077" 21.2367256513744 3.37334997308675e-20 9.33614612248015e-20 "CB" "H2AC6"
"P30613" "P30613" 20.0537293020769 3.38879526199644e-20 9.33614612248015e-20 "CB" "PKLR"
"Q9H0U4" "Q9H0U4" 20.622044234717 3.39141842444999e-20 9.33614612248015e-20 "CB" "RAB1B"
"P61026" "P61026" 18.1164644032676 3.47100018926364e-20 9.50062337518449e-20 "CB" "RAB10"
"P05141" "P05141" 18.1644659701131 3.61157012270537e-20 9.82921641349927e-20 "CB" "SLC25A5"
"O60234" "O60234" 18.1228123894731 3.67682788375218e-20 9.93596504915127e-20 "CB" "GMFG"
"P00491" "P00491" 19.4067070687887 3.6980333786728e-20 9.93596504915127e-20 "CB" "PNP"
"P14314" "P14314" 18.1099520872178 3.71302242964108e-20 9.93596504915127e-20 "CB" "PRKCSH"
"P00918" "P00918" 18.7158829613594 3.76082196757196e-20 9.97881196318471e-20 "CB" "CA2"
