"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"Q9H0Q3","Q9H0Q3",0.0388940851729451,0.680860123837594,0.799157060656985,"Control vs hc-like","FXYD6","yes"
"Q9H6U6","Q9H6U6",0.0302988391514241,0.681051662215923,0.799157060656985,"Control vs hc-like","BCAS3","yes"
"O95359","O95359",-0.0458820913317126,0.681124676243622,0.799157060656985,"Control vs hc-like","TACC2",NA
"P42166","P42166",0.0240706754679785,0.68118318997821,0.799157060656985,"Control vs hc-like","TMPO",NA
"Q14684","Q14684",-0.0344596369457761,0.681464819923579,0.799189416159762,"Control vs hc-like","RRP1B",NA
"P30041","P30041",-0.0563156168759988,0.681468364367655,0.799189416159762,"Control vs hc-like","PRDX6","yes"
"P20042","P20042",-0.0170275455218167,0.681683317994494,0.799290436159455,"Control vs hc-like","EIF2S2",NA
"P78316","P78316",-0.024787767684856,0.681931022595799,0.799340180975216,"Control vs hc-like","NOP14",NA
"P49765","P49765",-0.0444560294040173,0.681983387281675,0.799340180975216,"Control vs hc-like","VEGFB",NA
"Q9BY50","Q9BY50",-0.0484905906565025,0.682272068372363,0.799527513550617,"Control vs hc-like","SEC11C",NA
"O95219","O95219",0.0259594457719139,0.682483966735108,0.799624813744589,"Control vs hc-like","SNX4","yes"
"Q92888","Q92888",-0.054530858412063,0.683687530412247,0.800589595962133,"Control vs hc-like","ARHGEF1",NA
"Q9BY41","Q9BY41",-0.0284782556009162,0.683690000953028,0.800589595962133,"Control vs hc-like","HDAC8",NA
"Q9BQG2","Q9BQG2",-0.0193279816342198,0.683694483320442,0.800589595962133,"Control vs hc-like","NUDT12",NA
"P46821","P46821",-0.0228785292709865,0.683910105009927,0.800690981431434,"Control vs hc-like","MAP1B","yes"
"Q7L1W4","Q7L1W4",-0.0340835148363077,0.684284778550204,0.800845108230419,"Control vs hc-like","LRRC8D",NA
"Q12923","Q12923",0.0574581566730004,0.68429988135982,0.800845108230419,"Control vs hc-like","PTPN13",NA
