"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name","synaptic_prot"
"Q9BY44","Q9BY44",0.110515450720669,0.0324987181843318,0.132232489399199,"Control vs at-risk","EIF2A","yes"
"O75525","O75525",-0.165428218554087,0.0327052575817363,0.132985664020101,"Control vs at-risk","KHDRBS3",NA
"P62753","P62753",-0.214266075788231,0.0327643465483969,0.133138683911462,"Control vs at-risk","RPS6","yes"
"Q9Y6Q2","Q9Y6Q2",-0.256139163015465,0.0328106389464168,0.133239538391699,"Control vs at-risk","STON1",NA
"Q03164","Q03164",-0.26943823416258,0.0329075966493658,0.133545871294516,"Control vs at-risk","KMT2A",NA
"O14548","O14548",-0.169170634181121,0.0329662472749016,0.133696447281545,"Control vs at-risk","COX7A2L","yes"
"Q96KG7","Q96KG7",-0.306356091420653,0.0330099453067809,0.13378622510031,"Control vs at-risk","MEGF10",NA
"Q9H444","Q9H444",-0.141935173324836,0.0330537041837826,0.133876132154289,"Control vs at-risk","CHMP4B","yes"
"Q99547","Q99547",-0.196174728713792,0.0331246831155987,0.134030670439575,"Control vs at-risk","MPHOSPH6",NA
"Q9NZV5","Q9NZV5",-0.345409701528467,0.0331350601860286,0.134030670439575,"Control vs at-risk","SELENON",NA
"Q6N069","Q6N069",0.191450648813635,0.033345059333469,0.134792243103697,"Control vs at-risk","NAA16",NA
"P42167","P42167",-0.26430363430768,0.0334002137467029,0.134927295767117,"Control vs at-risk","TMPO",NA
"P09455","P09455",-0.190262728031279,0.0334663857207686,0.135106651527241,"Control vs at-risk","RBP1","yes"
"Q9Y5B9","Q9Y5B9",-0.135653997602649,0.0335205598187513,0.135237369099708,"Control vs at-risk","SUPT16H",NA
"P53618","P53618",0.103601370754742,0.0335651838211438,0.135329412352305,"Control vs at-risk","COPB1","yes"
"Q9BRK0","Q9BRK0",-0.132951997265078,0.0336084690735143,0.135369937183806,"Control vs at-risk","REEP2","yes"
"P53621","P53621",0.0982358750547299,0.03361886755846,0.135369937183806,"Control vs at-risk","COPA","yes"
"Q9BS26","Q9BS26",-0.133172382340323,0.0336936360642812,0.135546693264903,"Control vs at-risk","ERP44","yes"
"Q13425","Q13425",0.187263562568784,0.0337341505000963,0.135546693264903,"Control vs at-risk","SNTB2","yes"
"Q9H0U3","Q9H0U3",-0.162971583133629,0.0337802067186701,0.135546693264903,"Control vs at-risk","MAGT1",NA
"P34059","P34059",-0.243500765424429,0.0337820395259485,0.135546693264903,"Control vs at-risk","GALNS",NA
"P53667","P53667",-0.215989864121177,0.0337835126983415,0.135546693264903,"Control vs at-risk","LIMK1","yes"
"P23469","P23469",0.253842610726405,0.0337938331153594,0.135546693264903,"Control vs at-risk","PTPRE","yes"
"Q8N684","Q8N684",-0.170961687724333,0.0338362388552782,0.135629109881784,"Control vs at-risk","CPSF7",NA
"Q8NBJ7","Q8NBJ7",-0.150043475399425,0.0338672820138654,0.135644858010739,"Control vs at-risk","SUMF2","yes"
"P0DP58","P0DP58",-0.159511644273266,0.0338894026602035,0.135644858010739,"Control vs at-risk","LYNX1","yes"
"Q96CS3","Q96CS3",0.13604352800926,0.0339230147653615,0.135644858010739,"Control vs at-risk","FAF2","yes"
"Q9UDY4","Q9UDY4",0.194525912567361,0.0339276099327425,0.135644858010739,"Control vs at-risk","DNAJB4","yes"
"Q8IWI9","Q8IWI9",0.175327036602411,0.0341526688769913,0.136456735596736,"Control vs at-risk","MGA",NA
"Q99460","Q99460",-0.113207937250504,0.034236371216209,0.136543797802815,"Control vs at-risk","PSMD1","yes"
"Q9UMX1","Q9UMX1",0.152337967401515,0.0342529277487569,0.136543797802815,"Control vs at-risk","SUFU",NA
"Q13432","Q13432",-0.146538453070061,0.0342567080103295,0.136543797802815,"Control vs at-risk","UNC119",NA
"Q86TM6","Q86TM6",-0.224875941415352,0.0342998035926561,0.136543797802815,"Control vs at-risk","SYVN1",NA
"Q7Z7K6","Q7Z7K6",-0.284321528941845,0.0343015695003642,0.136543797802815,"Control vs at-risk","CENPV",NA
"Q96DV4","Q96DV4",-0.160108382523834,0.0343064916639144,0.136543797802815,"Control vs at-risk","MRPL38","yes"
"Q9BUL9","Q9BUL9",-0.150804267524844,0.0344103168538242,0.136869241075628,"Control vs at-risk","RPP25",NA
"O94811","O94811",-0.191976104177236,0.0344330121740042,0.136871774849261,"Control vs at-risk","TPPP","yes"
"P28066","P28066",0.10523427214433,0.034461916766529,0.136898971534131,"Control vs at-risk","PSMA5","yes"
"Q9P286","Q9P286",0.280518790854972,0.0345438285654777,0.13713656829737,"Control vs at-risk","PAK5",NA
"Q9NYD6","Q9NYD6",-0.439251728938785,0.034576740752547,0.137170116711959,"Control vs at-risk","HOXC10",NA
"Q9P2K5","Q9P2K5",-0.103267739226983,0.0345964919668358,0.137170116711959,"Control vs at-risk","MYEF2",NA
"Q07666","Q07666",-0.183869504928335,0.0346877773240334,0.13738806648753,"Control vs at-risk","KHDRBS1","yes"
"Q8N111","Q8N111",-0.288235647754384,0.034695745396609,0.13738806648753,"Control vs at-risk","CEND1","yes"
"Q08257","Q08257",-0.117763686585889,0.0347383332870325,0.137468978345687,"Control vs at-risk","CRYZ","yes"
"Q9Y394","Q9Y394",-0.11409715524039,0.0348436902988304,0.137798023138459,"Control vs at-risk","DHRS7","yes"
"Q8WWM7","Q8WWM7",0.100105456093132,0.0349264990205162,0.137962696032509,"Control vs at-risk","ATXN2L",NA
"Q9BWU0","Q9BWU0",0.118905530845453,0.0349297978190284,0.137962696032509,"Control vs at-risk","SLC4A1AP",NA
"Q8IZ69","Q8IZ69",0.221742206726365,0.0351529260979402,0.138713802204988,"Control vs at-risk","TRMT2A",NA
"Q14119","Q14119",-0.328535738092054,0.035204938710972,0.138713802204988,"Control vs at-risk","VEZF1",NA
"Q9NZ72","Q9NZ72",0.153604647884496,0.0352076722250623,0.138713802204988,"Control vs at-risk","STMN3",NA
