"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp"
"SNX9","SNX9",0.665865454545456,7.56887870565212e-17,1.20895259325799e-15,"group2-group1"
"PDE5A","PDE5A",0.797781525974025,8.20823173244069e-17,1.30394898662631e-15,"group2-group1"
"SERPINH1","SERPINH1",1.72936220779221,8.27865359283141e-17,1.30505528428272e-15,"group2-group1"
"RAD23B","RAD23B",0.834720064935065,8.30449137449831e-17,1.30505528428272e-15,"group2-group1"
"UBXN1","UBXN1",0.86360590909091,9.03999424188705e-17,1.41304295021582e-15,"group2-group1"
"RGS10","RGS10",1.0585099025974,9.73368005145984e-17,1.51338014842644e-15,"group2-group1"
"NUB1","NUB1",0.806996818181817,1.04404325803944e-16,1.61467642499962e-15,"group2-group1"
"PLXNA4","PLXNA4",0.620099545454546,1.10408821959368e-16,1.69855256098544e-15,"group2-group1"
"GMFG","GMFG",0.921264383116884,1.14722780404603e-16,1.75567899017097e-15,"group2-group1"
"IPCEF1","IPCEF1",1.08368103896104,1.16303911839016e-16,1.77060590784086e-15,"group2-group1"
"BDNF","BDNF",2.04490711038961,1.17322323734632e-16,1.77685571127632e-15,"group2-group1"
"GADD45GIP1","GADD45GIP1",0.721712500000001,1.44792653925946e-16,2.18159240940999e-15,"group2-group1"
"NDUFB7","NDUFB7",0.741724967532468,1.53840533844305e-16,2.3060301560354e-15,"group2-group1"
"TRIAP1","TRIAP1",0.787706006493508,1.55761324740343e-16,2.32290996028583e-15,"group2-group1"
"PLCB2","PLCB2",1.49037720779221,1.6016699971824e-16,2.37648802120008e-15,"group2-group1"
"AXIN1","AXIN1",0.768852727272727,1.61955460058914e-16,2.39088792804144e-15,"group2-group1"
"TYMP","TYMP",0.993290487012988,1.63507567300363e-16,2.40167145336161e-15,"group2-group1"
"DOK1","DOK1",1.19175837662338,2.04801603852974e-16,2.99317544031121e-15,"group2-group1"
"SAMD9L","SAMD9L",0.787906363636364,2.16546520270612e-16,3.14908198383582e-15,"group2-group1"
"EIF4B","EIF4B",1.16478581168831,2.2145022580978e-16,3.20445054476231e-15,"group2-group1"
"CRYZL1","CRYZL1",1.02877357142857,2.25301500548315e-16,3.24411963597401e-15,"group2-group1"
"TIA1","TIA1",1.36489418831169,2.40031273457992e-16,3.43927162900839e-15,"group2-group1"
"VPS53","VPS53",0.467974383116883,2.78676946646421e-16,3.97352543925605e-15,"group2-group1"
"TMEM106A","TMEM106A",1.05756,2.85452286276499e-16,4.05037394556412e-15,"group2-group1"
"SF3B4","SF3B4",1.19606633116883,2.88695917011107e-16,4.07660949479936e-15,"group2-group1"
"DTYMK","DTYMK",1.02539262987013,2.95366125000061e-16,4.15059016021079e-15,"group2-group1"
"GGCT","GGCT",0.758068506493508,2.96775006323659e-16,4.15059016021079e-15,"group2-group1"
"OTUD7B","OTUD7B",0.667838636363637,3.30840093580673e-16,4.60497901683956e-15,"group2-group1"
"NSFL1C","NSFL1C",0.974188474025977,3.44247566523584e-16,4.76888927463714e-15,"group2-group1"
"IGBP1","IGBP1",1.05853740259741,3.49569953784628e-16,4.81977818354937e-15,"group2-group1"
"BRAP","BRAP",0.856516266233765,4.00894698597916e-16,5.50147983099394e-15,"group2-group1"
"AP3B1","AP3B1",0.907934480519481,4.06562836788402e-16,5.55319239220794e-15,"group2-group1"
"CCN2","CCN2",0.608456233766234,4.48036887744002e-16,6.09121778081729e-15,"group2-group1"
"PDIA4","PDIA4",0.668690357142858,4.94556940348652e-16,6.69254600295884e-15,"group2-group1"
"DAAM1","DAAM1",0.925576720779221,6.03063354600443e-16,8.12329117740597e-15,"group2-group1"
"SUSD1","SUSD1",0.746138084415585,6.27784225064499e-16,8.4174921553373e-15,"group2-group1"
"STIP1","STIP1",0.788683376623379,6.57051047688731e-16,8.74074983879884e-15,"group2-group1"
"PDAP1","PDAP1",1.45029188311688,6.57873747702957e-16,8.74074983879884e-15,"group2-group1"
"IL7","IL7",0.881026201298702,7.84481150422025e-16,1.03757393786587e-14,"group2-group1"
"GPI","GPI",0.800842305194806,8.17903172240801e-16,1.07690584345039e-14,"group2-group1"
