"","BIOCHEMICAL","logFC","P.Value","adj.P.Val","Comp","Gene_name"
"Q9Y6M9","Q9Y6M9",17.975379969938,2.18637322683642e-26,6.1932859319148e-26,"CSpermidine-CControl","NDUFB9"
"Q9P126","Q9P126",19.729024854977,2.18773118686721e-26,6.1932859319148e-26,"CSpermidine-CControl","CLEC1B"
"P48444","P48444",19.7401165101715,2.18920180377208e-26,6.1932859319148e-26,"CSpermidine-CControl","ARCN1"
"Q9NXH8","Q9NXH8",20.0389138903038,2.2208060076895e-26,6.26672395063666e-26,"CSpermidine-CControl","TOR4A"
"P62263","P62263",18.3869801910062,2.2222999348847e-26,6.26672395063666e-26,"CSpermidine-CControl","RPS14"
"P20936","P20936",17.5166783767175,2.22718730153058e-26,6.26672395063666e-26,"CSpermidine-CControl","RASA1"
"P56378","P56378",18.821865289103,2.22786490050172e-26,6.26672395063666e-26,"CSpermidine-CControl","ATP5MPL"
"Q9GZN8","Q9GZN8",18.3035426809808,2.22986691245864e-26,6.26672395063666e-26,"CSpermidine-CControl","C20orf27"
"P27338","P27338",21.1920026283846,2.2323769384594e-26,6.26672395063666e-26,"CSpermidine-CControl","MAOB"
"P0CG38","P0CG38",19.8113305039517,2.24950542088234e-26,6.30670069217846e-26,"CSpermidine-CControl","POTEI"
"Q9UPN3","Q9UPN3",19.0357405205487,2.25910639689227e-26,6.32549791129835e-26,"CSpermidine-CControl","MACF1"
"O15143","O15143",22.4553460671356,2.26770102490275e-26,6.34143282764099e-26,"CSpermidine-CControl","ARPC1B"
"Q9Y385","Q9Y385",18.3728624551706,2.30714418480789e-26,6.44348196882407e-26,"CSpermidine-CControl","UBE2J1"
"P06730","P06730",19.9284721790208,2.31640180670504e-26,6.45347671211887e-26,"CSpermidine-CControl","EIF4E"
"Q15843","Q15843",20.2508422234213,2.31663266588882e-26,6.45347671211887e-26,"CSpermidine-CControl","NEDD8"
"P23610","P23610",17.190290168881,2.35322480509638e-26,6.54706111379681e-26,"CSpermidine-CControl","F8A1"
"Q9Y696","Q9Y696",20.7089916555075,2.43096328998225e-26,6.7547376912484e-26,"CSpermidine-CControl","CLIC4"
"O76003","O76003",16.795488204603,2.43414048183604e-26,6.75497180728071e-26,"CSpermidine-CControl","GLRX3"
"P14324","P14324",19.6085201823145,2.46114311238166e-26,6.81740837510793e-26,"CSpermidine-CControl","FDPS"
"Q9BWD1","Q9BWD1",19.4956869150578,2.46288242122718e-26,6.81740837510793e-26,"CSpermidine-CControl","ACAT2"
"Q9BUL8","Q9BUL8",18.3522162620977,2.47526344726339e-26,6.84300679597879e-26,"CSpermidine-CControl","PDCD10"
"P53582","P53582",19.0205247890238,2.48391495658738e-26,6.85824306597578e-26,"CSpermidine-CControl","METAP1"
"O95319","O95319",17.6829960973448,2.50826414474409e-26,6.91456995792026e-26,"CSpermidine-CControl","CELF2"
"Q06323","Q06323",20.8935165656598,2.51064742519724e-26,6.91456995792026e-26,"CSpermidine-CControl","PSME1"
"P42126","P42126",18.5886894756477,2.5211811364596e-26,6.93483577081581e-26,"CSpermidine-CControl","ECI1"
"Q92616","Q92616",18.4525855064429,2.53868726889676e-26,6.97420502549752e-26,"CSpermidine-CControl","GCN1"
"O95865","O95865",17.249712255655,2.5548237178906e-26,7.00971733652396e-26,"CSpermidine-CControl","DDAH2"
"Q96M27","Q96M27",18.9614966598613,2.56438671973635e-26,7.01914355758626e-26,"CSpermidine-CControl","PRRC1"
"Q9C0I1","Q9C0I1",18.6169382064438,2.56468706911805e-26,7.01914355758626e-26,"CSpermidine-CControl","MTMR12"
"P37108","P37108",19.6737376953983,2.57614703293489e-26,7.04168350429262e-26,"CSpermidine-CControl","SRP14"
"P16403","P16403",19.5911647360577,2.59235583018998e-26,7.07713141641866e-26,"CSpermidine-CControl","H1-2"
"P23258","P23258",18.0084471590961,2.59821348352798e-26,7.08426747568677e-26,"CSpermidine-CControl","TUBG1"
"O60763","O60763",20.3664732986831,2.60908319695965e-26,7.10503454134648e-26,"CSpermidine-CControl","USO1"
"Q9Y315","Q9Y315",17.8797339944245,2.62939454971381e-26,7.15142926098999e-26,"CSpermidine-CControl","DERA"
"P02675","P02675",24.5870477005694,2.69166394915665e-26,7.31168416039569e-26,"CSpermidine-CControl","FGB"
"Q8TF42","Q8TF42",21.3388306923718,2.71205490071765e-26,7.35262211170462e-26,"CSpermidine-CControl","UBASH3B"
"Q96HC4","Q96HC4",20.2190147640458,2.71346768408147e-26,7.35262211170462e-26,"CSpermidine-CControl","PDLIM5"
"Q7L9L4","Q7L9L4",17.4300576623282,2.71909990880895e-26,7.35875365655358e-26,"CSpermidine-CControl","MOB1B"
"Q8TCS8","Q8TCS8",17.0453854011663,2.75460710529251e-26,7.44562118559263e-26,"CSpermidine-CControl","PNPT1"
"Q92598","Q92598",17.2068474207799,2.76216937171948e-26,7.4568330133935e-26,"CSpermidine-CControl","HSPH1"
"P37837","P37837",24.3501807712498,2.77317759737236e-26,7.47730848476694e-26,"CSpermidine-CControl","TALDO1"
"Q9UL46","Q9UL46",19.2869879735519,2.78251325939948e-26,7.49322929534952e-26,"CSpermidine-CControl","PSME2"
"Q9Y265","Q9Y265",19.7236520906934,2.82811435027136e-26,7.60665239038503e-26,"CSpermidine-CControl","RUVBL1"
"P55008","P55008",19.6586320911208,2.85112414201507e-26,7.6503950212294e-26,"CSpermidine-CControl","AIF1"
"P62714","P62714",18.1543845974766,2.85138349234466e-26,7.6503950212294e-26,"CSpermidine-CControl","PPP2CB"
"P49720","P49720",17.0330370202738,2.90872270540944e-26,7.79466305351439e-26,"CSpermidine-CControl","PSMB3"
"P13747","P13747",17.8433451766449,2.91338013620566e-26,7.79757624690339e-26,"CSpermidine-CControl","HLA-E"
"Q9Y5K5","Q9Y5K5",16.249024478206,2.926952347816e-26,7.82431325291328e-26,"CSpermidine-CControl","UCHL5"
"P05496","P05496",19.6532550400544,2.93277996731609e-26,7.83030739439895e-26,"CSpermidine-CControl","ATP5MC1"
"P61421","P61421",18.5318368445029,2.95121866051152e-26,7.86991642803073e-26,"CSpermidine-CControl","ATP6V0D1"
"Q92522","Q92522",19.6105458026142,2.95751290998956e-26,7.87708316514291e-26,"CSpermidine-CControl","H1-10"
"O43488","O43488",20.9169235088482,2.96355390374742e-26,7.88355874029766e-26,"CSpermidine-CControl","AKR7A2"
"Q5T5C0","Q5T5C0",18.1313401570079,3.00203459586379e-26,7.97620870725853e-26,"CSpermidine-CControl","STXBP5"
"Q92734","Q92734",18.0877377441711,3.01897149611236e-26,7.99169218053041e-26,"CSpermidine-CControl","TFG"
"P12318","P12318",20.1593228266747,3.02451359221878e-26,7.99169218053041e-26,"CSpermidine-CControl","FCGR2A"
"Q9BZF1","Q9BZF1",17.4881828309733,3.02498667377555e-26,7.99169218053041e-26,"CSpermidine-CControl","OSBPL8"
"Q9H479","Q9H479",20.6874876873784,3.02637073047556e-26,7.99169218053041e-26,"CSpermidine-CControl","FN3K"
"P46783","P46783",19.7233774116155,3.02896473105542e-26,7.99169218053041e-26,"CSpermidine-CControl","RPS10"
"P26440","P26440",21.044684124406,3.02981736514615e-26,7.99169218053041e-26,"CSpermidine-CControl","IVD"
"P12931","P12931",22.0420275066198,3.05520807754231e-26,8.0489438375783e-26,"CSpermidine-CControl","SRC"
"O60229","O60229",18.2362473434709,3.06380707529125e-26,8.06187307522421e-26,"CSpermidine-CControl","KALRN"
"P31689","P31689",19.1183510185634,3.07842600508374e-26,8.09059253321646e-26,"CSpermidine-CControl","DNAJA1"
"O14950","O14950",22.4969744066629,3.0825515745208e-26,8.09169788311711e-26,"CSpermidine-CControl","MYL12A"
"P05387","P05387",21.6052857142869,3.13163607319584e-26,8.21067609106808e-26,"CSpermidine-CControl","RPLP2"
"Q9BVC6","Q9BVC6",19.3208490990705,3.15294534948752e-26,8.25663386484502e-26,"CSpermidine-CControl","TMEM109"
"Q96G23","Q96G23",17.5709571900442,3.17845767317363e-26,8.31183100585379e-26,"CSpermidine-CControl","CERS2"
"P49137","P49137",19.6983498041389,3.18163494546418e-26,8.31183100585379e-26,"CSpermidine-CControl","MAPKAPK2"
