Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
21.0544514964602	21.1010805165602	21.2925262398713	21.2033281662682	21.1272985839539	21.0730117959642	21.149148274545	21.1005224253917	21.019645978729	20.9349098054348	21.1094612048023	21.033146858688
22.6290872155116	22.480463028039	22.5312911437563	22.5833908777803	22.5149718401966	22.5031261721089	22.4333383884828	22.5905410272814	22.5512521484019	22.482261109806	22.5612359377033	22.4952842186399
22.7686551457092	22.776213422177	22.7733612667366	22.6313210043799	22.2619846844589	22.806966926794	22.4494112971872	22.5369697080849	22.7132672724013	22.0591482880702	22.5771580467461	22.298680964049
21.9615638051221	21.8838493168936	21.8806680068554	21.7857071947183	21.6317287457443	21.8633370333673	21.8113224135265	21.6459771514598	21.7094296510515	21.5316165563804	21.6461968799871	21.6633829807248
20.9807450134181	20.9732775097963	21.0512052362108	21.5260067237865	21.4709060779368	21.0101707335161	21.4047197345785	21.5318445427406	20.8921562762833	21.3967276546179	21.3222529222054	21.1297009571931
22.0445119806752	21.9159520045051	21.9859436242333	22.2323025592225	22.1910411083373	22.0550333558584	22.1362081892319	22.2887390523901	22.0045461714537	21.9920565814679	22.1034391402069	22.0615524443607
22.675002637554	22.5560532291429	22.5571374545035	22.5771193713229	22.4264194041928	22.452423426555	22.405833118898	22.5499489271247	22.3912652816867	22.2531876106676	22.50064707401	22.3325502508766
21.0155484299463	21.0286638141896	21.2170611345379	21.1824933063992	20.678408263603	20.9429574615466	20.9068699930259	20.9251249915467	20.6761777115779	20.4061695091975	20.7632941999873	20.579449244368
18.4188030667966	18.1910363064104	18.2744074325516	18.4866244269996	18.5567031343376	18.278612845216	18.4769613852394	18.5727337449744	18.3112559218747	18.2312275701118	18.4777771183239	18.3120280902328
24.0285708196331	23.9599199086607	24.0430405604014	24.054783661978	23.8050968870812	23.9691155220772	23.8553080402754	23.9734361465934	23.9362041780589	23.5432573250273	23.8958655067562	23.7145980635309
23.503793556801	23.4611151905981	23.4484264610241	23.5108166509893	23.3265569696211	23.5151759300034	23.2409622139664	23.4910795250612	23.2535536490354	23.390955624313	23.3755850881904	23.4724328496706
22.5004368142112	22.6539421045982	22.6271480938757	22.5535784980971	22.5884596510281	22.6593457152154	22.7226396756025	22.5545116177837	22.721625969409	22.9291720295115	22.6768221974815	22.879318230072
23.9354236787407	24.0850045194129	23.9782906099022	23.7957936576699	23.7006183840455	23.9153336053315	23.7338726754246	23.7750331855598	23.8240489593384	23.7385926660259	24.0109318905584	23.8319238678732
23.7212024402749	23.747697805449	23.7016433715305	23.6600823447544	23.584707248742	23.6761987375944	23.5618390733939	23.663389708828	23.6516867937522	23.4748117353411	23.6337244623965	23.5814497176216
19.0571117548838	19.0365084461673	19.2140247742804	19.2192213550777	18.9946532696894	19.0510142674805	19.0537726332859	19.1361104734264	18.8875734204959	18.7478152994909	19.0377071350401	18.8878044553307
21.6847532859232	21.6084160275476	21.5630126101504	21.4488140668365	21.2814911365867	21.6011443760617	21.5109009190801	21.2714548352408	21.4297347801573	21.1788814887881	21.3284170368197	21.3316305579007
23.8568814000961	23.8225133112075	23.7948365635532	23.7393412680819	23.2079673432949	24.2841476980104	23.0716598145874	24.2248534353964	23.191504596783	23.8361297630304	23.4368202193795	24.0015477720365
22.9484272510023	22.9144173201785	22.9155856093727	22.9526366664855	23.0788009246692	22.8820842946352	23.0282794461333	22.9570248085871	23.0090949691521	22.9584469887529	22.9324326444376	22.9732865773991
