Abundance..F16..127C..Sample..5A.	Abundance..F16..127N..Sample..5B.	Abundance..F16..128C..Sample..2B.	Abundance..F16..129C..Sample..2A.	Abundance..F16..130C..Sample..1A.	Abundance..F16..130N..Sample..4B.	Abundance..F16..131N..Sample..1B.	Abundance..F16..132C..Sample..4A.	Abundance..F16..132N..Sample..6B.	Abundance..F16..133C..Sample..3A.	Abundance..F16..133N..Sample..6B.	Abundance..F16..134N..Sample..3B.
7643854.65483776	7348738.22556319	6989793.71030982	6630159.38677423	6197176.87598458	6495757.78582842	6233483.01305459	6095132.45545358	5483866.41467174	5624583.86970888	5738296.96777849	6078791.84897604
10542944.4324494	9960320.82839218	9830447.01518394	9210207.44792936	9454957.85673579	8965994.1014926	9336944.40722203	8621990.91185715	9052841.52039325	8454157.43883447	8891228.61846257	9010486.64649376
15393446.4868364	14778908.9048039	15318039.615884	13720189.3421551	11846987.6036058	15190291.660357	11933579.8064231	13841834.7840439	13481106.4159059	10333535.2023232	12964076.36179	11388364.970484
13300704.0523327	12409631.3823959	11254241.3076198	10189155.9832551	9841882.72053863	11927773.057777	9924803.59364046	10123208.742945	11535148.3087653	9934138.81440081	10791725.2701053	10770621.5350419
13860145.0288596	13177710.9724268	12712176.8169182	12376423.8880776	12681266.2916269	16614611.2661362	11647639.9893203	14473563.7129725	12731555.9531158	15679984.6296052	13286909.2512718	13785023.0601115
2448612.26450628	2417781.08342184	2782353.69153533	2404121.40560675	2148383.7595163	2274751.34939461	2227875.72770343	2097572.90811269	2083364.89701915	1878887.44031403	2190347.51480919	2095540.86085781
7293443.18351756	6290026.66907493	6566254.78249776	6257439.61575937	5621382.4701509	6129728.73642979	5425886.51932507	5891927.01368937	6023164.72955612	5491612.94107549	5991571.77008567	5773555.3898437
8034275.82700763	7721154.21415019	7765833.91470864	6468820.09594476	4717223.05694526	7566698.62676828	5486673.71455498	5677155.42770123	6739010.81081875	4095720.09456972	6058063.17985329	5038019.68164804
4591853.61677164	4159621.97544174	4182737.8856258	3599730.20099472	3047617.5801296	3934101.26059298	3525536.70168695	3061366.31286484	3360554.30871769	2841367.40416612	3177507.3390159	3243516.49302657
2326655.8998378	2212811.58656278	2353788.71206855	3006715.38667497	2726139.17152497	2177794.44938513	2659657.0341513	2828511.57434997	1907159.94892498	2587746.84918747	2538456.43301248	2240587.008
4863600.82781149	4253218.90750487	4499370.62574125	4905785.46730476	4490867.77430556	4493159.93056069	4415964.80873421	4779758.02665263	4123346.60850233	3909611.9433433	4362447.34379491	4274418.71357043
7529298.64342606	6628380.0990514	6684951.25649708	6230297.08189452	5286718.61317155	5918044.25531126	5323420.77594667	5728460.44506159	5390932.51433087	4685348.77750576	5745154.34366059	5157693.50926923
2383466.38072218	2299415.08287995	2640554.1386454	2369651.48720719	1573919.11383221	2078661.03704536	1883466.63805137	1857450.18981327	1641992.20629302	1302369.07194667	1723083.69307851	1530099.04000059
394013.212280189	321666.904254836	343453.577929717	365718.626831249	361647.546975	327895.930957059	349528.468652374	363728.096325	318756.239999999	288410.6622375	353424.925555611	317802.8316375
19240623.7650771	17539345.5814569	18724043.8901188	17351220.578106	13747048.7347597	16933550.3507701	14538721.7379647	15365626.4214617	15730294.1737107	11457545.9025576	15111386.0028639	13442912.6947509
13373511.3383279	12412469.7487447	12399465.675379	11900895.5579574	9866306.50406989	12362280.400499	9497071.39968884	10998829.2122962	9800281.68703822	10309657.2111105	10536206.8229721	11365652.7954007
6671215.56904969	7093733.88827754	7017356.61351637	6129460.44586638	5915141.93944979	6830744.23347239	6630695.30518386	5746606.04533154	6778168.66760656	7485718.85382825	6491360.03164314	7534407.29275034
18037612.9646631	19127913.7578027	17902264.6546191	14499942.1963816	12786695.0843892	16313909.6694486	13365048.4402044	13391370.5549701	14553744.940082	13118778.5991152	16366006.9883643	14581827.7741379
15548627.0074938	15140079.8740034	14778448.9655405	13198151.066274	11799553.6816009	13822012.6174518	11862692.219686	12394156.9760573	12914826.5403014	10926660.0185077	12600621.9492828	12257777.4500336
613282.887503256	577988.042765322	658750.638717161	607688.098088671	489916.031408199	560082.526977825	521338.792550683	537489.696923437	475277.822262888	412590.965203465	521018.213832552	473678.550571874
3790179.38722682	3436688.59800632	3356115.10425139	2850066.64080059	2390718.5105751	3280331.08652833	2862789.12634691	2361417.88235195	2768307.77516456	2225069.38422335	2549325.54347475	2577203.30860782
17081872.7451484	15945930.8979599	15764594.4328684	13943519.498954	9087733.19767891	21066003.7907003	8445485.14804039	18290872.2087547	9387715.7847129	14036376.0388878	10993042.2825578	16401132.8946702
